,Play 1,Play2,Op symbol1,Op symbol2,Cost,Operation Type
0,"('DARIUS.', ""La Perse enfin triomphe ; et des Grecs ennemis, Ce qui restait à vaincre, est défait, ou soumis. Aux Victoires du Roi j'ajoute une Victoire, Et je me flatte encor d'une nouvelle gloire. Voici ce jour pompeux si longtemps souhaité, Où pour rendre à l'État plus de tranquillité, Mon père va nommer l'héritier de l'Empire. En attendant ce choix, Babylone soupire, Trop lasse d'essuyer les complots différents  De ceux qu'un même sang a fait mes concurrents. Artaxerce à ses fils équitable et fidèle, Leur voulant pour la gloire inspirer plus de zèle, Sans distinguer l'Aîné du reste de son sang, Veut que le seul mérite hérite de son rang. Je n'en murmure point ; le roi doit son suffrage Plutôt à la vertu, qu'à la faveur de l'âge."")",,0,-,1.0,Insertion
1,"('ORONTE.', ""Oui, Seigneur. Mais je vois qu'entre ses fils jaloux Le roi ne distinguant qu'Ariarathe et vous, Seuls dignes de l'honneur de cette concurrence, Il vous est bien aisé d'emporter la balance. Le roi doit couronner votre âge et vos exploits, Même il semble, Seigneur, qu'en attendant son choix, Vous fustes par avance au milieu de l'Armée Nommé par la Victoire et par la Renommée. Tout se tait devant vous, ou tout parle pour vous. Vous n'avez qu'à gagner un favori jaloux Qui veut faire passer le sceptre en sa famille. Il prétend l'obtenir pour l'époux de sa fille. C'est de tous les Mortels le plus impérieux, Il est vindicatif, ardent, ambitieux. On l'a vu quelquefois plein d'une indigne audace Près du Roi hautement à nos yeux prendre place, Et porter en public, en dépit de nos lois, Les mêmes ornements qui distinguent nos rois."")",,1,-,1.0,Insertion
2,"('DARIUS.', ""Mais si d'un feu caché j'avais l'âme enflammée..."")","('ARBACE.', ""Les mains teintes de sang ! Ô Dieux ! D'où sortez-vous ?"")",2,0,1.28,Substitution
3,"('ORONTE.', 'Quel amour !')","('ARTABAN.', 'Toi dans Suze !')",3,1,1.66,Substitution
4,"('DARIUS.', ""En partant pour commander l'Armée, Je brûlais en secret et cet embrasement  Qu'irritaient mon silence et mon éloignement, Semble encor s'augmenter, revoyant ce que j'aime. J'aime Aspasie."")","('ARBACE.', 'Ah ! Mon père !...')",4,2,1.86,Substitution
5,"('ORONTE.', 'Ô Dieux. Aspasie !')","('ARTABAN.', 'Éloigne-toi.')",5,3,1.13,Substitution
6,"('DARIUS.', 'Elle-même.')","('ARBACE.', 'Quels coups Avez-vous donc portés ?')",6,4,1.57,Substitution
7,"('ORONTE.', ""Étrangère, et d'un sang trop indigne de vous..."")","('ARTABAN.', ""Mon fils, part, je l'exige ; Oui, pars pour ton exil."")",7,5,1.74,Substitution
8,"('DARIUS.', ""Il n'est rien de si grand, de si beau parmi nous ; Et mon amour est tel, qu'au milieu des alarmes, Tout plein de la beauté dont j'adore les charmes, L'ardeur de la revoir, qui croissait tous les jours, Donnait à mes exploits un plus rapide cours, Et m'inspirait sans cesse une force nouvelle, Pour hâter mon triomphe, et me rapprocher d'elle."")",,8,-,1.0,Insertion
9,"('ORONTE.', ""Mais quel est votre espoir ? Vous savez que le Roi Est maître souverain de vous, de votre foi. Avez-vous oublié la disgrâce d'Arsame ? Aspasie autrefois refusée à sa flamme..."")","('ARBACE.', 'Mais, Seigneur...')",9,6,1.26,Substitution
10,"('DARIUS.', ""Ce malheureux amant dans nos derniers combats Blessé mortellement, et tombant dans mes bras ; Darius, me dit-il, reçois avec ma vie Ces soupirs que je donne à l'aimable Aspasie. Transporté de douleur, par un dernier effort, Je presse ma victoire, et je venge sa mort. Je reviens, et tout plein de mon impatience, Je revois Aspasie, et je romps le silence. Cet aveu la troubla, mais dans cet entretien Mon trouble était trop grand pour bien juger du sien. Mais depuis quelques jours une froideur mortelle... "")","('ARTABAN.', ""Fuis, te dis-je. Bientôt tu sauras tout ; ne m'interroge pas, Et seulement au loin précipite tes pas."")",10,7,0.62,Substitution
11,"('ORONTE.', ""Elle craint votre amour. Si trop d'ardeur pour elle Contre le choix du Roi révoltait votre coeur, La modeste Aspasie en mourrait de douleur. On croit qu'à Nitocris votre foi destinée..."")","('ARBACE.', 'Je ne vous quitte point dans ces moments funestes.')",11,8,1.42,Substitution
12,"('DARIUS.', ""Le Roi m'imposerait cet étrange hyménée ! Tiribaze est d'un sang noble, mais odieux, Fier, vaillant ; mais sans foi, sans justice, sans Dieux. Nitocris est sa Fille ; et si le Roi qui m'aime, Gagné par Tiribaze, et s'oubliant lui-même, A promis un hymen si peu digne de moi, Je sais bien le moyen de dégager sa foi."")","('ARTABAN.', 'Il le faut, hâte-toi ; tu me perds si tu restes.')",12,9,1.52,Substitution
13,"('ORONTE.', ""Qu'osez-vous espérer, et que m'osez-vous dire ?"")","('ARBACE.', ""Donnez donc cette épée, Où suis-je ? Ô jour d'effroi !... Emirène !... Ah ! Quel trouble emporté-je avec moi !"")",13,10,0.97,Substitution
