,Play 1,Play2,Op symbol1,Op symbol2,Cost,Operation Type
0,"('GLAPHIRA.', ""De grâce, guérissez de cette frénésie  Bannissez ces soupçons de votre fantaisie,  Vous les avez conçus sans aucun fondement  Votre crédulité nous perd également,  Et votre jalousie ingrate et criminelle  Blesse notre amitié d'une offense mortelle,  Qu'ai-je fait cher mari qui vous dut obliger  À prendre tous les jours ce soin de m'affliger.  À quelles actions me suis-je dispensée  Qui vous puissent donner cette ingrate pensée,  Ai-je rien entrepris contre ce que je dois  Aux serments mutuels d'une éternelle foi,  N'ai-je point vécu. "")","(""HÉRODE, s'éveillant en sursaut."", ""Fantôme injurieux qui troubles mon repos,  Ne renouvelle plus tes insolents propos ;  Va dans l'ombre éternelle, ombre pleine d'envie,  Et ne te mêle pas de censurer ma vie :  Je suis assez savant en l'art de bien régner,  Sans que ton vain courroux me la vienne enseigner.  Et j'ai trop sûrement affermi mon Empire  Pour craindre les malheurs que tu me viens prédire :  Je donnerai bon ordre à tous les accidents,  Qui n'étant point prévus, perdent les imprudents.  Mais quoi ? Le front me sue, et je suis hors d'haleine ;  Mon âme en ce repos a trouvé tant de peine  À se désabuser d'une fâcheuse erreur,  Que j'en suis tout ému de colère et d'horreur  Holà.  Phérore paraît avec le Capitaine des gardes."")",0,0,0.0,Match
1,,"('THARÉ.', 'Que vous plaît-il, Sire ? ')",-,1,1.0,Deletion
2,,"('HÉRODE.', 'Ah ! Voici Phérore. ')",-,2,1.0,Deletion
3,,"('PHÉRORE.', 'On me disait ici que vous dormiez encore. ')",-,3,1.0,Deletion
4,,"('HÉRODE.', ""Tu m'as bien entendu quand j'ai parlé tout haut,  Je me suis éveillé tout à l'heure en sursaut,  Après la vision la plus mélancolique  Qui puisse devancer un accident tragique. "")",-,4,1.0,Deletion
5,,"('PHÉRORE.', ""Les songes les plus noirs que l'on puisse inventer,  Seraient-ils suffisants de vous épouvanter :  Vous qui savez braver les forces indomptables,  Et qui craignez si peu les périls véritables ?  Ce sont des visions qui n'ont jamais d'effet. "")",-,5,1.0,Deletion
6,,"('HÉRODE.', ""Mon esprit est troublé du songe que j'ai fait.  Il m'en revient sans cesse une idée importune  Qui ne doit m'avertir que de quelque infortune :  C'est un avant-coureur de quelque adversité."")",-,6,1.0,Deletion
7,,"('PHÉRORE.', ""On ne doit pas en faire une nécessité ;  Ces apparitions sont comme les images  Qu'un mélange confus forme dans les nuages ;  C'est un sombre tableau d'hommes et d'animaux  Qui ne fait arriver ni des biens ni des maux. "")",-,7,1.0,Deletion
8,"('ALEXANDRE.', ""Cesse, cesse mon âme,  Je n'ai jamais douté de ta pudique flamme  Et les soupçons cruels dont je suis combattu  Attaquent mon repos et non pas ta vertu,  Par mille beaux effets elle m'est si connue  Et paraît à mes yeux si charmante et si nue  Que si dans mes soupçons je doutais de ta foi  Je me rendrais indigne et du jour et de toi,  Mais je crains un amour armé d'une puissance  Contre qui ta vertu n'aura point de défense,  Qui foule aux pieds l'honneur les lois et le devoir  Et dans sa volonté limite son pouvoir,  Oui je redoute Hérode, oui je redoute un père,  Qui tout fumant encor du sang de notre mère,  Ne peut voir à souhait ses désirs assouvis,  S'il ne souille la couche et l'honneur de son fils,  Outre ce que j'en sais, je vois dans ses caresses  Qu'il traite avecque toi comme avec ses maîtresses,  C'est pour toi qu'il s'ajuste et qu'il peint ses cheveux  Qu'il se farde le teint qu'il adoucit ses yeux.  Ces yeux rouges de sang dont les traits redoutables  Portent dans leurs regards des morts inévitables,  Et qui lancent la foudre avecque les éclairs  Sont devenus pour toi plus sereins et plus clairs  Ce grand homme d'État dont l'âme ne respire  Que de sanglants moyens d'assurer son Empire,  Oublie auprès de toi ses maximes de Cour,  Se rend plus sociable et cède à ton amour,  Mais il ne t'aime point comme sa belle-fille  Ce monstre n'eut jamais d'amour pour sa famille,  Tant d'horribles succès l'ont assez témoigné  Tu sais trop comme il règne et comme il a régné. "")","('HÉRODE.', ""Quand tu nous fus ravi par un destin contraire,  Mon généreux aîné, brave et fidèle frère,  J'appris ton accident par un même rapport :  Je fus par même voie averti de ta mort :  J'eus aux bords du Jourdain des visions cruelles  Qui prévinrent le bruit de ces tristes nouvelles. "")",1,8,0.48,Substitution
9,"('GLAPHIRA.', ""Oui je le connais trop, mais cette connaissance  Ne me peut empêcher de prendre sa défense  Et de vous protester quoi qu'Hérode ait commis  Que cette invention vient de vos ennemis,  Qu'on travaille à vous perdre, et que votre jeunesse  Affronte aveuglément l'embûche qu'on lui dresse,  Ouvrez ouvrez les yeux et d'un sens plus rassis,  Considérez un Roi de qui vous êtes fils.  Jugez sans passion de toutes ses caresses  Et vous découvrirez les mortelles adresses,  De ceux qui vous ont fait ces mauvaises leçons  Et qui vous veulent perdre en toutes les façons,  Jeune Prince bon Dieu que ta faiblesse est grande  Et qu'est-ce qu'aujourd'hui ton amour appréhende. "")","('PHÉRORE.', ""Pour moi j'ai mille fois des songes observé,  Sans que de leur présage il soit rien arrivé ;  Et selon qu'un rabbin me fit un jour entendre,  C'est les prendre fort bien que de n'en rien attendre. "")",2,9,0.47,Substitution
