,Play 1,Play2,Op symbol1,Op symbol2,Cost,Operation Type
0,"('MANUEL', ""Nous ne sommes pas arrivés depuis une heure à temps pour voir les fêtes  avec lequel Madrid est généreux  aujourd'hui le baptême est célébré du premier Baltasar."")","('Florestan', 'Oui Paris en effet est l’abregé du monde Dans l’enclos de ses murs toute merveille abonde, Et je ne l’aurois pas sans doute recognu Depuis dix ans entiers que je n’y suis venu. Cent palais d’un desert, une cité d’une isle Et deux de ses fauxbourgs enfermez dans la ville Ces fameux changemens que maintenant j’y vois Marquent bien la grandeur du plus puissant des rois Cette ville est aussi le sejour ordinaire Des plus grands Potentats que le Soleil esclaire ; Il n’en voit point de tels dessus nostre horison,')",0,0,1.81,Substitution
1,"('COSME', ""Comment ces choses sont vraies ou ils se trompent pendant une heure : pendant une heure c'était devant Pyrame à la fontaine  ne retrouvera pas sa Thisbé morte  et les mûres ne tacheront pas, parce que disent les poètes  ça avec du sirop de mûre cette tragédie a été écrite ; cela prendra une heure Tarquin retrouvera Lucrèce  collection, avec laquelle les auteurs n'ont pas marché, sans être vicaires, portant aux salles de compétition  la cause de la connaissance  s'il a fait usage de la force ou n'a pas fait usage de la force ; pendant une heure, j'ai pensé que ce soit bien fait ou pas, c'était jeter le héros hors de la tour  ne se couchera pas, c'est certain,  avec lequel il se serait excusé Dr Mira de Mescua  d'avoir donné aux théâtres comédie si bien écrite et l'ai représenté Amaryllis donc vraiment  ça, volatín del charnel  -si d'autres sont du Carême-, en a sorti plus que jamais  les mains sur la tête ; et, puisque nous avons perdu pour une si belle fête,  pas avant une heure, perdons l'auberge, que si elle arrive après-midi Abindarráez, c'est la loi  ça doit rester dehors; et j'ai hâte de voir cet ami qui t'attend, comme si tu étais un galant à utiliser, avec lit et table, sans savoir comment ni où  alors un grand bonheur nous vient,  Eh bien, sans être les deux tournois, Aujourd’hui, cela nous soutient tous les deux."")","('carrille', 'Allons donc chez Lizandre,et cherchons sa maison. A quoy tant de discours, Monsieur, je meurs d’envie De voir ce cher amy qui chez luy vous convie ; Que je suis aujourd’huy favorisé du sort, Nous y ferons grand chere, ou je me trompe fort . Depeschons-nous.')",1,1,0.87,Substitution
2,"('MANUEL', ""Don Juan de Tolède est, Cosme, l'homme qui professe le plus mon amitié, étant tous les deux l'envie, puisqu'elle ne déshonore pas,  de combien Antiquité pendant tant de siècles, il célèbre. Nous étudions tous les deux ensemble et, partant des lettres aux armes, nous sommes allés tous les deux camarades de guerre. Dans ceux du Piémont, quand le seigneur duc de Feria  avec la genette il m'a honoré,  Je lui ai donné, Cosme, mon drapeau. Il était mon sous-lieutenant et plus tard, se sortir d'une bagarre  une blessure pénétrante,  Je l'ai guéri moi-même dans mon lit. La vie après Dieu  Il me doit; je laisse les dettes de moindre intérêt,  que parmi les nobles est la bassesse  référez-les, parce que c'est pourquoi  peint la savante Académie  une dame au prix  riche et le dos tourné,  ce qui implique que, en faisant le bénéfice est discret  action, oubliez-le,  cela ne fait pas de lui ce dont il se souvient. Quoi qu'il en soit, don Juan, obligé d'amitiés et de politesses,  voyant que Votre Majesté avec ces récompenses du gouvernement mes services et que je viens sur le chemin du tribunal, essayez aujourd'hui je vais rester chez toi  pour m'avoir payé avec la même chose ; et bien qu'il m'ait écrit à Burgos de maison et de rue les panneaux, Je ne voulais pas demander autour de moi à cheval, où était-il ? et donc je suis parti à l'auberge les mules et les valises. Aller là où il me dit  J'ai vu les atours et les livrées  et, informé de la cause,  J'avais envie, quoique en passant, de les voir. Nous étions effectivement en retard,  parce que...(DOÑA ÁNGELA et ISABEL sortent, bref, couvertes.)"")","('florestan', 'Lizandre est un homme qui m’ayme, Je le sçais de certain à l’égal de luy-mesme, Je n’en sçaurais douter : car cette affection Est fondée en effet sur l’ Il me loge chez luy, dont il brusle d’ M’estant sans me vanter  Sans mille autres biens-faits, dont un homme d’honneur Ne se peut souvenir sans lascheté de cœur, Et beaucoup moins encor en venir aux reproches : Mais à ce que je croy nous en sommes bien proches, Demande son logis.')",2,2,0.35,Substitution
3,"('COSME', 'Est-ce une dame ou est-ce un tourbillon ?')","('Angelique', 'Si comme je le croy, Vous estes Gentil-homme,ayez pitié de moy, Estant nay  Laisser perdre la vie, et l’honneur d’une femme, Si vous ne désirez m’ayder d’un prompt secours, Je perds l’honneur, et suis à la fin de mes jours. Il m’importe, Monsieur, de l’honneur,de la vie, Que vous vous opposiez à la  D’un qui me veut cognoistre, et brusle de me voir, Je suis morte, autant-vaut En cette occasion monstrez vostre courage, Adieu, je ne puis pas en dire davantage. Le voila qui me suit.')",3,3,1.7,Substitution
4,"('MANUEL', 'Existe-t-il un tel événement ?')",,4,-,1.0,Insertion
5,"('COSME', ""Qu'en pensez-vous  faire?"")","('Carrille', 'Est-ce une illusion ? Que pretendez-vous faire en cette occasion ?')",5,4,0.53,Substitution
6,"('MANUEL', ""Çades questions ? Comment ma noblesse peut-elle  excuse d'excuse  un malheur, un affront ?  Ce qui, comme le montre, sans aucun doute  c'est son mari."")","('Florestan', 'Elle veut ce secours, Carrille il luy faut rendre, Estant ce que je suis je ne m’en puis deffendre.')",6,5,1.39,Substitution
7,"('COSME', ""Etqu'est-ce que tu essaies ?"")","('Carrille', 'Mais pourquoy voulez-vous prendre son interest, Sans l’avoir jamais veuë, et sans sçavoir qui c’est ?')",7,6,1.73,Substitution
8,"('MANUEL', ""/Arrêtez-le avec quelque chose industrie; mais, si avec elle Je ne peux pas, ce sera forcé le recours à la force sans qu'il en comprenne la cause."")","('Florestan', 'Elle est femme, il suffit, cherchons donc je te prie, Pour en venir à bout quelque prompte industrie Et si par ce moyen je ne puis l’arrester, J’useray de la force.')",8,7,0.37,Substitution
9,"('COSME', ""Si vous cherchez de l'industrie, attendez, celui-là m'est offert. Cette lettre, qui confie Il appartient à un ami, je suis désolé.(DON LUIS et RODRIGO, son domestique, sortent.)"")","('Carrille', 'Il faut donc inventer Quelque  Nous y pourra servir.  (Il tire une lettre de sa poche.)')",9,8,0.84,Substitution
10,"('LUIS', 'Je dois la connaître pas plus que pour les soins  avec lequel je suis soupçonné.')",,10,-,1.0,Insertion
11,"('RODRIGUE', 'Suivez-la et vous saurez qui elle est. (COSME arrive et DON MANUEL sort.)')","('Licidas', 'Ouy je la veux cognoistre Avant qu’elle m’eschape, et veux sçavoir pourquoy Elle fuit ma rencontre, et se cache de moy .')",11,9,0.79,Substitution
12,"('COSME', ""Seigneur, bien qu'avec honte J'arrive : Votre Altesse me fait une si grande faveur que tu me lises à qui dit cette lettre."")","('Carrille ', 'Excusez s’il vous plaist, Monsieur, ma hardiesse, Et me dites à qui cette lettre s’adresse, De grace, obligez-moy.')",12,10,0.35,Substitution
13,"('LUIS', 'Je ne pars pas maintenant avec du flegme.')",,13,-,1.0,Insertion
14,"('COSME', ""Eh bien, si seulement tu manques de flegme, (Arrête-le.) J'en ai plein  et je pourrai partir avec toi."")","('Licidas ', 'Retire-toy maraut.')",14,11,1.59,Substitution
15,"('MANUEL', '(Oh, comme la rue est droite ! Ils ne les ont pas encore perdus de vue).')",,15,-,1.0,Insertion
16,"('COSME', 'Pour votre vie...')",,16,-,1.0,Insertion
17,"('LUIS', 'Vive Dieu, tu es lourd et je te briserai la tête,  Si tu me fais beaucoup...!')","('Florestan', 'Ce valet est à moy, ne parlez pas si haut, C’est me desobliger, car sans qu’il vous offence Vous le traittez trop mal, et mesme en ma presence, Et par moy sur le champ en ayant autant fait A quelqu’un de vos gens vous seriez ')",17,12,1.32,Substitution
18,"('COSME', 'Pourque  Je ne te ferai pas grand-chose.')",,18,-,1.0,Insertion
19,"('LUIS', 'Patience  Je manque de malades. A part ici ! (Supprimez-le.)')",,19,-,1.0,Insertion
20,"('MANUEL', ""(C'est maintenant la force  d'arriver ; le courage finit  ce que la prudence a commencé.) (Arrive.) Monsieur, ce serviteur C'est le mien et je ne sais pas ce que ça peut vous avoir offensé aujourd'hui  pour que de cette façon tu l'écrases."")","('Licidas', 'De  Et d’esclaircir aucun, je n’en ay nulle envie, Mon courage à ce poinct ne se sousmit jamais, Prenez si vous voulez, ou la guerre ou la paix.')",20,13,0.68,Substitution
21,"('LUIS', ""NonJe réponds au doute ou à la plainte, parce que je n'ai jamais été satisfait a personne. Adieu."")",,21,-,1.0,Insertion
22,"('MANUEL', ""Sij'avais besoin de mon courage de satisfactions, crée  ton arrogance envers moi que je ne devrais pas partir sans elle. Demandez en quoi cela vous offense  pour le punir s'il se trompe,  mérite plus de courtoisie et bien, le tribunal l'enseigne,  ne lui donne pas une mauvaise réputation,  avec un étranger qui arrive pour l'enseigner à ceux qui ont obligation de savoir."")","('Florestan', 'Cette guerre par vous qui m’est si tost offerte, Monstre que vous voulez advancer votre perte, Et si j’avais besoin de  Je l’aurois bien de vous en cette occasion, Et vous guerirois bien de cette frenesie : Mais si je trouve en vous si peu de courtoisie, Que tout homme de Cour, que je croy, doit sçavoir, Je vous veux enseigner quel est vostre devoir, Marry qu’un estranger vous acquiere la gloire De l’apprendre de luy.')",22,14,0.55,Substitution
23,"('LUIS', ""Qui pensera que je ne peux pas  Je vais l'apprendre..."")","('Licidas', 'C’est trop s’en faire  Je puis quand je voudray vous en faire leçon, Et lors que je la faits, c’est de cette façon, (Ils mettent tous deux l’espée à la main.)')",23,15,1.24,Substitution
24,"('MANUEL', ""Lalangue  suspendu et parlé l'acier. (Ils sortent leursépées.)"")","('Ariste ', 'As-tu du ')",24,16,1.36,Substitution
25,"('LUIS', 'Vous dites bien.')",,25,-,1.0,Insertion
26,"('COSME', 'Oh, qui avait  vouloir se battre!')","('Carrille', 'Toubeau, je n’oserois, j’offencerois mon maistre, Il me l’a deffendu.')",26,17,1.97,Substitution
27,"('COSME', ""Elle estune jeune fille et sans certificat ni mot Je n'arrive pas à le sortir. (DOÑA BEATRIZ sort avec DON JUAN,et CLARA, la servante et tout le monde.)"")","('Lizandre', 'Que vois-je justes Dieux ? Doy-je croire en ce poinct ou desmentir mes yeux ? On en veut à mon frere, on l’attaque on l’outrage, Allons le secourir, sus mon frere courage, Je suis à vous. (il met l’espée à la main) ')",27,18,1.58,Substitution
28,"('JEAN', 'Lâchez prise,   Béatrice.')",,28,-,1.0,Insertion
29,"('JOHN', ""Regardezce que c'est  avec mon frère la querelle."")",,29,-,1.0,Insertion
30,"('BEATRIZ', 'Oh moi, triste !')",,30,-,1.0,Insertion
31,"('JOHN', 'Àvos côtés  Je suis.')",,31,-,1.0,Insertion
32,"('LUIS', ""DonJuan, essaie, attends, ça, plus que me donner du courage, Vous venez pour faire de moi un lâche. Chevalier étranger,  qui n'a pas excusé la querelle seul, étant accompagné Il est clair qu'il ne la laisse pas faire. d'un lâche Autant en emporte Dieu,  qui ne connaît pas ma noblesse se disputer gravement, et plus encore avec qui fait preuve de tant de verve et de courage. Autant en emporte Dieu."")","('Licidas', 'Mon frere en voulant m’ Vous me desobligez, et voulez m’outrager ; C’est me faire un affront signalé que de croire Que sans vous je ne puisse emporter la victoire, Vous me feriez passer pour un homme sans  Puis si ce  Il n’a jusqu’à present sur moy nul advantage ;')",32,19,0.33,Substitution
33,"('MANUEL', 'Jevous estime bizarre et douceur; mais, si de moi par bonheur Avez-vous encore des scrupules ? Vous me trouverez où vous voulez.')","('Florestan', 'Vous tesmoignez assez quel est vostre courage, Cette noble action m’honore tout à fait, Mais si vous n’estes pas de tout poinct satisfaict Et qu’il vous reste encor quelque scrupule en l’ame Je desire envers vous estre exempt de tout blasme, Me le faisant sçavoir où bon vous semblera, Nous nous rencontrerons .')",33,20,0.51,Substitution
34,,"('Licidas', 'Tout ce qu’il vous plaira .')",-,21,1.0,Deletion
35,"('LUIS', 'Norabuena.')",,34,-,1.0,Insertion
36,"('MANUEL', 'Norabuena.')",,35,-,1.0,Insertion
37,"('JEAN', ""Qu'est-ce que je vois et entends !   Don Manuel !"")","('Lizandre', 'Que vois-je tout de bon ? pourroy-je me mesprendre ? Florestan, est-ce vous ?')",36,22,1.39,Substitution
38,"('MANUEL', '¡DonJuan !')","('Florestan', 'Est-ce vous cher Lizandre !')",37,23,1.98,Substitution
39,"('JOHN', ""Suspendre, l'âme ne détermine pas que faire, quand on considère  un frère et un ami -ce qui est pareil- en différence tel, et jusqu'à ce que nous en connaissions la cause J'hésiterai."")","('Lizandre', 'Veille-je,ou si je dors ? Dieux je ne puis penser Que mon frere ait jamais eu dessein d’offencer Un amy que j’estime à l’esgal de moy-mesme : Mon frere,vous devez aymer celuy que j’ayme ; Que j’en sçache la cause.')",38,24,0.98,Substitution
40,"('JUAN', ""Eh biencela étant ainsi, vous me donnerez courtoisement la permission pour que je puisse le serrer dans mes bras. Le noble invité qui attend notre maison est le seigneur Don Manuel. Frère, arrive, que deux qui se sont disputés de la même manière  à partir de ce moment ils restent plus d'amis, eh bien, ils se sont déjà fait de sa valeur d'expérience. Donnez-nous vos armes."")","('Licidas', 'Il est vray qu’en effet, Nous nous sommes piquez pour fort peu de sujet, Ce valet m’empeschant de poursuivre une affaire, Qui m’importoit beaucoup, m’a fait mettre en colere. Je l’ay poussé, son maistre à l’instant a voulu S’interesser J’ay reparti, soudain de parole en parole, Nous nous sommes picquez ; mais ce qui me console Est que ce  Me le pardonnera, ne le cognoissant point.')",39,25,0.87,Substitution
41,"('MANUEL', ""Premier laisse-moi te les donner, ça me prend la valeur que j'ai vue en lui pour m'offrir un service  de M. Don Luis."")","('Florestan', 'C’est moy qui veux de vous esperer cette grace, J’ay tort, je le confesse, excusez mon audace, La faute est à moy seul.')",40,26,1.04,Substitution
42,"('LUIS', ""Jesuis ton ami et ça me pèse déjà si je ne t'avais pas connu,  car ton courage pourrait m'ont informé."")","('Lizandre', 'Il faut tout oublier. Mon cher frere, embrassez ce brave  A qui je doy mon bien, mon honneur et ma vie, Secondez je vous prie en ce point mon envie, C’est ce cher Florestan, ce n’est pas d’aujourd’huy Que vous sçavez les biens que j’ay receus de luy, Je vous l’ay dit cent fois, et vous le dis encore.')",41,27,1.66,Substitution
43,"('LUIS', ""PlusJe voudrais  je l'ai moi-même mille fois."")","('Florestan', 'Pour tesmoigner combien je l’ayme et je l’honore, Je veux premier qu’à vous  (Il embrasse Licidas.)')",42,28,0.55,Substitution
44,"('COSME', 'Quelle courtisane !')",,43,-,1.0,Insertion
45,"('JEAN', ""Blesser? Je suis venu pour te guérir. Toi, Don Luis, te voilà jusqu'à ce que tu prennes ta voiture Mme Beatriz, qui m'attend ; et de ce manque de courtoisie tu lui présenteras tes excuses. Venez, monsieur, chez moi  -mieux vaut dire le vôtre-, où vous guérissez."")","('Licidas', 'Vostre  Sans en cette action me la faire paroistre, Oüy par vostre valeur je vous devois cognoistre, Mais vous m’excuserez puis que je m’en repens .')",44,29,0.66,Substitution
46,,"('Florestan', 'Je n’ay que trop connu la vostre à mes despens, Car vous m’avez blessé.')",-,30,1.0,Deletion
47,,"('Lizandre', 'Grands Dieux ! je desepere. Quoy ! vous estes blessé ?')",-,31,1.0,Deletion
