,Les Précieuses Ridicules1,Les Véritables Précieuses2,Cost,Operation Type
0,"('#du-croisy', 'Seigneur la Grange.')",,1.0,Insertion
1,"('#la-grange', 'Quoi ? ')",,1.0,Insertion
2,"('#du-croisy', 'Regardez-moi un peu sans rire. ')",,1.0,Insertion
3,"('#la-grange', 'Eh bien ! ')",,1.0,Insertion
4,"('#du-croisy', 'Que dites-vous de notre visite ?  En êtes-vous fort satisfait ? ')",,1.0,Insertion
5,"('#la-grange', ""À votre avis, avons-nous sujet de l'être tous deux ? "")",,1.0,Insertion
6,"('#du-croisy', 'Pas tout à fait, à dire vrai. ')",,1.0,Insertion
7,"('#la-grange', ""Pour moi, je vous avoue que j'en suis tout scandalisé.  A-t-on jamais vu, dites-moi, deux pecques provinciales faire plus les renchéries que celles-là, et deux hommes traités avec plus de mépris que nous ?  À peine ont-elles pu se résoudre à nous faire donner des sièges.  Je n'ai jamais vu tant parler à l'oreille qu'elles ont fait entre elles, tant bâiller ; tant se frotter les yeux, et demander tant de fois : Quelle heure est-il ?  Ont-elles répondu que oui, et non, à tout ce que nous avons pu leur dire ?  Et ne m'avouerez-vous pas enfin que quand nous aurions été les dernières personnes du monde, on ne pouvait nous faire pis qu'elles ont fait ? "")","('#iscarie', ""Que l'attente d'Artémise, me cause de chagrin, je suis la personne du monde la plus impatiente.  Allez lui dire que je suis dans le dernier emportement de ne la point voir."")",0.94,Substitution
8,,"('#isabelle', 'Je vais vous obéir Madame, mais la voici qui vient.')",1.0,Deletion
9,"('#du-croisy', 'Il me semble que vous prenez la chose fort à coeur. ')","('#iscarie', ""Vraiment ma chère je suis en humeur de pousser le dernier rude contre vous, vous n'avez guère d'exactitude dans vos promesses, le temps a déjà marqué deux pas depuis que je vous attends."")",1.32,Substitution
10,"('#la-grange', ""Sans doute, je l'y prends, et de telle façon, que je veux me venger de cette impertinence.  Je connais ce qui nous a fait mépriser.  L'air précieux n'a pas seulement infecté Paris, il s'est aussi répandu dans les provinces, et nos donzelles ridicules en ont humé leur bonne part.  En un mot c'est un ambigu de Précieuse et de Coquette que leur personne.  Je vois ce qu'il faut être pour en être bien reçu, et si vous m'en croyez, nous leur jouerons tous deux une pièce, qui leur fera voir leur sottise, et pourra leur apprendre à connaître un peu mieux leur monde. "")","('#artemise', ""Ah !  Ma chère il faut que vous sachiez qu'un certain Marquis, m'est venu voir."")",0.96,Substitution
11,"('#du-croisy', 'Et comment encore ? ')","('#iscarie', ""Hé !  Comment s'appelle-t-il ce Marquis ?"")",1.8,Substitution
12,"('#la-grange', ""J'ai un certain valet nommé Mascarille, qui passe au sentiment de beaucoup de gens pour une manière de bel esprit, car il n'y a rien à meilleur marché que le bel esprit maintenant.  C'est un extravagant, qui s'est mis dans la tête de vouloir faire l'homme de condition.  Il se pique ordinairement de galanterie, et de vers, et dédaigne les autres valets, jusqu'à les appeler brutaux. "")","('#artemise', ""Il s'appelle le Marquis de Mazarcantara, il sait tout à fait l'air de la ruelle, c'est un Galant de plein pied qui s'exprime sans aucune incertitude, et je n'ai jamais vu d'homme qui dise les choses plus congrument.  J'ai pourtant remarqué un défaut en lui qui m'a pensé faire perdre mon sérieux."")",0.63,Substitution
13,"('#du-croisy', ""Eh bien qu'en prétendez-vous faire ? "")",,1.0,Insertion
14,"('#la-grange', ""Ce que j'en prétends faire ?  Il faut...  mais sortons d'ici auparavant. "")",,1.0,Insertion
15,"('#gorgibus', 'Eh bien vous avez vu ma nièce, et ma fille, les affaires iront-elles bien ?  Quel est le résultat de cette visite ? ')",,1.0,Insertion
16,"('#la-grange', ""C'est une chose que vous pourrez mieux apprendre d'elles, que de nous.  Tout ce que nous pouvons vous dire, c'est que nous vous rendons grâce de la faveur que vous nous avez faite, et demeurons vos très humbles serviteurs. "")",,1.0,Insertion
17,"('#gorgibus', ""Ouais il semble qu'ils sortent mal satisfaits d'ici, d'où pourrait venir leur mécontentement ?  Il faut savoir un peu ce que c'est.  Holà ! "")",,1.0,Insertion
18,"('#marotte', 'Que désirez-vous, Monsieur ? ')","('#iscarie', 'Hé quel ?')",0.76,Substitution
19,"('#gorgibus', 'Où sont vos maîtresses ? ')",,1.0,Insertion
20,"('#marotte', 'Dans leur cabinet. ')",,1.0,Insertion
21,"('#gorgibus', 'Que font-elles ? ')",,1.0,Insertion
22,"('#marotte', 'De la pommade pour les lèvres. ')",,1.0,Insertion
23,"('#gorgibus', ""C'est trop pommadé, dites-leur qu'elles descendent.  Ces pendardes-là avec leur pommade ont je pense envie de me ruiner.  Je ne vois partout que blancs d'oeufs, lait virginal, et mille autres brimborions que je ne connais point.  Elles ont usé, depuis que nous sommes ici, le lard d'une douzaine de cochons, pour le moins, et quatre valets vivraient tous les jours des pieds de mouton qu'elles emploient. "")",,1.0,Insertion
24,"('#gorgibus', 'Il est bien nécessaire, vraiment, de faire tant de dépense pour vous graisser le museau.  Dites-moi un peu ce que vous avez fait à ces Messieurs, que je les vois sortir avec tant de froideur ?  Vous avais-je pas commandé de les recevoir comme des personnes, que je voulais vous donner pour maris ? ')",,1.0,Insertion
25,"('#magdelon', 'Et quelle estime, mon père, voulez-vous que nous fassions du procédé irrégulier de ces gens-là ? ')","('#artemise', ""Il ne peut s'empêcher de faire la révérence en point d'Hongrie."")",1.54,Substitution
26,"('#cathos', ""Le moyen, mon oncle, qu'une fille un peu raisonnable se pût accommoder de leur personne ? "")","('#iscarie', 'Ah !  Ma chère, il ressemble donc au Marquis de Mascarille.')",1.74,Substitution
27,"('#gorgibus', ""Et qu'y trouvez-vous à redire ? "")","('#artemise', 'Ce que vous dites est une vérité toute pure.')",1.4,Substitution
28,"('#magdelon', ""La belle galanterie que la leur !  Quoi débuter d'abord par le mariage ? "")",,1.0,Insertion
29,"('#gorgibus', ""Et par où veux-tu donc qu'ils débutent, par le concubinage ?  N'est-ce pas un procédé, dont vous avez sujet de vous louer toutes deux aussi bien que moi ?  Est-il rien de plus obligeant que cela ?  Et ce lien sacré où ils aspirent, n'est-il pas un témoignage de l'honnêteté de leurs intentions ? "")","('#iscarie', ""Je crois que vous avez dessein de faire bien des assauts d'appas, je vous trouve dans votre bel aimable, l'invisible n'a pas encore gâté l'économie de votre reste, vous ne fûtes jamais mieux sous les armes que vous êtes, que vos tâches avantageuses sont bien placées, que vos grâces donnent éclat à votre col et que les ténèbres qui environnent votre reste relèvent bien la blancheur de ce beau tout."")",0.49,Substitution
30,"('#magdelon', 'Ah mon père, ce que vous dites là est du dernier bourgeois.  Cela me fait honte de vous ouïr parler de la sorte, et vous devriez un peu vous faire apprendre le bel air des choses. ')","('#artemise', ""Ah !  Ma chère vous faites trop de dépense en beau discours pour me dauber sérieusement ; mais n'importe tout vous est licite et l'empire que vous avez sur mon esprit fait que je n'excite pas mon fier contre vous."")",1.0,Substitution
31,"('#gorgibus', ""Je n'ai que faire, ni d'air, ni de chanson.  Je te dis que le mariage est une chose sainte et sacrée, et que c'est faire en honnêtes gens que de débuter par là. "")",,1.0,Insertion
32,"('#magdelon', ""Mon_Dieu, que si tout le monde vous ressemblait un roman serait bientôt fini, la belle chose, que ce serait, si d'abord Cyrus épousait Mandane, et qu'Aronce de plain-pied fût marié à Clélie ! "")",,1.0,Insertion
33,"('#gorgibus', 'Que me vient conter celle-ci ? ')",,1.0,Insertion
34,"('#magdelon', ""Mon père, voilà ma cousine qui vous dira, aussi bien que moi, que le mariage ne doit jamais arriver, qu'après les autres aventures.  Il faut qu'un amant, pour être agréable, sache débiter les beaux sentiments, pousser le doux, le tendre et le passionné, et que sa recherche soit dans les formes.  Premièrement, il doit voir au Temple, ou à la promenade, ou dans quelque cérémonie publique, la personne dont il devient amoureux ; ou bien être conduit fatalement chez elle, par un parent, ou un ami, et sortir de là tout rêveur, et mélancolique.  Il cache, un temps, sa passion à l'objet aimé, et cependant lui rend plusieurs visites, où l'on ne manque jamais de mettre sur le tapis une question galante, qui exerce les esprits de l'assemblée.  Le jour de la déclaration arrive, qui se doit faire ordinairement dans une allée de quelque jardin, tandis que la compagnie s'est un peu éloignée, et cette déclaration est suivie d'un prompt courroux, qui paraît à notre rougeur, et qui pour un temps bannit l'amant de notre présence.  Ensuite il trouve moyen de nous apaiser, de nous accoutumer insensiblement au discours de sa passion, et de tirer de nous cet aveu qui fait tant de peine.  Après cela viennent les aventures ; les rivaux qui se jettent à la traverse d'une inclination établie, les persécutions des pères, les jalousies conçues sur de fausses apparences, les plaintes, les désespoirs, les enlèvements, et ce qui s'ensuit.  Voilà comme les choses se traitent dans les belles manières, et ce sont des règles dont, en bonne galanterie, on ne saurait se dispenser ; mais en venir de but en blanc à l'union conjugale et ne faire l'amour qu'en faisant le contrat du mariage, et prendre justement le roman par la queue !  Encore un coup, mon père, il ne se peut rien de plus marchand que ce procédé, et j'ai mal au coeur de la seule vision que cela me fait. "")","('#iscarie', ""Ce que vous me dites-là est du dernier obligeant ; mais si vous voulez que je vous donne un quart d'heure de divertissement, entrons dans mon cabinet je vous ferai voir un innocent que l'on m'a envoyé, dont l'encombrement du style est capable de faire changer l'assiette de votre âme. "")",0.28,Substitution
35,"('#gorgibus', 'Quel diable de jargon entends-je ici ?  Voici bien du haut style. ')","('#beatrix', ""Dites-moi donc quelle langue est-ce là que parlent nos Maîtresses.  Ma foi je n'entends point ce jargon et s'il faut qu'elles continuent à parler de la sorte, elles seront contraintes de nous donner un Maître pour apprendre ce langage et de nous remettre à l'a b c."")",1.15,Substitution
36,"('#cathos', ""En effet, mon oncle, ma cousine donne dans le vrai de la chose.  Le moyen de bien recevoir des gens qui sont tout à fait incongrus en galanterie ?  Je m'en vais gager qu'ils n'ont jamais vu la Carte de Tendre, et que billets-doux, petits-soins, billets galants et jolis vers, sont des terres inconnues pour eux.  Ne voyez-vous pas que toute leur personne marque cela, et qu'ils n'ont point cet air qui donne d'abord bonne opinion des gens ?  Venir en visite amoureuse avec une jambe toute unie ; un chapeau désarmé de plumes ; une tête irrégulière en cheveux, et un habit qui souffre une indigence de rubans !...  Mon_Dieu, quels amants sont-ce là !  Quelle frugalité d'ajustement, et quelle sécheresse de conversation !  On n'y dure point, on n'y tient pas.  J'ai remarqué encore que leurs rabats ne sont pas de la bonne faiseuse, et qu'il s'en faut plus d'un grand demi-pied que leurs hauts de chausses ne soient assez larges. "")","('#isabelle', ""Que vous avez peu de lumière et que votre esprit est opaque.  Est-il possible que vous ayez demeuré si longtemps chez une Précieuse et que vous n'ayez pas encore pris aucune teinture de l'élégance de leur style !"")",1.29,Substitution
37,"('#gorgibus', ""Je pense qu'elles sont folles toutes deux, et je ne puis rien comprendre à ce baragouin.  Cathos, et vous, Magdelon... "")","('#beatrix', ""Vous êtes donc aussi folle qu'elles à ce que je vois, et vous affectez aussi de dire des maux à longue queue."")",0.71,Substitution
38,"('#magdelon', 'Eh, de grâce, mon père, défaites-vous de ces noms étranges, et nous appelez autrement. ')","('#isabelle', ""Ah !  Plût-il à Dieu que je pusse être l'inventrice, comme je ne suis que l'écho de ces maux graves et ampoulés qui par un sens mystérieux étalent la vraie et pure signification des choses."")",1.33,Substitution
39,"('#gorgibus', 'Comment ces noms étranges ?  Ne sont-ce pas vos noms de baptême ? ')",,1.0,Insertion
40,"('#magdelon', ""Mon_Dieu, que vous êtes vulgaire !  Pour moi, un de mes étonnements, c'est que vous ayez pu faire une fille si spirituelle que moi.  A-t-on jamais parlé dans le beau style de Cathos ni de Magdelon ?  Et ne m'avouerez-vous pas que ce serait assez d'un de ces noms, pour décrier le plus beau roman du monde ? "")","('#beatrix', ""Hé bien !  Puisque vous avez cette pensée, l'envie me prend de disputer contre vous : aussi bien puisque ce langage n'est inventé que par la fantaisie de certaines femmes, une femme peut bien disputer contre sans que cela paraisse extraordinaire, et pour vous montrer qu'il n'y a rien de plus extravagant que cette façon de parler, je m'en vais vous dire de certains mots que j'ai retenus qui choquent tout à fait notre langue naturelle."")",0.5,Substitution
41,"('#cathos', ""Il est vrai, mon oncle, qu'une oreille un peu délicate pâtit furieusement à entendre prononcer ces mots-là ; et le nom de Polyxène, que ma cousine a choisi, et celui d'Aminthe que je me suis donné, ont une grâce dont il faut que vous demeuriez d'accord. "")","('#isabelle', ""Votre engagement est inconsidéré ; mais j'ai assez d'indulgence pour vous tirer de l'erreur où vous a précipité l'épaisseur de votre esprit."")",0.74,Substitution
