,Sganarelle ou Le Cocu Imaginaire,La Cocue Imaginaire,Cost,Operation Type
0,"('#celie', ""Ah ! N'espérez jamais que mon coeur y consente."")","('#alcippe', ""Non, n'espérez jamais de m'y voir consentir. "")",0.0,Match
1,,"('#geronte', ""Est-ce ainsi qu'à son père, un fils doit répartir ?  Si vous ne répondez bientôt à mon envie,  Si d'un « oui » que j'attends je ne la vois suivie,  Avant qu'il soit deux jours je vous ferai savoir  Combien sur ses enfants un père a de pouvoir. "")",1.0,Deletion
2,"('#gorgibus', ""Que marmottez-vous là, petite impertinente ? Vous prétendez choquer ce que j'ai résolu, Je n'aurai pas sur vous un pouvoir absolu, Et par sottes raisons votre jeune cervelle Voudrait régler ici la raison paternelle ? Qui de nous deux à l'autre a droit de faire loi, À votre avis, qui mieux, ou de vous, ou de moi Ô sotte, peut juger ce qui vous est utile ? Par la corbleu, gardez d'échauffer trop ma bile, Vous pourriez éprouver sans beaucoup de longueur Si mon bras sait encore montrer quelque vigueur, Votre plus court sera, Madame la mutine, D'accepter sans façons l'époux qu'on vous destine. J'ignore, dites-vous, de quelle humeur il est, Et dois auparavant consulter s'il vous plaît. Informé du grand bien qui lui tombe en partage, Dois-je prendre le soin d'en savoir davantage, Et cet époux, ayant vingt mille bons ducats, Pour être aimé de vous doit-il manquer d'appas ? Allez, tel qu'il puisse être avec cette somme, Je vous suis caution qu'il est très honnête homme."")","('#alcippe', ""Si pour moi vous gardez encor quelque tendresse,  Ah ! daignez m'empêcher de mourir de tristesse,  Veuillez ne point forcer mon inclination,  Me donnant à l'objet de mon aversion.  Je ne demande rien qui n'ait de la justice,  Puisque enfin il n'est point de plus rude supplice  Et que c'est attacher des vivants à des morts  Que vouloir sans amour joindre ensemble deux corps. "")",0.12,Substitution
3,"('#celie', 'Hélas !')","('#geronte', ""Être joint à l'objet le plus beau de la Ville,  Le supplice à souffrir n'est pas fort difficile. "")",1.67,Substitution
4,,"('#alcippe', ""Puisque Hippolyte est belle, elle ne me plaît pas.  Elle a, vous le savez, par ses puissants appas  Acquis beaucoup d'amants, et peut-être son âme  Conservera pour eux quelque reste de flamme. "")",1.0,Deletion
5,,"('#geronte', ""Allez, dessus ce point c'est à tort s'alarmer,  Puisqu'on tient qu'il n'est pas possible d'exprimer  L'amour qu'à son mari porte une jeune femme  Quand une fois il a pu surprendre son âme,  Et lui faire goûter les secrètes douceurs  Dont amour sait toujours faire jouir deux coeurs. "")",1.0,Deletion
6,,"('#alcippe', ""Quand elle m'aimerait et me serait fidèle,  Mon coeur ne peut avoir de tendresse pour elle. "")",1.0,Deletion
7,"('#gorgibus', ""Eh bien hélas ! Que veut dire ceci ? Voyez le bel hélas ! Qu'elle nous donne ici. Hé ! Que si la colère une fois me transporte, Je vous ferai chanter hélas ! De belle sorte. Voilà, voilà le fruit de ces empressements, Qu'on vous voit nuit et jour à lire vos romans, De quolibets d'amour votre tête est remplie, Et vous parlez de Dieu bien moins que de Clélie. Jetez-moi dans le feu tous ces méchants écrits Qui gâtent tous les jours tant de jeunes esprits, Lisez-moi comme il faut au lieu de ces sornettes Les quatrains de Pybrac, et les doctes tablettes Du conseiller Mathieu, ouvrage de valeur, Et plein de beaux dictons à réciter par coeur. La Guide des pêcheurs est encore un bon livre, C'est là qu'en peu de temps on apprend à bien vivre, Et si vous n'aviez lu que ces moralités, Vous sauriez un peu mieux suivre mes volontés."")","('#geronte', ""Si c'est là le sujet qui vous fait rejeter  L'hymen, où chaque jour je tâche à vous porter,  Épousez, épousez, dès demain Hippolyte,  Et vous verrez mon fils, qu'un glorieux mérite  Joint aux puissants attraits d'un objet si charmant,  Vous contraindra dans peu de l'aimer tendrement.  Quoi, ne savez-vous pas, ce que peut une femme,  L'empire qu'elle prend malgré nous sur notre âme ?  Ah ! si vous l'ignorez, vous pourrez bientôt voir  Et quelle est son adresse et quel est son pouvoir ;  Quand la belle Hippolyte après son mariage,  Avec des traits de feu marqués sur son visage ;  D'elle-même viendra vous appelant son coeur  Vous donner un baiser ; mais si plein de douceur,  Qu'extasié soudain par des transports de flamme,  Vous sentirez l'amour se glisser dans votre âme,  Et vous confesserez en goûtant ces douceurs  Que quand ce sexe veut il sait gagner des coeurs. "")",0.06,Substitution
8,,"('#alcippe', ""Celles qui près de nous font ainsi les flatteuses,  Ont des motifs cachés et sont fort dangereuses,  Et lorsque leur amour nous fait voir tant d'ardeur  Notre bourse est leur but, plutôt que notre coeur. "")",1.0,Deletion
9,,"('#geronte', ""Ne condamnez pas tant ce qu'il faut qu'on estime,  D'une belle vertu ne faites pas un crime,  Et ressouvenez-vous que je veux que demain  Malgré vous Hippolyte obtienne votre main. "")",1.0,Deletion
