,Play 1,Play2,Op symbol1,Op symbol2,Cost,Operation Type
0,"('DOM JEAN', ""Puissant maître des Dieux, modère Amour, modère Le foudre décoché de ta juste colère, N'exige, si cruel, d'un profane mépris, D'une stupide erreur qui me retenait pris, Cette punition plus grande que le crime; Ou prends qu'il excédât, la pitié magnanime D'une double couronne honore le vainqueur, Qui, le plus offensé, montre moins de rigueur, Qui voit que son captif à genoux s'humilie, Et de ses propres mains volontaire se lie. Jusqu'ici mon printemps défia ton pouvoir, Les plus rares objets ne saurent l'émouvoir, Narcisse impitoyable à mille belles dames, Chez qui ma glace éprit la rigueur de tes flammes. Mais ainsi que Junon abat le plus souvent Avec un peu d'humeur les orages du vent, Ainsi que la rémore arrête sur Neptune L'orgueil haut élevé de la nef importune, Tu n'as, Porte-carquois, contre un audacieux Voulu choisir l'objet en grandeur spécieux : Celui qui dans les lacs de sa beauté me lie, D'un vulgaire passant la plus fangeuse lie, Du nombre indigne sort de celles qui s'en vont Le mensonge à la langue et l'impudence au front Prédire sous leur art cauteleux d'imposture Ce qu'un peuple idiot nomme bonne aventure. Là mon soleil reluit à travers ces nuaus ; Là, subtil oiseleur, tu cachas tes gluaus, Là ma sainte paraît rose entre des épines, Qui sur les cœurs humains exerce ses rapines, Qui mérite un Empire; et rare diamant Se va dans ce fumier attaché diffamant. Las ! plus le souvenir court sa céleste idée, Une rage d'amour s'augmente débordée ; Ce front voûté d'albâtre, et ces deux astres clairs D'où Cupidon foudroie environné d'éclairs, Ces cheveux d'or épars à tresses vagabondes Qu'un Zéphyr amoureux fait frisoter en ondes, Et le double corail de sa bouche qui rend Mille oracles le jour, un Dieu les inspirant, Ses naïves façons, sa grâce plus qu'humaine, De ce beau sein de neige une enflure germaine, Ce corsage à celui d'un jeune pin pareil, Bref de tant de beautés le guerrier appareil, Ne suffisait-il trop à réduire la terre ? À bâtir la prison cruelle qui m'enserre ? À me priver à coup de somme et de repas ? Toutefois reprend cœur, ne désespère pas, L'or fourrier de l'amour partout lui trouve place, L'or allume enchanteur le feu dedans la glace, L'or coula Jupiter dedans la tour d'airain Où sa belle maîtresse on captivait en vain, L'or fut le seul rameau que le preux fils d'Anchise Prit à le consulter d'inviolable franchise. Ces rayons enfermés que je vais déployer Me doivent obtenir un amoureux loyer, Telle sorte de gens pauvre se jette au lucre, Ne craindrait à ce prix d'entrer vive au sépulcre. Or voici le passage épié du retour Qu'à la ville fera cette aurore d'amour, Où libre de mes feus j'attente l'ouverture : Courage, un bruit survient qui proche me l'augure. Là voici dont l'abord m'épouvante confus, De crainte de souffrir la honte du refus."")","('PRÉCIEUSE.', ""Enfin, personne ici ne saurait nous entendre, Quel est donc le bonheur que vous voulez m'apprendre ? Je meurs de le savoir, contentez mon désir, Qui le déclare tôt fait doublement plaisir."")",0,0,0.23,Substitution
1,"('PRÉCIEUSE', ""Ô la belle rencontre! ô l'heureuse embuscade ! Cette pâleur pourtant le montre un peu malade. La croix, mon cavalier, après tendez la main Votre bonne aventure on vous dira soudain."")","('LA VIEILLE.', ""Ha l'heureux accident ! L'admirable aventure, Si j'en dois croire au moins certaine conjecture."")",1,1,0.28,Substitution
2,,"('PRÉCIEUSE.', 'Mais ces ravissements sont pour moi superflus, Et mon impatience en augmente encore plus.')",-,2,1.0,Deletion
3,,"('LA VIEILLE.', 'Ô Ciel ! Quelle fortune à la nôtre est pareille ? Et que ne promet point cette rare merveille ?')",-,3,1.0,Deletion
4,,"('PRÉCIEUSE.', ""Tout cela jusqu'ici ne m'éclaircit de rien, Et je trouve une peine où j'attendais un bien."")",-,4,1.0,Deletion
5,,"('LA VIEILLE.', 'Ne hâtons point celui que le sort nous envoie, Ménageons ses faveurs ainsi que notre joie.')",-,5,1.0,Deletion
6,"('DOM JEAN', ""Tu l'as mise la croix en cette âme captive, Seul soleil des beautés de l'Espagnole rive, Petite charmeresse apprise à décocher Des œillades qui font en langueur dessécher."")","('PRÉCIEUSE.', ""Hé, ne me tenez plus davantage en langueur, Ou comblez d'un refus votre injuste rigueur. Vous retranchez ce bien que vous croyez étendre, Et qui veut l'augmenter, il nous en doit surprendre."")",2,6,1.0,Substitution
7,"('PRÉCIEUSE', '')","('LA VIEILLE.', 'Encore, sur ce sujet quel est ton sentiment ? Songe un peu.')",3,7,1.43,Substitution
8,"('DOM JEAN', ""À qui tu sus donner d'invisibles entraves."")","('PRÉCIEUSE.', ""N'est-ce point quelque nouvel amant ?"")",4,8,1.3,Substitution
9,"('PRÉCIEUSE', 'On traite les poulains de la sorte au printemps, De peur que déchaînés ils ne gagnent les champs.')",,5,-,1.0,Insertion
10,"('DOM JEAN', ""Mauvaise, ne crains plus l'accident de ma fuite, Ne crains plus que le cœur s'écoule de ta suite."")","('LA VIEILLE.', ""Déjà dans ce penser un démon te l'inspire, Mais il faut qu'on m'embrasse avant que de le dire."")",6,9,0.99,Substitution
11,"('VIEILLE ÉGYPTIENNE', 'Monsieur, la croix, ou bien tels discours superflus Qui font mourir de faim ne nous retiennent plus.')","('PRÉCIEUSE.', ""S'il ne tient qu'à cela, j'aime mieux vous baiser, Je ne sais rien après qu'on me dût refuser."")",7,10,1.52,Substitution
12,"('DOM JEAN', ""Mes discours écoutez, ains mes humbles prières Compensent d'un moment les peines journalières, Dire oui vaudra mieux que de votre métier Les piles encourir un siècle tout entier."")","('LA VIEILLE.', ""Flatteuse, c'en est fait, je cède à tes caresses, Apprends donc en trois mots l'effet de tes adresses. Le dernier mois passé, tu sais bien que nos gens Voulurent dans Séville arrêter quelque temps, Que la permission leur en fut accordée."")",8,11,0.29,Substitution
13,,"('PRÉCIEUSE.', ""De l'honneur qu'on m'y fit je garde encore l'idée."")",-,12,1.0,Deletion
14,,"('LA VIEILLE.', 'Là, le jour du ballet (jour des plus fortunés) Où tu menais danser des Mores enchaînés...')",-,13,1.0,Deletion
15,"('PRÉCIEUSE', ""Oui oui, le voilà dit à haute voix : où et-ce Que nous allons trouver l'effet de la promesse ?"")","('PRÉCIEUSE.', ""En effet, ce jour-là j'eus quelques avantages."")",9,14,1.41,Substitution
16,"('DOM JEAN', 'Où tu feras, sensible à ma ferme amitié, Luire quelque rayon palpable de pitié ?')","('LA VIEILLE.', 'Tes larcins glorieux en sont des témoignages. Ne te souvient-il pas de ce jeune Seigneur ?')",10,15,1.03,Substitution
17,,"('PRÉCIEUSE.', ""Je vous entends venir, le fils du Gouverneur N'est-ce pas ?"")",-,16,1.0,Deletion
18,,"('LA VIEILLE.', 'Justement.')",-,17,1.0,Deletion
19,,"('PRÉCIEUSE.', ""Ha Dieu qu'il est aimable ! Qu'il est respectueux, galant, civil, affable !"")",-,18,1.0,Deletion
20,"('VIEILLE ÉGYPTIENNE', 'Sourdes à écouter ces répliques frivoles Comme les avocats nous vendons les paroles.')","('LA VIEILLE.', ""Toutes ces qualités ne font ni bien, ni mal, Dis qu'il est généreux, dis qu'il est libéral, C'est la vertu des Rois, et qui fait l'honnête homme, De toute autre vertu l'effet est moins qu'un somme, À peine est-il formé qu'il meurt le plus souvent, Ce n'est qu'ombre et fumée, un appas décevant : La libéralité produit tout au contraire Un effet à la fois solide et nécessaire, Tel que sont ces ducats dont il me fit présent, Joint, que l'aspect aussi n'en est pas déplaisant."")",11,19,1.31,Substitution
21,,"('PRÉCIEUSE.', ""Par son mérite seul il m'est considérable."")",-,20,1.0,Deletion
22,"('DOM JEAN', ""Et moi comme amoureux je les donne, faisant Que l'or soudain se trouve avec elles présent."")","('LA VIEILLE.', 'Et moi par ses dons seuls je le trouve adorable.')",12,21,0.57,Substitution
23,"('VIEILLE ÉGYPTIENNE', 'Mon bon seigneur, voyons ce miracle, de grâce.')","('PRÉCIEUSE.', ""Enfin quoi qu'il en soit, qu'a-t-il fait ce Seigneur ?"")",13,22,0.76,Substitution
24,"('DOM JEAN', 'Qui fait du plaisir veut que plaisir on lui fasse.')","('LA VIEILLE.', ""Sache, le croirais-tu ? Qu'il nous a fait l'honneur... Remettons à tantôt cette bonne nouvelle."")",14,23,0.74,Substitution
25,"('VIEILLE ÉGYPTIENNE', ""Ès bornes de l'honneur enclos, et du pouvoir, Plutôt que demandé vous l'allez recevoir."")","('PRÉCIEUSE.', ""Ha ma tante ! Vraiment c'est être trop cruelle De faire ainsi languir ma curiosité, De grâce poursuivez ce discours arrêté, Il nous a..."")",15,24,1.13,Substitution
26,,"('LA VIEILLE.', ""Ce matin, m'ayant vue à Tolède."")",-,25,1.0,Deletion
27,"('DOM JEAN', 'Ô triste réconfort ! Promesse captieuse !')","('PRÉCIEUSE.', 'Que dit-elle, bon Dieu ? Quel transport me possède ?')",16,26,1.76,Substitution
