Line,Google Trad,Modernisé,similarity,5_closest
1,MANUEL |Nous ne sommes pas arrivés depuis une heure| à temps pour voir les fêtes | avec lequel Madrid est généreux | aujourd'hui le baptême est célébré du premier Baltasar.,"Florêtan|Oui Paris en effet est l'abrégé du monde|Dans l'enclos de ses murs toute merveille abonde,|Et je ne l'aurais pas sans doute reconnu|Depuis dix ans entiers que je n'y suis venu.|Cent pais d'un désert, une cité d'une isle|Et deux de ses fauxbourgs enfermés dans la ville|Ces fameux changements que maintenant j'y vois|Marquent bien la grandeur du plus puissant des rois|Cette ville est aussi le séjour ordinaire|Des plus grands Potentats que le Soleil éclaire;|Il n'en voit point de tels dessus notre horison,",1,"[(0.87, '▁fêtes', '▁changements'), (0.86, '▁Madrid', '▁Paris'), (0.84, '▁voir', '▁vois'), (0.84, '▁fêtes', '▁rois'), (0.84, '▁Madrid', '▁changements')]"
2,"COSME |Comment ces choses sont vraies| ou ils se trompent pendant une heure :| pendant une heure c'était| devant Pyrame à la fontaine | ne retrouvera pas sa Thisbé morte | et les mûres ne tacheront pas,| parce que disent les poètes | ça avec du sirop de mûre cette tragédie a été écrite ;| cela prendra une heure Tarquin retrouvera Lucrèce | collection, avec laquelle| les auteurs n'ont pas marché,| sans être vicaires, portant| aux salles de compétition | la cause de la connaissance | s'il a fait usage de la force ou n'a pas fait usage de la force ;| pendant une heure, j'ai pensé que ce soit bien fait ou pas, c'était| jeter le héros hors de la tour | ne se couchera pas, c'est certain, | avec lequel il se serait excusé| Dr Mira de Mescua | d'avoir donné aux théâtres| comédie si bien écrite| et l'ai représenté| Amaryllis donc vraiment | ça, volatín del charnel | -si d'autres sont du Carême-,| en a sorti plus que jamais | les mains sur la tête ;| et, puisque nous avons perdu| pour une si belle fête, | pas avant une heure, perdons l'auberge, que si elle arrive| après-midi Abindarráez, c'est la loi | ça doit rester dehors;| et j'ai hâte de voir cet ami qui t'attend,| comme si tu étais un galant à utiliser, avec lit et table,| sans savoir comment ni où | alors un grand bonheur nous vient, | Eh bien, sans être les deux tournois,| Aujourd’hui, cela nous soutient tous les deux.","carrille|Allons donc chez Lisandre, et cherchons sa maison.|À quoi tant de discours, Monsieur, je meurs d'envie|De voir ce cher ami qui chezoux vous convie;|Que je suis aujourd'hui favorisé du sort,|Nous y ferons grand chère, ou je me trompe fort.|Dépêchons-nous.",1,"[(0.95, '▁ami', '▁ami'), (0.89, '▁voir', '▁voir'), (0.88, 'ons', 'ons'), (0.86, '▁retrouvera', '▁convie'), (0.85, '▁morte', 'oux')]"
3,"MANUEL |Don Juan de Tolède est, Cosme,| l'homme qui professe le plus mon amitié, étant tous les deux| l'envie, puisqu'elle ne déshonore pas, | de combien Antiquité| pendant tant de siècles, il célèbre.| Nous étudions tous les deux ensemble et, partant des lettres| aux armes, nous sommes allés tous les deux camarades de guerre.| Dans ceux du Piémont, quand| le seigneur duc de Feria | avec la genette il m'a honoré, | Je lui ai donné, Cosme, mon drapeau.| Il était mon sous-lieutenant et plus tard,| se sortir d'une bagarre | une blessure pénétrante, | Je l'ai guéri moi-même dans mon lit.| La vie après Dieu | Il me doit; je laisse les dettes de moindre intérêt, | que parmi les nobles est la bassesse | référez-les, parce que c'est pourquoi | peint la savante Académie | une dame au prix | riche et le dos tourné, | ce qui implique que, en faisant| le bénéfice est discret | action, oubliez-le, | cela ne fait pas de lui ce dont il se souvient.| Quoi qu'il en soit, don Juan, obligé d'amitiés et de politesses, | voyant que Votre Majesté| avec ces récompenses du gouvernement mes services et que je viens| sur le chemin du tribunal, essayez| aujourd'hui je vais rester chez toi | pour m'avoir payé avec la même chose ;| et bien qu'il m'ait écrit à Burgos de maison et de rue les panneaux,| Je ne voulais pas demander autour de moi à cheval, où était-il ? et donc je suis parti à l'auberge les mules et les valises.| Aller là où il me dit | J'ai vu les atours et les livrées | et, informé de la cause, | J'avais envie, quoique en passant, de les voir.| Nous étions effectivement en retard, | parce que...|(DOÑA ÁNGELA et ISABEL sortent, bref, couvertes.)","florêtan|Dépêchons-nous. Lisandre est un homme qui m'aime,|Je le sais de certain à l'égal de lui même,|Je n'en saurais douter : car cette affection|Est fondée en effet sur l'obligation,|Il me loge chez lui, dont il brûle d'envie,|M'étant sans me vanter obligé de la vie,|Sans mille autres biens faits, dont un homme d'honneur|Ne se peut souvenir sans lâcheté de cœur,|Et beaucoup moins encor en venir aux reproches:|Mais , à ce que je crois nous en sommes bien proches,|Demande son logis.|Angélique, Isabelle, Florétan, Carrille",1,"[(0.89, '▁obligé', '▁obligé'), (0.88, '▁viens', '▁sais'), (0.88, '▁essayez', '▁affection'), (0.87, 'homme', '▁homme'), (0.87, '▁vie', '▁vie')]"
4,"ÁNGELAYOui,|comme le montre ton costume, tu es un gentleman | des obligations et des gages, | protéger une femme | qui vient profiter de vous. | L'honneur et la vie comptent pour moi | que ce monsieur ne sait pas | qui je suis et ne me suivez pas. | Entrave, pour ta vie, | à une femme principale | un malheur, un affront, | que ce sera peut-être un jour... | Au revoir, au revoir, je suis mort !|(Va-t'en.)","Angélique|Demande son logis. Si comme je le crois,|Vous êtes Gentil homme, ayez pitié de moi,|Étant né cavalier, vous ne pouvez sans blâme|Laisser perdre la vie, et l'honneur d'une femme,|Si vous ne dès m'aider d'un prompt secours,|Je perds l'honneur, et suis à la fin de mes jours.|Il m'importe, Monsieur, de l'honneur, de la vie,|Que vous vous opposiez à la jalouse envie,|D'un qui me veut connaître, et brûle de me voir,|Je suis morte, autant vaut si j'entre en son pouvoir,|En cette occasion montrez votre courage,|Adieu, je ne puis pas en dire davantage.|Le voilà qui me suit.",1,"[(0.92, 'honneur', 'honneur'), (0.91, 'honneur', 'honneur'), (0.91, '▁vie', '▁vie'), (0.88, '▁femme', '▁femme'), (0.88, '▁mort', '▁morte')]"
5,COSME | Est-ce une dame ou est-ce un tourbillon ?,Carrille|Le voilà qui me suit. Est ce une illusion?|Que prétendez-vous faire en cette occasion?,0,"[(0.76, '▁dame', '▁illusion'), (0.75, '▁tourbillon', '▁illusion'), (0.59, '▁tourbillon', '▁occasion'), (0.58, '▁dame', '▁occasion'), (0.37, '▁dame', '▁faire')]"
6,MANUEL Existe-t-il un tel événement ?,"Florêtan|Elle veut ce secours, Carrille il lui faut rendre,|Étant ce que je suis je ne m'en puis défendre.",0,"[(0.77, '▁événement', '▁veut'), (0.77, '▁événement', '▁faut'), (0.76, '▁événement', '▁secours'), (0.69, '▁événement', 'êt'), (0.55, 'UE', '▁secours')]"
7,COSME |Qu'en pensez-vous | faire?,"Carrille|Mais pourquoi voulez-vous prendre son intérêt,|Sans l'avoir jamais vue, et sans savoir qui c'est?",0,"[(0.77, '▁faire', '▁prendre'), (0.71, '▁faire', '▁intérêt'), (0.64, '▁faire', '▁vue'), (0.63, '▁faire', '▁voulez'), (0.61, '▁pensez', '▁vue')]"
8,"MANUEL |Ça|des questions ? |Comment ma noblesse peut-elle | excuse d'excuse | un malheur, un affront ? | Ce qui, comme le montre, sans aucun doute | c'est son mari.",,0,[]
9,COSME |Et|qu'est-ce que tu essaies ?,,0,[]
10,"MANUEL |/Arrêtez-le avec quelque chose| industrie; mais, si avec elle| Je ne peux pas, ce sera forcé le recours à la force sans qu'il en comprenne la cause.","Florêtan|Elle est femme, il suffit, cherchons donc je te prie,|Pour en venir à bout quelque prompte industrie:|Et si par ce moyen je ne puis l'arrêter,|J'userai de la force.",1,"[(0.9, '▁industrie', '▁industrie'), (0.88, '▁force', '▁force'), (0.82, '▁chose', '▁industrie'), (0.8, 'Ar', 'arrêter'), (0.77, '▁industrie', '▁femme')]"
