,DamaDuende,Google Trad,Esprit Folet,Modernisé,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,MANUEL |Por un hora no llegamos| a tiempo de ver las fiestas| con que Madrid generosa| hoy el bautismo celebra| del primero Baltasar.,MANUEL |Nous ne sommes pas arrivés depuis une heure| à temps pour voir les fêtes | avec lequel Madrid est généreux | aujourd'hui le baptême est célébré du premier Baltasar.,"['Florestan', ""Oui Paris en effet est l'abregé du monde"", ""Dans l'enclos de ses murs toute merveille abonde,"", ""Et je ne l'aurois pas sans doute recognu"", ""Depuis dix ans entiers que je n'y suis venu."", ""Cent palais d'un desert, une cité d'une isle"", 'Et deux de ses fauxbourgs enfermez dans la ville', ""Ces fameux changemens que maintenant j'y vois"", 'Marquent bien la grandeur du plus puissant des rois', 'Cette ville est aussi le sejour ordinaire', 'Des plus grands Potentats que le Soleil esclaire ;', ""Il n'en voit point de tels dessus nostre horison,""]","Florêtan|Oui Paris en effet est l'abrégé du monde|Dans l'enclos de ses murs toute merveille abonde,|Et je ne l'aurais pas sans doute reconnu|Depuis dix ans entiers que je n'y suis venu.|Cent pais d'un désert, une cité d'une isle|Et deux de ses fauxbourgs enfermés dans la ville|Ces fameux changements que maintenant j'y vois|Marquent bien la grandeur du plus puissant des rois|Cette ville est aussi le séjour ordinaire|Des plus grands Potentats que le Soleil éclaire;|Il n'en voit point de tels dessus notre horison,",,,
1,"COSME |Como esas cosas se aciertan| o se yerran por un hora:| por una hora que fuera| antes Píramo a la fuente| no hallara a su Tisbe muerta| y las moras no mancharan,| porque dicen los poetas | que con arrope de moras| se escribió aquella tragedia;| por un hora que tardara| Tarquino hallara a Lucrecia| recogida, con lo cual| los autores no anduvieran,| sin ser vicarios, llevando| a salas de competencias| la causa sobre saber| si hizo fuerza o no hizo fuerza;| por un hora que pensara| si era bien hecho o no era| echarse Hero de la torre| no se echara, es cosa cierta,| con que se hubiera excusado| el doctor Mira de Mescua| de haber dado a los teatros| tan bien escrita comedia| y haberla representado| Amarilis tan de veras| que, volatín del carnal| -si otros son de la cuaresma-,| sacó más de alguna vez| las manos en la cabeza;| y, puesto que hemos perdido| por un hora tan gran fiesta,| no por un hora perdamos| la posada, que si llega| tarde Abindarráez, es ley| que haya de quedarse fuera;| y estoy rabiando por ver| este amigo que te espera,| como si fueras galán| al uso, con cama y mesa,| sin saber cómo o por dónde| tan grande dicha nos venga,| pues, sin ser los dos torneos,| hoy a los dos nos sustenta.","COSME |Comment ces choses sont vraies| ou ils se trompent pendant une heure :| pendant une heure c'était| devant Pyrame à la fontaine | ne retrouvera pas sa Thisbé morte | et les mûres ne tacheront pas,| parce que disent les poètes | ça avec du sirop de mûre cette tragédie a été écrite ;| cela prendra une heure Tarquin retrouvera Lucrèce | collection, avec laquelle| les auteurs n'ont pas marché,| sans être vicaires, portant| aux salles de compétition | la cause de la connaissance | s'il a fait usage de la force ou n'a pas fait usage de la force ;| pendant une heure, j'ai pensé que ce soit bien fait ou pas, c'était| jeter le héros hors de la tour | ne se couchera pas, c'est certain, | avec lequel il se serait excusé| Dr Mira de Mescua | d'avoir donné aux théâtres| comédie si bien écrite| et l'ai représenté| Amaryllis donc vraiment | ça, volatín del charnel | -si d'autres sont du Carême-,| en a sorti plus que jamais | les mains sur la tête ;| et, puisque nous avons perdu| pour une si belle fête, | pas avant une heure, perdons l'auberge, que si elle arrive| après-midi Abindarráez, c'est la loi | ça doit rester dehors;| et j'ai hâte de voir cet ami qui t'attend,| comme si tu étais un galant à utiliser, avec lit et table,| sans savoir comment ni où | alors un grand bonheur nous vient, | Eh bien, sans être les deux tournois,| Aujourd’hui, cela nous soutient tous les deux.","['carrille', 'Allons donc chez Lizandre, et cherchons sa maison.', ""A quoy tant de discours, Monsieur, je meurs d'envie"", 'De voir ce cher amy qui chez luy vous convie ;', ""Que je suis aujourd'huy favorisé du sort,"", 'Nous y ferons grand chere, ou je me trompe fort .', 'Depeschons nous.']","carrille|Allons donc chez Lisandre, et cherchons sa maison.|À quoi tant de discours, Monsieur, je meurs d'envie|De voir ce cher ami qui chezoux vous convie;|Que je suis aujourd'hui favorisé du sort,|Nous y ferons grand chère, ou je me trompe fort.|Dépêchons-nous.",,,
2,"MANUEL |Don Juan de Toledo es, Cosme,| el hombre que más profesa| mi amistad, siendo los dos| envidia, ya que no afrenta,| de cuantos la Antigüedad| por tantos siglos celebra.| Los dos estudiamos juntos| y, pasando de las letras| a las armas, los dos fuimos| camaradas en la guerra.| En las del Piamonte, cuando| el señor duque de Feria| con la jineta me honró,| le di, Cosme, mi bandera.| Fue mi alférez y después,| sacando de una refriega| una penetrante herida,| le curé en mi cama mesma.| La vida, después de Dios,| me debe; dejo las deudas| de menores intereses,| que entre nobles es bajeza| referirlas, pues por eso| pintó la docta Academia| al galardón una dama| rica y las espaldas vueltas,| dando a entender que, en haciendo| el beneficio, es discreta| acción olvidarse de él,| que no le hace el que le acuerda.| En fin, don Juan, obligado| de amistades y finezas,| viendo que su Majestad| con este gobierno premia| mis servicios y que vengo| de paso a la corte, intenta| hoy hospedarme en su casa| por pagarme con las mesmas;| y, aunque a Burgos me escribió| de casa y calle las señas,| no quise andar preguntando| a caballo dónde era| y así dejé en la posada| las mulas y las maletas.| Yendo hacia donde me dice| vi las galas y libreas| y, informado de la causa,| quise, aunque de paso, verlas.| Llegamos tarde en efeto,| porque...|(Salen DOÑA ÁNGELA y ISABEL, en corto, tapadas.)","MANUEL |Don Juan de Tolède est, Cosme,| l'homme qui professe le plus mon amitié, étant tous les deux| l'envie, puisqu'elle ne déshonore pas, | de combien Antiquité| pendant tant de siècles, il célèbre.| Nous étudions tous les deux ensemble et, partant des lettres| aux armes, nous sommes allés tous les deux camarades de guerre.| Dans ceux du Piémont, quand| le seigneur duc de Feria | avec la genette il m'a honoré, | Je lui ai donné, Cosme, mon drapeau.| Il était mon sous-lieutenant et plus tard,| se sortir d'une bagarre | une blessure pénétrante, | Je l'ai guéri moi-même dans mon lit.| La vie après Dieu | Il me doit; je laisse les dettes de moindre intérêt, | que parmi les nobles est la bassesse | référez-les, parce que c'est pourquoi | peint la savante Académie | une dame au prix | riche et le dos tourné, | ce qui implique que, en faisant| le bénéfice est discret | action, oubliez-le, | cela ne fait pas de lui ce dont il se souvient.| Quoi qu'il en soit, don Juan, obligé d'amitiés et de politesses, | voyant que Votre Majesté| avec ces récompenses du gouvernement mes services et que je viens| sur le chemin du tribunal, essayez| aujourd'hui je vais rester chez toi | pour m'avoir payé avec la même chose ;| et bien qu'il m'ait écrit à Burgos de maison et de rue les panneaux,| Je ne voulais pas demander autour de moi à cheval, où était-il ? et donc je suis parti à l'auberge les mules et les valises.| Aller là où il me dit | J'ai vu les atours et les livrées | et, informé de la cause, | J'avais envie, quoique en passant, de les voir.| Nous étions effectivement en retard, | parce que...|(DOÑA ÁNGELA et ISABEL sortent, bref, couvertes.)","['florestan', ""Depeschons nous. Lizandre est un homme qui m'ayme,"", ""Je le sçais de certain à l'égal de luy mesme,"", ""Je n'en sçaurais douter : car cette affection"", ""Est fondée en effet sur l'obligation,"", ""Il me loge chez luy, dont il brusle d'envie,"", ""M'estant sans me vanter obligé de la vie,"", ""Sans mille autres biens faits, dont un homme d'honneur"", 'Ne se peut souvenir sans lascheté de cœur,', 'Et beaucoup moins encor en venir aux reproches :', 'Mais à ce que je croy nous en sommes bien proches,', 'Demande son logis.', 'Angelique, Isabelle, Florestan, Carrille']","florêtan|Dépêchons-nous. Lisandre est un homme qui m'aime,|Je le sais de certain à l'égal de lui même,|Je n'en saurais douter : car cette affection|Est fondée en effet sur l'obligation,|Il me loge chez lui, dont il brûle d'envie,|M'étant sans me vanter obligé de la vie,|Sans mille autres biens faits, dont un homme d'honneur|Ne se peut souvenir sans lâcheté de cœur,|Et beaucoup moins encor en venir aux reproches:|Mais , à ce que je crois nous en sommes bien proches,|Demande son logis.|Angélique, Isabelle, Florétan, Carrille",,,
3,"ÁNGELASi,|como lo muestra |el traje, sois caballero | de obligaciones y prendas, | amparad a una mujer | que a valerse de vos llega. | Honor y vida me importa | que aquel hidalgo no sepa | quién soy y que no me siga. | Estorbad, por vida vuestra, | a una mujer principal | una desdicha, una afrenta,| que podrá ser que algún día... | ¡Adiós, adiós, que voy muerta!|(Vase.)","ÁNGELAYOui,|comme le montre ton costume, tu es un gentleman | des obligations et des gages, | protéger une femme | qui vient profiter de vous. | L'honneur et la vie comptent pour moi | que ce monsieur ne sait pas | qui je suis et ne me suivez pas. | Entrave, pour ta vie, | à une femme principale | un malheur, un affront, | que ce sera peut-être un jour... | Au revoir, au revoir, je suis mort !|(Va-t'en.)","['Angelique', 'Demande son logis. Si comme je le croy,', 'Vous estes Gentil homme, ayez pitié de moy,', 'Estant nay cavalier, vous ne pouvez sans blasme', ""Laisser perdre la vie, et l'honneur d'une femme,"", ""Si vous ne désirez m'ayder d'un prompt secours,"", ""Je perds l'honneur, et suis à la fin de mes jours."", ""Il m'importe, Monsieur, de l'honneur, de la vie,"", 'Que vous vous opposiez à la jalouse envie,', ""D'un qui me veut cognoistre, et brusle de me voir,"", ""Je suis morte, autant vaut si j'entre en son pouvoir,"", 'En cette occasion monstrez vostre courage,', 'Adieu, je ne puis pas en dire davantage.', 'Le voila qui me suit.']","Angélique|Demande son logis. Si comme je le crois,|Vous êtes Gentil homme, ayez pitié de moi,|Étant né cavalier, vous ne pouvez sans blâme|Laisser perdre la vie, et l'honneur d'une femme,|Si vous ne dès m'aider d'un prompt secours,|Je perds l'honneur, et suis à la fin de mes jours.|Il m'importe, Monsieur, de l'honneur, de la vie,|Que vous vous opposiez à la jalouse envie,|D'un qui me veut connaître, et brûle de me voir,|Je suis morte, autant vaut si j'entre en son pouvoir,|En cette occasion montrez votre courage,|Adieu, je ne puis pas en dire davantage.|Le voilà qui me suit.",,,
4,COSME | ¿Es dama o es torbellino?,COSME | Est-ce une dame ou est-ce un tourbillon ?,"['Carrille', 'Le voila qui me suit. Est ce une illusion ?', 'Que pretendez vous faire en cette occasion ?']",Carrille|Le voilà qui me suit. Est ce une illusion?|Que prétendez-vous faire en cette occasion?,,,
5,MANUEL¿Hay tal suceso?,MANUEL Existe-t-il un tel événement ?,"['Florestan', 'Elle veut ce secours, Carrille il luy faut rendre,', ""Estant ce que je suis je ne m'en puis deffendre.""]","Florêtan|Elle veut ce secours, Carrille il lui faut rendre,|Étant ce que je suis je ne m'en puis défendre.",,,
6,COSME |¿Qué|piensas | hacer?,COSME |Qu'en pensez-vous | faire?,"['Carrille', 'Mais pourquoy voulez vous prendre son interest,', ""Sans l'avoir jamais veuë, et sans sçavoir qui c'est ?""]","Carrille|Mais pourquoi voulez-vous prendre son intérêt,|Sans l'avoir jamais vue, et sans savoir qui c'est?",,,
7,"MANUEL |¿Eso|preguntas? |¿Cómo puede mi nobleza | excusarse de excusar | una desdicha, una afrenta? | Que, según muestra, sin duda | es su marido.","MANUEL |Ça|des questions ? |Comment ma noblesse peut-elle | excuse d'excuse | un malheur, un affront ? | Ce qui, comme le montre, sans aucun doute | c'est son mari.",[],,,,
8,COSME |Y|¿qué intentas?,COSME |Et|qu'est-ce que tu essaies ?,[],,,,
9,"MANUEL |/Detenerle con alguna| industria; mas, si con ella| no puedo, será forzoso| el valerme de la fuerza| sin que él entienda la causa.","MANUEL |/Arrêtez-le avec quelque chose| industrie; mais, si avec elle| Je ne peux pas, ce sera forcé le recours à la force sans qu'il en comprenne la cause.","['Florestan', 'Elle est femme, il suffit, cherchons donc je te prie,', 'Pour en venir à bout quelque prompte industrie:', ""Et si par ce moyen je ne puis l'arrester,"", ""J'useray de la force.""]","Florêtan|Elle est femme, il suffit, cherchons donc je te prie,|Pour en venir à bout quelque prompte industrie:|Et si par ce moyen je ne puis l'arrêter,|J'userai de la force.",,,
