leclerc-iphigenie,rotrou-iphigenie,Score
"('#oronte', 'Quoi Seigneur, voulez-vous sans cesse soupirer ?')",-,0.0
"('#agamemnon', ""Hélas ! C'est bien assez de ne pas murmurer. Tu vois toujours les vents malgré leur inconstance, Dans ce funeste port obstinés au silence. Ce calme plus cruel que les flots irrités, Tient avec nos vaisseaux nos desseins arrêtés. L'oisiveté forcée où la flotte est réduite,  Fait gémir les héros qui sont sous ma conduite ; J'ai redoublé mes soins, et j'ai fait mille efforts Pour donner un cours libre à leurs nobles transports, J'ai cru que mes voeux forçant cette barrière Pourraient aux grands exploits nous ouvrir la carrière, Mais j'ai perdu mes voeux, mes soins et mes travaux, Et ce n'est pas encor le plus grand de mes maux."")",-,0.0
"('#oronte', ""Quelle infortune est jointe à ce clame funeste, Où j'avais cru, Seigneur, que le courroux céleste Avait jusqu'à ce jour borné tous nos ennuis ?"")",-,0.0
"('#agamemnon', ""Ah ! Que je suis à plaindre en l'état où je suis, Oronte, tu me vois le chef de tant de princes Que la Grèce a choisis de toutes nos provinces, Un camp presque innombrable obéit à mes lois, Et marchant sur mes pas se règle par ma voix, Mais de tant de malheur cette gloire est suivie, Quelle devient fatales au repos de ma vie, Et j'achète bien cher l'éclat de ce haut rang, Puisqu'il faut malgré moi le payer de mon sang."")",-,0.0
"('#oronte', ""De votre sang, ô Dieu ! J'ai peine à vous entendre : Quel crime ou quel malheur vous force à la répandre !"")",-,0.0
"('#agamemnon', ""Écoute. Quand les Grecs assemblés sur ces bords M'eurent choisi pour chef de leur illustre corps, Cet emploi me fut cher, je l'acceptai sans peine Pour venger Ménélas du ravisseur d'Hélène, Je brûlais du désir d'achever ce dessein ; Mais hélas ! Qu'à moi-même il devient inhumain Puisque par un revers funeste à ma famille Si je lui rends Hélène, il m'en coûte ma fille."")",-,0.0
"('#oronte', 'Votre fille Seigneur ?')",-,0.0
"('#agamemnon', ""Oronte, apprends de moi Comment j'en ai reçu la tyrannique loi. Les grecs prêts à partir brûlaient d'impatience D'aller faire sur Troie éclater leur vengeance, Lorsqu'un calme soudain répandu sur les eaux Dans ce triste rivage arrêta nos vaisseaux : Par mille et mille voeux contre cette infortune On brigua la faveur d'Éole et de Neptune, Mais ces Dieux, que pressaient nos désirs inquiets Furent à nos soupirs des Dieux sourds et muets, Et pour rendre les vents et les flots plus propices Nous offrîmes jamais que de vains sacrifices, Calcas enfin pressé de l'esprit furieux, Qui prononce aux mortels les réponses des Dieux, De la part de Diane a rendu cet oracle, Qu'il nous faut accomplir pour surmonter l'obstacle, Qui de notre vengeance arrête le dessein, Entends, Oronte, entends, cet Oracle inhumain,  Pour voir finir le calme et vous conduire à Troie, Et pour y remporter un renom immortel, Du sang d'Iphigénie arrosez mon Autel, Ô Grecs, il n'est point d'autre voie."")",-,0.0
"('#oronte', 'Quel oracle !')",-,0.0
"('#agamemnon', ""À ces mots mon courage abattu Cher Oronte, eut besoin de toute ma vertu, Je ne pus qu'avec peine étouffer le murmure Je ne pus qu'avec peine étouffer la Nature, Et quand j'envisageai l'excès de mon malheur Je me vis sur le point d'expirer de douleur. Pour prévenir ce coup et pour mieux m'en défendre Au désir de Calcas je feignis de me rendre, Et j'ai par mes détours jusqu'ici différé À lui livrer le sang dont il est altéré. Mais enfin Ménélas qui ne sent d'autre peine Que celle, que lui fait l'enlèvement d'Hélène, Du salut de l'État couvrant son intérêt Me presse d'obéir à ce funeste arrêt, Et Calcas y joignant les terribles maximes Que son zèle établit sur le sang des victimes, Attend que j'y réponde, et présente mes yeux Si j'ose y résister la colère des Dieux ; Il faut se rendre enfin."")",-,0.0
"('#oronte', 'Quoi ? De ce sacrifice Vous pouvez devenir le malheureux complice, Le tyran de vos jours, et de votre repos ?')",-,0.0
"('#agamemnon', ""Je fais plus, dès ce jour je t'envoie en Argos, J'écris à Clytemnestre, et feins qu'Iphigénie Doit au fils de Thétis par l'hymen être unie, Qu'Achille a refusé de partir avec nous S'il n'emporte avec lui le nom de son époux, Ainsi de cet hymen l'amorce mensongère Amènera bientôt et la fille et la mère, Et moi j'accomplirai cette barbare loi Que nous connaissons seuls mon frère, Ulysse et moi. Aux tendresses du sang ma gloire inexorable Change un père sensible en juge impitoyable, Et d'un cruel effort tyrannisant mes voeux, Fait à ce que je dois céder ce que je veux. Voici l'écrit fatal, où Calcas et mon frère Trouvent à mes dépens de quoi se satisfaire, Voilà l'appas trompeur, ma fille, le voici, Qui pour trancher tes jours doit t'attirer ici. Pour ma fille, je sais que ton coeur s'intéresse, Mais tu n'aimes pas moins le salut de la Grèce, Je sais que pour nous rendre heureux et triomphants Toi-même tu voudrais immoler tes enfants."")",-,0.0
"('#oronte', ""Mais, Seigneur, songez-vous que cet effort barbare De l'amitié d'Achille à jamais vous sépare, Et rompant cet hymen comment prétendez-vous  De ce jeune héros apaiser le courroux ?"")",-,0.0
"('#agamemnon', ""De son nom seulement nous couvrons ce mystère, Et pour lui, ce n'est pas un sujet de colère, Amour, comme tu sais, n'en est pas le vainqueur, Et Mars seul est en droit de remplir tout son coeur. Si naguère on lui vit quitter Deidamie, Et réveiller pour nous sa valeur endormie, Il verra sans en être irrité ni surpris La perte d'un objet dont il n'est point épris."")",-,0.0
"('#oronte', ""Ne croyez pas qu'Achille aux combats invincible Aux attraits de l'amour ait une âme insensible, J'ai su par un des siens, qu'à des soins généreux Son coeur mêle en secret des soupirs amoureux. Que lorsque dans Argos il vit Iphigénie Il sentit de ses yeux la douce tyrannie."")",-,0.0
"('#agamemnon', ""Plût au Ciel, que Diane apaisant son courroux Il devint de ma fille et l'amant et l'époux, Mais un si doux espoir peut-il flatter l'envie De qui doit n'aspirer qu'à conserver sa vie ? Plein d'un zèle indiscret, et mon frère et Calcas Menacent d'éclater si je n'obéis pas, Je dois rendre aujourd'hui ma dernière réponse, Dès que je l'ai fermée, aussitôt j'y renonce. Que dois-je faire enfin ? Mais je vois Ménélas. Laisse-nous seuls Oronte, et ne t'éloigne pas. L'ingrat vient redoubler l'ennui qui me dévore, Hélas !"")",-,0.0
"('#menelas', ""Hé bien, Seigneur, balancez-vous encore ? Quand les Dieux dont vous seul attirez le courroux Désolent tout un camp pour se venger de nous. Lorsqu'au calme obstiné d'où naissent nos misères Ils sont prêts d'ajouter les fléaux les plus sévères, Agamemnon croit-il pouvoir leur refuser La victime et le sang qui doit les apaiser ? Votre âme en ce malheur d'un beau zèle animée, La doit, ainsi qu'aux Dieux, au salut de l'Armée : Si je vous parle ainsi, Seigneur, c'est malgré moi, L'impatient Calcas m'impose cette loi, Et s'il en exigeait le coup qu'il vous ordonne  On m'aurait vu déjà lui livrer Hermione ; Car enfin, quelque grand que soit un potentat, Il n'est pas à lui-même, il est à son État, Il se doit tout entier aux peuples qu'il commande, Il doit périr pour eux, si leur bien le demande : Cependant vous osez retarder nos exploits Chef de tant de soldats, et Roi de tant de Rois ? Bien que le camp, Seigneur, ignore encor l'Oracle, II croit qu'à son bonheur vous seul servez d'obstacle, Ulysse, en nous quittant a fait mille mutins, Et si vous n'apaisez ces troubles intestins, Je vous en avertis, à moins d'un prompt remède On met en votre place Ajax ou Diomède."")",-,0.0
