boissy-dehors-trompeurs,boissy-homme-du-jour,Score
"('#lisette', 'Je suis, je suis outrée !')","('#lisette', 'Je suis, je suis outrée ! ')",1.000000238418579
"('#celiante', 'Et, pourquoi donc, Lisette ?')","('#celiante', 'Eh ! pourquoi donc, Lisette ? ')",0.9713426828384399
"('#lisette', 'Avec trop de rigueur votre frère nous traite. Il vient injustement de chasser Bourguignon. Si cela dure, il faut déserter la maison.')","('#lisette', 'Avec trop de rigueur votre frère nous traite. Il vient injustement de chasser Bourguignon. Si cela dure, il faut déserter la maison. ')",0.9999998211860657
"('#celiante', 'Va, Bourguignon a tort si le baron le chasse.')","('#celiante', 'Va, Bourguignon a tort si le baron le chasse. ')",1.0
"('#lisette', 'Non, un discours très sage a causé sa disgrâce : C\'est pour l\'appartement que Monsieur De Forlis Occupe dans l\'hôtel quand il est à Paris. Monsieur, qui sûrement l\'attend cette semaine, Vient d\'y mettre un abbé qu\'il ne connaît qu\'à peine. Le pauvre Bourguignon a voulu bonnement Hasarder là-dessus son petit sentiment : ""Monsieur, dit-il, je dois, en valet qui vous aime, Avouer que je suis dans une crainte extrême Que Monsieur De Forlis ne soit scandalisé De se voir déloger ainsi d\'un air aisé. C\'est un homme de nom, c\'est un vieux militaire, Gouverneur d\'une place, et que chacun révère. Vous lui devez, monsieur, un respect infini, Et d\'autant plus qu\'il est votre ancien ami, Et qu\'il doit à Paris incessamment se rendre, Pour couronner vos feux et vous faire son gendre. "" À peine a-t-il fini, que son zèle est payé D\'un soufflet des plus forts, et de trois coups de pieds. Révolté de se voir maltraiter de la sorte, Il veut lui répliquer ; il est mis à la porte. Moi, je veux, par pitié, parler en sa faveur ; Mais, loin de s\'apaiser, monsieur entre en fureur ; À moi-même il me dit les choses les plus dures. Mon oreille est peu faite à de telles injures. J\'ai lieu d\'être surprise, et j\'ai peine à penser, Qu\'un homme si poli les ait pu prononcer.')","('#lisette', ""Non, un discours très sage a causé sa disgrâce. C'est pour l'appartement que monsieur de Forlis  Occupe dans l'hôtel, quand il est à Paris.  Monsieur, qui sûrement l'attend cette semaine,  Vient d'y mettre un abbé qu'il ne connaît qu'à peine.  Le pauvre Bourguignon a voulu bonnement  Hasarder là-dessus son petit sentiment :  « Monsieur, dit-il, je dois, en valet qui vous aime,  Avouer que je suis dans une crainte extrême  Que monsieur de Forlis ne soit scandalisé  De se voir délogé ainsi d'un air aisé.  C'est un homme de nom, c'est un vieux militaire,  Gouverneur d'une place, et que chacun révère.  Vous lui devez, Monsieur, un respect infini,  Et d'autant plus qu'il est votre ancien ami,  Et qu'il doit à Paris incessamment se rendre,  Pour couronner vos feux, et vous faire son gendre. » À peine a-t-il fini, que son zèle est payé  D'un soufflet des plus forts, et de trois coups de pieds.  Révolté de se voir maltraiter de la sorte,  Il veut lui répliquer ; il est mis à la porte,  Moi, je veux, par pitié, parler en sa faveur.  Mais, loin de s'apaiser, Monsieur entre en fureur.  À moi-même il me dit les choses les plus dures.  Mon oreille est peu faite à de telles injures.  J'ai lieu d'être surprise, et j'ai peine à penser  Qu'un homme si poli les ait pu prononcer. "")",0.9874234199523926
"('#celiante', ""Un tel rapport m'étonne."")","('#celiante', ""Un tel rapport m'étonne. "")",0.9999999403953552
"('#lisette', ""Il est pourtant fidèle. Son service est trop dur. Sans vous, mademoiselle, Dont la bonté m'attache, et m'arrête aujourd'hui, Je ne resterais pas un moment avec lui."")","('#lisette', ""Il est pourtant fidèle. Son service est trop dur. Sans vous, mademoiselle,  Dont la bonté m'attache, et m'arrête aujourd'hui,  Je ne resterais pas un moment avec lui. "")",0.9999998807907104
"('#celiante', 'Mais, mon frère est si doux.')","('#celiante', 'Mais mon frère est si doux ! ')",0.9694456458091736
"('#lisette', ""Oui, rien n'est plus aimable : Son commerce est charmant, son esprit agréable, Quand on n'est avec lui qu'en simple liaison. Mais il n'est plus le même au sein de sa maison ; Cet homme qui paraît si liant dans le monde, Chez lui quitte le masque ; on voit la nuit profonde Succéder sur son front au jour le plus serein, Et tout devient alors l'objet de son chagrin. Je viens de l'éprouver d'une façon piquante. De sa mauvaise humeur vous n'êtes pas exempte."")","('#lisette', ""Oui, rien n'est plus aimable ;  Son commerce est charmant, son esprit agréable,  Quand on n'est avec lui qu'en simple liaison ;  Mais il n'est pas le même au sein de sa maison.  Cet homme qui paraît si liant dans le monde,  Chez lui quitte le masque ; on voit la nuit profonde  Succéder sur son front au jour le plus serein,  Et tout devient alors l'objet de son chagrin.  Je viens de l'éprouver d'une façon piquante.  De sa mauvaise humeur vous n'êtes pas exempte. "")",0.9873165488243103
"('#celiante', ""Lisette, il n'est point d'homme à tous égards parfait."")","('#celiante', ""Lisette, il n'est point d'homme à tous égards parfait. "")",1.0000001192092896
"('#lisette', ""Rien n'est pire que lui, quand il se montre en laid."")","('#lisette', ""Rien n'est pire que lui, quand il se montre en laid. "")",0.9999998807907104
"('#celiante', 'Tu dois...')","('#celiante', 'Tu dois... ')",1.0000001192092896
