,dancourt-deroute-pharaon,dancourt-desolation-des-joueuses,Cost,Operation Type
0,"('#marton', 'Hé !  Que diantre venez-vous faire ici, Monsieur ?  Vous aimez bien à prendre un peine inutile, et à persécuter Madame votre soeur infructueusement.')",,1.0,Insertion
1,"('#bartolin', ""C'est une extravagante, que je rendrai raisonnable malgré elle."")",,1.0,Insertion
2,"('#marton', ""Elle a les mêmes desseins pour vous, et vous ne réussirez ni l'un ni l'autre."")",,1.0,Insertion
3,"('#bartolin', 'Madame la soubrette ?')",,1.0,Insertion
4,"('#marton', ""Oh !  Doucement, s'il vous plaît, Monsieur Bartolin ; les soubrettes comme moi ne sont pas faites pour être traitées irrespectueusement, et nous sommes en train de faire une fortune, qui mettra quelque différence entre vous et moi."")",,1.0,Insertion
5,"('#bartolin', 'La pauvre créature devient aussi folle que sa Maîtresse !')","('#lisette', ""Quand Madame votre mère en devrait enrager cent fois davantage, je ne saurais m'empêcher d'en être ravie, et je gage que vous en êtes pour le moins aussi contente que moi."")",0.98,Substitution
6,"('#marton', 'Pauvre créature !  Voilà de plaisants termes.')",,1.0,Insertion
7,"('#bartolin', 'Écoutez, Mademoiselle Marton, je vous prie de tâcher de rappeler un peu cette lueur de bon sens et de raison que je vous ai connue, et de me dire de bonne foi où vous prétendez que tout ceci vous mène.')",,1.0,Insertion
8,"('#marton', ""Ma foi, Monsieur, s'il vous faut parler franchement, je n'en sais rien : tout ce que je puis vous dire, c'est que nous menons une vie assez joyeuse, grande chère, bon équipage.  Madame votre soeur, qui n'était que Lingère, s'appelle aujourd'hui Madame_la_Baronne, dans l'espérance de la devenir."")","('#angelique', ""Je t'avoue, Lisette, que je voudrais de tout mon coeur que ce ne fût point uue fausse nouvelle, et que ce qu'on nous en disait hier au soir se confirmât aujourd'hui."")",0.71,Substitution
9,"('#bartolin', 'Elle Baronne !  Et comment la deviendra-elle ?')",,1.0,Insertion
10,"('#marton', 'En épousant un Baron, et un Baron de conséquence encore, un homme de distinction.')",,1.0,Insertion
11,"('#bartolin', 'Oui, quelque joueur distingué par ses friponneries ?')",,1.0,Insertion
12,"('#marton', ""Non, Monsieur, un homme de qualité, un Gentilhomme étranger qui fait ici les affaires de je ne sais combien de petits Seigneurs ; c'est lui qui fait toutes leurs provisions : qui leur achètent des draps, des étoffes, des habites, et qui leur envoie toutes les modes nouvelles dès qu'elles commencent à vieillir.  Oh !  Il est chargé de grandes affaires : c'est un homme qui a des correspondances par toute l'Europe.  Si vous étiez d'humeur à vous prêter aux vues que nous avons, on vous ferait l'Agent de ces Seigneurs-là, et ce serait un poste qui vous mènerait loin."")","('#lisette', ""Cela est tout confirmé, il n'est encore venu ni joueur ni joueuse d'aujourd'hui.  Voilà déjà la cohue écartée, Dieu merci !  Et je sais bien pour moi, que si j'avais gouverné la police, il y a longtemps que l'affaire serait faite, et qu'on ne parlerait plus de ces maudits jeux, qui causent tant de désordre, et qui m'ont fait passer tant de nuits sans me coucher."")",1.28,Substitution
13,"('#bartolin', ""Tu te moques de moi, je pense.  Plaisant emploi !  Est-il possible que ma soeur, qui avait autrefois de l'esprit, se repaisse ainsi de visions chimériques, et qu'elle ait quitté son négoce pour se livrer à un ridicule..."")","('#angelique', ""Ce ne sont point les veilles qui me fatiguent, et le jeu même ne me déplairait pent-être point si fort, si l'on jouait ailleurs que chez ma mère mais, que cette maison soit une Académie ouverte à toutes sortes de gens ; que tout ce qu'il y a de fainéants, de ridicules et d'extravagants, pour ne rien dire de plus fâcheux, soient les bienvenus dans ce logis ; que dans mon cabinet, à ma toilette même, je sois éternellement obsédée de quelque visage désagréable, à qui je n'ose dire : vous me fatiguez, parce qu'il perd quelquefois son argent avec ma mère en vérité : c'est un supplice dont je serai bien aise d'être débarrassée."")",0.4,Substitution
14,"('#marton', ""Il n'y a point de ridicule dans ce qu'elle fait, c'est une femme qui a des vues solides.  La voici, parlez-lui avec douceur, elle vous rendra raison de sa conduite ; et je suis presque sûre qu'elle vous persuadera de l'imiter."")",,1.0,Insertion
15,"('#bartolin', ""Le Ciel m'en préserve !  Je suis bien éloigné de penser comme elle."")",,1.0,Insertion
