,montchretien-hector,giraudoux-la-guerre-de-troie-n-aura-pas-lieu,Cost,Operation Type
0,,"('#andromaque', ""La guerre de Troie n'aura pas lieu, Cassandre !"")",1.0,Deletion
1,,"('#cassandre', 'Je te tiens un pari, Andromaque.')",1.0,Deletion
2,,"('#andromaque', 'Cet envoyé des Grecs a raison.  On va bien le recevoir.  On va bien lui envelopper sa petite Hélène, et on la lui rendra.')",1.0,Deletion
3,,"('#cassandre', 'On va le recevoir grossièrement.  On ne lui rendra pas Hélène.  Et la guerre de Troie aura lieu.')",1.0,Deletion
4,"('#cassandre', ""Quel tourbillon fatal t'emporte en haute mer  Où maint Gouffre bouillant s'ouvre pour t'abîmer ?  Ô Nef, demeure à l'ancre, assure le cordage,  Qui maintenant te lie à ce calme rivage.  Tant de fâcheux détroits passés à grand hasard,  Tant de rochers doublés par la force et par l'art  De tes sages Patrons, qui de mains et de tête  À peine ont combattu la première tempête,  Doivent t'avoir appris que ton cours dangereux,  Est conduit par ces flots d'auspices malheureux.  N'ayant nul Phare en terre, au Pôle nulle étoile.  Oses-tu bien encore te remettre à la voile ?  Prévoiras-tu jamais ce qui doit arriver  De t'embarquer au coeur d'un si cruel Hiver ?  Là se sont écoulés tes jours Alcionides,  Et le sceptre d'Éole a relâché les brides  À ces esprits mutins dont les gros soufflements  Font trembler et gémir les plus bas éléments,  Et mêmes ont les Cieux complices de leur rage :  Où cours-tu désormais si ce n'est au naufrage ?  Je parle bien en vain : Troyens vous êtes sourds  Plus que les vents légers où j'épands ces discours.  Non, j'ai beau vous prédire un véritable esclandre,  Vous ne croirez jamais la prophète Cassandre.  Ô guerriers insensés, quelle ardente fureur  Aveugle à son mal propre engendre cette erreur ?  À quoi tous vos combats ? Ô trop vaine arrogance  Si vous pouvez dompter la suprême puissance !  Si par un bras mortel, par des conseils humains  Vous pensez renverser les Décrets souverains,  Puisque le Dieu des Dieux et des hommes le Père,  À qui le Ciel, la terre et la mer obtempère, Se range aux dures lois de la Fatalité,  Qu'il grava dans l'aimant de son Éternité.  Je sens de plus en plus que le Démon m'affole,  Retenez cette voix qui de ma bouche vole,  Logez-la dans vos coeurs, il y a moins d'abus,  Qu'ès Oracles sortis du trépied de Phoebus.  Tu cours plein de fureur renouveler la noise :  Mais ton Fort est vaincu par la fraude Grégeoise,  Ton serein est troublé d'un ténébreux brouillard,  Et ton meilleur destin tourne de l'autre part.  Le Lion renversé sur la compagne humide  De larmes et de sang, par la troupe timide  Des Lièvres assemblés sans frayeur assailli  Montre qu'avec ses jours tout espoir est failli.  Fuyons, je vois le feu : les orgueilleux Pergames  Trébuchent engloutis ès rougissantes flammes,  Et la fumée obscure à gros plis se rouant  Sur les Temples dorés triomphe en se jouant.  Mais où s'adressera notre course légère  Pour nous mettre à couvert de la force étrangère,  Si notre pied tremblant deçà delà porté  Trouve partout la mort ou la captivité ?  Si pour les Innocents s'ouvre aussi bien l'abime,  Comme pour les fauteurs de cette infâme crime  Qui consomme Priam et toute sa maison  Dans les feux allumés par son fatal Tison ?  Qu'il fût mort en naissant selon les voeux du Père !  Mais, ô Destin de fer, vous portiez le contraire. "")","('#andromaque', ""Oui, si Hector n'était pas là !...  Mais il arrive, Cassandre, il arrive !  Tu entends assez ses trompettes...  En cette minute, il entre dans la ville, victorieux.  Je pense qu'il aura son mot à dire.  Quand il est parti, voilà trois mois, il m'a juré que cette guerre était la dernière."")",1.16,Substitution
5,,"('#cassandre', ""C'était la dernière.  La suivante l'attend."")",1.0,Deletion
6,"('#le-choeur', ""Bouche trop véritable à prédire malheur  Tu ne t'ouvres jamais que pour notre douleur :  C'est un bien toutefois à la mortelle race  D'être avertie à temps quand le Ciel la menace,  Afin qu'elle pourvoie à ce qu'elle a prévu.  » Le coup trouble beaucoup qui touche à l'impourvu,  » Mais cil que l'on attend porte si peu d'atteinte,  » Que son mal à l'épreuve est moindre que la crainte. "")","('#andromaque', ""Cela ne te fatigue pas de ne voir et de ne prévoir que l'effroyable ?"")",0.67,Substitution
7,,"('#cassandre', 'Je ne vois rien, Andromaque.  Je ne prévois rien.  Je tiens seulement compte de deux bêtises, celle des hommes et celle des éléments.')",1.0,Deletion
8,,"('#andromaque', 'Pourquoi la guerre aurait-elle lieu ?  Pâris ne tient plus à Hélène.  Hélène ne tient plus à Pâris.\n7')",1.0,Deletion
9,,"('#cassandre', ""Il s'agit bien d'eux !"")",1.0,Deletion
10,,"('#andromaque', ""Il s'agit de quoi ?"")",1.0,Deletion
11,,"('#cassandre', ""Pâris ne tient plus à Hélène !  Hélène ne tient plus à Pâris !  Tu as vu le destin s'intéresser à des phrases négatives ?"")",1.0,Deletion
12,,"('#andromaque', ""Je ne sais pas ce qu'est le destin."")",1.0,Deletion
13,,"('#cassandre', ""Je vais te le dire.  C'est simplement la forme accélérée du temps.  C'est épouvantable."")",1.0,Deletion
14,,"('#andromaque', 'Je ne comprends pas les abstractions.')",1.0,Deletion
15,,"('#cassandre', ""À ton aise.  Ayons recours aux métaphores.  Figure-toi un tigre.  Tu la comprends, celle-là ?  C'est la métaphore pour jeunes filles.  Un tigre qui dort."")",1.0,Deletion
16,,"('#andromaque', 'Laisse-le dormir.')",1.0,Deletion
17,"('#cassandre', ""Ce n'est point à crédit que je vous fais la peur.  Si toujours mon Oracle était aussi trompeur,  Qu'il court par les Troyens dénué de créance  Encor en ces malheurs j'aurais quelque espérance :  Mais quoi ? Puis-je aveugler mon propre entendement,  Qui voit dans le futur un triste embrasement. "")","('#cassandre', ""Je ne demande pas mieux.  Mais ce sont les affirmations qui l'arrachent à son sommeil.  Depuis quelque temps, Troie en est pleine."")",1.07,Substitution
18,,"('#andromaque', 'Pleine de quoi ?')",1.0,Deletion
19,,"('#cassandre', 'De ces phrases qui affirment que le monde et la direction du monde appartiennent aux hommes en général, et aux Troyens ou Troyennes en particulier...')",1.0,Deletion
