,dufresny-depart-des-comediens,mongin-promenades-de-paris,Cost,Operation Type
0,,"('#octave', ""Non, non, laisse-moi, Scaramouche, je ne veux plus avoir recours qu'au désespoir."")",1.0,Deletion
1,,"('#scaramouche', 'Mais recourons auparavant à mon industrie, et écoutez-moi de grâce.')",1.0,Deletion
2,"('#arlequin', ""Déserts, affreux déserts, sombres loges, parterre,  Balcons inhabités, théâtre solitaire ;  Et vous fidèles bancs, qui seuls depuis six mois,  Demeurez attentifs à nos comiques voix ;  Je viens vous raconter les malheurs de ma bourse.  De ces malheurs, hélas ! Le printemps est la source.  Le cruel mois de Mai, qui devrait tous les ans  Fournir nos coquettes d'amants,  Les effarouche et les écarte :  Il n'est officier qui ne parte.  Ô renouveau fatal, qui fais couler nos pleurs !  Pendant qu'on voit briller les parterres de fleurs,  Le nôtre languissant, ne pousse  Que des chardons et de la mousse.  Oui, le printemps qui vient peupler les arbrisseaux  De mille différents oiseaux,  Dépeuple de plumets, théâtres et ruelles,  Et fait nicher les hirondelles  Tranquillement dans nos plafonds.  On voit reverdir les buissons,  Et sécher sur pied les grisettes.  Le printemps vient enfin désoler nos cassettes.  À ce mot, mon coeur se saisit. Déjà vox faucibus haesit.  Qu'êtes-vous devenus, jeunes foudres de guerre,  Qui triomphiez jadis dans ce vaste parterre ?  Hélas ! Je n'y vois plus  Ce doux flux et reflux  De têtes ondoyantes,  Qui rend en plein hiver nos moissons abondantes,  Quand le troupeau guerrier et terrestre et marin,  Vient piétiner notre terrain ;  En y semant quelques paroles,  Nous recueillons force pistoles.  À présent nous semons dans la concavité.  Notre voix n'y produit qu'un écho répété ;  Écho fatal, qui va jusques dans nos marmites  Prouver le vide aux parasites.  Je le prouverais au Docteur entêté,  Que ma bourse est vide en été.  Depuis six mois entiers, à peine le dimanche  Arlequin tire-t-il les frais de son éclanche.  Aussi faute d'émolument  On voit que le relâchement  Se met dans la troupe comique :  Mezzetin s'en va voyager,  Le docteur quitte la boutique,  Pasquariel nous fait enrager ;  Octave fait l'amour, et Cinthe a la colique :  Notre caissier s'endort en faisant la recette,  Et le portier lit la gazette.  Le théâtre représente une solitude. "")","('#octave', ""Quoi ?  Parce que je n'ai pas encore de quoi flatter l'ambition d'Élise, et que je ne puis lui donner ma foi et mon bien qu'après la mort de mon père, la cruelle me sacrifie à Monsieur_Calmar, elle reçoit ses soupirs, son amour, ses fêtes, et aujourd'hui même dans ce Bois_de_Boulogne il faut que je me voie la victime d'un rival odieux, d'un coffre-fort d'amour, en un mot d'un vieux Calmar ?"")",0.57,Substitution
3,,"('#scaramouche', ""Vous avez raison.  Vous sacrifier à Calmar, c'est préférer un hibou à un joli homme, une masette à un cheval d'Espagne, et une vieille savate à un jeune et souple escarpin. Mais il n'est plus de filles qui ne soient de mauvais goût pour devenir femmes."")",1.0,Deletion
4,,"('#octave', ""Des cheveux noirs avec des blancs, ah le bel assemblage !  Qu'il fera beau voir ce vieux Calmar sembler le père de sa femme, et n'être pas celui de tes enfants !"")",1.0,Deletion
5,,"('#scaramouche', ""Non, ce mariage-là n'est pas faisable, et je saurai bien l'empêcher, vous dis-je, si vous voulez me croire."")",1.0,Deletion
6,"('#colombine', ""À quoi diantre s'amuse Arlequin, pendant que la troupe tient conseil sur les affaires présentes ?"")","('#octave', 'Mais quoi donc ?  Que veux-tu que je fasse ?')",1.55,Substitution
7,"('#arlequin', ""Je racontais nos malheurs aux échos et aux bois d'alentour."")","('#scaramouche', 'Il faut premièrement assister à la fête de Calmar sans nous faire connaître. ')",1.89,Substitution
8,,"('#octave', 'Et comment ?')",1.0,Deletion
9,,"('#scaramouche', 'Vous allez voir.  Voici de quoi nous métamorphoser.  Il déshabille Octave, et le met en garçon de cabaret.')",1.0,Deletion
