chevalier-amours-de-calotin,chevalier-barbons-amoureux,Score
"('#le-marquis', ""Enfin me voici donc dans l'Hôtel du Marais Et dessus un théâtre où je ne viens jamais."")",-,0.0
"('#le-baron', ""Et moi, mon cher Marquis, ici je te déclare Que le Palais-Royal me devient aussi rare ; Nul n'y saurait aller, sans se faire draper ! Ah qu'heureux est celui qui s'en peut échapper ! Pour moi, qui n'aime pas à souffrir qu'on me drape, Je veux être berné, si plus on m'y rattrape."")",-,0.0
"('#le-marquis', 'Pourquoi donc ? Qui te peut causer un tel courroux ?')",-,0.0
"('#le-baron', ""Pourquoi ? C'est qu'on nous fait tous passer pour des fous. Comte, Duc, et Baron, et Marquis, et Marquise, Ne peuvent s'exempter qu'on ne les tympanise. Nous n'oserions parler, ni desserrer les dents, Qu'on ne nous traite pis que des extravagants. Dès que par notre bouche il passe un mot folâtre, Nous nous voyons d'abord jouer sur le théâtre. Comment ? Quand nous serions sûrement insensés, Nous ne pourrions jamais être mieux redressés."")",-,0.0
"('#le-marquis', 'Mais de quoi te plains-tu ?')",-,0.0
"('#le-baron', ""D'un diable de Molière, Dont l'esprit goguenard ne laisse rien derrière, Et réussit si bien dedans tout ce qu'il fait, Qu'il sait donner à tous chacun son petit fait. Nous sommes tous cocus, si nous l'en voulons croire, Appelez-vous cela des vers à notre gloire ? Mais s'il m'en croit, Marquis, loin de nous railler tous, Il se taira, s'il veut éviter mon courroux. Quoi si nous nous souffrons traiter de ces manières, Nous aurons de sa part bientôt les étrivières."")",-,0.0
"('#le-marquis', ""Tu te moques, Baron, sache que cet esprit Ne cherche qu'à nous plaire en tout ce qu'il écrit, Et que tu passeras, si l'on te voit crédule Jusqu'à t'en offenser, pour homme ridicule; Comme il est approuvé de tous les gens d'honneur, Ton approbation doit se joindre à la leur."")",-,0.0
"('#le-baron', ""Moi je l'approuverais ? Qu'un sort le plus étrange M'accable, si plutôt de lui je ne me venge."")",-,0.0
"('#le-marquis', 'Mais dis-moi donc comment tu prétends te venger?')",-,0.0
"('#le-baron', ""En n'allant plus chez lui, pour le faire enrager. Lorsque je n'irai plus, qu'est-ce qu'il pourra dire De moi ?"")",-,0.0
"('#le-marquis', ""C'est le moyen d'attirer sa satire ; Et s'il vient à savoir le dessein que tu fais, Tu te feras jouer plus qu'on ne fut jamais. Évite, si tu peux, d'en faire la sorte, Si tu ne veux sur toi voir une Comédie : Je suis certain qu'après tu t'en repentirais."")",-,0.0
"('#le-baron', ""Sur moi, s'il l'avait fait, je le fustigerais."")",-,0.0
"('#le-marquis', ""Quelqu'autre la ferait."")",-,0.0
"('#le-baron', ""Poisson aussi s'amuse À s'ébaudir l'esprit parfois avec sa Muse, À ce que j'ai pu voir, et loin de nous priser, Il se mêle à son tour de nous satiriser : Mais qu'il sache sur moi si quelque chose il trace Qu'il n'aura pas affaire au Baron de la Crasse, Puisque je l'en ferais diablement repentir."")",-,0.0
"('#le-marquis', ""Ce qu'ils en font n'est rien que pour nous divertit, Tu t'emportes à tort."")",-,0.0
