la-fontaine-climene,cahusac-l-algerien,Score
"('#acanthe', ""Apollon se plaignait aux neuf Soeurs, l'autre jour, De ne voir presque plus de bons vers sur l'amour. Le siècle, disait-il, a gâté cette affaire : Lui nous parler d'amour ! Il ne la sait pas faire. Ce qu'on n'a point au coeur, l'a-t-on dans ses écrits ? J'ai beau communiquer de l'ardeur aux esprits ; Les belles n'ayant pas disposé la matière, Amours et vers, tout est fort à la cavalière. Adieu donc, ô beautés ! Je garde mon emploi Pour les surintendants sans plus, et pour le roi. Je viens pourtant de voir, au bord de l'Hippocrène, Acanthe fort touché de certaine Clymène. J'en sais qui sous ce nom font valoir leurs appas ; Mais, quant à celle-ci, je ne la connais pas : Sans doute qu'en province elle a passé sa vie."")",-,0.0
"('#erato', ""Sire, j'en puis parler ; c'est ma meilleure amie. La province, il est vrai, fut toujours son séjour ; Ainsi l'on n'en fait point de bruit en votre Cour."")",-,0.0
"('#uranie', 'Je la connais aussi.')",-,0.0
"('#apollon', ""Comment, vous, Uranie ! En ce cas, Terpsichore, Euterpe, et Polymnie, Qui n'ont pas des emplois du tout si relevés, M'en apprendront encor plus que vous n'en savez."")",-,0.0
"('#polymnie', 'Oui, sire, nous pouvons vous en parler chacune.')",-,0.0
"('#apollon', ""Si ma prière n'est aux Muses importune, Devant moi tour à tour chantez cette beauté ; Mais sur de nouveaux tons, car je suis dégoûté. Que chacune pourtant suive son caractère."")",-,0.0
"('#euterpe', 'Sire, nous nous savons toutes neuf contrefaire : Pour si peu laissez-nous libres sur ce point-là.')",-,0.0
"('#apollon', ""Commencez donc, Euterpe, ainsi qu'il vous plaira."")",-,0.0
"('#euterpe', ""Que ma compagne m'aide, et puis en dialogue, Nous vous ferons entendre une espèce d'églogue."")",-,0.0
"('#apollon', ""Terpsichore, aidez-la mais surtout évitez Les traits que tant de fois l'églogue a répétés ; II me faut du nouveau, n'en fût-il point au monde."")",-,0.0
"('#terpsichore', ""Je m'en vais commencer ; qu'Euterpe me réponde. Quand le soleil a fait le tour de l'univers, Ce n'est point d'avoir vu cent chefs-d'oeuvre divers, Ni d'en avoir produit, qu'à Téthys il se vante ; Il dit : J'ai vu Clymène, et mon âme est contente."")",-,0.0
"('#euterpe', ""L'aurore vous veut voir Clymène, montrez-vous : Non, ne bougez du lit ; le repos est trop doux : Tantôt vous paraîtrez vous-même une autre aurore ; Mais ne vous pressez point, dormez, dormez encore."")",-,0.0
"('#terpsichore', ""Au gré de tous les yeux Clymène a des appas : Un peu de passion est ce qu'on lui souhaite : Pour de l'amitié seule, elle n'en manque pas : Cinq ou six grains d'amour, et Clymène est parfaite."")",-,0.0
"('#euterpe', ""L'amour, à ce qu'on dit, empêche de dormir : S'il a quelque plaisir, il ne l'a pas sans peine. Voyez la tourterelle, entendez-la gémir :  Vous vous garderez bien de condamner Clymène."")",-,0.0
"('#terpsichore', ""Vénus depuis longtemps est de mauvaise humeur Clymène lui fait ombre; et Vénus, ayant peur D'être mise au-dessous d'une beauté mortelle, Disait hier à son fils : Mais la croit-on si belle ? Hé oui, oui, dit l'Amour, je vous la veux montrer."")",-,0.0
"('#apollon', ""Vous sortez de l'églogue."")",-,0.0
"('#euterpe', ""IL nous y faut rentrer. Amour en quatre parts divise son empire : Acanthe en fait moitié, ses rivaux plus d'un quart ; Ainsi plus des trois quarts pour Clymène soupire : Les autres belles ont le reste pour leur part."")",-,0.0
"('#terpsichore', ""Tout ce que peut avoir un coeur d'indifférence, Clymène le témoigne : elle en a destiné Les trois quarts pour Acanthe ; heureux dans sa souffrance S'il voit qu'à ses rivaux le reste soit donné !"")",-,0.0
"('#euterpe', 'Ne vous semble-t-il pas que nos bois reverdissent, Depuis que nous chantons un si charmant objet ?')",-,0.0
"('#terpsichore', 'Oiseaux, hommes et dieux, que tous chantres choisissent Désormais, en leurs sons, Clymène pour sujet !')",-,0.0
"('#euterpe', ""Pour elle le printemps s'est habillé de roses."")",-,0.0
"('#terpsichore', 'Pour elle les zéphirs en parfument les airs.')",-,0.0
"('#euterpe', ""Et les oiseaux pour elle y joignent leurs concerts. Régnez, belle, régnez sur tant d'aimables choses."")",-,0.0
"('#terpsichore', ""Aimez, Clymène, aimez ; rendez quelqu'un heureux : Votre règne en aura plus d'appas pour vous-même."")",-,0.0
"('#euterpe', ""En ce nombre d'amants qui voulez-vous qu'elle aime ?"")",-,0.0
"('#terpsichore', 'Acanthe.')",-,0.0
"('#euterpe', 'Et pourquoi lui ?')",-,0.0
"('#terpsichore', ""C'est le plus amoureux. Sire, êtes-vous content ?"")",-,0.0
"('#apollon', 'Assez. Que Melpomène Sur un ton qui nous touche introduise Clymène. Vous, Thalie, il vous faut contrefaire un amant Qui ne veut point borner son amoureux tourment.')",-,0.0
"('#melpomene', 'Mes soeurs, je suis Clymène.')",-,0.0
"('#thalie', 'Et moi, je suis Acanthe.')",-,0.0
"('#apollon', 'Fort bien nous écoutons remplissez notre attente.')",-,0.0
"('#climene', ""Acanthe, vous perdez votre temps et vos soins. Voulez-vous qu'on vous aime, aimez-nous un peu moins. Otez ce mot d'amour, c'est ce qu'on vous conseille."")",-,0.0
"('#acanthe', ""Que je l'ôte ! Est-il rien de si doux à l'oreille ? Quoi ! De vous adorer Acanthe cesserait ! Contre sa passion il vous obéirait ! Ah ! Laissez-lui du moins son tourment pour salaire. Suis-je si dangereux ? Hélas! non ; si j'espère, Ce n'est plus d'être aimé ; tant d'heur ne m'est point dû : Je l'avais jusqu'ici follement prétendu. Mourir en vous aimant est toute mon envie :  Mon amour m'est plus cher mille fois que la vie. Laissez-moi mon amour, Madame, au nom des dieux."")",-,0.0
"('#climene', 'Toujours ce mot ! Toujours !')",-,0.0
"('#acanthe', ""Vous est-il odieux ? Que de belles voudraient n'en entendre point d'autre ! Il charme également votre sexe et le nôtre : Seule vous le fuyez ; mais ne s'est-il point vu Quelque temps où peut-être il vous a moins déplu ?"")",-,0.0
"('#climene', ""L'amour, je le confesse, a traversé ma vie :  C'est ce qui, malgré moi, me rend son ennemie. Après un tel aveu, je ne vous dirai pas Que votre passion est pour moi sans appas, Et que d'aucun plaisir je ne me sens touchée Lorsqu'à tant de respect je la vois attachée. Aussi peu vous dirai-je, Acanthe, écoutez bien, Que par vos qualités vous ne méritez rien ; Je les sais, je les vois, j'y trouve de quoi plaire : Que sert-il d'affecter le titre de sévère ? Je ne me vante pas d'être sage à ce point, Qu'un mérite amoureux ne m'embarrasse point. Vouloir bannir l'amour, le condamner, s'en plaindre, Ce n'est pas le haïr, Acanthe, c'est le craindre. Des plus sauvages coeurs il flatte le désir. Vous ne l'ôterez point sans m'ôter du plaisir : Nous y perdrons tous deux quand je vous le conseille, Je me fais violence, et prête encor l'oreille. Ce mot renferme en soi je ne sais quoi de doux, Un son qui ne déplaît à pas une de nous ; Mais trop de mal le suit."")",-,0.0
"('#acanthe', ""Je m'en charge, Madame : Ce mal est pour moi seul; j'en garantis votre âme."")",-,0.0
"('#climene', ""Qui vous croirait, Acanthe, aurait un bon garant. Mais non, je connais trop qu'Amour n'est qu'un tyran, Un ennemi public, un démon, pour mieux dire."")",-,0.0
