,mareschala-genereuse-allemande,mareschala-genereuse-allemande-2,Cost,Operation Type
0,"('#aristandre', ""Quelle félicité flatte mon espérance !  Doux serments, beaux liens, agréable assurance,  De quelles voluptés venez-vous me parler ?  Ma passion me dit qu'on remarque voler  D'une aile de plaisir Amour sur mon visage :  Mes désirs en mon coeur ne font plus de nuage,  Et ce contentement qui dans mes yeux est peint  Donne l'âme à mes sens, la couleur à mon teint ;  Un jour de ce plaisir en ces transports extrêmes  Rend mon sort plus heureux que celui des Dieux mêmes ;  Donne, Amour ! (Et ce point achève mon destin)  À l'Aube de ce jour une pareille fin ;  Si je le passe entier, je n'en veux jamais d'autre,  Dieux, j'ai mon Paradis, je vous laisse le vôtre.  Et que voudrais-je plus ? Ayant mos sous mes lois  Une Beauté qui dût en donner à des Rois,  Une, pour qui le Ciel fait l'amour à la Terre,  Pour qui les Éléments s'accordent en leur guerre,  Que la Nature admire, et n'ose en cet effet  Douteuse en la voyant croire ce qu'elle a fait ;  La Beauté la plus grande et la plus renommée  Auprès d'un feu si beau ne serait que fumée,  Ne serait, (je le dis hors de mes passions)  Que pour servir de lustre à ses perfections :  La vaine Antiquité qu'a-t-elle dans la fable  D'orgueilleux ou de beau qui lui soit comparable ?  Amour rit en sa bouche, et combat dans ses yeux ;  Diane sur son front plus poli que les Cieux,  Comme en un champ de neige, entre les lys se joue ;  Et de honte et d'amour rougit dessus sa joue,  Lorsqu'au lieu d'un Soleil, qu'on ne saurait toucher,  Elle en baise ici deux qu'on ne lui peut cacher ;  Junon lui céderait, quand superbe elle éclate  Dedans sa majesté d'un orgueil qui nous flatte ;  Vénus ne feindrait point, aux yeux mêmes de Mars,  D'étudier ses traits, sa mine, et ses regards ;  Et parmi tant d'appas ce grand Dieu de la Thrace  Verrait en sa Valeur une quatrième Grâce ;  L'honneur avecque lui tient son coeur balancé  D'un mouvement égal de tous deux élancé :  Bref, sans intéresser ni la foi, ni la fable,  Tant de Divinités font un corps adorable :  Tous ces Dieux de l'erreur, sous l'âge ensevelis,  Camille les fait vivre, et les a recueillis  Quelques-uns dans son coeur, d'autres en son visage,  Où les perfections sont toutes en usage ;  Oui, Nature la fit divine en qualité,  Afin qu'on put sans crime adorer sa beauté.  Doncque, si tu ne veux qu'un chacun te décrie,  Pardonne, ô Ciel jaloux ! à mon idolâtrie :  Veuille le Ciel, ou non, favorable, ou mutin,  Je t'adore, Camille ; et voilà mon destin.  Adorer un objet de grâce singulière,  Une Divinité visible, et familière ?  Beau péché ! Puisqu'on voit la Terre en ce dessein  Pour elle se tirer l'or et l'argent du sein,  La Mer, les diamants, et les perles, et l'ambre,  L'air nourrir les Zéphyrs, et le musc en sa chambre,  Et Flore sous ses pieds tapisser un chemin  D'anémones, de lys, de roses, de jasmin.  Le Soleil pour la voir seulement luit au Monde ;  Lorsqu'elle se retire, il se plonge dans l'onde,  Non pas (comme on le croit) afin de se coucher,  Mais c'est que de regrets et il va se cacher ;  L'Aurore en l'admirant tombe en gouttes menues,  L'air enflammé d'amour ouvre et chasse les nues ;  Tant d'étoiles qu'on voit briller dedans les Cieux,  On les croit des flambeaux, ce ne sont que des yeux ;  Les Sangliers et les Ours, qu'elle suit et terrasse,  S'arrêtent en fuyant pour admirer sa grâce,  Et prévenant le coup de son fer inhumain  D'une langueur d'amour lui tombent sous la main ;  Devant elle les Cerfs ne courent pas pour vivre,  C'est pour lui présenter le plaisir de les suivre ;  Tous ces pleurs aux abois qui les viennent saisir  Sont des larmes de joie, ils meurent de plaisir.  Rien ne meurt, ou ne vit, qu'à dessein de lui plaire,  Tout rit à ses souhaits ; la fortune contraire,  (Bien loin de l'attaquer) tremble en la regardant ;  Le sort de qui l'offense à son fer est pendant ;  Ces Démons de la Cour, la trahison, l'envie,  N'ont autre mouvement que de plaire à sa vie :  Tout adore un Soleil, qui ne luit que pour moi,  Enfin tout obéit à qui je fais la loi.  N'est-ce pas trop ? Amour ! L'oserais-je prétendre ?  Tirer d'un feu si vif une si vive cendre,  Joindre Camille et moi par un si doux lien  N'est-ce pas pour te rendre envieux de mon bien.  Amour ! Roi des Esprits, favorable Génie,  Qui ne fais que d'appas ta douce tyrannie,  Dieu des coeurs, d'union, de plaisir, et d'accord,  Plus fort que la raison, plus puissant que la mort,  De qui le philtre est doux et sa douceur enivre,  Les peines sont plaisirs, et mourir n'est que vivre ;  Achève donc, Amour, poursuis, hâte le temps  Où repose l'espoir du bien que je prétends,  Ne laisse plus languir mon âme en cette attente ;  Soleil, heures, moments, que votre course est lente !  Pressez-vous, avancez, faites venir ce jour  Qui nous doit faire voir LE TRIOMPHE D'AMOUR :  Si pour vous émouvoir ma voix est inutile,  Apprenez, (et c'est trop) le désir de Camile,  Camille, qui peut rompre ordre, soir, et matin,  Et de sa volonté faire un second Destin.  Mais non, ne le fait pas, règle ma défiance,  Excuse leur paresse, et mon impatience ;  Chère Âme, c'est en vain que je voudrais presser  Ou l'Amour, ou le Temps, on ne peut les forcer.  Ma passion n'est plus de celles qui se plaignent ;  Seul j'adore l'Amour, les malheureux le craignent,  On le décrie à faux, dans son intégrité  Se trouve le vrai point de la félicité ;  Je veux, pour son honneur, présenter à l'envie  En leur état présent ma fortune et ma vie,  Combattre en sa faveur la malice du temps,  Montrer que ses bienfaits et mes voeux sont constants.  Ici Adraste sort."")","('#cloriande', ""Dois-je me réjouir ? Ou si je dois me plaindre  D'avoir pu par malheur à mes souhaits atteindre ?  Est-ce pour m'obliger, ô sort injurieux,  Qu'armé pour mon désir tu parais furieux ?  Un effet si sanglant, m'est-il doncque propice ?  Fallait-il, Roseline, après ton précipice  Voir encore deux coeurs au mien sacrifiés,  Deux esprits par le mien honteusement liés ?  Le destin, pour ôter à mes veux tout obstacle,  Pour moi d'un seul malheur a fait double miracle ;  L'un mettant l'autre à mort m'en décharge par là,  La mort de celui-ci m'arrête celui-là ;  Vachles m'importunait, Aristandre l'outrage,  Aristandre fuyait, et Vachles me l'engage ;  Pour mon bien leur malheur semble avoir combattu,  Je tire également profit de leur vertu,  (S'il faut ainsi nommer une action trop prompte,)  Vainqueur, comme vaincu, moi seule je les dompte :  Je doute si mon coeur est plus_ou_moins affligé,  Ou plus content de voir Aristandre engagé,  Si je dois plus avoir de pitié de sa peine,  Que de bénir son mal, et d'adorer la chaîne  (Toute rude qu'elle est) qui le tient en prison,  Qui de sa cruauté me fera la raison,  Qui me pourra prêter le temps et l'industrie  De l'obliger d'avoir pitié de ma furie,  Pour sortir de son mal, d'entrer dedans le mien,  De faire l'un pour l'autre, avançant notre bien :  Que j'aime son malheur, à qui je dois mes larmes !  Que mon sort et le sien, tous cruels, ont de charmes !  Que son mal me plaira, quand je le souffrirai !  Au-devant des travaux la première j'irai,  J'irai ? Quoi ? Sur ce point encore je demeure ?  Non non, c'est déjà trop, s'il a souffert une heure :  Dormez-vous, mon amour, et ma fidélité ?  Sus, il faut le tirer de sa captivité ;  Je veux pour l'obliger, faire en sorte qu'il tienne  Sa liberté de moi, qui lui tendrai la mienne,  Et mon coeur, pour le prix de son dégagement,  Je veux même en perdant profiter sagement :  Que Vachles soit tué, Roseline captive,  Cela me touche peu, pourvu que l'autre vive,  Aristandre, pourvu que tu pusses aimer,  Je verrais sans regret le monde s'abîmer,  Je verrais… Mot ; voici qui me ferme la bouche ;  Je vais bien adoucir ce visage farouche.  Doncque toujours ainsi je vous verrai troublé ?  Le Prince arrive tout triste et tout en colère."")",0.0,Match
1,"('#adraste', ""Aristandre ! Est-ce lui qui parle ? Est-il à croire  Qu'un esprit d'inconstance aille à cette victoire ?  Écoutons-le mentir sans témoins à part soi. "")","('#coryleon', 'Oui, tant que je serai de malheur accablé. ')",1.85,Substitution
2,"('#aristandre', ""Oui, montrons qu'il n'est rien plus ferme que ma foi. "")","('#cloriande', 'Mon Frère, voulez-vous ouïr une parole ? ')",1.27,Substitution
3,"('#adraste', 'La bouche dit cela, sans que le coeur y songe. ')","('#coryleon', ""J'en entendrai dix mille, et rien ne me console. "")",1.3,Substitution
4,"('#aristandre', 'Soutenons contre tous. ')","('#cloriande', 'Que dedans vos tourments vous êtes obstiné ! ')",1.16,Substitution
5,"('#adraste', ""La gloire d'un mensonge. "")","('#coryleon', ""Comme un homme, de joie et d'honneur ruiné. "")",1.16,Substitution
6,"('#aristandre', ""Qu'amour d'un peu de mal couvre mille plaisirs,  Que le vrai bien. "")","('#cloriande', ""Je ne puis plus enfin ni feindre, ni me taire ;  Et dussé-je courir hasard de vous déplaire,  Je vous dirai, mon Frère, en pure vérité  Que vous rendrez le Ciel contre vous irrité,  Si vous tirez à vous de si loin l'infortune  Qu'il faille qu'hors de vous le sort vous importune :  Et bien, Vachles est mort, l'impudence et l'orgueil  Ont mis un Assassin dans un honteux cercueil ;  Est-ce là pour en perdre et l'honneur et la joie ?  C'est aimer ses douleurs qui si la les emploie. "")",0.57,Substitution
7,"('#adraste', ""Dépend d'en perdre les désirs,  Qu'outre moi, vous prenez la raison à partie. "")","('#coryleon', ""Vous ne me touchez pas où la douleur me cuit ;  Il est vrai que ce mal encore me poursuit,  Que de l'Ambassadeur il faut que je réponde ;  Ma plaie est plus sanglante, hélas ! Plus je la sonde ;  Si je pense à ton sort, déplorable beauté,  Je trouve mon malheur dedans ma cruauté ;  Roseline ! Ah ! Ce nom dans ma bouche m'accuse. "")",0.63,Substitution
8,"('#aristandre', ""Et c'est toi ! Cher Ami, pour toute répartie  Avance, embrassons-nous, et me dis où tu viens. "")",,1.0,Insertion
9,"('#adraste', 'Pleurer un coeur perdu dans de honteux liens :  Non, mais vous quereller sur tant de menterie. ')","('#cloriande', ""Courage, nous l'aurons, il donne dans ma ruse.  Oui, ce nom vous reproche une infâme rigueur,  Ses larmes vous devraient entrer dedans le coeur,  Un soupir, de ses yeux une goutte versée  Amollirait une âme au carnage exercée :  L'innocente sans fin doit-elle ainsi gémir  Sous l'injure et les fers ? N'avez-vous pu vomir  Le fiel d'une colère (injuste reconnue)  Dans la honte mortelle où vous l'avez tenue ?  Ses vertus auraient pu porter à la pitié… "")",0.35,Substitution
