moliere-amants-magnifiques,quinault-alceste,Score
"('#clitidas', 'Il est attaché à ses pensées ?')",-,0.0
"('#sostrate', ""Non, Sostrate, je ne vois rien où tu puisses avoir recours, et tes maux sont d'une nature à ne te laisser nulle espérance d'en sortir."")",-,0.0
"('#clitidas', 'Il raisonne tout seul.')",-,0.0
"('#sostrate', 'Hélas !')",-,0.0
"('#clitidas', 'Voilà des soupirs qui veulent dire quelque chose, et ma conjecture se trouvera véritable.')",-,0.0
"('#sostrate', ""Sur quelles chimères, dis-moi, pourrais-tu bâtir quelque espoir, et que peux-tu envisager, que l'affreuse longueur d'une vie malheureuse, et des ennuis à ne finir que par la mort."")",-,0.0
"('#clitidas', 'Cette tête-là est plus embarrassée que la mienne ?')",-,0.0
"('#sostrate', ""Ah !  Mon coeur, ah !  Mon coeur, où m'avez-vous jeté ?"")",-,0.0
"('#clitidas', 'Serviteur, Seigneur Sostrate.')",-,0.0
"('#sostrate', 'Où vas-tu, Clitidas ?')",-,0.0
"('#clitidas', ""Mais vous plutôt, que faites-vous ici, et quelle secrète mélancolie, quelle humeur sombre, s'il vous plaît, vous peut retenir dans ces bois, tandis que tout le monde a couru en foule à la magnificence de la fête, dont l'amour du prince Iphicrate vient de régaler sur la mer la promenade des Princesses ; tandis qu'elles y ont reçu des cadeaux merveilleux de musique et de danse, et qu'on a vu les rochers et les ondes se parer de Divinités pour faire honneur à leurs attraits ?"")",-,0.0
"('#sostrate', ""Je me figure assez, sans la voir, cette magnificence, et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes, que j'ai cru à propos de ne pas augmenter le nombre des importuns."")",-,0.0
"('#clitidas', ""Vous savez que votre présence ne gâte jamais rien, et que vous n'êtes point de trop, en quelque lieu que vous soyez.  Votre visage est bien venu partout, et il n'a garde d'être de ces visages disgraciés, qui ne sont jamais bien reçus des regards souverains.  Vous êtes également bien auprès des deux princesses ; et la mère et la fille vous font assez connaître l'estime qu'elles font de vous pour n'appréhender pas de fatiguer leurs yeux ; et ce n'est pas cette crainte, enfin, qui vous a retenu."")",-,0.0
"('#sostrate', ""J'avoue que je n'ai pas naturellement grande curiosité pour ces sortes de choses."")",-,0.0
"('#clitidas', ""Mon_Dieu !  Quand on n'aurait nulle curiosité pour les choses, on en a toujours pour aller où l'on trouve tout le monde, et quoi que vous puissiez dire, on ne demeure point tout seul pendant une fête à rêver parmi des arbres comme vous faites, à moins d'avoir en tête quelque chose qui embarrasse."")",-,0.0
"('#sostrate', ""Que voudrais-tu que j'y pusse avoir ?"")",-,0.0
"('#clitidas', ""Ouais, je ne sais d'où cela vient, mais il sent ici l'amour ; ce n'est pas moi.  Ah !  Par ma foi c'est vous."")",-,0.0
"('#sostrate', 'Que tu es fou, Clitidas.')",-,0.0
"('#clitidas', ""Je ne suis point fou, vous êtes amoureux, j'ai le nez délicat, et j'ai senti cela d'abord."")",-,0.0
"('#sostrate', 'Sur quoi prends-tu cette pensée.')",-,0.0
"('#clitidas', 'Sur quoi ?  Vous seriez bien étonné si je vous disais encore de qui vous êtes amoureux.')",-,0.0
"('#sostrate', 'Moi ?')",-,0.0
"('#clitidas', ""Oui, je gage que je vais deviner tout à l'heure celle que vous aimez.  J'ai mes secrets aussi bien que notre astrologue, dont la princesse Aristione est entêtée ; et s'il a la science de lire dans les astres la fortune des hommes, j'ai celle de lire dans les yeux le nom des personnes qu'on aime.  Tenez-vous un peu, et ouvrez les yeux.  É, par soi, é, r, i, ri, éri, p, h, i, phi, ériphi ; l, e, le : Ériphile.  Vous êtes amoureux de la Princesse Ériphile."")",-,0.0
"('#sostrate', ""Ah !  Clitidas ; j'avoue que je ne puis cacher mon trouble, et tu me frappes d'un coup de foudre."")",-,0.0
"('#clitidas', 'Vous voyez si je suis savant ?')",-,0.0
"('#sostrate', 'Hélas !  Si, par quelque aventure, tu as pu découvrir le secret de mon coeur, je te conjure au moins de ne le révéler à qui que ce soit, et surtout de le tenir caché à la belle princesse dont tu viens de dire le nom.')",-,0.0
"('#clitidas', ""Et sérieusement parlant, si dans vos actions j'ai bien pu connaître, depuis un temps, la passion que vous voulez tenir secrète, pensez-vous que la princesse Ériphile puisse avoir manqué de lumière pour s'en apercevoir ?  Les belles, croyez-moi, sont toujours les plus clairvoyantes à découvrir les ardeurs qu'elles causent, et le langage des yeux et des soupirs se fait entendre mieux qu'à tout autre à celles à qui il s'adresse."")",-,0.0
"('#sostrate', ""Laissons-la, Clitidas, laissons-la voir si elle peut dans mes soupirs et mes regards l'amour que ses charmes m'inspirent, mais gardons bien que par nulle autre voie, elle en apprenne jamais rien."")",-,0.0
"('#clitidas', ""Et qu'appréhendez-vous ?  Est-il possible que ce même Sostrate qui n'a pas craint ni Brennus, ni tous les Gaulois et dont le bras a si glorieusement contribué à nous défaire de ce déluge de barbares qui ravageait la Grèce ?  Est-il possible, dis-je, qu'un homme si assuré dans la guerre soit si timide en amour, et que je le voie trembler à dire seulement qu'il aime ? "")",-,0.0
"('#sostrate', 'Ah !  Clitidas, je tremble avec raison, et tous les Gaulois du monde ensemble sont bien moins redoutables, que deux beaux yeux pleins de charmes.')",-,0.0
"('#clitidas', ""Je ne suis pas de cet avis, et je sais bien pour moi qu'un seul Gaulois l'épée à la main, me ferait beaucoup plus trembler que cinquante beaux yeux ensemble les plus charmants du monde.  Mais dites-moi un peu, qu'espérez-vous faire ?"")",-,0.0
"('#sostrate', 'Mourir sans déclarer ma passion.')",-,0.0
"('#clitidas', ""L'espérance est belle.  Allez, allez, vous vous moquez, un peu de hardiesse réussit toujours aux amants ; il n'y a en amour que les honteux qui perdent, et je dirais ma passion à une Déesse moi, si j'en devenais amoureux."")",-,0.0
"('#sostrate', 'Trop de choses, hélas !  Condamnent mes feux à un éternel silence.')",-,0.0
"('#clitidas', 'Hé quoi ?')",-,0.0
"('#sostrate', ""La bassesse de ma fortune, dont il plaît au Ciel de rabattre l'ambition de mon amour, le rang de la Princesse qui met entre elle et mes désirs une distance si fâcheuse, la concurrence de deux princes appuyés de tous les grands titres qui peuvent soutenir les prétentions de leurs flammes ; de deux princes qui par mille et mille magnificences, se disputent, à tous moments, la gloire de sa conquête, et sur l'amour de qui on attend tous les jours de voir son choix se déclarer, mais plus que tout, Clitidas, le respect inviolable où ses beaux yeux assujettissent toute la violence de mon ardeur."")",-,0.0
"('#clitidas', ""Le respect bien souvent n'oblige pas tant que l'amour, et je me trompe fort, ou la jeune princesse a connu votre flamme, et n'y est pas insensible."")",-,0.0
"('#sostrate', ""Ah !  Ne t'avise point de vouloir flatter par pitié le coeur d'un misérable."")",-,0.0
"('#clitidas', ""Ma conjecture est fondée.  Je lui vois reculer beaucoup le choix de son époux, et je veux éclaircir un peu cette petite affaire-là.  Vous savez que je suis auprès d'elle en quelque espèce de faveur, que j'y ai les accès ouverts, et qu'à force de me tourmenter je me suis acquis le privilège de me mêler à la conversation, et parler à tort et à travers de toutes choses.  Quelquefois cela ne me réussit pas, mais quelquefois aussi cela me réussit.  Laissez-moi faire, je suis de vos amis, les gens de mérite me touchent, et je veux prendre mon temps pour entretenir la Princesse de..."")",-,0.0
-,"('#la-nymphe-de-la-seine', ""LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  On n'entend plus d'Oiseau qui chante,  On ne voit plus de Fleurs qui naissent sous nos pas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  L'herbe naissante  Paraît mourante,  Tout languit avec moi dans ces lieux plein d'appas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Bruit de Guerre. Quel bruit de guerre m'épouvante ?  Quelle Divinité va descendre ici-bas. "")",0.0
-,"('#la-nymphe-de-la-seine', ""Hélas ! Superbe Gloire, hélas !  Ne dois-tu point être contente !  LE HEROS que j'attends, ne reviendra-t-il pas ?  Il ne te suit que trop dans l'horreur des Combats ;  Laisse en paix un moment sa Valeur triomphante  LE HEROS que j'attends, ne reviendra-t-il pas ? "")",0.0
-,"('#la-gloire', ""Pourquoi tant de murmure ? Nymphe, ta plainte est vaine,  Tu ne peux voir sans moi LE HEROS que tu sers,  Si son éloignement te coûte tant de peine,  Il récompense assez les douceurs que tu perds,  Vois ce qu'il fait pour Toi, quand la Gloire l'emmène ;  Vois comme sa Valeur a soumis à la Seine  Le Fleuve le plus fier qui soit dans l'Univers. "")",0.0
-,"('#la-nymphe-de-la-seine', 'On ne voit plus ici paraître  Que des Ornements imparfaits ;  Ah ! Rends-nous notre AUGUSTE MAITRE,  Tu nous rendras tous nos attraits. ')",0.0
-,"('#la-gloire', ""Il revient, et tu dois m'en croire ;  Je lui sers de guide avec soin :  Puisque tu vois la Gloire,  Ton Héros n'est pas loin.  Il laisse respirer tout le Monde qui tremble ;  Soyons ici d'accord pour combler ses désirs. "")",0.0
-,"('#ensemble', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")",0.0
-,"('#la-nymphe-de-la-seine', ""Naïades, Dieux des Bois, Nymphes, que tout s'assemble,  Qu'on entende nos chants après tant de soupirs. "")",0.0
-,"('#choeur', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")",0.0
-,"('#la-nymphe-des-tuileries', ""L'art d'accord avec la Nature  Sert l'Amour dans ces lieux charmants :  Ces Eaux qui font rêver par un si doux murmure,  Ces Tapis où les Fleurs forment tant d'ornements,  Ces Gazons, ces Lits de verdure,  Tout n'est fait que pour les Amants."")",0.0
-,"('#la-nymphe-de-la-marne', ""L'onde se presse  D'aller sans cesse  Jusqu'au bout de son cours :  S'il faut qu'un coeur suive une pente,  En est-il qui soit plus charmante  Que le doux penchant des Amours ?  On danse."")",0.0
-,"('#la-gloire #la-nymphe-de-la-seine', 'Que tout retentisse,  Que tout réponde à nos voix. ')",0.0
-,"('#la-nymphe-de-la-tuileries', 'Que tout fleurisse  Dans nos jardins et dans nos bois. ')",0.0
-,"('#la-nymphe-de-la-marne', ""Que le Chant des Oiseaux s'unisse  Avec le doux son des Hautbois. "")",0.0
-,"('#tous-ensemble', ""Que tout retentisse,  Que tout réponde à nos voix :  Que le Chant des Oiseaux s'unisse  Avec le doux son des hautbois. Que tout retentisse,  Que tout réponde à nos voix.  On danse."")",0.0
-,"('#choeur', ""Quel coeur sauvage  Ici ne s'engage ?  Quel coeur sauvage  Ne sent point l'amour ?  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  Ah, quel dommage  De fuir ce rivage !  Ah, quel dommage  De perdre un beau jour !  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  On danse."")",0.0
-,"('#choeurs', 'Revenez, Plaisirs exilés,  Volez de toutes parts, volez.  Les Plaisirs volent, et viennent préparer des Divertissements.')",0.0
-,"('#choeur', 'Vivez, vivez, heureux époux. ')",0.0
-,"('#licas', 'Votre Ami le plus cher, épouse la Princesse  La plus charmante de la Grèce :  Lorsque chacun les suit, Seigneur, les fuyez-vous ? ')",0.0
-,"('#choeur', 'Vivez, vivez, heureux Époux. ')",0.0
-,"('#licas', ""Vous paraissez troublé des cris qui retentissent ?  Quand deux Amants heureux s'unissent  Le coeur du grand Alcide en serait-il jaloux ? "")",0.0
-,"('#choeur', 'Vivez, vivez, heureux Époux. ')",0.0
-,"('#licas', 'Seigneur, vous soupirez, et gardez le silence ? ')",0.0
-,"('#alcide', 'Ah ! Licas, laisse-moi partir en diligence. ')",0.0
-,"('#licas', 'Quoi ! Dès ce même jour presser votre départ ? ')",0.0
"('#sostrate', ""Ah !  De grâce, quelque bonté que mon malheur t'inspire, garde-toi bien de lui rien dire de ma flamme.  J'aimerais mieux mourir que de pouvoir être accusé par elle de la moindre témérité, et ce profond respect où ses charmes divins..."")","('#alcide', ""J'aurai beau me presser, je partirai trop tard.  Ce n'est point avec toi que je prétends me taire ;  Alceste est trop aimable, elle a trop su me plaire ;  Un autre en est aimé, rien ne flatte mes voeux :  C'en est fait, Admète l'épouse,  Et c'est dans ce moment qu'on les unit tous deux.  Ah ! Qu'une âme jalouse  Éprouve un tourment rigoureux !  J'ai peine à l'exprimer moi-même :  Figure-toi, si tu le peux,  Quelle est l'horreur extrême  De voir ce que l'on aime,  Au pouvoir d'un Rival heureux. "")",0.7526196241378784
