,biancollelli-arlequin-gentilhomme,mongin-promenades-de-paris,Cost,Operation Type
0,"('#colombine', 'Allons, maître faquin, dénichez promptement. ')",,1.0,Insertion
1,"('#pierrot', ""C'est ainsi que l'on traite un méchant garnement,  Hors d'ici... "")","('#octave', ""Non, non, laisse-moi, Scaramouche, je ne veux plus avoir recours qu'au désespoir."")",1.46,Substitution
2,"('#arlequin', 'Modérez cette brusque colère,  Monsieur, que votre main soit un peu plus légère,  Et vous, Madame, ayez plus de compassion,  Vous pourriez bien me faire une contusion,  Je ne vis de mes jours femme plus violente,  Qui connaît mieux que moi votre humeur turbulente ? ')","('#scaramouche', 'Mais recourons auparavant à mon industrie, et écoutez-moi de grâce.')",1.39,Substitution
3,"('#colombine', ""Je ferais beaucoup mieux de te remercier,  Et te laisser gratis vider tout mon cellier,  Chez moi depuis trois mois tu prends ta nourriture,  J'ai voulu te prêter dix écus sans usure,  Et tu ne songes pas encore à t'acquitter,  Demain je prendrai soin de te faire arrêter,  Une obscure prison sera ta récompense,  Si par le paiement tu n'obtiens ta quittance. "")","('#octave', ""Quoi ?  Parce que je n'ai pas encore de quoi flatter l'ambition d'Élise, et que je ne puis lui donner ma foi et mon bien qu'après la mort de mon père, la cruelle me sacrifie à Monsieur_Calmar, elle reçoit ses soupirs, son amour, ses fêtes, et aujourd'hui même dans ce Bois_de_Boulogne il faut que je me voie la victime d'un rival odieux, d'un coffre-fort d'amour, en un mot d'un vieux Calmar ?"")",0.41,Substitution
4,"('#arlequin', ""Vous voulez en prison faire mettre Arlequin,  Je n'y resterai pas je suis trop libertin."")","('#scaramouche', ""Vous avez raison.  Vous sacrifier à Calmar, c'est préférer un hibou à un joli homme, une masette à un cheval d'Espagne, et une vieille savate à un jeune et souple escarpin. Mais il n'est plus de filles qui ne soient de mauvais goût pour devenir femmes."")",1.78,Substitution
5,"('#pierrot', ""Bon, bon, quand une fois tu seras dans la cage,  Quoique tu sois porté pour le libertinage,  Tu ne sortiras pas pour t'aller promener,  Je te ferai mon cher, moi-même emprisonner,  Foi de Pierrot, hélas ! Quel serment effroyable  Cela me fait trembler/ "")","('#octave', ""Des cheveux noirs avec des blancs, ah le bel assemblage !  Qu'il fera beau voir ce vieux Calmar sembler le père de sa femme, et n'être pas celui de tes enfants !"")",1.29,Substitution
6,"('#arlequin', ""Vous êtes trop bon Diable,  Vous n'avez pas le coeur de me faire enfermer. "")","('#scaramouche', ""Non, ce mariage-là n'est pas faisable, et je saurai bien l'empêcher, vous dis-je, si vous voulez me croire."")",1.26,Substitution
7,"('#pierrot', ""Oh si tu prenais l'air tu pourrais t'enrhumer,  Dans un cachot bien clos tu seras à ton aise. "")","('#octave', 'Mais quoi donc ?  Que veux-tu que je fasse ?')",1.52,Substitution
8,"('#arlequin', ""Le cachot est mal sain et n'a rien qui me plaise,  D'ailleurs la solitude a pour moi peu d'appas. "")","('#scaramouche', 'Il faut premièrement assister à la fête de Calmar sans nous faire connaître. ')",1.77,Substitution
9,"('#pierrot', 'Tu pourras converser avec Messieurs les rats,  Qui le jour et la nuit te tiendront compagnie. ')","('#octave', 'Et comment ?')",1.87,Substitution
