musset-lorenzaccio,rostand-cyrano,Score
"('#le-duc', ""Qu'elle se fasse attendre encore un quart d'heure, et je m'en vais.  Il fait un froid de tous les diables."")",-,0.0
"('#lorenzo', 'Patience, altesse, patience.')",-,0.0
"('#le-duc', 'Elle devait sortir de chez sa mère à minuit ; il est minuit, et elle ne vient pourtant pas.')",-,0.0
"('#lorenzo', 'Si elle ne vient pas, dites que je suis un sot, et que la vieille mère est une honnête femme.')",-,0.0
"('#le-duc', ""Entrailles du pape !  Avec tout cela je suis volé d'un millier de ducats !"")",-,0.0
"('#lorenzo', ""Nous n'avons avancé que moitié.  Je réponds de la petite.  Deux grands yeux languissants, cela ne trompe pas.  Quoi de plus curieux pour le connaisseur que la débauche à la mamelle ?  Voir dans une enfant de quinze ans la rouée à venir ; étudier, ensemencer, infiltrer paternellement le filon mystérieux du vice dans un conseil d'ami, dans une caresse au menton ; tout dire et ne rien dire, selon le caractère des parents ; - habituer doucement l'imagination qui se développe à donner des corps à ses fantômes, à toucher ce qui l'effraye, à mépriser ce qui la protège !  Cela va plus vite qu'on ne pense ; le vrai mérite est de frapper juste.  Et quel trésor que celle-ci !  Tout ce qui peut faire passer une nuit délicieuse à Votre Altesse !  Tant de pudeur !  Une jeune chatte qui veut bien des confitures, mais qui ne veut pas se salir la patte.  Proprette comme une Flamande !  La médiocrité bourgeoise en personne.  D'ailleurs, fille de bonnes gens, à qui leur peu de fortune n'a pas permis une éducation solide ; point de fond dans les principes, rien qu'un léger vernis ; mais quel flot violent d'un fleuve magnifique sous cette couche de glace fragile qui craque à chaque pas !  Jamais arbuste en fleur n'a promis de fruits plus rares, jamais je n'ai humé dans une atmosphère enfantine plus exquise odeur de courtisanerie."")",-,0.0
"('#le-duc', ""Sacrebleu !  Je ne vois pas le signal.  Il faut pourtant que j'aille au bal chez Nasi ; c'est aujourd'hui qu'il marie sa fille."")",-,0.0
"('#giomo', ""Allons au pavillon, monseigneur.  Puisqu'il ne s'agit que d'emporter une fille qui est à moitié payée, nous pouvons bien taper aux carreaux."")",-,0.0
"('#le-duc', ""Viens par ici ; le Hongrois a raison. Il me semblait dans mon rêve voir ma soeur traverser notre jardin tenant une lanterne sourde, et couverte de pierreries.  Je me suis éveillé en sursaut.  Dieu sait que ce n'est qu'une illusion, mais une illusion trop forte pour que le sommeil ne s'enfuie pas devant elle.  Grâce au ciel, les fenêtres du pavillon où couche la petite sont fermées comme de coutume ; j'aperçois faiblement la lumière de sa lampe entre les feuilles de notre vieux figuier.  Maintenant mes folles terreurs se dissipent ; les battements précipités de mon coeur font place à une douce tranquillité.  Insensé !  Mes yeux se remplissent de larmes, comme si ma pauvre soeur avait couru un véritable danger.  - Qu'entends-je ?  Qui remue là entre les branches ? Suis-je éveillé ?  C'est le fantôme de ma soeur.  Il tient une lanterne sourde, et un collier brillant étincelle sur sa poitrine aux rayons de la lune.  Gabrielle !  Gabrielle !  Où vas-tu ? Ils s'éloignent. - Entre Maffio. La soeur de Maffio passe dans l'éloignement. Rentrent Giomo et le duc."")",-,0.0
"('#giomo', ""Ce sera le bonhomme de frère pris de somnambulisme.  - Lorenzo conduira votre belle au palais par la petite porte ; et quant à nous, qu'avons-nous à craindre ?"")",-,0.0
"('#maffio', 'Qui êtes-vous ?  Holà !  Arrêtez ! Il tire son épée.')",-,0.0
"('#giomo', 'Honnête rustre, nous sommes tes amis.')",-,0.0
"('#maffio', 'Où est ma soeur ?  Que cherchez-vous ici ?')",-,0.0
"('#giomo', 'Ta soeur est dénichée, brave canaille.  Ouvre la grille de ton jardin.')",-,0.0
"('#maffio', 'Tire ton épée et défends-toi, assassin que tu es !')",-,0.0
"('#giomo', 'Halte-là !  Maître sot, pas si vite.')",-,0.0
"('#maffio', ""Ô honte !  Ô excès de misère !  S'il y a des lois à Florence si quelque justice vit encore sur la terre, par ce qu'il y a de vrai ; et de sacré au monde, je me jetterai aux pieds du duc, et il vous fera pendre tous les deux."")",-,0.0
"('#giomo', 'Aux pieds du duc ?')",-,0.0
"('#maffio', ""Oui, oui, je sais que les gredins de votre espèce égorgent impunément les familles.  Mais que je meure, entendez-vous, je ne mourrai pas silencieux comme tant d'autres.  Si le duc ne sait pas que sa ville est une forêt pleine de bandits, pleine d'empoisonneurs et de filles déshonorées, en voilà un qui le lui dira.  Ah !  Massacre !  Ah !  Fer et sang !  J'obtiendrai justice de vous !"")",-,0.0
"('#giomo', 'Faut-il frapper, Altesse ?')",-,0.0
"('#le-duc', ""Allons donc !  frapper ce pauvre homme !  Va te recoucher, mon ami ; nous t'enverrons demain quelques ducats. Il sort."")",-,0.0
"('#maffio', ""C'est Alexandre de Médicis !"")",-,0.0
"('#giomo', 'Lui-même, mon brave rustre.  Ne te vante pas de sa visite, si tu tiens à tes oreilles. Il sort.')",-,0.0
"('#le-marchand', 'Hé, hé, père Mondella, voilà bien du vent pour mes étoffes. Il étale ses pièces de soie.')",-,0.0
"('#l-orfevre', ""C'est à se casser la tête.  Au diable leur noce !  Je n'ai pas fermé l'oeil de la nuit."")",-,0.0
"('#le-marchand-de-soieries', ""Ni ma femme non plus, voisin ; la chère âme s'est tournée et retournée comme une anguille.  Ah !  Dame !  Quand on est jeune, on ne s'endort pas au bruit des violons."")",-,0.0
