quinault-isis,cahusac-l-algerien,Score
"('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')",-,0.0
"('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")",-,0.0
"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",-,0.0
"('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")",-,0.0
"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",-,0.0
"('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",-,0.0
"('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",-,0.0
"('#deux-tritons', ""C'est le Dieu des eaux qui va paraître Rangeons nous près de notre Maître Enchaînons les vents les plus terribles Que le bruit des flots cède à nos chants. Régnez Zéphirs paisibles, Ramenez le doux printemps."")",-,0.0
"('#neptune', ""Mon empire a servi de théâtre à la guerre, Publiez des exploits nouveaux C'est le même vainqueur Si fameux sur la terre Qui triomphe encor sur les eaux."")",-,0.0
"('#la-renommee #neptune', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",-,0.0
"('#choeurs', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",-,0.0
"('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')",-,0.0
"('#calliope #thalie #apollon', 'Ne troublez point les charmes De nos divins concerts.')",-,0.0
"('#calliope', 'Recommençons nos chants, Allons les faire entendre.')",-,0.0
"('#melpomene', 'Dans une auguste Cour.')",-,0.0
"('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",-,0.0
"('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",-,0.0
"('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')",-,0.0
"('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')",-,0.0
"('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')",-,0.0
"('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",-,0.0
"('#apollon #neptune #la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",-,0.0
"('#le-choeur', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')",-,0.0
