,quinault-cadmus-hermione,quinault-persee,Cost,Operation Type
0,"('#pales', 'Hâtez-vous, Pasteurs, accourez.')",,1.0,Insertion
1,"('#melisse', 'La voix des oiseaux nous appelle.')",,1.0,Insertion
2,"('#pales', 'Nos champs sont éclairés.')",,1.0,Insertion
3,"('#melisse', 'Nos coteaux sont dorés.')","('#phronime', ""La Vertu veut choisir ce lieu pour sa retraite : C'est un heureux séjour ; tout y plaît à mes yeux."")",1.8,Substitution
4,"('#pales', ""Tout brille de l'éclat de la clarté nouvelle."")","('#megathyme', 'La Vertu fait trouver dans les plus tristes lieux Une félicité secrète')",1.5,Substitution
5,"('#melisse', 'Mille fleurs naissent dans nos prés :')",,1.0,Insertion
6,"('#pales #melisse', ""Que l'Astre qui nous luit rend la nature belle ! Ne perdons pas un seul moment D'un jour si doux et si charmant. Le choeur répète les deux derniers vers."")","('#phronime', ""Sans la Vertu, sans son secours, On n'a point de bien véritable. Elle est toujours aimable ; Il faut l'aimer toujours."")",0.7,Substitution
7,"('#le-choeur', ""Admirons, admirons l'Astre qui nous éclaire, Chantons la gloire de son cours ; Que tout le Monde revère Le Dieu qui fait nos beaux jours. Pan, Dieu des Bergers paraît accompagné de joueurs d'instruments champêtres, et de danseurs rustiques, qui viennent prendre part à la réjouissance des nymphes et des pasteurs, et tous ensemble commencent à former une manière de fête à l'honneur du Dieu qui donne le jour."")","('#megathyme', ""Elle éternise la mémoire D'un héros qui la suit. La gloire où la Vertu conduit Est la parfaite gloire."")",0.93,Substitution
8,"('#pan', ""Que chacun se ressente De la douceur charmante, Que le Soleil répand sur ces heureux climats. Il n'est rien qui n'enchante Dans ces lieux pleins d'appas, Tout y rit, tout y chante, Hé pourquoi ne rirons-nous pas ? Les danseurs rustiques qui ont suivi le Dieu Pan, commencent une fête qui est interrompue par des bruits souterrains, et par une espèce de Nuit qui obscurcit le théâtre entièrement, et tout_à_coup ; ce qui de frayeur qui sont une manière de concert affreux, avec les bruits souterrains."")","('#phronime #megathyme', ""Suivons partout ses pas,  On ne peut la connaître  Sans aimer ses appas. Le bonheur ne peut être Où la Vertu n'est pas. La Vertu s'avance au milieu d'un troupe de suivants et de suivantes. L'innocence et les Plaisirs innocents accompagnent la Vertu."")",0.17,Substitution
9,"('#choeurs', ""Quel désordre soudain ! quel bruit affreux redoutable ! Que épouvantable fracas ! Quels gouffres s'ouvrent sous nos pas ! Le jour palît, le Ciel se trouble ; La Terre va vomir tout l'Enfer en courroux : Fuyons, fuyons, sauvons-nous, sauvons-nous. Dans cette obscurité soudaine, l'Envie sort de son antre qui s'ouvre au milieu du théâtre : elle évoque le monstrueux Serpent Python, qui paraît dans son marais bourbeux, jettant des feux par la gueule et par les yeux, qui sont la seule lumière qui éclaire le théâtre : elle appelle les Vents les plus impétueux pour seconder sa fureur, elle en fait sortir quatre de ceux qui sont renfermez dans les cavernes souterraines, et elle en fait descendre quatre autres de ceux qui forment les orages, qui tous après avoir volé et s'être croisés dans l'air, viennent se ranger autour d'elle, pour l'aider à troubler les beaux jours que le Soleil donne au monde."")","('#phronime #megathyme #choeur', ""Ô Vertu charmante ! Votre empire est doux.  Avec vous, tout nous contente ; On n'est point heureux sans vous. Ô Vertu charmante, Votre empire est doux."")",1.35,Substitution
