dancourt-metempsychose,dufresny-adieux-des-officiers,Score
"('#mercure', ""Je cherche en vain de toutes parts.  La Paix, dans ces climats avant moi descendue,  Ne s'offre point à mes regards ;  Où peut-elle être retenue.  Mais quel éclat vient de percer la nue ?  C'est elle, je la vois. "")",-,0.0
"('#la-paix', 'En croirai-je mes yeux ?  Mercure déjà dans ces lieux ! ')",-,0.0
"('#mercure', ""C'est moi-même, divine Astrée ;  Mais vous depuis longtemps des mortels malheureux  Avec tant d'ardeur désirée,  Vous me semblez bien lente à contenter leurs voeux.  Avec empressement de la voûte azurée,  Je vous ai vue partir pour vous rendre chez eux.  J'ai, depuis vous, quitté les cieux,  Et vous croyais ici déjà bien établie.  Cependant à ce que je vois,  Vous arrivez même après moi. "")",-,0.0
"('#la-paix', ""Mon ardeur en chemin s'est un peu ralentie,  En traversant d'abord rapidement les airs,  Avec plaisir j'ai vu les enfants de la Terre  Détruire, par tout l'Univers,  Les autels du Dieu de la Guerre,  Et mettre la discorde aux fers.  J'ai vu l'ambition, la fureur et la rage,  Se cachant au fond des enfers,  Laisser mille Peuples divers  Dégagés de leur esclavage,  Et des maux qu'ils en ont soufferts. "")",-,0.0
"('#mercure', ""Ainsi donc tout était disposé pour vous rendre  Les tranquilles tributs qu'on doit à vos autels,  Et vous auriez dû moins attendre  À remplir les voeux des mortels. "")",-,0.0
"('#la-paix', ""Ne me condamnez pas sans m'écouter, Mercure,  Avant que d'établir ici-bas mon séjour,  Mon premier soin est d'être sûre  Que j'y tiendrai longtemps ma cour ;  Et je veux, aux mortels que ma présence assure,  Une félicité qui dure plus d'un jour.  J'attends que tous les Dieux s'empressent de détruire  De concert avec moi tout ce qui peut leur nuire ;  L'avarice, l'orgueil, l'usure, monstre affreux  Et mille fois plus à craindre pour eux,  Que ceux qu'en sa fureur Bellone peut produire.  C'est peu qu'entre les Nations  Par leurs pressants besoins, par leur propre prudence,  On croie avoir éteint la violence  De leurs longues divisions.  Il faut que Jupiter par sa bonté suprême,  Se prête au bonheur des humains,  Qu'il daigne travailler lui-même  À leur faire d'heureux destins. "")",-,0.0
"('#mercure', ""Jupiter songe à remplir vos desseins,  Et puisqu'en ces climats vous venez de descendre,  Que vous choisissez pour séjour  Le même asile que l'Amour,  Les jeux et les plaisirs en foule vont s'y rendre.  Déjà de toutes parts ils volent en ces lieux :  Et moi, par ordre exprès du Souverain des Dieux,  Je viens rendre à cette contrée,  Par vous contre le sort à présent rassurée,  Tout ce que les Beaux-Arts ont de plus précieux.  Avec Bacchus l'Amour d'intelligence  Y va répandre l'abondance.  Le Dieu des Mers,  Des plus lointains climats du monde,  Sur le sein de l'onde,  Y conduira mille peuples divers. "")",-,0.0
"('#la-paix', ""Que de Paris, cette superbe ville,  Le beau séjour aura pour eux d'attraits ! "")",-,0.0
"('#mercure', 'Il est le séjour de la Paix :  Il doit être heureux et tranquille. ')",-,0.0
"('#la-paix', ""Par Bacchus et l'Amour comme il est habité,  Je ne réponds pas trop de sa tranquillité. "")",-,0.0
"('#mercure', ""Pour vivre avec eux, sans craindre  L'éclat bruyant de leur Divinité,  Il n'a qu'à ne les pas contraindre,  Tous deux aiment la liberté."")",-,0.0
"('#la-paix', 'Ils en pourront jouir en toute sûreté. ')",-,0.0
"('#mercure', ""Non, tant mieux, pour fixer la troupe passagère,  Qui de l'un et l'autre hémisphère  Vous viendra faire ici sa cour,  Leur secours nous est nécessaire. "")",-,0.0
"('#la-paix', ""Ils s'empresseront à me plaire,  Et nous serviront tour à tour.  Mais, Mercure, aux plaisirs d'aimer, à ceux de boire,  On ne peut pas toujours donner tous ses moments ;  Cherchons, si vous m'en voulez croire,  Quelques autres amusements. "")",-,0.0
"('#mercure', 'Il en est ici de charmants,  Et que tout le monde idolâtre. ')",-,0.0
"('#la-paix', 'Je les connais ceux du Théâtre ;  Mais on dit que depuis un temps  Ils sont devenus languissants. ')",-,0.0
"('#mercure', ""Sans vous tout déplaît, tout ennuie.  Mais pour leur redonner de nouveaux agréments,  Apollon consent que Thalie  Et la Muse de l'harmonie,  Donnent des spectacles galants,  Et puissent de concert exercer leurs talents. "")",-,0.0
"('#la-paix', ""J'augure bien d'un si noble assemblage. "")",-,0.0
"('#mercure', ""C'est le sujet de mon voyage,  Et je n'y perdrai point de temps. "")",-,0.0
"('#la-paix', ""Thalie auprès de nous s'avance. "")",-,0.0
