aubignac-pucelle,aubignac-pucelle-prose,Score
"('#l-ange', ""Sainte fille du Ciel, Pucelle incomparable,  De ton Prince affligé le secours adorable,  Quitte pour un moment la charge de tes fers, Et sors par ma faveur de tes cachots ouverts, Viens apprendre de moi ma dernière assistance Et de ton sort heureux la plus belle ordonnance Dans les tristes horreurs de cette épaisse nuit Vois ce long trait de feu qui vers moi te conduit, Marche, marche et béni l'éclair que je t'envoie Pour tracer à tes pieds une agréable voie."")",-,0.0
"('#la-pucelle', ""Quels nouveaux sentiments d'un céleste bonheur M'ouvrent l'âme et les sens à la voix du Seigneur ? Ha j'entends et je vois son divin interprète Qui me va déclarer sa volonté secrète."")",-,0.0
"('#l-ange', ""Écoute seulement, et ne t'étonne pas ; Par les ordres du Ciel, au milieu des combats. J'ai soutenu ta force et conduit ton épée Contre les oppresseurs de la France usurpée, En prison, sur ta vie et contre ton repos Le conseil des méchants a fait de vains complots, J'ai mis ton innocence au dessus de leur rage, Et je me trouve au bout de mon illustre ouvrage : Mais il me reste encore au point où je te vois À te fortifier toi-même contre toi, Dieu voulant de ton sort te rendre la maîtresse Ordonne à ma vertu d'appuyer ta faiblesse, Et de porter ton coeur à de hauts mouvements Au delà de ta force et de tes sentiments. Ce fut pour obéir à la toute puissance Que ma main t'éleva d'une basse naissance, Appliquant ton courage à ces nobles emplois Ou ton bras généreux par tant de grands exploits De Charles ruiné rétablit les affaires, Et le fit remonter au trône de ses pères : File et simple bergère, on te vit d'un grand coeur Faire craindre partout ce Monarque vainqueur, Et traîner après toi l'honneur et la victoire Dépouillant de lauriers tout le champ de la gloire Par des faits inouïs merveilleux en leur cours Qu'on ne croira jamais et qu'on lira toujours. Tu n'as plus maintenant de monarque à défendre, De bataille à gagner, ni de ville à reprendre, Et tout ce qui te reste en ce dernier effort C'est de paraître ferme et voir venir la mort. Elle vient, elle accourt, et par cette journée Ta prison se termine et ta vie est bornée."")",-,0.0
"('#la-pucelle', ""Que Dieu fasse de moi tout ce qu'il en résout, J'adore ses décrets, et je suis prête à tout."")",-,0.0
"('#l-ange', ""Fille heureuse et sans prix, qui malgré tant d'obstacles As fait du Dieu vivant les célèbres miracles, J'apporte de tes maux l'entière guérison Et pour t'ouvrir le Ciel je t'ouvre la prison. En cet endroit fatal tu seras condamnée, Et dans ce même endroit tu feras couronnée, Contre toi l'injustice élèvera son bras, Elle t'outragera, mais tu la confondras Soutiendra ta pensée et conduira ta voix. Et ta sainte innocence avant que l'on l'opprime. Même en son tribunal fera trembler le crime : Tu n'appréhenderas supplice, ni tourment Si tu connais la main qui rompt dans un moment. En dépit des méchants, tes prisons criminelles, Puisqu'elle peut sur eux ce qu'elle a fait sur elles ; Oui, tu leur jetteras la honte sur le front Et tu les jugeras quand ils te jugeront. Songeant à leur fureur ne craint point ta faiblesse, Car si dans le besoin l'éloquence te laisse, Là mon heureux secours éprouvé tant de fois Où si dans mes faveurs tu manques de refuges Et que t'abandonnant au pouvoir de tes juges. Mon secours au dehors te quitte désormais, Souffre l'ordre d'en haut, ne murmure jamais, Puisqu'elle vient du Ciel laisse choir la tempête, Ton âme ira d'un vol et plus noble et plus prompt, Elle en sera plus grande et ses forces croîtront. En ce coup généreux d'esprit et de courage On verra triompher et ton sexe et ton âge, La mort t'apparaîtra sous le masque trompeur Dont elle se déguise afin de faire peur, Tu l'envisageras sans que ton coeur frémisse, C'est la même à la guerre, et la même au supplice, Et celle que tu vis au milieu des combats Dans ce martyre saint ne dégénère pas. Et toute généreuse ira jusqu'à la fin. Nos lâches ennemis que tu combles d'envie Attendent que ta mort fasse honte à ta vie, Mais ta noble vertu souffrira son destin, Et toute généreuse ira jusqu'à la fin. Donc pour te disposer, puisque Dieu le commande À ce dernier combat dont la palme est si grande, Et si fort importante à quiconque est vainqueur, Par tes yeux à ta peine accoutume ton coeur En voilà dans les airs une image tracée, Occupe là-dessus tes yeux et ta pensée, Et lisant dans ce vague où ton sort est écrit, Renforce ta vigueur, ranime ton esprit, Vois le brillant tableau du funeste supplice Qu'à ta sainte vertu prépare l'injustice, Il te faudra franchir ces brasiers que voilà Et pour aller au Ciel tu passeras par là ; Vois la foule d'un peuple autour d'une innocente Qui dans l'ardeur des feux demeure si constante, Tache de limiter jusqu'à son moindre trait, Et que l'original soit digne du portrait. Ici paraîtra en perspective une femme dans un feu allumé, et une foule de peuple à l'entour d'elle."")",-,0.0
"('#la-pucelle', ""Flammes, je veux souffrir votre ardeur violente, Ha qu'en me consommant vous me rendrez brillante, Mon âme fera voir contre vos traits puissants Ma résolution plus forte que mes sens."")",-,0.0
"('#l-ange', ""Va, poursuis, je te laiSSe, ô fille trop heureuse, Par dessus tout le sexe, et forte, et courageuse, Je remets ta conduite à ta seule vertu, Et reprends le sentier que j'ai tantôt battu, Regarde en m'en allant où la gloire séjourne, Tu t'en iras bientôt par où je m'en retourne, Afin d'y recevoir une félicité Rayonnante d'honneur et d'immortalité."")",-,0.0
"('#le-garde', ""D'où vient ce grand éclat ?"")",-,0.0
"('#la-pucelle', ""Ô belle et sainte voie Qui mène au clair séjour de l'éternelle joie, Que je m'élèverais d'un vol doux, et plaisant, Et que le corps à l'âme est un fardeau pesant. Je suis prête à te suivre, ô bienheureux génie, Sacré consolateur de ma peine infinie, Illumine mon coeur par le zèle aveuglé, Et que ma passion n'ait rien que de réglé, Donne moi de la force en ces vives atteintes Et soutiens mes désirs aussi bien que mes craintes, Achève promptement ces dangereux combats Puisque mon bien dépend de hâter mon trépas."")",-,0.0
"('#le-garde', ""Quelle grande clarté. Mais dieu quelle ombre obscure ! La sorcière peut bien causer cette aventure, Et se voulant soustraire à la garde de tous Faire ce jour pour elle, et cette nuit pour nous Ha ! Je la tiens. Tout s'évanouit."")",-,0.0
