,corneillep-veuve,corneillep-veuve-34,Cost,Operation Type
0,,"('#philiste', 'Dis ce que tu voudras, chacun a sa méthode.')",1.0,Deletion
1,"('#alcidon', ""J'en demeure d'accord, chacun a sa méthode, Mais la tienne pour moi serait trop incommode, Mon coeur ne pourrait pas conserver tant de feu S'il fallait que ma bouche en témoignât si peu. Depuis près de deux ans tu brûles pour Clarice, Et plus ton amour croît, moins elle en a d'indice, Il semble qu'à languir tes désirs sont contents, Et que tu n'as pour but que de perdre ton temps. Quel fruit espères-tu de ta persévérance À la traiter toujours avec indifférence ? Auprès d'elle assidu sans lui parler d'amour, Veux-tu qu'elle commence à te faire la cour ?"")","('#alcidon', ""Mais la tienne pour moi serait trop incommode : Mon coeur ne pourrait pas conserver tant de feu, S'il fallait que ma bouche en témoignât si peu : Depuis près de deux ans tu brûles pour Clarice Et plus ton amour croît, moins elle en a d'indice. Il semble qu'à languir tes désirs sont contents, Et que tu n'as pour but que de perdre ton temps, Quel fruit espères-tu de ta persévérance À la traiter toujours avec indifférence ? Auprès d'elle assidu, sans lui parler d'amour, Veux-tu qu'elle commence à te faire la cour ?"")",0.0,Match
2,"('#philiste', ""Non, mais à dire vrai, je veux qu'elle devine."")","('#philiste', ""Non pas, mais pour le moins je veux qu'elle devine."")",0.0,Match
3,"('#alcidon', ""Ton espoir, qui te flatte, en vain se l'imagine, Clarice avec raison prend pour stupidité Ce ridicule effet de ta timidité."")","('#alcidon', ""C'en est trop présumer, cette beauté divine Avec juste raison prend pour stupidité Ce qui n'est qu'un effet de ta timidité."")",0.0,Match
4,"('#philiste', ""Peut-être, mais enfin, vois-tu qu'elle me fuie, Qu'indifférent qu'il est mon entretien l'ennuie, Que je lui sois à charge, et lorsque je la vois, Qu'elle use d'artifice à s'échapper de moi ? Sans te mettre en souci quelle en sera la suite, Apprends comme l'amour doit régler sa conduite. Aussitôt qu'une dame a charmé nos esprits, Offrir notre service au hasard d'un mépris, Et nous abandonnant à nos brusques saillies, Au lieu de notre ardeur lui montrer nos folies, Nous attirer sur l'heure un dédain éclatant : Il n'est si maladroit qui n'en fît bien autant. Il faut s'en faire aimer avant qu'on se déclare. Notre submission à l'orgueil la prépare. Lui dire incontinent son pouvoir souverain, C'est mettre à sa rigueur les armes à la main. Usons, pour être aimés, d'un meilleur artifice Et sans lui rien offrir, rendons-lui du service ; Réglons sur son humeur toutes nos actions, Réglons tous nos desseins sur ses intentions, Tant que par la douceur d'une longue hantise Comme insensiblement elle se trouve prise. C'est par là que l'on sème aux dames des appas, Qu'elles n'évitent point, ne les prévoyant pas. Leur haine envers l'amour pourrait être un prodige, Que le seul nom les choque, et l'effet les oblige."")","('#philiste', ""Mais as-tu remarqué que Clarice me fuie ; Qu'indifférent qu'il est mon entretien l'ennuie, Que je lui sois à charge, et lorsque je la vois, Qu'elle use d'artifice à s'échapper de moi ? Sans te mettre en souci du feu qui me consomme, Apprends comme l'amour se traite en honnête homme, Aussitôt qu'une dame en ses rets nous a pris Offrir notre service au hasard d'un mépris, Et nous laissant conduire à nos brusques saillies, Au lieu de notre amour lui montrer nos folies, Qu'un superbe dédain punisse au même instant : Il n'est si maladroit qui n'en fît bien autant. Il faut s'en faire aimer avant qu'on se déclare, Notre submission à l'orgueil la prépare. Lui dire incontinent son pouvoir souverain C'est mettre à sa rigueur les armes à la main : Usons pour être aimés d'un meilleur artifice, Sans en rien protester rendons-lui du service, Réglons sur son humeur toutes nos actions, Ajustons nos desseins à ses intentions, Tant que par la douceur d'une longue hantise Comme insensiblement elle se trouve prise. C'est par là que l'on sème aux dames des appas Qu'elles n'évitent point ne les prévoyant pas. Leur haine envers l'amour pourrait être un prodige Que le seul nom les choque et l'effet les oblige."")",0.0,Match
5,"('#alcidon', ""Suive qui le voudra ce procédé nouveau : Mon feu me déplairait caché sous ce rideau. Ne parler point d'amour ! Pour moi, je me défie Des fantasques raisons de ta philosophie : Ce n'est pas là mon jeu, le joli passe-temps, D'être auprès d'une dame et causer du beau temps Lui jurer que Paris est toujours plein de fange, Qu'un certain parfumeur vend de fort bonne eau d'ange, Qu'un cavalier regarde un autre de travers, Que dans la comédie on dit d'assez bons vers, Qu'Aglante avec Philis dans un mois se marie ! Change, pauvre abusé, change de batterie, Conte ce qui te mène, et ne t'amuse pas À perdre innocemment tes discours et tes pas."")","('#alcidon', ""Suive qui le voudra ce nouveau procédé, Mon feu me déplairait d'être ainsi gourmandé. Ne parler point d'amour ! Pour moi je me défie Des fantasques raisons de ta Philosophie. Ce n'est pas là mon jeu ; le joli passe-temps, D'être auprès d'une dame et causer du beau temps, Lui jurer que Paris est toujours plein de fange, Qu'un certain parfumeur vend de fort bonne eau d'ange, Qu'un cavalier regarde un autre de travers, Que dans la comédie on dit d'assez bons vers, Qu'un tel dedans le mois d'une telle s'accorde ! Touche, pauvre abusé, touche la grosse corde, Conte ce qui te mène, et ne t'amuse pas À perdre sottement tes discours et tes pas."")",0.0,Match
6,"('#philiste', ""Je les aurais perdus auprès de ma maîtresse, Si je n'eusse employé que la commune adresse, Puisqu'inégal de biens et de condition, Je ne pouvais prétendre à son affection."")","('#philiste', ""Je les aurais perdus auprès de ma maîtresse, Si je n'eusse employé que la commune adresse, Puisqu'inégal de biens et de condition, Je ne pouvais prétendre à son affection."")",0.0,Match
7,"('#alcidon', ""Mais si tu ne les perds, je le tiens à miracle, Puisqu'ainsi ton amour rencontre un double obstacle, Et que ton froid silence et l'inégalité S'opposent tout ensemble à ta témérité."")","('#alcidon', ""Mais si tu ne les perds, je le tiens à miracle, Vu que par là ton feu rencontre un double obstacle, Et que ton froid silence et l'inégalité, S'opposent à la fois à ta témérité."")",0.0,Match
8,"('#philiste', ""Crois que de la façon dont j'ai su me conduire Mon silence n'est pas en état de me nuire : Mille petits devoirs ont tant parlé pour moi, Qu'il ne m'est plus permis de douter de sa foi. Mes soupirs et les siens font un secret langage Par où son coeur au mien à tous moments s'engage : Des coups d'oeil languissants, des souris ajustés, Des penchements de tête à demi concertés, Et mille autres douceurs aux seuls amants connues Nous font voir chaque jour nos âmes toutes nues, Nous sont de bons garants d'un feu qui chaque jour..."")","('#philiste', ""Crois que de la façon dont j'ai su me conduire Mon silence n'est pas en état de me nuire, Mille petits devoirs ont trop parlé pour moi, Ses regards chaque jour m'assurent de sa foi, Ses soupirs et les miens font un secret langage Par où son coeur au mien à tous moments s'engage, Nos voeux, quoi que muets, s'entendent aisément, Et quand quelques baisers sont dûs par compliment."")",0.0,Match
9,,"('#alcidon', ""Je m'imagine alors qu'elle en t'en dénie ?"")",1.0,Deletion
