mareschala-genereuse-allemande,mareschala-genereuse-allemande-2,Score
"('#aristandre', ""Quelle félicité flatte mon espérance !  Doux serments, beaux liens, agréable assurance,  De quelles voluptés venez-vous me parler ?  Ma passion me dit qu'on remarque voler  D'une aile de plaisir Amour sur mon visage :  Mes désirs en mon coeur ne font plus de nuage,  Et ce contentement qui dans mes yeux est peint  Donne l'âme à mes sens, la couleur à mon teint ;  Un jour de ce plaisir en ces transports extrêmes  Rend mon sort plus heureux que celui des Dieux mêmes ;  Donne, Amour ! (Et ce point achève mon destin)  À l'Aube de ce jour une pareille fin ;  Si je le passe entier, je n'en veux jamais d'autre,  Dieux, j'ai mon Paradis, je vous laisse le vôtre.  Et que voudrais-je plus ? Ayant mos sous mes lois  Une Beauté qui dût en donner à des Rois,  Une, pour qui le Ciel fait l'amour à la Terre,  Pour qui les Éléments s'accordent en leur guerre,  Que la Nature admire, et n'ose en cet effet  Douteuse en la voyant croire ce qu'elle a fait ;  La Beauté la plus grande et la plus renommée  Auprès d'un feu si beau ne serait que fumée,  Ne serait, (je le dis hors de mes passions)  Que pour servir de lustre à ses perfections :  La vaine Antiquité qu'a-t-elle dans la fable  D'orgueilleux ou de beau qui lui soit comparable ?  Amour rit en sa bouche, et combat dans ses yeux ;  Diane sur son front plus poli que les Cieux,  Comme en un champ de neige, entre les lys se joue ;  Et de honte et d'amour rougit dessus sa joue,  Lorsqu'au lieu d'un Soleil, qu'on ne saurait toucher,  Elle en baise ici deux qu'on ne lui peut cacher ;  Junon lui céderait, quand superbe elle éclate  Dedans sa majesté d'un orgueil qui nous flatte ;  Vénus ne feindrait point, aux yeux mêmes de Mars,  D'étudier ses traits, sa mine, et ses regards ;  Et parmi tant d'appas ce grand Dieu de la Thrace  Verrait en sa Valeur une quatrième Grâce ;  L'honneur avecque lui tient son coeur balancé  D'un mouvement égal de tous deux élancé :  Bref, sans intéresser ni la foi, ni la fable,  Tant de Divinités font un corps adorable :  Tous ces Dieux de l'erreur, sous l'âge ensevelis,  Camille les fait vivre, et les a recueillis  Quelques-uns dans son coeur, d'autres en son visage,  Où les perfections sont toutes en usage ;  Oui, Nature la fit divine en qualité,  Afin qu'on put sans crime adorer sa beauté.  Doncque, si tu ne veux qu'un chacun te décrie,  Pardonne, ô Ciel jaloux ! à mon idolâtrie :  Veuille le Ciel, ou non, favorable, ou mutin,  Je t'adore, Camille ; et voilà mon destin.  Adorer un objet de grâce singulière,  Une Divinité visible, et familière ?  Beau péché ! Puisqu'on voit la Terre en ce dessein  Pour elle se tirer l'or et l'argent du sein,  La Mer, les diamants, et les perles, et l'ambre,  L'air nourrir les Zéphyrs, et le musc en sa chambre,  Et Flore sous ses pieds tapisser un chemin  D'anémones, de lys, de roses, de jasmin.  Le Soleil pour la voir seulement luit au Monde ;  Lorsqu'elle se retire, il se plonge dans l'onde,  Non pas (comme on le croit) afin de se coucher,  Mais c'est que de regrets et il va se cacher ;  L'Aurore en l'admirant tombe en gouttes menues,  L'air enflammé d'amour ouvre et chasse les nues ;  Tant d'étoiles qu'on voit briller dedans les Cieux,  On les croit des flambeaux, ce ne sont que des yeux ;  Les Sangliers et les Ours, qu'elle suit et terrasse,  S'arrêtent en fuyant pour admirer sa grâce,  Et prévenant le coup de son fer inhumain  D'une langueur d'amour lui tombent sous la main ;  Devant elle les Cerfs ne courent pas pour vivre,  C'est pour lui présenter le plaisir de les suivre ;  Tous ces pleurs aux abois qui les viennent saisir  Sont des larmes de joie, ils meurent de plaisir.  Rien ne meurt, ou ne vit, qu'à dessein de lui plaire,  Tout rit à ses souhaits ; la fortune contraire,  (Bien loin de l'attaquer) tremble en la regardant ;  Le sort de qui l'offense à son fer est pendant ;  Ces Démons de la Cour, la trahison, l'envie,  N'ont autre mouvement que de plaire à sa vie :  Tout adore un Soleil, qui ne luit que pour moi,  Enfin tout obéit à qui je fais la loi.  N'est-ce pas trop ? Amour ! L'oserais-je prétendre ?  Tirer d'un feu si vif une si vive cendre,  Joindre Camille et moi par un si doux lien  N'est-ce pas pour te rendre envieux de mon bien.  Amour ! Roi des Esprits, favorable Génie,  Qui ne fais que d'appas ta douce tyrannie,  Dieu des coeurs, d'union, de plaisir, et d'accord,  Plus fort que la raison, plus puissant que la mort,  De qui le philtre est doux et sa douceur enivre,  Les peines sont plaisirs, et mourir n'est que vivre ;  Achève donc, Amour, poursuis, hâte le temps  Où repose l'espoir du bien que je prétends,  Ne laisse plus languir mon âme en cette attente ;  Soleil, heures, moments, que votre course est lente !  Pressez-vous, avancez, faites venir ce jour  Qui nous doit faire voir LE TRIOMPHE D'AMOUR :  Si pour vous émouvoir ma voix est inutile,  Apprenez, (et c'est trop) le désir de Camile,  Camille, qui peut rompre ordre, soir, et matin,  Et de sa volonté faire un second Destin.  Mais non, ne le fait pas, règle ma défiance,  Excuse leur paresse, et mon impatience ;  Chère Âme, c'est en vain que je voudrais presser  Ou l'Amour, ou le Temps, on ne peut les forcer.  Ma passion n'est plus de celles qui se plaignent ;  Seul j'adore l'Amour, les malheureux le craignent,  On le décrie à faux, dans son intégrité  Se trouve le vrai point de la félicité ;  Je veux, pour son honneur, présenter à l'envie  En leur état présent ma fortune et ma vie,  Combattre en sa faveur la malice du temps,  Montrer que ses bienfaits et mes voeux sont constants.  Ici Adraste sort."")",-,0.0
"('#adraste', ""Aristandre ! Est-ce lui qui parle ? Est-il à croire  Qu'un esprit d'inconstance aille à cette victoire ?  Écoutons-le mentir sans témoins à part soi. "")",-,0.0
"('#aristandre', ""Oui, montrons qu'il n'est rien plus ferme que ma foi. "")",-,0.0
"('#adraste', 'La bouche dit cela, sans que le coeur y songe. ')",-,0.0
"('#aristandre', 'Soutenons contre tous. ')",-,0.0
"('#adraste', ""La gloire d'un mensonge. "")",-,0.0
"('#aristandre', ""Qu'amour d'un peu de mal couvre mille plaisirs,  Que le vrai bien. "")",-,0.0
"('#adraste', ""Dépend d'en perdre les désirs,  Qu'outre moi, vous prenez la raison à partie. "")",-,0.0
"('#aristandre', ""Et c'est toi ! Cher Ami, pour toute répartie  Avance, embrassons-nous, et me dis où tu viens. "")",-,0.0
"('#adraste', 'Pleurer un coeur perdu dans de honteux liens :  Non, mais vous quereller sur tant de menterie. ')",-,0.0
