,moliere-psyche,quinault-thesee,Cost,Operation Type
0,"('#flore', ""Ce n'est plus le temps de la guerre ; Le plus puissant des Rois Interrompt ses exploits, Pour donner la paix à la terre. Descendez, Mère des Amours, Venez nous donner de beaux jours. Vertumne et Palaemon, avec les divinités qui les accompagnent, joignent leurs voix à celle de Flore, et chantent ces paroles."")","('#un-plaisir', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")",0.96,Substitution
1,"('#choeur', ""Nous goûtons une paix profonde ; Les plus doux jeux sont ici-bas ; On doit ce repos plein d'appas Au plus Grand Roi du Monde. Descendez, mère des Amours, Venez nous donner de beaux jours. Il se fait ensuite une entrée de ballet, composée de deux Dryades, quatre Sylvains, deux Fleuves et deux Naïades. Après laquelle, Vertumne et Palaemon chantent ce dialogue."")","('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",1.18,Substitution
2,"('#vertumne', 'Rendez-vous, beautés cruelles, Soupirez à votre tour.')",,1.0,Insertion
3,"('#palaemon', ""Voici la reine des Belles, Qui vient inspirer l'amour."")","('#un-plaisir', ""C'était dans ces jardins, au bord de ces fontaines, Que l'aimable mère d'amour Espérait d'établir sa bienheureuse cour : Mais ses espérances sont vaines."")",0.71,Substitution
4,"('#vertumne', 'Un bel objet toujours sévère Ne se fait jamais bien aimer.')","('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",0.91,Substitution
5,"('#palaemon', ""C'est la beauté qui commence de plaire, Mais la douceur achève de charmer."")","('#un-des-jeux', ""Ne nous écartons pas de ces charmantes plaines, Allons nous retirer dans les bois d'alentour."")",1.49,Substitution
6,"('#vertumne #palaemon', ""C'est la beauté qui commence de plaire. Mais la douceur achève de charmer. Ils répètent ensemble ces derniers vers."")","('#trois-jeux', 'Ah ! Quelles peines De quitter un si beau séjour !')",1.24,Substitution
7,"('#vertumne', ""Souffrons tous qu'Amour nous blesse ; Languissons, puisqu'il le faut."")","('#trois-plaisirs', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")",1.1,Substitution
8,"('#palaemon', 'Que sert un coeur sans tendresse ? Est-il un plus grand défaut ?')",,1.0,Insertion
9,"('#vertumne', 'Un bel objet toujours sévère Ne se fait jamais bien aimer.')","('#le-choeur-graces', 'Les jeux et les amours Ne règnent pas toujours. Les amours, les grâces, les plaisirs et les jeux se retirent.')",1.01,Substitution
