corneillep-melite,corneillep-melite-33,Score
"('#eraste', ""Je te l'avoue, ami, mon mal est incurable ; Je n'y sais qu'un remède, et j'en suis incapable : Le change serait juste, après tant de rigueur ; Mais malgré ses dédains, Mélite a tout mon coeur ; Elle a sur tous mes sens une entière puissance ; Si j'ose en murmurer, ce n'est qu'en son absence, Et je ménage en vain dans un éloignement Un peu de liberté pour mon ressentiment ; D'un seul de ses regards l'adorable contrainte Me rend tous mes liens, en resserre l'étreinte, Et par un si doux charme aveugle ma raison, Que je cherche mon mal et fuis ma guérison. Son oeil agit sur moi d'une vertu si forte, Qu'il ranime soudain mon espérance morte, Combat les déplaisirs de mon coeur irrité, Et soutient mon amour contre sa cruauté ; Mais ce flatteur espoir qu'il rejette en mon âme N'est qu'un doux imposteur qu'autorise ma flamme, Et qui, sans m'assurer ce qu'il semble m'offrir, Me fait plaire en ma peine, et m'obstine à souffrir."")","('#eraste', ""Parmi tant de rigueurs n'est-ce pas chose étrange  Que rien n'est assez fort pour me résoudre au change ?  Jamais un pauvre amant ne fut si maltraité,  Et jamais un amant n'eût tant de fermeté :  Mélite a sur mes sens une entière puissance,  Si sa rigueur m'aigrit, ce n'est qu'en son absence,  Et j'ai beau ménager dans un éloignement  Un peu de liberté pour mon ressentiment,  Un seul de ses regards l'étouffe, et le dissipe,  Un seul de ses regards me séduit et me pipe,  Et d'un tel ascendant maîtrise ma raison,  Que je chéris mon mal, et fuis ma guérison :  Son oeil agit sur moi d'une vertu si forte  Qu'il ranime soudain mon espérance morte,  Combat les déplaisirs de mon coeur irrité,  Et soutient mon amour contre sa cruauté :  Mais ce flatteur espoir qu'il rejette en mon âme,  N'est rien qu'un vent qui souffle, et rallume ma flamme, Et reculant toujours ce qu'il semble m'offrir  Me fait plaire en ma peine, et m'oblige à souffrir. "")",0.860906720161438
"('#tircis', ""Que je te trouve, ami, d'une humeur admirable ! Pour paraître éloquent tu te feins misérable : Est-ce à dessein de voir avec quelles couleurs Je saurais adoucir les traits de tes malheurs ? Ne t'imagine pas qu'ainsi, sur ta parole, D'une fausse douleur un ami te console ; Ce que chacun en dit ne m'a que trop appris Que Mélite pour toi n'eut jamais de mépris."")","('#tirsis', ""Que je te trouve, ami, d'une humeur admirable,  Pour paraître éloquent tu te feins misérable,  Est-ce à dessein de voir avec quelles couleurs  Je saurais adoucir les traits de tes malheurs ?  Ne t'imagine pas que dessus ta parole  D'une fausse douleur un ami te console,  Ce que chacun en dit ne m'a que trop appris  Que Mélite pour toi n'eut jamais de mépris. "")",0.9877297878265381
"('#eraste', ""Son gracieux accueil et ma persévérance Font naître ce faux bruit d'une vaine apparence : Ses mépris sont cachés, et s'en font mieux sentir ; Et n'étant point connus, on n'y peut compatir."")","('#eraste', ""Son gracieux accueil, et ma persévérance  Font naître ce faux bruit d'une vaine apparence,  Ses dédains sont cachés, encor que continus,  Et d'autant plus cruels que moins ils sont connus. "")",0.8904939889907837
"('#tircis', ""En étant bien reçu, du reste que t'importe ? C'est tout ce que tu veux des filles de sa sorte."")","('#tirsis', ""En étant bien reçu du reste que t'importe ?  C'est tout ce que tu veux des filles de sa sorte. "")",0.9893596768379211
"('#eraste', ""Cet accès favorable, ouvert et libre à tous, Ne me fait pas trouver mon martyre plus doux : Elle souffre aisément mes soins et mon service ; Mais loin de se résoudre à leur rendre justice, Parler de l'hyménée à ce coeur de rocher, C'est l'unique moyen de n'en plus approcher."")","('#eraste', ""Cet accès favorable, ouvert, et libre à tous  Ne me fait pas trouver mon martyre plus doux,  Sa hantise me perd, mon mal en devient pire,  Vu que loin d'obtenir le bonheur où j'aspire  Parler de mariage à ce coeur de rocher  C'est l'unique moyen de n'en plus approcher. "")",0.757864773273468
"('#tircis', ""Ne dissimulons point ; tu règles mieux ta flamme, Et tu n'es pas si fou que d'en faire ta femme."")","('#tirsis', ""Ne dissimulons point, tu règles mieux ta flamme,  Et tu n'es pas si fou que d'en faire ta femme. "")",0.9896072149276733
"('#eraste', 'Quoi ! Tu sembles douter de mes intentions ?')","('#eraste', 'Quoi ! Tu sembles douter de mes intentions ? ')",1.0
"('#tircis', ""Je crois malaisément que tes affections, Sur l'éclat d'un beau teint qu'on voit si périssable, Règlent d'une moitié le choix invariable. Tu serais incivil, de la voir chaque jour Et ne lui pas tenir quelques propos d'amour ; Mais d'un vain compliment ta passion bornée Laisse aller tes desseins ailleurs pour l'hyménée. Tu sais qu'on te souhaite aux plus riches maisons, Que les meilleurs partis..."")","('#tirsis', ""Je crois malaisément que tes affections  Arrêtent en un lieu si peu considérable  D'une chaste moitié le choix invariable :  Tu serais incivil de la voir chaque jour  Et ne lui tenir pas quelques propos d'amour,  Mais d'un vain compliment ta passion bornée  Laisse aller tes desseins ailleurs pour l'Hyménée ;  Tu sais qu'on te souhaite aux plus riches maisons  Où de meilleurs partis [...] "")",0.9449365139007568
"('#eraste', ""Trêve de ces raisons ; Mon amour s'en offense, et tiendrait pour supplice De recevoir des lois d'une sale avarice : Il me rend insensible aux faux attraits de l'or, Et trouve en sa personne un assez grand trésor."")","('#eraste', ""Trêve de ces raisons,  Mon amour s'en offense, et tiendrait pour supplice  D'avoir à prendre avis d'une sale avarice,  Je ne sache point d'or capable de mes voeux  Que celui dont Nature a paré ses cheveux. "")",0.7866259813308716
"('#tircis', ""Si c'est là le chemin qu'en aimant tu veux suivre, Tu ne sais guère encor ce que c'est que de vivre. Ces visages d'éclat sont bons à cajoler, C'est là qu'un apprenti doit s'instruire à parler ; J'aime à remplir de feux ma bouche en leur présence ; La mode nous oblige à cette complaisance ; Tous ces discours de livre alors sont de raison : Il faut feindre des maux, demander guérison, Donner sur le Phébus, promettre des miracles, Jurer qu'on brisera toutes sortes d'obstacles ; Mais du vent et cela doivent être tout un."")","('#tirsis', ""Si c'est là le chemin qu'en aimant tu veux suivre,  Tu ne sais guère encor ce que c'est que de vivre,  Ces visages d'éclat sont bons à cajoler,  C'est là qu'un jeune oiseau doit s'apprendre à parler,  J'aime à remplir de feux ma bouche en leur présence,  La mode nous oblige à cette complaisance,  Tous ces discours de livre alors sont de saison,  Il faut feindre du mal, demander guérison,  Donner sur le Phoebus, promettre des miracles,  Jurer qu'on brisera toutes sortes d'obstacles,  Mais du vent et cela doivent être tout un. "")",0.9615540504455566
