moliere-amants-magnifiques,quinault-fetes-amour-bacchus,Score
"('#clitidas', 'Il est attaché à ses pensées ?')",-,0.0
"('#sostrate', ""Non, Sostrate, je ne vois rien où tu puisses avoir recours, et tes maux sont d'une nature à ne te laisser nulle espérance d'en sortir."")",-,0.0
"('#clitidas', 'Il raisonne tout seul.')",-,0.0
"('#sostrate', 'Hélas !')",-,0.0
"('#clitidas', 'Voilà des soupirs qui veulent dire quelque chose, et ma conjecture se trouvera véritable.')",-,0.0
"('#sostrate', ""Sur quelles chimères, dis-moi, pourrais-tu bâtir quelque espoir, et que peux-tu envisager, que l'affreuse longueur d'une vie malheureuse, et des ennuis à ne finir que par la mort."")",-,0.0
"('#clitidas', 'Cette tête-là est plus embarrassée que la mienne ?')",-,0.0
"('#sostrate', ""Ah !  Mon coeur, ah !  Mon coeur, où m'avez-vous jeté ?"")",-,0.0
"('#clitidas', 'Serviteur, Seigneur Sostrate.')",-,0.0
"('#sostrate', 'Où vas-tu, Clitidas ?')",-,0.0
"('#clitidas', ""Mais vous plutôt, que faites-vous ici, et quelle secrète mélancolie, quelle humeur sombre, s'il vous plaît, vous peut retenir dans ces bois, tandis que tout le monde a couru en foule à la magnificence de la fête, dont l'amour du prince Iphicrate vient de régaler sur la mer la promenade des Princesses ; tandis qu'elles y ont reçu des cadeaux merveilleux de musique et de danse, et qu'on a vu les rochers et les ondes se parer de Divinités pour faire honneur à leurs attraits ?"")",-,0.0
"('#sostrate', ""Je me figure assez, sans la voir, cette magnificence, et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes, que j'ai cru à propos de ne pas augmenter le nombre des importuns."")",-,0.0
"('#clitidas', ""Vous savez que votre présence ne gâte jamais rien, et que vous n'êtes point de trop, en quelque lieu que vous soyez.  Votre visage est bien venu partout, et il n'a garde d'être de ces visages disgraciés, qui ne sont jamais bien reçus des regards souverains.  Vous êtes également bien auprès des deux princesses ; et la mère et la fille vous font assez connaître l'estime qu'elles font de vous pour n'appréhender pas de fatiguer leurs yeux ; et ce n'est pas cette crainte, enfin, qui vous a retenu."")",-,0.0
"('#sostrate', ""J'avoue que je n'ai pas naturellement grande curiosité pour ces sortes de choses."")",-,0.0
"('#clitidas', ""Mon_Dieu !  Quand on n'aurait nulle curiosité pour les choses, on en a toujours pour aller où l'on trouve tout le monde, et quoi que vous puissiez dire, on ne demeure point tout seul pendant une fête à rêver parmi des arbres comme vous faites, à moins d'avoir en tête quelque chose qui embarrasse."")",-,0.0
"('#sostrate', ""Que voudrais-tu que j'y pusse avoir ?"")",-,0.0
"('#clitidas', ""Ouais, je ne sais d'où cela vient, mais il sent ici l'amour ; ce n'est pas moi.  Ah !  Par ma foi c'est vous."")",-,0.0
"('#sostrate', 'Que tu es fou, Clitidas.')",-,0.0
"('#clitidas', ""Je ne suis point fou, vous êtes amoureux, j'ai le nez délicat, et j'ai senti cela d'abord."")",-,0.0
"('#sostrate', 'Sur quoi prends-tu cette pensée.')",-,0.0
"('#clitidas', 'Sur quoi ?  Vous seriez bien étonné si je vous disais encore de qui vous êtes amoureux.')",-,0.0
"('#sostrate', 'Moi ?')",-,0.0
"('#clitidas', ""Oui, je gage que je vais deviner tout à l'heure celle que vous aimez.  J'ai mes secrets aussi bien que notre astrologue, dont la princesse Aristione est entêtée ; et s'il a la science de lire dans les astres la fortune des hommes, j'ai celle de lire dans les yeux le nom des personnes qu'on aime.  Tenez-vous un peu, et ouvrez les yeux.  É, par soi, é, r, i, ri, éri, p, h, i, phi, ériphi ; l, e, le : Ériphile.  Vous êtes amoureux de la Princesse Ériphile."")",-,0.0
"('#sostrate', ""Ah !  Clitidas ; j'avoue que je ne puis cacher mon trouble, et tu me frappes d'un coup de foudre."")",-,0.0
"('#clitidas', 'Vous voyez si je suis savant ?')",-,0.0
"('#sostrate', 'Hélas !  Si, par quelque aventure, tu as pu découvrir le secret de mon coeur, je te conjure au moins de ne le révéler à qui que ce soit, et surtout de le tenir caché à la belle princesse dont tu viens de dire le nom.')",-,0.0
"('#clitidas', ""Et sérieusement parlant, si dans vos actions j'ai bien pu connaître, depuis un temps, la passion que vous voulez tenir secrète, pensez-vous que la princesse Ériphile puisse avoir manqué de lumière pour s'en apercevoir ?  Les belles, croyez-moi, sont toujours les plus clairvoyantes à découvrir les ardeurs qu'elles causent, et le langage des yeux et des soupirs se fait entendre mieux qu'à tout autre à celles à qui il s'adresse."")",-,0.0
"('#sostrate', ""Laissons-la, Clitidas, laissons-la voir si elle peut dans mes soupirs et mes regards l'amour que ses charmes m'inspirent, mais gardons bien que par nulle autre voie, elle en apprenne jamais rien."")",-,0.0
"('#clitidas', ""Et qu'appréhendez-vous ?  Est-il possible que ce même Sostrate qui n'a pas craint ni Brennus, ni tous les Gaulois et dont le bras a si glorieusement contribué à nous défaire de ce déluge de barbares qui ravageait la Grèce ?  Est-il possible, dis-je, qu'un homme si assuré dans la guerre soit si timide en amour, et que je le voie trembler à dire seulement qu'il aime ? "")",-,0.0
"('#sostrate', 'Ah !  Clitidas, je tremble avec raison, et tous les Gaulois du monde ensemble sont bien moins redoutables, que deux beaux yeux pleins de charmes.')",-,0.0
"('#clitidas', ""Je ne suis pas de cet avis, et je sais bien pour moi qu'un seul Gaulois l'épée à la main, me ferait beaucoup plus trembler que cinquante beaux yeux ensemble les plus charmants du monde.  Mais dites-moi un peu, qu'espérez-vous faire ?"")",-,0.0
"('#sostrate', 'Mourir sans déclarer ma passion.')",-,0.0
"('#clitidas', ""L'espérance est belle.  Allez, allez, vous vous moquez, un peu de hardiesse réussit toujours aux amants ; il n'y a en amour que les honteux qui perdent, et je dirais ma passion à une Déesse moi, si j'en devenais amoureux."")",-,0.0
"('#sostrate', 'Trop de choses, hélas !  Condamnent mes feux à un éternel silence.')",-,0.0
"('#clitidas', 'Hé quoi ?')",-,0.0
"('#sostrate', ""La bassesse de ma fortune, dont il plaît au Ciel de rabattre l'ambition de mon amour, le rang de la Princesse qui met entre elle et mes désirs une distance si fâcheuse, la concurrence de deux princes appuyés de tous les grands titres qui peuvent soutenir les prétentions de leurs flammes ; de deux princes qui par mille et mille magnificences, se disputent, à tous moments, la gloire de sa conquête, et sur l'amour de qui on attend tous les jours de voir son choix se déclarer, mais plus que tout, Clitidas, le respect inviolable où ses beaux yeux assujettissent toute la violence de mon ardeur."")",-,0.0
"('#clitidas', ""Le respect bien souvent n'oblige pas tant que l'amour, et je me trompe fort, ou la jeune princesse a connu votre flamme, et n'y est pas insensible."")",-,0.0
"('#sostrate', ""Ah !  Ne t'avise point de vouloir flatter par pitié le coeur d'un misérable."")",-,0.0
"('#clitidas', ""Ma conjecture est fondée.  Je lui vois reculer beaucoup le choix de son époux, et je veux éclaircir un peu cette petite affaire-là.  Vous savez que je suis auprès d'elle en quelque espèce de faveur, que j'y ai les accès ouverts, et qu'à force de me tourmenter je me suis acquis le privilège de me mêler à la conversation, et parler à tort et à travers de toutes choses.  Quelquefois cela ne me réussit pas, mais quelquefois aussi cela me réussit.  Laissez-moi faire, je suis de vos amis, les gens de mérite me touchent, et je veux prendre mon temps pour entretenir la Princesse de..."")",-,0.0
"('#sostrate', ""Ah !  De grâce, quelque bonté que mon malheur t'inspire, garde-toi bien de lui rien dire de ma flamme.  J'aimerais mieux mourir que de pouvoir être accusé par elle de la moindre témérité, et ce profond respect où ses charmes divins..."")",-,0.0
"('#clitidas', 'Taisons-nous, voici tout le monde.')",-,0.0
"('#aristione', ""Prince, je ne puis me lasser de le dire, il n'est point de spectacle au monde qui puisse le disputer en magnificence à celui que vous venez de nous donner. Cette fête a eu des ornements qui l'emportent sans doute sur tout ce que l'on saurait voir, et elle vient de produire à nos yeux quelque chose de si noble, de si grand et de si majestueux, que le Ciel même ne saurait aller au delà, et je puis dire assurément qu'il n'y a rien dans l'univers qui s'y puisse égaler."")",-,0.0
"('#timocles', ""Ce sont des ornements dont on ne peut pas espérer que toutes les fêtes soient embellies, et je dois fort trembler, Madame, pour la simplicité du petit divertissement que je m'apprête à vous donner dans le bois de Diane."")",-,0.0
"('#aristione', ""Je crois que nous n'y verrons rien que de fort agréable, et certes il faut avouer que la campagne a lieu de nous paraître belle, et que nous n'avons pas le temps de nous ennuyer dans cet agréable séjour qu'ont célébré tous les poètes sous le nom de Tempé.  Car enfin, sans parler des plaisirs de la chasse que nous y prenons à toute heure, et de la solennité des jeux Pythiens que l'on y célèbre tantôt, vous prenez soin l'un et l'autre de nous y combler de tous les divertissements qui peuvent charmer les chagrins des plus mélancoliques.  D'où vient, Sostrate, qu'on ne vous a point vu dans notre promenade ?"")",-,0.0
"('#sostrate', ""Une petite indisposition, Madame, m'a empêché de m'y trouver."")",-,0.0
"('#iphicrate', ""Sostrate est de ces gens, Madame, qui croient qu'il ne sied pas bien d'être curieux comme les autres, et il est beau d'affecter de ne pas courir où tout le monde court."")",-,0.0
"('#sostrate', ""Seigneur, l'affectation n'a guère de part à tout ce que je fais, et sans vous faire compliment, il y avait des choses à voir dans cette fête, qui pouvaient m'attirer, si quelque autre motif ne m'avait retenu."")",-,0.0
"('#aristione', 'Et Clitidas a-t-il vu cela ?')",-,0.0
"('#clitidas', 'Oui, Madame, mais du rivage.')",-,0.0
"('#aristione', 'Et pourquoi du rivage ?')",-,0.0
"('#clitidas', ""Ma foi !  Madame, j'ai craint quelqu'un des accidents qui arrivent d'ordinaire dans ces confusions.  Cette nuit, j'ai songé de poisson mort, et d'oeufs cassés, et j'ai appris du Seigneur Anaxarque que les oeufs cassés et le poisson mort signifient malencontre."")",-,0.0
"('#anaxarque', ""Je remarque une chose, que Clitidas n'aurait rien à dire s'il ne parlait de moi."")",-,0.0
"('#clitidas', ""C'est qu'il y a tant de choses à dire de vous, qu'on n'en saurait parler assez."")",-,0.0
"('#anaxarque', ""Vous pourriez prendre d'autres matières, puisque je vous en ai prié."")",-,0.0
"('#clitidas', ""Le moyen, ne dites-vous pas que l'ascendant est plus fort que tout ; et s'il est écrit dans les astres que je sois enclin à parler de vous, comment voulez-vous que je résiste à ma destinée ?"")",-,0.0
"('#anaxarque', 'Avec tout le respect, Madame, que je vous dois, il y a une chose qui est fâcheuse dans votre Cour que tout le monde y prenne liberté de parler, et que le plus honnête homme y soit exposé aux railleries du premier méchant plaisant.')",-,0.0
"('#clitidas', ""Je vous rends grâce de l'honneur."")",-,0.0
"('#aristione', ""Que vous êtes fou de vous chagriner de ce qu'il dit !"")",-,0.0
"('#clitidas', ""Avec tout le respect que je dois à Madame, il y a une chose qui m'étonne dans l'astrologie, comment des gens qui savent tous les secrets des Dieux, et qui possèdent des connaissances à se mettre au-dessus de tous les hommes, aient besoin de faire leur cour, et de demander quelque chose."")",-,0.0
"('#anaxarque', 'Vous devriez gagner un peu mieux votre argent, et donner à Madame de meilleures plaisanteries.')",-,0.0
"('#clitidas', ""Ma foi !  On les donne telles qu'on peut.  Vous en parlez fort à votre aise, et le métier de plaisant n'est pas comme celui d'astrologue.  Bien mentir et bien plaisanter sont deux choses fort différentes, et il est bien plus facile de tromper les gens que de les faire rire."")",-,0.0
"('#aristione', ""Eh !  Qu'est-ce donc que cela veut dire ?"")",-,0.0
"('#clitidas', ""Paix !  Impertinent que vous êtes.  Ne savez-vous pas bien que l'astrologie est une affaire d'État, et qu'il ne faut point toucher à cette corde-là ?  Je vous l'ai dit plusieurs fois, vous vous émancipez trop, et vous prenez de certaines libertés qui vous joueront un mauvais tour : je vous en avertis ; vous verrez qu'un de ces jours on vous donnera du pied au cul, et qu'on vous chassera comme un faquin.  Taisez-vous, si vous êtes sage."")",-,0.0
"('#aristione', 'Où est ma fille ?')",-,0.0
"('#timocles', ""Madame, elle s'est écartée, et je lui ai présenté une main qu'elle a refusé d'accepter."")",-,0.0
"('#aristione', ""Princes, puisque l'amour que vous avez pour Ériphile, a bien voulu se soumettre aux lois que j'ai voulu vous imposer, puisque j'ai su obtenir de vous que vous fussiez rivaux sans devenir ennemis, et qu'avec pleine soumission aux sentiments de ma fille, vous attendez un choix dont je l'ai faite seule maîtresse ; ouvrez-moi tous deux le fond de votre âme, et me dites sincèrement quel progrès vous croyez l'un et l'autre avoir fait sur son coeur."")",-,0.0
