,moliere-impromptu-versailles,sand-roi-attend,Cost,Operation Type
0,,"('#laforet', ""Allons donc, monsieur Molière, mon maître, s'il vous plaît, mettez vous à votre table et n'oubliez pas que votre pièce n'est point finie."")",1.0,Deletion
1,,"('#moliere', ""Bon !  Bon !  Elle le sera dans un moment ; je n'ai plus qu'une scène à écrire."")",1.0,Deletion
2,,"('#laforet', 'Mais vos acteurs, et vos actrices surtout, prétendent ne point savoir leur affaire.')",1.0,Deletion
3,,"('#moliere', ""Je les attends ici pour répéter, et je veux écrire le dénoUEment de la pièce, du temps qu'ils répéteront les premières scènes."")",1.0,Deletion
4,,"('#laforet', ""Ah !  Monsieur, vous n'y songez point !  Prétendez-vous qu'ils étudient, qu'ils répètent, qu'ils jouent, et le tout quasi à la fois ?  Car Sa Majesté le roi viendra dans deux heures et compte que vous êtes prêt."")",1.0,Deletion
5,,"('#moliere', ""Le Roi aura de l'indulgence."")",1.0,Deletion
6,"('#moliere', 'Allons donc, Messieurs et Mesdames, vous moquez-vous avec votre longueur, et ne voulez-vous pas tous venir ici ? La peste soit des gens ; holà ho, Monsieur de Brécourt ')","('#laforet', ""Les rois n'en ont point pour ce qui regarde leurs amusements.  En vérité, mon maître, vous avez pris là une charge bien lourde de vouloir faire rire des gens qui ne rient que quand ils veulent.  Le roi ne veut point savoir que vous êtes malade et que votre pauvre corps ne suffit pas à tout le mal que vous vous donnez.  Vous sortez à peine de votre lit, et il faut déjà que vous écriviez une pièce de prologue, que vous la fassiez apprendre et répéter, et que vous y fassiez votre rôle en propre personne...  Il ne m'écoute point.  Tant mieux !  Car, à babiller de la sorte, je ne fais que le retarder.  Mon pauvre maître !  Il est tout changé de couleur et bien maigri depuis ces derniers temps ! À part."")",0.95,Substitution
7,"('#brecourt', 'Quoi !')","('#moliere', 'Tiens, lis à mesure, et, si quelque chose te choque, dis-le, en peu de mots.')",1.76,Substitution
8,"('#moliere', 'Monsieur de La Grange.')",,1.0,Insertion
9,"('#la-grange', ""Qu'est-ce ? "")","('#laforet', ""C'est cela, je marquerai les endroits que je ne comprendrai point..."")",1.69,Substitution
10,"('#moliere', 'Monsieur Du Croisy.')","('#moliere', ""Heureuse intelligence de ceux qui n'ont rien appris, et qui trouvent en eux-mêmes ces façons de dire dont notre langage fleuri et arrangé n'approche point !  Ah !  Laforêt, c'est toi qui es l'auteur de mes meilleures scènes !"")",1.6,Substitution
11,"('#du-croisy', 'Plaît-il ? ')","('#laforet', ""Point, mon maître !  Il faut encore que cela passe par votre griffonnage pour signifier quelque chose, et la vérité est qu'à nous deux nous avons beaucoup d'esprit."")",1.5,Substitution
12,"('#moliere', 'Mademoiselle Du Parc.')",,1.0,Insertion
13,"('#mademoiselle-du-parc', 'Hé bien ? ')",,1.0,Insertion
14,"('#moliere', 'Mademoiselle Béjart.')",,1.0,Insertion
15,"('#mademoiselle-bejart', ""Qu'y a-t-il ?"")","('#moliere', 'Tu trouves ?')",1.04,Substitution
16,"('#moliere', 'Mademoiselle de Brie.')",,1.0,Insertion
17,"('#mademoiselle-de-brie', 'Que veut-on ? ')",,1.0,Insertion
18,"('#moliere', 'Mademoiselle Du Croisy.')","('#laforet', ""Oh !  d'abord, nous parlons d'une manière que tout le monde entend et qui n'écorche point les oreilles des chrétiens.  Tous ceux qui vont ouïr vos pièces en reviennent charmés, de quelque étage qu'ils soient, et ce que le roi dit, que vous feriez rire les pierres, les gens comme moi le disent aussi et rient sans se faire prier.  M'est avis, monsieur, que nous parlons beaucoup mieux que ces précieux et ces précieuses de cour que vous avez contrefaits si juste, qu'on croirait les entendre parler eux-mêmes."")",1.77,Substitution
19,"('#mademoiselle-du-croisy', ""Qu'est-ce que c'est ? "")","('#moliere', ""J'ai fini.  Quelle heure est-il ?"")",1.04,Substitution
20,,"('#laforet', ""Vous avez encore une heure ; mais vos comédiens n'arrivent point.  Ah !  Monsieur, nous voici comme le jour de l'Impromptu de Versailles, où personne ne savait son personnage, et où vous étiez si fort en peine, que vous en fîtes une maladie.  Que ne donnerais-je point pour vous voir dehors de tout cela !  Un peu de la disgrâce du roi ne nuirait point à votre santé, croyez-moi."")",1.0,Deletion
21,,"('#moliere', ""L'Impromptu fut cependant fort bien joué et mes camarades se surpassèrent.  Un peu de hâte et de fièvre ne nuit point au succès des choses.  Mais voilà nos gens qui arrivent.  Ne perdons point de temps."")",1.0,Deletion
22,,"('#moliere', 'Allons donc, messieurs et mesdames !  Vous moquez-vous avec votre longueur ?  Voici la fin de notre pièce.')",1.0,Deletion
23,,"('#ducroisy', ""Ah !  Par ma foi, Molière, c'est vous qui vous moquez de nous, de croire qu'il nous soit possible d'apprendre et de jouer dans le même moment.  Je vous jure bien que pour ma part, j'y renonce. Il jette son rôle avec humeur sur la table."")",1.0,Deletion
24,"('#moliere', 'Mademoiselle Hervé.')",,1.0,Insertion
25,"('#mademoiselle-herve', 'On y va. ')",,1.0,Insertion
26,"('#moliere', ""Je crois que je deviendrai fou avec tous ces gens-ci.  Eh !  Têtebleu, Messieurs, me voulez-vous faire enrager aujourd'hui ?"")","('#moliere', ""Têtebleu !  Messieurs, me voulez-vous faire damner aujourd'hui ?"")",0.59,Substitution
27,"('#brecourt', ""Que voulez-vous qu'on fasse, nous ne savons pas nos rôles, et c'est nous faire enrager vous-même, que de nous obliger à jouer de la sorte."")","('#brecourt', ""Que voulez-vous qu'on fasse ?  Nous ne savons pas nos rôles ; et c'est nous faire enrager vous-même que de nous obliger à jouer de la sorte."")",0.0,Match
28,"('#moliere', 'Ah !  Les étranges animaux à conduire que des comédiens ! ')","('#moliere', 'Ah !  Les étranges animaux à conduire que des comédiens !')",0.0,Match
29,"('#mademoiselle-bejart', 'Eh bien nous voilà, que prétendez-vous faire ? ')",,1.0,Insertion
30,"('#mademoiselle-du-parc', 'Quelle est votre pensée ? ')",,1.0,Insertion
31,"('#mademoiselle-de-brie', 'De quoi est-il question ? ')",,1.0,Insertion
32,"('#moliere', 'De grâce mettons-nous ici, et puisque nous voilà tous habillés, et que le Roi ne doit venir de deux heures, employons ce temps à répéter notre affaire, et voir la manière dont il faut jouer les choses. ')",,1.0,Insertion
33,"('#la-grange', ""Le moyen de jouer ce qu'on ne sait pas ? "")","('#la-grange', ""Le moyen de jouer ce qu'on ne sait pas ?"")",0.0,Match
34,"('#mademoiselle-du-parc', ""Pour moi je vous déclare que je ne me souviens pas d'un mot de mon personnage. "")","('#mademoiselle-duparc', ""Pour moi, je vous déclare que je ne me souviens pas d'un mot de mon personnage."")",0.0,Match
35,"('#mademoiselle-de-brie', ""Je sais bien qu'il me faudra souffler le mien d'un bout à l'autre. "")","('#mademoiselle-de-brie', ""Je sais bien qu'il faudra me souffler le mien d'un bout à l'autre."")",0.0,Match
36,"('#mademoiselle-bejart', 'Et moi je me prépare fort à tenir mon rôle à la main. ')","('#mademoiselle-bejart', 'Et moi, je me prépare fort à tenir mon rôle à la main.')",0.0,Match
37,"('#mademoiselle-moliere', 'Et moi aussi. ')","('#mademoiselle-moliere', 'Et moi aussi.')",0.0,Match
38,"('#mademoiselle-herve', ""Pour moi je n'ai pas grand'chose à dire. "")","('#mademoiselle-herve', ""Pour moi, je n'ai pas grand'chose à dire."")",0.0,Match
39,"('#mademoiselle-du-croisy', 'Ni moi non plus, mais avec cela je ne répondrais pas de ne point manquer. ')","('#mademoiselle-ducroisy', 'Ni moi non plus ; mais, avec cela, je ne répondrais pas de ne point manquer.')",0.0,Match
40,"('#du-croisy', ""J'en voudrais être quitte pour dix pistoles."")",,1.0,Insertion
41,"('#brecourt', 'Et moi pour vingt bons coups de fouet, je vous assure. ')",,1.0,Insertion
42,"('#moliere', ""Vous voilà tous bien malades d'avoir un méchant rôle à jouer, et que feriez-vous donc si vous étiez en ma place ? "")",,1.0,Insertion
43,"('#mademoiselle-bejart', ""Qui, vous ?  Vous n'êtes pas à plaindre, car, ayant fait la pièce vous n'avez pas peur d'y manquer. "")",,1.0,Insertion
44,"('#moliere', ""Et n'ai-je à craindre que le manquement de mémoire, ne comptez-vous pour rien l'inquiétude d'un succès qui ne regarde que moi seul ?  Et pensez-vous que ce soit une petite affaire, que d'exposer quelque chose de comique devant une assemblée comme celle-ci ?  Que d'entreprendre de faire rire des personnes qui nous impriment le respect, et ne rient que quand ils veulent. Est-il auteur qui ne doive trembler lorsqu'il en vient à cette épreuve ?  Et n'est-ce pas à moi de dire que je voudrais en être quitte pour toutes les choses du monde ? "")",,1.0,Insertion
45,"('#mademoiselle-bejart', ""Si cela vous faisait trembler, vous prendriez mieux vos précautions, et n'auriez pas entrepris en huit jours ce que vous avez fait. "")","('#mademoiselle-de-brie', ""Tant pis pour vous !  Il fallait prendre mieux vos précautions et n'entreprendre pas en huit jours ce que vous avez fait."")",0.0,Match
46,"('#moliere', ""Le moyen de m'en défendre, quand un Roi me l'a commandé ? "")","('#moliere', ""Le moyen de m'en défendre quand le roi me l'a commandé ?"")",0.0,Match
