cadet-gassicourt-souper-de-moliere,chazet-dubois-moliere-chez-ninon,Score
"('#laforet', ""Allons, Antoine, laisse-moi ; nous avons du monde ce soir, et je n'ai pas plus de temps qu'il ne m'en faut..."")",-,0.0
"('#antoine', ""Pourquoi me faire languir ; par pitié dites-moi si je puis espérer d'obtenir ma chère Madelon. "")",-,0.0
"('#laforet', ""Je vois bien qu'il me faut débarrasser de toi...  Eh bien !  Oui, mon garçon ; tout est arrangé, et j'en ai la parole ; mais il faut te le dire : j'ai bien eu de la peine.  Sans mon maître, qui a promis de fouiller à l'escarcelle, et de payer la dot de Madelon, ma foi je n'obtenais rien. "")",-,0.0
"('#antoine', ""De payer la dot de Madelon ?  Quel bienfait !  Allez, allez, mamzelle Laforêt, je l'en remercierai bien, ce bon Monsieur Molière...  Madelon aussi...  Si bien donc que son père ne voulait pas... "")",-,0.0
"('#laforet', ""Son père !  Oh !  Si fait.  Mathurin n'est pas un... Harpagon.  C'était sa mère qui refusait, parce que tu n'as pas beaucoup de ce qui se compte ; mais son mari lui a fait entendre raison ; car comme dit notre maitre : La poule ne doit pas chanter plus haut que le coq. "")",-,0.0
"('#antoine', ""Madelon est sans ornements :  Nature a fait ses agréments.  La fleur que chaque jour fait voir  Est sa parure,  Et l'onde pure  Est son miroir. Enfin Madelon sera ma femme !  Quelle joie !...  Elle est bien aimable, Madelon, n'est-ce pas ?  AIR : Anette à l'âge de 15 ans. "")",-,0.0
"('#laforet', 'Elle doit être bien contente ? ')",-,0.0
"('#antoine', ""Sans doute, car je l'aime bien."")",-,0.0
"('#laforet', ""Tiens, c'est un fait :  Veut-on savoir ce qu'est un maître,  Par son valet  On juge, dit-on, ce qu'il est.  Et puis, épouser le jardinier de Monsieur Boileau ; dame, c'est bien flatteur !  AIR : Du haut en bas. "")",-,0.0
"('#mignard', ""Allons, mon ami, mettons-nous à l'ouvrage...  Ah !  Bonjour, Laforêt. "")",-,0.0
"('#laforet', 'Bonjour, Monsieur Mignard. ')",-,0.0
"('#lulli', ""Qu'as-tu donc ?  Tu parais animée. "")",-,0.0
"('#laforet', ""C'est que, voyez-vous, nous disputions nous deux, Antoine, pour savoir qu'est-ce qui était le plus habile de Monsieur Molière ou de Monsieur Despreaux, et nous sommes convenus de nous en rapporter à vous."")",-,0.0
"('#mignard', ""La question n'est pas aisée à résoudre."")",-,0.0
"('#lulli', ""Sur le sommet du Parnasse,  Ou siège le dieu des arts,  La gloire a plus d'une place ;  Elle offre d'égales parts.  Dans le gente satyrique  Despréaux est sans rival,  Et sur la scène comique  Molière n'a point d'égal. Pourquoi ? AIR : En revenant de la ville. "")",-,0.0
"('#laforet', ""Eh bien !  Nous voilà d'accord.  Je vais voir Madelon, et nous reviendrons ensemble remercier votre maître...  Sans adieu."")",-,0.0
"('#lulli', 'Te troublerai-je en faisant de la musique ?')",-,0.0
"('#mignard', ""Ce fut de la main d'une femme  Que naquit cet art enchanteur ;  L'amour avait mis dans son âme  Un rayon de feu créateur.  Si cet enfant de la tendresse  Quelque jour était oublié,  Ah ! Je sens à ma douce ivresse  Qu'il renaîtrait par l'amitié.  Au contraire, tu m'animeras...  Les arts sont frères, et ne peuvent se nuire. Quel avantage de peindre un homme célèbre !...  Un jour ceux qui n'auront pas eu le bonheur de connaître Molière, me sauront gré de leur avoir transmis son image : peut-être ils m'associeront à sa gloire, et ne diront pas : Voilà Molière !...  Sans ajouter, c'est Mignard qui l'a peint...  Le bel art ! À part, en travaillant. AIR : Les adieux de la mère républicaine, par le C. Piis, "")",-,0.0
"('#lulli', ""Dignus, dignus est intrare  In nostro, in nostro  In nostro docto corporo. Oui, l'air doit être grave... la mesure bien marquée....  Ces médecins dans leur épaisse fourrure ; ces apothicaires dans leur figure blême, enterrée dans une perruque noire.... tout cela marche à pas comptés, et la musique  doit avoir une cadence bien prononcée....  Sol, mi, sol, ut, ut, re, sol, fa....  C'est cela.  AIR : De la marche du Malade imaginaire. "")",-,0.0
"('#mignard', 'Bien, Lulli, très bien. ')",-,0.0
"('#lulli', 'Ma foi, mon ami, soit dit sans vanité, je crois que nous ne nous sommes pas trompés sur notre vocation.')",-,0.0
"('#mignard', ""J'ai mieux connu la mienne que ma famille. "")",-,0.0
"('#lulli', 'Qui voulait te faire médecin ? ')",-,0.0
"('#laforet', 'Comment donc ?  Médecin !  Ah !  Mon_Dieu. ')",-,0.0
"('#lulli', ""Oui, Laforest : ne l'ai-je pas vu, pendant trois ans, suivre tous les pas d'un fameux docteur.... en us, et faire avec lui toutes les visites, le pauvre garçon!"")",-,0.0
"('#mignard', ""Il me dictait une ordonnance  Près du lit d'un vieux moribond ;  Il nommait cent drogues, je pense,  Afin de paraître profond,  Quand il eut assez fait parade  De ses grands mots, de son savoir,  Il prend mon papier pour le voir....  C'était le portrait du malade.  Ajoutes que j'emportais mes crayons avec moi...  Un jour...  Ah !  L'aventure est digne d'être rapportée...  Un jour...  AIR : Vaudeville des Chasseurs. "")",-,0.0
"('#lulli', ""Ta vocation t'entraînait."")",-,0.0
"('#mignard', 'Toi qui parles tant de vocation, tu as fait à la tienne une petite infidélité. ')",-,0.0
"('#lulli', ""Qui t'a dit cela ?"")",-,0.0
"('#mignard', ""Je le tiens de bonne part, et je vais le confier à Laforêt. ... afin que tout le monde le sache.  Laforêt s'approche."")",-,0.0
"('#laforet', 'Vous me croyez donc bien indiscrète.')",-,0.0
"('#mignard', ""Un adroit et saint confesseur,  Ennemi de la comédie,  Vint lui conter que tout auteur  Brûle à jamais dans l'autre vie.  Lulli, pén2tré, soupira,  Et, dans une frayeur extrême,  Il a brûlé son opéra  Pour n'être pas brûlé lui-même.  Sois-le pour ceci.  Dans sa dernière maladie, il a sacrifié, par dévotion, son nouvel ouvrage.  AIR : Alain était indifférent. "")",-,0.0
"('#laforet', ""C'est-il bien possible ! "")",-,0.0
"('#lulli', ""Oui, mes amis, je l'avouerai :  Voyez jusqu'où la peur nous mène ;  À mon confesseur je livrai  Mon opéra de Polixène :  Me croyant certain de mourir,  Je craignais de paraître impie ;  Mais espérant bien en guérir,  J'en avais gardé la copie.  Même air.  Il tire un cahier de sa poche."")",-,0.0
"('#mignard', 'Bravo !  Lulli ; je te pardonne, mon ami, je te pardonne, et ce soir a souper je veux te réhabiliter. ')",-,0.0
"('#lulli', ""À souper... ?  Mais à propos, Laforêt, pourquoi tous les apprêts que j'ai vus aujourd'hui ?  Notre ami donnerait-il une fête ? "")",-,0.0
"('#laforet', ""Sans doute, et vous l'approuverez. "")",-,0.0
"('#lulli', ""Que ne me disais-tu cela, j'aurais préparé quelque chose...  Nous allons célébrer sa convalescence ? "")",-,0.0
"('#laforet', 'Nous allons à la noce.')",-,0.0
"('#mignard', 'Comment à la noce ? ')",-,0.0
"('#laforet', 'Molière veut marier Madelon, sa petite jardinière, à Antoine, jardinier de Monsieur Despréaux, notre voisin ; les parents y consentent, et ça sera pour demain. ')",-,0.0
"('#lulli', 'Ainsi donc, dans tous les temps, malade ou non, Molière fait toujours des mariages.')",-,0.0
"('#mignard', ""À ses amants, sur le théâtre,  Pour dot il donne de l'esprit,  Et de son talent idolâtre  L'esprit du public applaudit ;  Mais quand sa rare bienveillance  Enrichit deux coeurs bien épris,  Le sien trouve sa récompense  Dans le coeur de ses vrais amis. Oui ; mais celui-ci ne ressemble pas aux autres.  AIR : Ainsi jadis un grand prophête. "")",-,0.0
"('#lulli', 'Ne vois-je point les deux futurs ? ')",-,0.0
"('#laforet', 'Justement. ')",-,0.0
"('#mignard', 'Gentille Madelon, recevez mon compliment.')",-,0.0
"('#madelon', 'Grand merci, Monsieur. ')",-,0.0
"('#lulli', ""C'est aujourd'hui le jour du bonheur !..."")",-,0.0
