racine-thebaide,rotrou-antigone,Score
"('#jocaste', ""Ils sont sortis, Olympe ? Ah mortelles douleurs ! Qu'un moment de repos me va coûter de pleurs ! Mes yeux depuis six mois étaient ouverts aux larmes ; Et le sommeil les ferme en de telles alarmes ? Puisse plutôt la mort les fermer pour jamais,  Et m'empêcher de voir le plus noir des forfaits. Mais en sont-ils aux mains ?"")",-,0.0
"('#olympe', ""Du haut de la muraille, Je les ai vus déjà tous rangés en bataille. J'ai vu déjà le fer briller de toutes parts, Et pour vous avertir, j'ai quitté les remparts.  J'ai vu le fer en main Étéocle lui-même, Il marche des premiers, et d'une ardeur extrême, Il montre aux plus hardis à braver le danger."")",-,0.0
"('#jocaste', ""N'en doutons plus, Olympe, ils se vont égorger. Que l'on coure avertir et hâter la princesse,  Je l'attends. Juste ciel ! soutenez ma faiblesse. Il faut courir, Olympe, après ces inhumains, Il les faut séparer, ou mourir par leurs mains. Nous voici donc, hélas ! à ce jour détestable Dont la seule frayeur me rendait misérable.  Ni prières, ni pleurs ne m'ont de rien servi, Et le courroux du sort voulait être assouvi. Ô toi, soleil, ô toi, qui rends le jour au monde, Que ne l'as-tu laissé dans une nuit profonde ? À de si noirs forfaits, prêtes-tu tes rayons,  Et peux-tu sans horreur voir ce que nous voyons ? Mais ces monstres, hélas ! ne t'épouvantent guères, La race de Laïus les a rendus vulgaires. Tu peux voir sans frayeur les crimes de mes fils, Après ceux que le père et la mère ont commis :  Tu ne t'étonnes pas si mes fils sont perfides, S'ils sont tous deux méchants, et s'ils sont parricides ; Tu sais qu'ils sont sortis d'un sang incestueux, Et tu t'étonnerais s'ils étaient vertueux."")",-,0.0
"('#jocaste', ""Ma fille avez-vous su l'excès de nos misères ? "")",-,0.0
"('#antigone', ""Oui, Madame, on m'a dit la fureur de mes frères. "")",-,0.0
"('#jocaste', ""Allons, chère Antigone, et courons de ce pas, Arrêter s'il se peut leur parricide bras. Allons leur faire voir ce qu'ils ont de plus tendre ; Voyons si contre nous ils pourront se défendre,  Ou s'ils oseront bien dans leur noire fureur,  Répandre notre sang pour attaquer le leur."")",-,0.0
"('#antigone', ""Madame, c'en est fait, voici le roi lui-même."")",-,0.0
"('#jocaste', 'Olympe, soutiens-moi, ma douleur est extrême.')",-,0.0
"('#eteocle', ""Madame qu'avez-vous ! et quel trouble..."")",-,0.0
"('#jocaste', ""Ah ! mon fils, Quelles traces de sang vois-je sur vos habits ?  Est-ce du sang d'un frère, ou n'est-ce point du vôtre ?"")",-,0.0
