,la-fontaine-daphne,quinault-thesee,Cost,Operation Type
0,,"('#un-plaisir', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")",1.0,Deletion
1,,"('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",1.0,Deletion
2,"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")","('#un-plaisir', ""C'était dans ces jardins, au bord de ces fontaines, Que l'aimable mère d'amour Espérait d'établir sa bienheureuse cour : Mais ses espérances sont vaines."")",0.69,Substitution
3,"('#venus', 'Charmante oisiveté, repos délicieux !')","('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",1.1,Substitution
4,,"('#un-des-jeux', ""Ne nous écartons pas de ces charmantes plaines, Allons nous retirer dans les bois d'alentour."")",1.0,Deletion
5,"('#minerve', 'Ou plutôt, repos ennuyeux !')","('#trois-jeux', 'Ah ! Quelles peines De quitter un si beau séjour !')",1.51,Substitution
6,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")","('#trois-plaisirs', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")",0.89,Substitution
7,,"('#le-choeur-graces', 'Les jeux et les amours Ne règnent pas toujours. Les amours, les grâces, les plaisirs et les jeux se retirent.')",1.0,Deletion
8,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",,1.0,Insertion
9,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")","('#venus', ""Revenez, amours, revenez ; Pourquoi quitter ces lieux où l'on est sans alarmes ? La beauté perd ses plus doux charmes, Sitôt que vous l'abandonnez : Revenez, amours, revenez. Beaux lieux, où les plaisirs suivaient partout mes pas, Que sont devenus vos appas ? Qu'un si charmant séjour est triste et solitaire ! Hélas ! Hélas ! Les amours n'y sont pas, Sans les amours, rien ne peut plaire. Revenez, amours, revenez ; Quel chagrin si pressant vous a tous emmenés ? Est-il quelque danger dont Mars ne vous délivre ? Il chasse les fureurs de ces lieux fortunés, À la seule victoire il permet de le suivre. Revenez, amours, revenez. On entend des trompettes et des tambours dont le bruit se mêle au son de plusieurs instruments champêtres. Cependant Mars paraît sur son char avec Bellone."")",1.12,Substitution
10,"('#momus', ""Ne vous faites point tant d'affaires."")",,1.0,Insertion
11,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")","('#mars', ""Que rien ne trouble ici Vénus et les amours. Que sous d'aimables lois, dans ces douces retraites, On passe en repos d'heureux jours ; Que les hautbois, que les musettes L'emportent sur les trompettes, Et sur les tambours. Que rien ne trouble ici Vénus et les amours. On n'entend plus le bruit des trompettes et des tambours, et plusieurs instruments champêtres jouent dans le temps que Mars descend."")",0.72,Substitution
12,"('#promethee', 'Que me veut Jupiter ?')",,1.0,Insertion
13,"('#jupiter', 'Ouvre tes magasins.')",,1.0,Insertion
14,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")","('#mars', ""Partez, allez, volez, redoutable Bellone. Laissez en paix ici les amours et les jeux ; Que Cérès, que Bacchus, s'avancent avec eux ; Éloignez ce qui les étonne. Portez aux ennemis de cet empire heureux Tout ce que la guerre a d'affreux : Vénus le veut, Mars vous l'ordonne. Partez, allez, volez, redoutable Bellone. Bellone obéit, et s'envole."")",0.86,Substitution
15,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")","('#venus', ""Inexorable Mars, pourquoi déchaînez-vous Contre un héros vainqueur tant d'ennemis jaloux ? Faut-il que l'univers avec fureur conspire Contre ce glorieux empire Dont le séjour nous est si doux ? Sans une aimable paix peut-on jamais attendre De beaux jours ni d'heureux moments ? La plainte la plus tendre, Les plus doux soupirs des amants, Sont le seul bruit qu'on doit entendre En des lieux si charmants."")",1.06,Substitution
16,"('#promethee', 'Vous ne les connaissez pas.')",,1.0,Insertion
17,"('#momus', 'Fais-leur faire quelques pas.')",,1.0,Insertion
18,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")","('#mars', ""Que dans ce beau séjour rien ne vous épouvante, Un nouveau Mars rendra la France triomphante. Le destin de la guerre en ses mains est remis. Et si j'augmente Le nombre de ses ennemis, C'est pour rendre sa gloire encor plus éclatante. Le dieu de la valeur doit toujours l'animer."")",1.19,Substitution
19,,"('#venus', 'Vénus répand sur lui tout ce qui peut charmer.')",1.0,Deletion
20,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")","('#mars', ""Malheur, malheur à qui voudra contraindre Un si grand héros à s'armer."")",1.45,Substitution
21,"('#promethee', ""C'est l'idole d'un sage."")","('#venus', ""Tout doit l'aimer."")",1.62,Substitution
22,,"('#mars', 'Tout doit le craindre.')",1.0,Deletion
23,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')","('#venus #mars', ""Tout doit le craindre, Tout doit l'aimer."")",1.24,Substitution
24,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")","('#venus #mars', ""Qu'il passe, au gré de ses désirs, De la gloire aux plaisirs, Des plaisirs à la gloire. Venez, aimables dieux, venez tous dans sa cour. Mêlez aux chants de victoire Les douces chansons d'amour. Bacchus et Cérès suivis de moissonneurs, de sylvains et de bacchantes, ramènent les amours, les Grâces, les plaisirs, et les jeux."")",0.38,Substitution
25,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')","('#le-choeur-des-graces', ""Mêlons aux chants de victoire Les douces chansons d'amour."")",1.57,Substitution
26,"('#minerve', 'Laissez-moi régler ces transports.')",,1.0,Insertion
27,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#bacchus #ceres', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.38,Substitution
28,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")","('#choeur #graces', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",0.75,Substitution
29,"('#venus', ""C'est l'amour."")","('#mars #venus', 'Au milieu de la guerre Goûtons les plaisirs de la paix.')",1.64,Substitution
30,,"('#le-choeur-graces', ""Au milieu de la guerre Goûtons les plaisirs de la paix. La troupe des moissonneurs commence une danse agréable, et environne Cérès dans le temps qu'elle chante."")",1.0,Deletion
31,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")","('#ceres', ""Trop heureux qui moissonne Dans les champs des amours ! Amants que rien ne vous étonne, L'espérance est un grand secours : Quand on vient à cueillir les fruits que l'amour donne, On est riche à jamais, et content pour toujours, Trop heureux qui moissonne Dans les champs des amours. Bacchus chante au milieu des sylvains et des bacchantes qui dansent."")",0.99,Substitution
32,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#bacchus', ""Pour les plus fortunés, pour les plus malheureux, Dans l'empire amoureux, Le dieu du vin est nécessaire : S'il prend part aux plaisirs c'est pour les redoubler ; Il charme les chagrins des cours qu'on désespère : Bacchus a de quoi consoler De tous les maux qu'amour peut faire. La troupe qui suit Cérès, et la troupe des suivants de Bacchus se réunissent, et expriment ensemble leur joie par une danse, que les autres dieux accompagnent de leurs chants ; et tous enfin se retirent pour faire place, et pour prendre part au magnifique divertissement qui va paraître."")",0.0,Match
33,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#mars #venus', ""Qu'il passe au gré de ses désirs De la gloire aux plaisirs, Des plaisirs à la gloire ; Venez, aimables dieux, venez tous, dans sa cour : Mêlez aux chants de victoire Les douces chansons d'amour."")",0.37,Substitution
34,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#le-choeur-des-graces', ""Mêlons aux chants de victoire Les douces chansons d'amour."")",1.1,Substitution
35,"('#jupiter', 'Vivez, nouveaux humains.')","('#bacchus #ceres', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.64,Substitution
36,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')","('#choeur-des-graces', ""Que tout le reste de la terre Porte envie au bonheur de ces lieux pleins d'attraits."")",1.64,Substitution
37,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#mars #venus', 'Au milieu de la guerre, Goûtons les plaisirs de la paix.')",0.87,Substitution
38,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#le-choeur-des-graces', 'Au milieu de la guerre, Goûtons les plaisirs de la paix.')",0.89,Substitution
39,,"('#le-choeur-des-combattants', ""Avançons, avançons ; que rien ne nous étonne ; Frappons, perçons, frappons ; qu'on n'épargne personne ; Il faut périr, il faut périr ; Il faut vaincre, ou mourir."")",1.0,Deletion
40,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")","('#aegle', ""Quel que soit mon destin, il faut ici l'attendre, Minerve, c'est à vous que je viens recourir. Divinité qui devez prendre Le soin de nous défendre, Hâtez-vous de nous secourir."")",1.58,Substitution
41,,"('#le-choeur-des-combattants', 'Il faut vaincre, ou mourir.')",1.0,Deletion
42,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")","('#aegle', ""Ô ciel ! ô juste ciel ! Vous est-il doux d'entendre Ces cris pleins de fureur que je ne puis souffrir ? Dieux ! Aimez-vous à voir tant de sang se répandre ?"")",1.22,Substitution
43,,"('#le-choeur-des-combattants', 'Il faut périr, il faut périr, Il faut vaincre ou mourir.')",1.0,Deletion
44,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")","('#aegle', ""Est-ce aux athéniens, est-ce au parti contraire, Que l'avantage est demeuré ? Dis-moi pour qui le sort s'est enfin déclaré. Ton silence me désespère."")",1.69,Substitution
