corneillep-andromede,quinault-persee,Score
"('#melpomene', ""Arrête un peu ta course impétueuse : Mon théâtre, Soleil, mérite bien tes yeux ; Tu n'en vis jamais en ces lieux La pompe plus majestueuse : J'ai réuni, pour la faire admirer, Tout ce qu'ont de plus beau la France et l'Italie ; De tous leurs arts mes soeurs l'ont embellie : Prête-moi tes rayons pour la mieux éclairer. Daigne à tant de beautés, par ta propre lumière, Donner un parfait agrément, Et rends cette merveille entière En lui servant toi-même d'ornement."")",-,0.0
"('#soleil', ""Charmante muse de la scène, Chère et divine Melpomène, Tu sais de mon destin l'inviolable loi : Je donne l'âme à toutes choses, Je fais agir toutes les causes ; Mais quand je puis le plus, je suis le moins à moi ; Par une puissance plus forte Le char que je conduis m'emporte : Chaque jour sans repos doit et naître et mourir. J'en suis esclave alors que j'y préside ; Et ce frein que je tiens aux chevaux que je guide Ne règle que leur route, et les laisse courir."")",-,0.0
"('#melpomene', ""La naissance d'Hercule et le festin d'Atrée T'ont fait rompre ces lois ; Et tu peux faire encore ce qu'on t'a vu deux fois Faire en même contrée. Je dis plus : tu le dois en faveur du spectacle Qu'au monarque des lis je prépare aujourd'hui ; Le ciel n'a fait que miracles en lui : Lui voudrais-tu refuser un miracle ?"")",-,0.0
"('#soleil', ""Non ; mais je le réserve à ces bienheureux jours Qu'ennoblira sa première victoire : Alors j'arrêterai mon cours, Pour être plus longtemps le témoin de sa gloire. Prends cependant le soin de le bien divertir, Pour lui faire avec joie attendre les années Qui feront éclater les belles destinées Des peuples que son bras lui doit assujettir. Calliope ta soeur déjà d'un oeil avide Cherche dans l'avenir les faits de ce grand roi, Dont les hautes vertus lui donneront emploi Pour plus d'une Illiade et plus d'une Énéide."")",-,0.0
"('#melpomene', ""Que je porte d'envie à cette illustre soeur, Quoique j'aie à craindre pour elle Que sous ce grand fardeau sa force ne chancelle ! Mais quel qu'en soit enfin le mérite et l'honneur, J'aurai du moins cet avantage, Que déjà je le vois, que déjà je lui plais, Et que de ses vertus, et que de ses hauts faits Déjà dans ses pareils je lui trace une image. Je lui montre Pompée, Alexandre, César, Mais comme des héros attachés à son char ; Et tout ce haut éclat où je les fais paraître Lui peint plus qu'ils n'étaient, et moins qu'il ne doit être."")",-,0.0
"('#soleil', ""Il en effacera les plus glorieux noms, Dès qu'il pourra lui-même animer son armée ; Et tout ce que d'eux tous a dit la renommée Te fera voir en lui le plus grand des Bourbons. Son père et son aïeul tous rayonnants de gloire, Ces grands rois qu'en tous lieux a suivis la victoire, Lui voyant emporter sur eux le premier rang, En deviendraient jaloux s'il n'était pas leur sang. Mais vole dans mon char, muse ; je veux t'apprendre Tout l'avenir d'un roi qui t'est si précieux."")",-,0.0
"('#melpomene', ""Je sais déjà ce qu'on doit en attendre, Et je lis chaque jour son destin dans les cieux."")",-,0.0
"('#soleil', ""Viens donc, viens avec moi faire le tour du monde ; Qu'unissant ensemble nos voix, Nous fassions résonner sur la terre et sur l'onde Qu'il est et le plus jeune et le plus grand des rois."")",-,0.0
"('#melpomene', ""Soleil, j'y vole ; attends-moi donc, de grâce."")",-,0.0
"('#soleil', ""Viens, je t'attends, et te fais place. Mélpomène vole dans le char du soleil, et y ayant pris place auprès de lui, ils unissent leurs voix, et chantent cet air à la louange du roi. Le dernier vers de chaque couplet est répété par le choeur de la musique."")",-,0.0
"('#melpomene #soleil', 'Cieux, écoutez ; écoutez, mers profondes ; Et vous, antres et bois, Affreux déserts, rochers battus des ondes, Redites après nous d\'une commune voix : "" Louis est le plus jeune et le plus grand des rois. "" La majesté qui déjà l\'environne Charme tous ses François ; Il est lui seul digne de sa couronne ; Et quand même le ciel l\'aurait mise à leur choix, Il serait le plus jeune et le plus grand des rois. C\'est à vos soins, reine, qu\'on doit la gloire De tant de grands exploits ; Ils sont partout suivis de la victoire ; Et l\'ordre merveilleux dont vous donnez ses lois Le rend et le plus jeune et le plus grand des rois.')",-,0.0
