,viau-pyrame,puget-de-la-serre-le-pyrame,Cost,Operation Type
0,"('#thisbe', ""Du bruit et des fâcheux aujourd'hui séparée, Ma seule fantaisie avec moi retirée, Je puis ouvrir mon âme à la clarté des cieux, Avec la liberté de la voix et des yeux ; Il m'est ici permis de te nommer, Pyrame, Il m'est ici permis de t'appeler mon âme ; Mon âme, qu'ai-je dit ? c'est fort mal discourir, Car l'âme nous fait vivre et tu me fais mourir. Il est vrai que la mort que ton amour me livre Est aussi seulement ce que j'appelle vivre : Nos esprits sans l'amour assoupis et pesants, Comme dans un sommeil passent nos jeunes ans ; Auparavant qu'aimer on ne sait point l'usage Du mouvement des sens ni des traits du visage ; Sans cette passion les plus lourds animaux Connaîtraient mieux que nous et les biens et les maux. Notre destin serait comme celui des arbres, Et les beautés en nous seraient comme des marbres En qui l'ouvrier gravant l'image des humains Ne saurait faire agir ni les yeux, ni les mains. Un bel oeil dont l'éclat ne luit qu'à l'aventure, C'est comme le soleil que cachait la nature Auparavant qu'il fût entré dans ses maisons Et qu'il pût discerner la beauté des saisons. Moi, je crois seulement depuis l'heure première Que l'amour me toucha d'avoir vu la lumière, Et que mon coeur ne vint à respirer le jour Que dès l'heure qu'il vint à soupirer d'amour ; Et combien que le Ciel fasse couler ma vie Dans cette passion avec un peu d'envie, Que mille empêchements combattent mes désirs Et qu'un triste succès menace nos plaisirs, Que les discords mutins d'une haine ancienne Divisent la maison de Pyrame et la mienne, Qu'hommes, Ciel, temps et lieux, nuisent à mon dessein, Je ne saurais pourtant me l'arracher du sein, Et quand je le pourrais je serais bien marrie Que d'un si cher tourment mon âme fût guérie. Une telle santé me donnerait la mort ; Le penser seulement m'en fâche et me fait tort."")","('#thisbe', ""Dieux qu'il y a du plaisir d'aimer parfaitement, et d'être aimé de même : Toutes les délices du monde ont leur dégoût, aussi bien que leurs appas, lorsque  cette sorte de contentements, où les âmes les plus inquiétées trouvent le comble de leur repos.  Il n'est rien de si divin que l'amour, c'est le seul élément de la vie, et l'unique objet où nos désirs terminent leurs effort, où nos passions modèrent leur violence, et où nos coeurs conspirent délicieusement le même air qu'il respirent.  Je suis témoins de toutes ces belles vérités depuis le premier jour de ma naissance, n'ayant commencé de vivre, que dès le moment, que j'ai commencé d'aimer.  Ô heureux moment où mes félicités naquirent toutes ensemble !  Ô agréable amour, dont l'aveuglement m'a servi de flambeau, pour admirer en un seul sujet, toutes les grâces du Ciel, et toutes les beautés de la Nature.  Pyrame c'est son nom, mon coeur en soupire, et mon visage en rougit de honte ; Mais que puis je craindre en ces lieux solitaires ?  Il est vrai Pyrame, je t'aime uniquement, mes pensées sont toutes a toi, mes désirs t'appartiennent, et mon imagination jalouse fuit incessamment ton ombre, pour me dire où va ton corps.  Serais-je si cruelle à moi-même, que de me défendre d'avoir dans la bouche le beau nom de Pyrame, que j'ai gravé si avant dans le coeur.  Je ne puis charmer mes oreilles d'une plus douce harmonie, que celle que produit ce beau nom, et je me sens forcée de croire, que Cypris l'a composé, que l'amour a été le premier qui l'a prononcé, que les Grâces l'on redit après lui, et que toutes les douceurs ensemble en ont fait leur nom d'alliance : Car sans mentir, il est si doux, que ma langue est toute de miel à force de le proférer souvent ; Aussi est-ce le beau nom de toutes mes félicités, de tous les plaisirs de ma vie, et de tout ce qu'il y a de divin en la Natures en disant Pyrame, je dis encore le nom de tout ce que l'aime, et de tout ce qui est aimable, ce qui autorise ma passion, puisque le sujet en est si glorieux.  On a beau me défendre de l'aimer, j'ai déjà voué à son amour, le dernier soupir de ma vie : Et que l'on me tourmente tant qu'on voudra, une âme amoureuse ne se lasse jamais de souffrir, elle trouve toujours ses plaisirs dans ses peines.  Le pis qui me peut arriver, c'est de mourir ; Hé ne serai- je pas heureuse de perdre la vie pour celui que j'aime mille fois plus qu'elle, le fort en est trop beau, je n'envie point d'autre fortune."")",0.07,Substitution
1,"('#bersiane', 'Comment vous être ainsi de nous tous éloignée ! Osez-vous bien aller sans être accompagnée ? Tout le monde au logis est en peine de vous, Et surtout votre mère en est en grand courroux.')","('#bersiane', 'Tout le monde vous cherche, et votre mère est en peine de savoir où vous êtes.')",0.68,Substitution
2,"('#thisbe', 'Pourquoi cela ? Ma vie est-elle si suspecte ?')","('#thisbe', 'Sa peine ne sera pas de longue durée : je serai bientôt de retour.')",1.72,Substitution
3,"('#bersiane', ""Non ! Mais toujours les vieux veulent qu'on les respecte ; Vous deviez pour le moins un de nous avertir, Faire quelque semblant que vous alliez sortir."")","('#bersiane', ""Une fille vertueuse ne doit jamais aller seule, il faut qu'elle aie toujours des témoins de ses actions."")",0.97,Substitution
4,"('#thisbe', ""Sais-tu pas bien que j'aime à rêver, à me taire, Et que mon naturel est un peu solitaire ? Que je cherche souvent à m'ôter hors du bruit ? Alors, pour dire vrai, je hais bien qui me suit ; Quelquefois mon chagrin trouverait importune La conversation de la bonne Fortune, La visite d'un Dieu me désobligerait, Un rayon du soleil parfois me fâcherait."")","('#thisbe', ""Serais-ce un crime de s'entretenir avec ses pensées pour soulager l'esprit des inquiétudes, dont on se trouve souvent agité.  Ne sais tu pas que mon humeur solitaire me fait aimer le lieu, et que les jours ont des certaines heures de mélancolie si agréables, qu'il faut nécessairement les passer seule si l'on en veut goûter les plaisirs.  Je te fais juge maintenant de l'importunité que tu me causes."")",0.0,Match
5,"('#bersiane', ""La chute d'une feuille, un zéphyr, un atome ?"")","('#bersiane', 'Depuis quand vous suis-je si importune ?')",1.44,Substitution
6,"('#thisbe', ""Je te laisse à juger que ferait un fantôme, Et de quelle façon je me verrais punir. Qu'un esprit des Enfers me vint entretenir."")","('#thisbe', 'Depuis que tes soins criminels te font suivre partout la trace de mes pas, sans autre dessein, que celui de me déplaire.')",1.0,Substitution
7,,"('#bersiane', ""Je n'eusse jamais cru que ma compagnie vous eut été si fort à mépris."")",1.0,Deletion
8,"('#bersiane', 'À ce compte je suis déjà parmi ce nombre.')","('#thisbe', ""Tu as assez de jugement pour le connaître, comme tu as trop de malice pour m'y obliger !"")",1.32,Substitution
9,,"('#bersiane', ""Vous êtes en colère de quoi j'ai interrompu votre doux entretien."")",1.0,Deletion
