,donneau-de-vise-amours-du-soleil,dorneval-jugement-de-paris,Cost,Operation Type
0,"('#apollon', ""Malgré les plaisirs innocents  Qu'avec vous je goûte sans cesse,  Muses, pour quelque temps il faut que je vous laisse,  Et je vais, entraîné par des désirs pressants,  Voir une charmante Princesse,  Dont les attraits trop puissants  Ont fait naître en mon coeur une forte tendresse.  La Princesse de Perse est cet objet vainqueur  Pour qui le Dieu des vers soupire ;  Je ne suis plus à moi, je vis sous son empire,  Enfin Leucothoé dispose de mon coeur. "")",,1.0,Insertion
1,"('#i-muse', 'Que nous aurons de peine à souffrir votre absence ! ')",,1.0,Insertion
2,"('#ii-muse', ""Et qu'avecque peu d'espérance  Nous attendrons votre retour,  Quand vous serez arrêtés par l'Amour ! "")","('#mercure', ""Serviteur à Monsieur Gargot. Air 11 : On n'aime point d'ans mes forêts."")",1.54,Substitution
3,"('#iii-muse', ""Nous serons longtemps délaissées :  L'Amour qui pourra tout sur vous,  Vous retenant dans des liens si doux,  De votre souvenir nous serons effacées. "")",,1.0,Insertion
4,"('#apollon', ""Ah n'appréhendez rien de lui,  Vous lui servez souvent à conquérir des âmes,  Et par vos chansons aujourd'hui  Il allume beaucoup de flammes. "")",,1.0,Insertion
5,"('#iv-muse', 'Il est vrai que nos vers ont de rares secrets,  Et font faire aux Amants de merveilleux progrès. ')",,1.0,Insertion
6,"('#v-muse', ""Mais Apollon n'en a que faire :  Quand de quelque Beauté son coeur sera charmé,  Et qu'il aura dessein de plaire,  Il se verra d'abord aimé.  Notre art n'augmente point l'éclat qui l'environne ;  Tout ce que nous savons, nous le tenons de lui ;  Et si ce Dieu nous abandonne,  Nous allons tout perdre aujourd'hui. "")","('#monsieur-gargot', ""Que vois-je ! C'est le Dieu Mercure."")",1.68,Substitution
7,"('#apollon', ""Vous ne serez jamais abandonnées,  Votre gloire croîtra toujours,  Rien n'en pourra borner le cours :  C'est un ordre des Destinées ;  Et même dans quelques années  Les Dieux doivent donner à la France un grand Roi,  Qui doit faire pour vous encore plus que moi.  Ce monarque à qui rien ne doit être impossible,  Vous saura garantir des insultes de Mars,  Et vous verrez refleurir vos beaux-arts  Sous son règne doux et paisible.  Par lui vos dignes Nourrissons  Auront de leurs travaux de dignes récompenses ;  On lui verra donner le prix à vos chansons,  Et celui qu'on doit aux sciences.  Mes Soeurs, vous pouvez donc par un soin glorieux  Dès aujourd'hui travailler pour sa gloire,  Le placer par avance au Temple de Mémoire,  Et le mettre au-dessus de tous les demi-Dieux. "")",,1.0,Insertion
8,"('#vi-muse', ""Si nous en recevons de si grands avantages,  Pour reconnaître ses bienfaits,  Nous le peindrons si bien dans nos fameux ouvrages,  Que le portrait ne s'en perdra jamais."")",,1.0,Insertion
9,"('#apollon', ""Vous n'avez jamais eu de matière si belle  Que vous en fourniront ses glorieux exploits ;  Vous le verrez le plus parfait modèle  Que l'on puisse donner aux Rois ;  Et ses neveux auront quelque peine à croire  Ce qu'en rapportera la plus modeste Histoire.  Travaillez donc pour lui toutes à vos emplois. "")","('#mercure', 'Je vous amène un bon écot.')",1.84,Substitution
