,la-fontaine-daphne,la-motte-carnaval-folie,Cost,Operation Type
0,"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")","('#jupiter #venus #le-choeur', ""Qu'à nos voeux ici tout réponde ; Versez-nous, versez-nous la céleste liqueur. Versez, que le Nectar enchante notre coeur, Qu'il y porte une paix profonde."")",0.61,Substitution
1,"('#venus', 'Charmante oisiveté, repos délicieux !')",,1.0,Insertion
2,"('#minerve', 'Ou plutôt, repos ennuyeux !')",,1.0,Insertion
3,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")","('#venus', ""C'en est assez ; goûtons des plaisirs plus parfaits, Et que le tendre Amour à son tour nous inspire. Régnez, Amour, régnez, rassemblez vos attraits; Triomphez, sur nos coeurs étendez votre empire. Mais, qu'à son gré chacun soupire ; Laissez-nous le choix de vos traits."")",0.7,Substitution
4,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",,1.0,Insertion
5,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")","('#choeur', 'Régnez, Amour, régnez, rassemblez vos attraits ; Triomphez, sur nos coeurs étendez votre empire.')",1.02,Substitution
6,"('#momus', ""Ne vous faites point tant d'affaires."")","('#jupiter #venus', ""Mais, qu'à son gré chacun soupire ; Laissez-nous le choix de vos traits."")",1.47,Substitution
7,,"('#momus', 'Ne vous faites point violence : Junon est encor à Samos, Profitez bien de son absence.')",1.0,Deletion
8,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")","('#jupiter', ""Téméraire Censeur, laisse-nous en repos. Que l'on chante ici, que l'on danse. Livrons-nous à tous nos désirs ; Sur notre puissance Réglons nos plaisirs. NEPTUNE danse avec THETIS, APOLLON avec DIANE, MARS avec PALLAS, et BACCHUS avec CÉRÉS."")",0.52,Substitution
9,"('#promethee', 'Que me veut Jupiter ?')",,1.0,Insertion
10,"('#jupiter', 'Ouvre tes magasins.')",,1.0,Insertion
11,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")","('#venus', ""Heureux un coeur que l'Amour blesse. Ah ! Que ses chaînes ont d'appas ! Mettons tous nos plaisirs à lui céder sans cesse : Le pouvoir des Dieux ne vaut pas Une si charmante faiblesse."")",1.15,Substitution
12,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")","('#momus', ""Vous ne vous lassez point de plaisirs, ni d'amour; Quand cesserez-vous donc de suivre leur empire !"")",1.01,Substitution
13,"('#promethee', 'Vous ne les connaissez pas.')",,1.0,Insertion
14,"('#momus', 'Fais-leur faire quelques pas.')",,1.0,Insertion
