,andrieux-moliere-et-ses-amis,cadet-gassicourt-souper-de-moliere,Cost,Operation Type
0,"('#laforet', 'Bonsoir, monsieur Chapelle.')",,1.0,Insertion
1,"('#chapelle', 'Eh ! Bonsoir, Laforêt.')",,1.0,Insertion
2,"('#laforet', ""Vous venez de bonne heure, et rien encor n'est prêt. Monsieur même est dehors."")","('#laforet', ""Allons, Antoine, laisse-moi ; nous avons du monde ce soir, et je n'ai pas plus de temps qu'il ne m'en faut..."")",0.96,Substitution
3,"('#chapelle', 'Où donc est-il, ton maître ? º')","('#antoine', ""Pourquoi me faire languir ; par pitié dites-moi si je puis espérer d'obtenir ma chère Madelon. "")",1.61,Substitution
4,"('#laforet', ""Après son dîner, chaque jour Dans le bois de Boulogne, il s'en va faire un tour ; Il y rêve ; il travaille en cet endroit champêtre ; Nous aimons bien Auteuil ; le village est charmant ; Et puis, nous y vivons librement, et sans gêne....."")","('#laforet', ""Je vois bien qu'il me faut débarrasser de toi...  Eh bien !  Oui, mon garçon ; tout est arrangé, et j'en ai la parole ; mais il faut te le dire : j'ai bien eu de la peine.  Sans mon maître, qui a promis de fouiller à l'escarcelle, et de payer la dot de Madelon, ma foi je n'obtenais rien. "")",1.23,Substitution
5,"('#chapelle', 'Nos amis ne sont pas venus ?')",,1.0,Insertion
6,"('#laforet', ""Jusqu'à présent Je n'en ai vu qu'un seul, monsieur Delafontaine, Qui depuis plus d'une heure, au jardin se promène ; Voulez-vous l'aller joindre ?"")","('#antoine', ""De payer la dot de Madelon ?  Quel bienfait !  Allez, allez, mamzelle Laforêt, je l'en remercierai bien, ce bon Monsieur Molière...  Madelon aussi...  Si bien donc que son père ne voulait pas... "")",1.43,Substitution
7,"('#chapelle', ""Eh ! Non, ma chère enfant. La bonhomme n'a pas l'entretien fort brillant. Je vais attendre ici. Depuis une semaine Molière est mieux pourtant ?"")","('#laforet', ""Son père !  Oh !  Si fait.  Mathurin n'est pas un... Harpagon.  C'était sa mère qui refusait, parce que tu n'as pas beaucoup de ce qui se compte ; mais son mari lui a fait entendre raison ; car comme dit notre maitre : La poule ne doit pas chanter plus haut que le coq. "")",1.44,Substitution
8,"('#laforet', 'Beaucoup mieux, Dieu merci ; Dame ! nous avons eu pour lui bien du souci.')","('#antoine', ""Madelon est sans ornements :  Nature a fait ses agréments.  La fleur que chaque jour fait voir  Est sa parure,  Et l'onde pure  Est son miroir. Enfin Madelon sera ma femme !  Quelle joie !...  Elle est bien aimable, Madelon, n'est-ce pas ?  AIR : Anette à l'âge de 15 ans. "")",1.25,Substitution
9,"('#chapelle', 'Ce soir, pour sa convalescence, En signe de réjouissance, Ici nous souperons ; nous traiteras-tu bien ?')","('#laforet', 'Elle doit être bien contente ? ')",0.98,Substitution
