,quinault-isis,quinault-proserpine,Cost,Operation Type
0,"('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')","('#la-paix', ""Héros, dont la valeur étonne l'univers, Ah ! Quand briserez-vous nos fers ? La discorde nous tient ici sous sa puissance ; La barbare se plaît à voir couler nos pleurs ; Soyez touché de nos malheurs, Vous êtes dans nos maux notre unique espérance ; Héros, dont la valeur étonne l'univers, Ah quand briserez-vous nos fers ! La suite de la Paix répète ces deux derniers vers. La haine, la Rage, les Chagrins, la Jalousie, le Dépit, le Désespoir, et toute la suite de la Discorde, témoignent les douceurs qu'ils trouvent dans l'esclavage où ils ont réduit la Paix."")",0.5,Substitution
1,"('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")","('#la-discorde', ""Soupirez, triste paix, malheureuse captive, Gémissez, et n'espérez-pas Qu'un héros que j'engage en de nouveaux combats Écoute votre voix plaintive. Plus il moissonne de lauriers, Plus j'offre de matière à ses travaux guerriers. J'anime les vaincus d'une nouvelle audace ; J'oppose à la vive chaleur De son indomptable valeur Mille fleuves profonds, cent montagnes de glace. La victoire empressée à conduire ses pas Se prépare à voler aux plus lointains climats ; Plus il la suit, plus il la trouve belle ; Il oublie aisément pour elle La paix et ses plus doux appas."")",0.34,Substitution
2,,"('#la-paix #suite-de-la-paix', 'Ô rigueurs inhumaines ! Faut-il ne voir jamais finir le triste cours De nos malheurs, et de nos peines ?')",1.0,Deletion
3,,"('#la-discorde #suite-de-la-discorde', ""Vos plaintes seront vaines N'espérez jamais de secours."")",1.0,Deletion
4,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")","('#la-paix #suite-de-la-paix', 'Quel tourment de languir toujours Sous de cruelles chaînes !')",1.86,Substitution
5,,"('#la-discorde #suite-de-la-discorde', ""Vos plaintes seront vaines N'espérez jamais de secours. On entend un bruit de trompettes et de timbales."")",1.0,Deletion
6,"('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")","('#la-discorde', ""Ce bruit que la victoire en ces lieux fait entendre. M'avertit qu'elle y va descendre. Quel plaisir de lui faire voir Mon ennemie au désespoir ! La victoire descend, elle est accompagnée d'un grand nombre de victoires, et de héros."")",0.56,Substitution
7,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",,1.0,Insertion
8,"('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")","('#la-victoire', 'Venez aimable paix, le vainqueur vous appelle, La victoire devient votre guide fidèle ; Venez dans un heureux séjour. Vous, discorde affreuse et cruelle, Portez ses fers à votre tour.')",0.85,Substitution
9,"('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")","('#la-victoire #suite-de-la-victoire', ""Venez, aimable paix, le vainqueur vous appelle. La suite de la Victoire déchaîne la Paix et les divinités qui l'accompagnent, et enchaîne la Discorde et sa suite."")",1.2,Substitution
