biancollelli-arlequin-gentilhomme,regnard-arlequin-bonnes-fortunes,Score
"('#colombine', 'Allons, maître faquin, dénichez promptement. ')",-,0.0
"('#pierrot', ""C'est ainsi que l'on traite un méchant garnement,  Hors d'ici... "")",-,0.0
"('#arlequin', 'Modérez cette brusque colère,  Monsieur, que votre main soit un peu plus légère,  Et vous, Madame, ayez plus de compassion,  Vous pourriez bien me faire une contusion,  Je ne vis de mes jours femme plus violente,  Qui connaît mieux que moi votre humeur turbulente ? ')",-,0.0
"('#colombine', ""Je ferais beaucoup mieux de te remercier,  Et te laisser gratis vider tout mon cellier,  Chez moi depuis trois mois tu prends ta nourriture,  J'ai voulu te prêter dix écus sans usure,  Et tu ne songes pas encore à t'acquitter,  Demain je prendrai soin de te faire arrêter,  Une obscure prison sera ta récompense,  Si par le paiement tu n'obtiens ta quittance. "")",-,0.0
"('#arlequin', ""Vous voulez en prison faire mettre Arlequin,  Je n'y resterai pas je suis trop libertin."")",-,0.0
"('#pierrot', ""Bon, bon, quand une fois tu seras dans la cage,  Quoique tu sois porté pour le libertinage,  Tu ne sortiras pas pour t'aller promener,  Je te ferai mon cher, moi-même emprisonner,  Foi de Pierrot, hélas ! Quel serment effroyable  Cela me fait trembler/ "")",-,0.0
"('#arlequin', ""Vous êtes trop bon Diable,  Vous n'avez pas le coeur de me faire enfermer. "")",-,0.0
"('#pierrot', ""Oh si tu prenais l'air tu pourrais t'enrhumer,  Dans un cachot bien clos tu seras à ton aise. "")",-,0.0
"('#arlequin', ""Le cachot est mal sain et n'a rien qui me plaise,  D'ailleurs la solitude a pour moi peu d'appas. "")",-,0.0
"('#pierrot', 'Tu pourras converser avec Messieurs les rats,  Qui le jour et la nuit te tiendront compagnie. ')",-,0.0
"('#arlequin', ""La conversation sera, ma foi, jolie,  De grâce, cher Pierrot, soyez plus indulgent,  Le moyen de payer quand on est sans argent,  Je n'ai pas un denier, je me mets à la mode,  Et des gens du grand air j'observe la méthode,  Payer ce que l'on doit est du dernier bourgeois,  Mon ami, lui dit-on, venez une autre fois,  Il retourne, on lui tient toujours même langage,  Le pauvre malheureux fait en vain ce voyage.  L'homme de qualité qui ne veut point payer,  Conduit jusqu'aux degrés le morne créancier ;  C'est ainsi qu'aujourd'hui on acquitte ses dettes  Et Messieurs les Marchands sont traités en grisettes,  On leur trouve d'abord de merveilleux appas,  Quand on s'est servi l'on en fait peu de cas. "")",-,0.0
"('#colombine', 'Ta comparaison cloche, il faut me satisfaire. ')",-,0.0
"('#arlequin', ""L'honneur me le défend et je ne puis le faire,  J'ai le coeur noble et fier, connaissez Arlequin. "")",-,0.0
"('#pierrot', 'Vous êtes, je le sais, Gentilhomme faquin,  Mais du moins mon ami laissez-nous quelque gage. ')",-,0.0
"('#arlequin', ""Je ne puis vous donner qu'un morceau de fromage,  Que je garde avec soin depuis plus de dix ans,  Et je fais sur moi-même un effort des plus grands,  En vous abandonnant ce trésor plein de charmes  C'est lui seul dont le goût dissipe mes alarmes,  Lorsque je suis chagrin, inquiet, agité,  Je n'ai qu'à le sentir pour ma tranquillité.  Je le mets pour dormir la nuit sous ma paillasse  Et je ronfle en repos quelque bruit que l'on fasse  Quand même vingt canons péteraient à la fois,  Jamais malgré ce bruit je ne m'éveillerais.  Mais je vois bien qu'il faut répondre à votre envie,  Fromage de Milan, délice de ma vie,  Lénitif de mes maux, aimable cordial,  Rare et friand boucon, élixir pectoral,  Passez dans d'autres mains puisque du sort barbare,  L'injurieuse loi pour jamais nous sépare,  Recevez, cher Pierrot, ce bijou précieux,  Dont la perte de pleurs grossit mes petits yeux.  Il dit ce qui suit d'un ton tragique."")",-,0.0
"('#pierrot', ""Il est bon là ma foi, que veux-tu que j'en fasse ?  Cette plaisanterie est de mauvaise grâce,  Nous voulons de l'argent tout au plus tard demain,  Sinon sur le collet on te mettra la main,  Cherche un expédient pour te tirer d'affaire. "")",-,0.0
"('#colombine', ""Je te l'ai déjà dit, songe à me satisfaire  C'est le plus sûr moyen pour sortir d'embarras,  Il me faut du comptant. "")",-,0.0
"('#arlequin', ""Et n'en avez-vous pas ?  Pourquoi m'en demander ? "")",-,0.0
"('#pierrot', ""C'en est trop ventrebille,  J'entre en fureur, allons femme, rossons ce drille.  Pierrot et Colombine frappent Arlequin."")",-,0.0
"('#colombine', 'Pour moi je le veux bien je frappe de bon coeur. ')",-,0.0
"('#arlequin', ""Est-ce ainsi qu'aujourd'hui l'on traite un débiteur ?  Je recevrais le double avec grande constance,  Si de ce que je dois vous donniez quittance. "")",-,0.0
"('#pierrot', 'Oh, tu gagnerais trop, et moi je perdrais tout. ')",-,0.0
"('#arlequin', 'Par ma foi vous poussez ma complaisance à bout. ')",-,0.0
"('#colombine', ""Il nous faut de l'argent, adieu maligne bête. "")",-,0.0
"('#arlequin', 'Peut-on vous refuser, vous êtes trop honnête ? ')",-,0.0
