,chevalier-amours-de-calotin,chevalier-barbons-amoureux,Cost,Operation Type
0,"('#le-marquis', ""Enfin me voici donc dans l'Hôtel du Marais Et dessus un théâtre où je ne viens jamais."")",,1.0,Insertion
1,"('#le-baron', ""Et moi, mon cher Marquis, ici je te déclare Que le Palais-Royal me devient aussi rare ; Nul n'y saurait aller, sans se faire draper ! Ah qu'heureux est celui qui s'en peut échapper ! Pour moi, qui n'aime pas à souffrir qu'on me drape, Je veux être berné, si plus on m'y rattrape."")","('#clidamant', ""Que je serais à plaindre en l'état où je suis,  Si je ne t'avais pas pour dire mes ennuis. Apprends, mon cher Guillot, que j'aime Polixène,  Que ce charmant objet cause toute ma peine.  Et Lucidor son frère, aimant ma soeur aussi,  Nous pourrons, que je crois, nous rendre heureux ainsi."")",0.06,Substitution
2,"('#le-marquis', 'Pourquoi donc ? Qui te peut causer un tel courroux ?')",,1.0,Insertion
3,"('#le-baron', ""Pourquoi ? C'est qu'on nous fait tous passer pour des fous. Comte, Duc, et Baron, et Marquis, et Marquise, Ne peuvent s'exempter qu'on ne les tympanise. Nous n'oserions parler, ni desserrer les dents, Qu'on ne nous traite pis que des extravagants. Dès que par notre bouche il passe un mot folâtre, Nous nous voyons d'abord jouer sur le théâtre. Comment ? Quand nous serions sûrement insensés, Nous ne pourrions jamais être mieux redressés."")",,1.0,Insertion
4,"('#le-marquis', 'Mais de quoi te plains-tu ?')",,1.0,Insertion
5,"('#le-baron', ""D'un diable de Molière, Dont l'esprit goguenard ne laisse rien derrière, Et réussit si bien dedans tout ce qu'il fait, Qu'il sait donner à tous chacun son petit fait. Nous sommes tous cocus, si nous l'en voulons croire, Appelez-vous cela des vers à notre gloire ? Mais s'il m'en croit, Marquis, loin de nous railler tous, Il se taira, s'il veut éviter mon courroux. Quoi si nous nous souffrons traiter de ces manières, Nous aurons de sa part bientôt les étrivières."")","('#guillot', ""Courage, nous voilà tous remplis d'amourette,  Lucidor aime Aminte, et son valet Lisette,  Vous aimez Polixène, et j'aime Béatrix,  À ce que je puis voir, nous sommes tous d'un prix. Mais ce n'est pas là tout ce qu'amour a su prendre. Vos deux pères, je crois, sont aussi pris du tendre ;  Car je les vois toujours ensemble conférer,  Et tout leur entretien n'est que de soupirer. Vous les verrez bientôt en ce lieu l'un et l'autre,  Parler de leur amour, daignez songer au vôtre,  Empaumez Lucidor, il doit venir ici,  Pour moi de Béatrix je fais tout mon souci. "")",0.16,Substitution
6,"('#le-marquis', ""Tu te moques, Baron, sache que cet esprit Ne cherche qu'à nous plaire en tout ce qu'il écrit, Et que tu passeras, si l'on te voit crédule Jusqu'à t'en offenser, pour homme ridicule; Comme il est approuvé de tous les gens d'honneur, Ton approbation doit se joindre à la leur."")","('#clidamant', ""Nos pères amoureux ? Cela n'est pas croyable,  Un Amant à leur âge, est toujours méprisable,  Les soupirs des vieillards sont soupirs superflus,  Ils ont beau soupirer, on ne les entend plus ;  Mais pour les jeunes gens il n'en est pas de même :  Enfin, tu sais Guillot, ma passion extrême... "")",0.74,Substitution
7,"('#le-baron', ""Moi je l'approuverais ? Qu'un sort le plus étrange M'accable, si plutôt de lui je ne me venge."")","('#guillot', 'Et bien pour la savoir, en suis-je bien plus gras. ')",1.03,Substitution
8,"('#le-marquis', 'Mais dis-moi donc comment tu prétends te venger?')","('#clidamant', ""Non, mais j'espère bien que tu m'y serviras. "")",0.59,Substitution
9,"('#le-baron', ""En n'allant plus chez lui, pour le faire enrager. Lorsque je n'irai plus, qu'est-ce qu'il pourra dire De moi ?"")",,1.0,Insertion
10,"('#le-marquis', ""C'est le moyen d'attirer sa satire ; Et s'il vient à savoir le dessein que tu fais, Tu te feras jouer plus qu'on ne fut jamais. Évite, si tu peux, d'en faire la sorte, Si tu ne veux sur toi voir une Comédie : Je suis certain qu'après tu t'en repentirais."")","('#guillot', ""C'est fort bien espérer. "")",1.24,Substitution
11,"('#le-baron', ""Sur moi, s'il l'avait fait, je le fustigerais."")","('#clidamant', 'Ne suis-je pas ton Maître ? ')",1.45,Substitution
12,"('#le-marquis', ""Quelqu'autre la ferait."")",,1.0,Insertion
13,"('#le-baron', ""Poisson aussi s'amuse À s'ébaudir l'esprit parfois avec sa Muse, À ce que j'ai pu voir, et loin de nous priser, Il se mêle à son tour de nous satiriser : Mais qu'il sache sur moi si quelque chose il trace Qu'il n'aura pas affaire au Baron de la Crasse, Puisque je l'en ferais diablement repentir."")","('#guillot', ""Vous ne savez que trop me le faire connaître.  D'abord que quelque avis vous est donné par moi.  Coquin, me dites-vous, c'est bien à faire à toi,  De venir discourir, il vaudrait mieux te taire,  Ce faquin veut ici trancher du nécessaire,  Faire l'olibrius, cessez petit mignon,  De traiter avec moi de pair à compagnon,  Et gardez le respect d'une telle manière,  Que nous ne vivions plus tant à la familière ; Voilà le beau régal que me font vos discours ;  Mais alors qu'il vous faut servir dans vos amours,  Peste, que vous savez bientôt changer de note !  Vous vous radoucissez d'une façon bigote,  Cher Guillot, dites-vous, rien n'est égal à toi,  Tu mérites beaucoup, je t'aime plus que moi :  Quoique simple valet, tu ne tiens rien du rustre,  Mille perfections qui te rendent illustre,  Me font avoir pour toi tout à fait du penchant ;  Et puis quand vous avez fait le bon chien couchant,  Que vous croyez de moi n'avoir jamais affaire,  Vous m'envoyez au diable, et sans autre mystère :  Monsieur, je ne suis plus d'humeur à le souffrir,  Rêvez, mourrez d'amour, je vous verrai mourir. "")",0.01,Substitution
14,"('#le-marquis', ""Ce qu'ils en font n'est rien que pour nous divertit, Tu t'emportes à tort."")","('#clidamant', ""Tu n'as point de pitié d'un Amant misérable ? "")",0.92,Substitution
15,"('#le-baron', ""Vous aimez la méthode De vous souffrir railler toujours sur chaque mode: Qu'un Molière sans cesse en vos habillements Vous fasse les objets de tous ces bernements ; Et que quand nous avons quelques modes jolies, Il les fasse passer toutes pour des folies. Oui, vous aimez cela, car pour vous voir berner, Vous n'avez pas assez d'argent pour luy donner. Quand je vous dis : Allons à l'Hôtel de Bourgogne, Vous recevez ces mots ainsi qu'une vergogne Et me dites d'abord : Moi rarement je vais À l'Hôtel de Bourgogne, à l'Hôtel du Marais, Ma satisfaction n'est jamais plus entière Qu'alors que je me vois chez l'illustre Molière."")","('#guillot', ""N'en ayant point pour moi, je suis impitoyable. "")",1.36,Substitution
16,"('#le-marquis', ""Des divertissements c'est aussi le seul but."")","('#clidamant', 'Quoi, sans être touché tu verrais mon trépas ? ')",1.75,Substitution
17,"('#le-baron', ""Hors Molière, pour vous il n'est point de salut, Tous les autres auteurs vous sont insupportables, Les Corneilles auprès sont auteurs détestables, Ce qu'ils mettent au jour est par trop sérieux, Et bien loin de vous plaire, ils vous sont ennuyeux Peut-on voir, dites-vous, une pièce parfaite, Comme celle où l'on voit Alain avec Georgette ? Mais raisonnant ainsi, messeigneurs les benêts, C'est passer pour autant d'Alains et de Georgets."")","('#guillot', ""Monsieur, je vous connais, que vous n'en mourrez pas.  La mort est un chemin qu'il nous faudra tous suivre ;  Mais pour mourir d'amour, vous aimez trop à vivre :  Vous me direz encor, je me meurs, bien des fois,  Pendant que je vous voie arriver aux abois ;  Vous êtes tous les jours près de quelque Maîtresse,  Faire le transi, l'Amant plein de tendresse,  Et puis tout aussi tôt qu'elle a le dos tourné,  Une autre qui survient vous rend passionné ;  Si bien que l'on vous voit mourir pour la dernière,  Comme vous aviez fait déjà pour la première :  Et vous ne trépassez jamais qu'en vos amours,  Monsieur, je crois ma foi, que vous vivrez toujours. "")",0.85,Substitution
18,"('#le-marquis', ""Mais, Baron, tu te vas ériger en folâtre, Si l'on te voit blâmer ce foudre de théâtre, Cet auteur si fertile en ouvrages puissants, Qu'on le nomme en tous lieux la merveille du temps ; Et pour te faire voir sa valeur infinie, Il tire quatre parts dedans sa Compagnie : Enfin c'est un esprit au dessus de l'humain."")","('#clidamant', ""C'est bien à vous maraud, à me railler de même.  Savez-vous bien qu'après votre insolence extrême  Je devrais vous casser les jambes et les bras ? "")",0.84,Substitution
19,"('#le-baron', ""Je sais qu'il fait venir l'eau dedans le moulin, Et même que sans craindre être au rang des profanes Il vous y fait passer joliment pour des ânes. Dieu me damne, Marquis, ce célèbre garçon Sait dauber le prochain de la bonne façon."")","('#guillot', ""Vous m'obligerez fort en ne le faisant pas. "")",1.71,Substitution
20,"('#le-marquis', ""Ton obstination, cher Baron, est extrême. Sais-tu que la satyre est la cause qu'on l'aime ? Comme il sait étaler nos défauts à nos yeux, Nous pouvons, les voyant, nous en corriger mieux. Ainsi quand ce savant prononce une parole, Ce doit être pour nous une éternelle école."")","('#clidamant', 'Parlant comme tu fais, je le devrais bien faire. ')",1.47,Substitution
21,"('#le-baron', ""Ce grand maître d'école a beaucoup d'écoliers Dont il sait, les raillant, attraper les deniers ; Et tandis que le monde est sa dupe et sa buse, En lui-même il se dit : prends-les, je les amuse. Pour moi, je vous promets qu'il ne m'y prendra pas ; Si l'on m'y peut trouver, qu'on m'y casse les bras."")","('#guillot', ""Vous n'auriez puis après qu'à me mettre en galère  N'ayant jambes ni bras, je ramerais fort bien. "")",0.77,Substitution
22,"('#le-marquis', ""Pour moi, je suis ravi lorsque je vois paraître Un esprit qui s'efforce à se faire connaître. S'il nous raille, il nous sait railler si galamment, Que ce nous est à tous un divertissement. Mais je suis sûr qu'à tort on se le persuade, Que cette vision vient d'un esprit malade, Et que jamais Molière en traitant son sujet, Ne fit dessein d'avoir la Cour pour son objet ; Et tant que je pourrai je verrai ce grand homme."")","('#clidamant', ""Tais-toi, double coquin, et ne me dis plus rien,  Je suis las d'écouter tes sottes railleries,  Finis donc promptement toutes ces momeries,  Et songe seulement que j'ai besoin de toi. "")",0.97,Substitution
23,"('#le-baron', ""Moi, si je le vais voir, je veux bien qu'on m'assomme ; Vous aimez qu'on vous berne en donnant votre argent, Et moi je n'aime pas que l'on m'en fasse autant."")","('#guillot', ""Votre commandement fait ma règle et ma loi,  Je prétends vous servir en valet admirable,  Et suis autant à vous, qu'un Sergent est au Diable. "")",0.89,Substitution
24,"('#le-marquis', ""Baron, sur ce sujet n'ayons point de querelle; Mais je crains qu'on ne voie une pièce nouvelle Sur ta façon d'agir, si l'on la peut savoir."")","('#clidamant', ""Paix-là, j'entends quelqu'un, viens-t-en prendre un billet,  Que tu feras tenir à mon aimable objet. "")",0.95,Substitution
