,racine-thebaide,rotrou-antigone,Cost,Operation Type
0,"('#jocaste', ""Ils sont sortis, Olympe ? Ah mortelles douleurs ! Qu'un moment de repos me va coûter de pleurs ! Mes yeux depuis six mois étaient ouverts aux larmes ; Et le sommeil les ferme en de telles alarmes ? Puisse plutôt la mort les fermer pour jamais,  Et m'empêcher de voir le plus noir des forfaits. Mais en sont-ils aux mains ?"")","('#jocaste', ""Qu'ils ont bien à propos usé de mon sommeil : Ils n'ont pas appelé ma voix à leur conseil ; Et lorsqu'ils ont voulu tenter cette sortie, On a bien su garder que j'en fusse avertie. C'est bien, ô nuit, c'est de tes plus noirs pavots Que tu m'as distillé ce funeste repos. Mais quel chef les conduit ?"")",0.4,Substitution
1,,"('#ismene', 'Étéocle lui-même.')",1.0,Deletion
2,"('#olympe', ""Du haut de la muraille, Je les ai vus déjà tous rangés en bataille. J'ai vu déjà le fer briller de toutes parts, Et pour vous avertir, j'ai quitté les remparts.  J'ai vu le fer en main Étéocle lui-même, Il marche des premiers, et d'une ardeur extrême, Il montre aux plus hardis à braver le danger."")","('#jocaste', ""Allons tôt ; c'est trop d'ordre en ce désordre extrême ; Ce poil mal ordonné, cette confusion Me sera bien séante en cette occasion. Nature, confonds-les, c'est ici ton office : Tout dépend de toi seule, et rien de l'artifice : Viens te montrer, mon sein, qui les as allaités ; Avancez-vous, mes bras, qui les avez portés ; Toi, flanc incestueux dont il sont pris naissance, Viens, s'ils ont du respect, faire voir ta puissance."")",0.26,Substitution
3,,"('#antigone', ""Madame, il n'est plus temps."")",1.0,Deletion
4,"('#jocaste', ""N'en doutons plus, Olympe, ils se vont égorger. Que l'on coure avertir et hâter la princesse,  Je l'attends. Juste ciel ! soutenez ma faiblesse. Il faut courir, Olympe, après ces inhumains, Il les faut séparer, ou mourir par leurs mains. Nous voici donc, hélas ! à ce jour détestable Dont la seule frayeur me rendait misérable.  Ni prières, ni pleurs ne m'ont de rien servi, Et le courroux du sort voulait être assouvi. Ô toi, soleil, ô toi, qui rends le jour au monde, Que ne l'as-tu laissé dans une nuit profonde ? À de si noirs forfaits, prêtes-tu tes rayons,  Et peux-tu sans horreur voir ce que nous voyons ? Mais ces monstres, hélas ! ne t'épouvantent guères, La race de Laïus les a rendus vulgaires. Tu peux voir sans frayeur les crimes de mes fils, Après ceux que le père et la mère ont commis :  Tu ne t'étonnes pas si mes fils sont perfides, S'ils sont tous deux méchants, et s'ils sont parricides ; Tu sais qu'ils sont sortis d'un sang incestueux, Et tu t'étonnerais s'ils étaient vertueux."")","('#jocaste', ""Comment ! Ces enragés Gisent-ils déjà morts l'un par l'autre égorgés, Ou la troupe Thébaine a-t-elle été défaite ?"")",0.75,Substitution
5,"('#jocaste', ""Ma fille avez-vous su l'excès de nos misères ? "")",,1.0,Insertion
6,"('#antigone', ""Oui, Madame, on m'a dit la fureur de mes frères. "")","('#antigone', ""Non, mais le combat cesse, et le roi fait retraite : C'est ce que de la tour j'ai clairement pu voir ; Et son retour dans peu vous le fera savoir."")",1.28,Substitution
7,"('#jocaste', ""Allons, chère Antigone, et courons de ce pas, Arrêter s'il se peut leur parricide bras. Allons leur faire voir ce qu'ils ont de plus tendre ; Voyons si contre nous ils pourront se défendre,  Ou s'ils oseront bien dans leur noire fureur,  Répandre notre sang pour attaquer le leur."")","('#jocaste', ""Ce coeur dénaturé, teint de sang de son frère, Se vient-il rafraîchir dans les bras de sa mère ? S'y vient-il réjouir de cet acte inhumain, Et ne prétend-il point des lauriers de sa main ? Oui, le coup en mérite, il part d'uns grand courage ; Il s'est soustrait d'adresse, et pour un bel ouvrage."")",0.73,Substitution
8,"('#antigone', ""Madame, c'en est fait, voici le roi lui-même."")","('#ismene', ""Peut-être que le ciel, qui préside aux combats, En disposera mieux que vous n'espérez pas."")",1.61,Substitution
9,"('#jocaste', 'Olympe, soutiens-moi, ma douleur est extrême.')","('#antigone', 'Un instant a souvent changé l\'ordre des choses ; Beaucoup d\'événements ont démenti leurs causes : Mais, attendant l\'entrée et l\'entretien du roi, Oyez un accident qui me transit d\'effroi. Je voyais de la tour le choc d deux armées, L\'une et l\'autre au combat âprement animées, Alors de Ménécée arrivant en ce lieu ; ""Adieu, m\'a-t-il crié, chère Antigone, adieu ; Le ciel se lasse enfin de vous être contraire ; Jouis d\'un long repos dans les bras de mon frère."" Moi qui me voyais seule, et qui ne savais pas Le généreux dessein qui portait là ses pas,  Pour la fuit déjà j\'avais tourné la vue, Quand lui la face ouverte et nullement émue, Hardi, s\'étant planté sur le bord de la tour, Et voyant sans frayeur les bas lieux d\'alentour, A regardé le camp, et d\'une voix profonde A fait tourner vers lui les yeux de tout le monde : ""Arrêtez, a-t-il dit d\'un ton impérieux ; Arrêtez, je l\'ordonne, et de la part des dieux ; Arrêtez."" Cette voix est à peine entendue Que la main aux soldats demeure suspendue : Chacun reste interdit, l\'oeil et le bras levé ; Le coup demeure en l\'air et n\'est point achevé. Là, ce jeune héros pousse une voix moins forte, Et d\'un accent égal leur parle de cette sorte : ""Thèbes, goûte la paix que je vais t\'acheter ; Mon sang en est le prix, je viens te l\'apporter ; Repousse loin de toi cet orge de guerre Qu\'excite un insolent sur sa natale terre ; Possède en paix tes champs, tes temples, tes maisons, Sans autre changement que celui des saisons ; Qu\'hymen mettant tes fils dans les bras de tes filles De liens éternels unissent les familles ; Règne enfin caressée et du ciel et du sort ; La promesse des dieux doit ce prix à ma mort."" Il rire après ces mots une brillante épée, Et, se l\'étant au sein, jusqu\'aux gardes trempée, Se lance de la tour, le fer encore en main, Noble victime aux dieux pour le peuple thébain. À cet objet d\'horreur, l\'oeil troublé, le teint blême, J\'ai demeuré longtemps plus morte que lui-même ; Et de frayeur encore tout mon sang est glacé : Mais vous allez savoir comme tout s\'est passé.')",1.49,Substitution
