dancourt-diable-boiteux,dancourt-femme-d-intrigues,Score
"('#le-diable', ""Reposons-nous un peu, s'il vous plaît, Mesdames, je suis las comme un pauvre Diable ; et ce n'est pas peu de fatigue à un boiteux comme moi, d'avoir apporté deux femelles comme vous, de plus de trois cent lieues."")",-,0.0
"('#therese', 'Je trouve que vous ne nous avez pas encore assez éloignées de Madrid ; et si mon mari découvre où nous sommes…')",-,0.0
"('#le-diable', ""Qu'il le découvre ou non, il n'a plus de pouvoir sur moi, le charme est fini, c'est lui-même cette fouis-ci, qui a cassé la fiole, et qui m'a mis en liberté."")",-,0.0
"('#therese', ""Vous en avez l'obligation de la colère où je le mis ; et sans l'emportement qui lui fit me jeter à la tête ce gros livre que j'eus l'adresse d'éviter, et qui alla, par hasard, briser la bouteille, vous seriez encore dedans, ne vous en déplaise."")",-,0.0
"('#le-diable', ""Je conviens de l'obligation que je vous ai, quoique le hasard y ait grande part, et je n'ai pas nui moi-même à me rendre ce bon office."")",-,0.0
"('#therese', ""Vous, Seigneur Asmodée ?  Et comment donc, s'il vous plaît ?"")",-,0.0
"('#le-diable', ""C'est moi, qui, en rentrant par la force des conjurations de votre mari, dans la fiole dont Cléophas m'avait tiré, passai par votre appartement, et qui a depuis fâché tant le Magicien, et qui est cause de l'aventure à qui je dois ma liberté."")",-,0.0
"('#sanchette', ""Oh, Monsieur le Diable Boiteux, vous êtes un ingrat, vous voulez diminuer le bon office que vous a rendu ma bonne maman.  Ce n'est point vous qui lui avez soufflé la coquetterie, en rentrant dans la bouteille ; elle a toujours été coquette, ma bonne maman, je le sais bien, mon vilain papa s'en est toujours plaint ; et toutes les mies que j'ai eues, m'ont toujours dit qu'il n'avait pas tort d'être fâché, et que je n'étais pas tout à fait sa fille."")",-,0.0
"('#le-diable', ""Cela se pourrait, et je sais ce qui en est mieux qu'un autre."")",-,0.0
"('#sanchette', ""Hé, dites-le moi, si vous le savez ; je voudrais bien que cela fût vrai, et je serais bien aise de n'être point la fille du Magicien."")",-,0.0
"('#le-diable', ""Oh bien, soyez contente, vous ne l'êtes point, Mademoiselle Sanchette ; c'est un des plus grands Seigneurs de la Cour, le parrain de votre bonne maman, qui est votre papa."")",-,0.0
"('#sanchette', ""Est-il possible ?  Ah !  Que je vous ai d'obligation de m'apprendre ce secret-là !  Cela me va donner cent fois plus d'esprit et de confiance."")",-,0.0
"('#therese', 'Votre indiscrétion, Seigneur Asmodée…')",-,0.0
"('#le-diable', ""Oh, sans colère, Madame Thérèse, remerciez-moi de ne mettre qu'un joli homme sur votre compte, vous savez bien que j'en puis nommer d'autres."")",-,0.0
"('#sanchette', ""Ah !  Ne me changez pas ce papa-là, Monsieur le Diable, j'en suis fort contente."")",-,0.0
"('#therese', ""Mais avec cela, Seigneur Asmodée, le genre humain n'était pas peu redevable à mon mari le Magicien, de vous retenir dans la bouteille, et je ne sais pas si je ne me repentirai point d'être cause que vous en êtes échappé."")",-,0.0
"('#le-diable', ""Vous n'avez pas jusqu'à présent sujet de vous en plaindre, je vous ai sauvée de la fureur d'un vilain mari, je vous ai tirée de Madrid, où vous aviez déjà fait trop de conquêtes pour continuer encore longtemps d'en faire : vous voilà, par mes soins, dans la plus belle ville du monde, dans Paris."")",-,0.0
"('#sanchette', ""Dans Paris !  Monsieur Asmodée, c'est ici Paris. ?"")",-,0.0
"('#le-diable', 'Oui, Sanchette.')",-,0.0
"('#sanchette', ""Ah !  Que je suis charmée d'y être, et que vous êtes un aimable Diable de nous y avoir d'abord amenées."")",-,0.0
"('#le-diable', ""Je ne vous fais point de montre, comme vous voyez, je vais tout d'abord au meilleur.  Après avoir passé les monts, j'aurais pu me reposer, vous arrêter, en passant, à Bayonne, à Bordeaux, à Tours, à Poitiers ; mais j'ai eu peur de vous laisser prendre un air de Province, dont les femmes ne se défont pas aisément : il n'y a rien de plus ridicule que ces airs de Province, à ce que l'on dit du moins.  Il n'est rien tel que de se trouver d'abord dans le centre, et de commencer, avec les dispositions que vous avez déjà pour le monde, à se former sur ce modèle de la Cour et de Paris."")",-,0.0
"('#therese', ""Est-ce qu'à Paris et à la Cour, il n'y a point de ridicule, Seigneur Asmodée ?"")",-,0.0
"('#le-diable', ""Oh que pardonnez-moi ; mais ce ridicule-là est tellement reçu et si aveuglément approuvé, qu'il a le crédit de ridiculiser les meilleures manières des autres endroits du Royaume, la sagesse des étrangers même ; mais je vous apprendrai à vous, petite fille, pour première maxime, qu'il faut que les gens du monde soient esclaves du goût et de la mode."")",-,0.0
"('#sanchette', ""Oh je retiendrai bien vos leçons, Monsieur le Diable Boiteux, j'ai un penchant si naturel à vous croire, tant de disposition à profiter de vos bons conseils."")",-,0.0
"('#le-diable', 'Je ferai quelque chose de vous, je vois bien cela.')",-,0.0
"('#therese', ""Mais en quel endroit de Pris sommes-nous, s'il vous plaît ?  Voilà bien du monde assemblé, la Ville serait-elle partout aussi peuplée qu'elle l'est ici ?"")",-,0.0
"('#le-diable', ""Une femme d'esprit et d'expérience, comme vous, peut-elle faire cette question ?  Et ne voyez-vous pas que vous êtes dans un lieu de spectacle, que c'est ici le Théâtre de la Comédie ?"")",-,0.0
"('#sanchette', 'Nous sommes ici à la Comédie ?  Ah !  Que je suis aise.')",-,0.0
"('#le-diable', ""La Comédie et ses dépendances sont de ma direction, comme vous savez ; et quand on arrive dans une Ville, il est bon de descendre d'abord dans un lieu connu."")",-,0.0
"('#therese', 'Vous connaissez donc les Comédiens, Seigneur Asmodée ?')",-,0.0
"('#le-diable', ""Si je les connais ?  Parfaitement.  C'est moi, qui souffle de la malice à l'un, de la présomption à l'autre, qui donne de l'esprit à celui-ci, l'opinion d'en avoir à celui-là, et qui leur inspire à tous en général, ces sentiments d'union, d'intelligence et de politesse, qui règnent ordinairement parmi eux."")",-,0.0
"('#therese', ""Ils vous ont bien de l'obligation vraiment, et je ne donne pas qu'ils n'aient de grandes déférences pour vous."")",-,0.0
"('#le-diable', ""La reconnaissance n'est pas leur faible ; ils trouvent qu'il y a quelque chose de trop bas là-dedans pour les caractères des héros qu'ils représentent : mais à cela près ; ce sont de bonnes personnes, et il n'y a presque pas un de ces cerveaux-là que je ne gouverne.  Savez-vous bien que c'est mon nom seul qui leur attire aujourd'hui tout le monde que vous voyez ?  Je ne voudrais pas jurer que cela durât ; mais quand je ne les aiderais à attraper le public qu'une fois par jour, ne serait-ce pas quelque chose ?"")",-,0.0
"('#therese', 'Une fois par jour !  Ce serait beaucoup, et vous auriez peine à y suffire.')",-,0.0
"('#le-diable', ""Pardonnez-moi, je ne désespérerais pas d'y réussir, sans un certain nombre de connaisseurs, qui ne veulent rire que de bonnes choses, ne se divertir que par raison.  Oh, ces Messieurs-là sont bien incommodes, c'est une peste pour les pièces nouvelles."")",-,0.0
"('#sanchette', ""Mais écoutez-moi un peu, Monsieur Asmodée, vous nous avez amenées à Paris, pour nous faire connaître le monde, en voici une belle occasion, nous ne pouvons guère en voir davantage à la fois ; faites-nous, s'il vous plaît, connaître le caractère, les intrigues et le ridicule de toutes les personnes qui sont ici."")",-,0.0
"('#le-diable', 'Ce serait justement le moyen de les y faire revenir !  Vous êtes folle, petite fille.')",-,0.0
"('#sanchette', ""Pourquoi folle ?  Je suis curieuse, et j'aime à m'instruire aux dépens d'autrui."")",-,0.0
"('#le-diable', 'Voilà une bonne manière !')",-,0.0
"('#sanchette', ""Une bonne manière ?  N'est-ce pas la vôtre ?  J'ai ouï que c'était la meilleure."")",-,0.0
"('#le-diable', ""Oui, mais ce n'est point ici qu'il faut s'en servir.  Le devoir, la société, la bienséance rendent les lieux de spectacle très respectables, et ceux qui s'y trouvent, le deviennent, quand ils ne le seraient pas par eux-mêmes.  Tout Diable que je suis, je me garderai bien de dire en face des vérités outrageantes, et de scandaliser en public d'honnêtes personnes, qui n'ont presque point de défauts qui ne soient de ma façon."")",-,0.0
"('#therese', 'Vous êtes un fort honnête Diable, Seigneur Asmodée, et je ne vous croyais point tant de conscience.')",-,0.0
"('#sanchette', 'Il en a trop, ma bonne maman, et je sens bien que je suis déjà plus malicieuse que lui, moi.')",-,0.0
"('#le-diable', 'Vous avez là une jolie enfant, Madame Thérèse.')",-,0.0
"('#sanchette', ""Hé dites-nous quelque chose qui nous amuse : voilà tant de monde de tous côtés, faut-il que tout cela nous échappe ?  Disons un peu de mal de quelqu'un, Monsieur le Diable."")",-,0.0
"('#le-diable', ""Nous aurons tout le temps de satisfaire votre tempérament et votre curiosité : pour à présent qu'il vous suffise de savoir que dans ces lieux-ci, ordinairement la vanité et l'amour-propre sont sur le Théâtre, le luxe et la coquetterie dans les loges, et la fine critique dans le parterre."")",-,0.0
"('#sanchette', ""Voilà quelque chose de bien instructif.  J'aimerais autant ne rien savoir."")",-,0.0
"('#therese', 'Elle a raison, cela est bien en général.')",-,0.0
"('#le-diable', ""Oh bien, si vous voulez quelque chose de particulier, je vais vous faire voir, sans sortir d'ici, c'est ce qui se passe à l'heure qu'il est, vers la place Maubert, chez un Procureur de ma connaissance.  Quoique je ne sois pas le Diable de la Chicane, je fais les affaires de la maison, j'y suis connu, j'y régente ; et cette intrigue, où je me trouverai mêlé par-ci par-là moi-même de la petite Comédie qu'on leur a promise : nous feront ensuite entre nous trois, nos réflexions en musique sur l'aventure ; et nous verrons de quoi vous êtes capables, et si vous profiterez bien du livre du monde, dont je vous ferai voir de temps en temps quelques nouveaux chapitres, avez-les figures."")",-,0.0
"('#angelique', 'Ah !  Le mauvais livre que le Diable Boiteux, ma chère Marton !  Le dangereux génie que Monsieur Asmodée.')",-,0.0
"('#marton', ""Comme toutes choses ont différentes faces !  Vous vous plaignez de lui sous le nom du Diable Boiteux ; et comme Cupidon, vous n'êtes pas une de ses plus mauvaises pratiques."")",-,0.0
"('#angelique', ""Ah !  Je ne le connais point pour Cupidon à la manoeuvre qu'on lui voit faire dans ce nouveau livre ; il révèle tout ce qu'on fait, il enlève les toits des maisons, pour découvrir les moindres faiblesses de tout le monde.  On n'est pas en sûreté dans le réduit le plus obscur, et l'on n'oserait pas hasarder de penser même avec ce vilain démon-là."")",-,0.0
"('#marton', ""Il est vrai qu'il est furieusement indiscret : mais y a-t-il rien là qui ne convienne à l'Amour ?"")",-,0.0
"('#angelique', ""Ce vilain livre-là m'a donné une timidité, m'a jeté dans l'âme des scrupules.  Oui, si tout le monde était comme moi, le Diable Boiteux corrigerait plus de gens que tout le reste de l'enfer ensemble."")",-,0.0
"('#marton', ""C'est pourtant un assez bon Diable ; et vous remarquerez, s'il vous plaît, qu'en découvrant les défauts des hommes, il ne les révèle point aux personnes intéressées, et qui pourraient faire éclat.  Il s'est bien gardé de faire voir à Don Cléophas ce qui se passait dans sa famille, et peut-être n'aurait-ce pas été l'endroit du livre le moins vif et le moins plaisant."")",-,0.0
"('#angelique', ""Je ne sache rien de plus impertinent qu'un petit vilain Diable Boiteux, qui, par ses instigations, engage les gens à faire des sottises, et qui est le premier à les donner en spectacle, et à s'en divertir avec un jeune étourdi d'écolier."")",-,0.0
"('#marton', ""Oh, ne parlez pas mal des écoliers ni des clercs, s'il vous plaît : vous avez un amant aux écoles de Droit, et ce n'est pas le plus mal voulu d'une dizaine de vos soupirants."")",-,0.0
"('#angelique', ""Ah !  Je n'aime plus rien, ma chère Marton, je n'aime plus rien.  La lecture du Diable Boiteux, et la maladie de mon oncle ont fait d'étranges révolutions dans mon coeur et dans mon esprit."")",-,0.0
"('#marton', ""Il faut pourtant que ce soit un bon livre ; votre tante me l'a demandé pour le lire au chevet du malade.  Mais à propos de votre oncle qui se meurt, et de votre tante qui en est bien aise, n'est-ce point d'eux que le Diable Boiteux fait mention dans la fin du livre ?  Il y a un Procureur et une Procureuse."")",-,0.0
"('#angelique', 'Comment, que veux-tu dire ?')",-,0.0
"('#marton', ""Oui, le Procureur rêve qu'il va voir un de ses clients à l'hôpital, la Procureuse songe que son mari chasse un clerc qu'elle aime.  Votre oncle a ruiné bien du monde, et il a chassé bien des clercs."")",-,0.0
"('#angelique', 'Que me veut-on ?')",-,0.0
"('#un-laquais', ""C'est de la part de Monsieur Léandre, qui m'a dit de vous rendre ce billet, et qui vous prie de lui faire réponse."")",-,0.0
"('#angelique', ""Voyons ce qu'il m'écrit, donne."")",-,0.0
"('#marton', 'Le Diable Boiteux vous regarde.')",-,0.0
"('#angelique', ""Oh !  Ne me tourmente point, Marton, laisse-moi l'oublier.  Qu'il me regarde, soit ; mais qu'il se taise : ce ne sont pas ses yeux, c'est sa langue que j'appréhende."")",-,0.0
"('#marton', ""Ah !  Voilà vos craintes dissipées ; la peur du Diable est ce qui dure le moins dans l'esprit d'une jeune coquette."")",-,0.0
"('#angelique', ""Cela est trop plaisant, Marton.  Léandre, qui sait que mon oncle est mourant, et qui me propose d'aller au bal à vingt pas d'ici !"")",-,0.0
"('#marton', ""Et vous refusez une partie de plaisir ?  Vous n'y songez pas."")",-,0.0
"('#angelique', 'Au bal, moi, quand mon oncle agonise ?')",-,0.0
"('#marton', ""Pourquoi non ?  Votre oncle agonise, il est vrai !  Mais je sais de science certaine, que cet oncle a fait un testament, par lequel il vus déshérite.  Si j'étais à votre place, j'en porterais le deuil, comme Léandre vous le propose."")",-,0.0
"('#angelique', 'Me le conseilles-tu ?')",-,0.0
"('#marton', 'Si je vous e conseille !  Je serai de la partie peut-être ?')",-,0.0
"('#angelique', 'Il compte là-dessus apparemment ; car il me mande que Monsieur le Greffier en sera.')",-,0.0
"('#marton', ""Oh !  Allons-y, il n'y a point à hésiter."")",-,0.0
"('#angelique', 'Tes conseils sont des lois pour moI. Je vais faire réponse.')",-,0.0
"('#marton', ""L'heureuse disposition de fille pour la vie aisée !  Quel dommage que cela ne soit que Bourgeoise, et moi soubrette !  Nous avons bien les manières de qualité.  Voici la tante, elle n'a guère moins de talent que nous : mais elle se contraint davantage."")",-,0.0
"('#madame-lucas', ""C'est un assez sot livre, Marton, que ce Diable Boiteux, les fades plaisanteries !  Les mauvais contes !  Il donne des idées funestes, et j'ai cru voir deux ou trois fois au chevet du lit du malade, ce vilain génie qui s'appelle Flagel, et qui est l'esprit de la chicane."")",-,0.0
"('#marton', ""Voilà une triste vision, Madame, un bien mauvais pronostique.  Voir le Diable au chevet du lit d'un Procureur malade, c'est une marque qu'il n'en reviendra pas ; il va partir, la voiture est prête.  Vous ferez une grande perte, Madame."")",-,0.0
"('#madame-lucas', ""Hélas !  Le pauvre homme, il n'a plus guères à souffrir, du moins les Médecins disent qu'il ne passera pas la journée."")",-,0.0
"('#marton', ""Quel dommage !  C'était un si honnête homme, Madame."")",-,0.0
"('#madame-lucas', 'Hélas !  Oui : heureusement son testament est fait et signé, et voilà sa conscience en repos.')",-,0.0
"('#marton', ""Et la vôtre aussi, n'est-ce pas, Madame ?"")",-,0.0
"('#madame-lucas', ""Sans son grand benêt de neveu Blaise Lucas, qui arriva hier d'Amiens, à pied, toujours chassant, ma conscience serait encore plus tranquille, Marton : cet animal-là m'est venu voler, comme s'il m'avait attendue au coin d'un bois."")",-,0.0
"('#marton', 'Le fripon !')",-,0.0
"('#madame-lucas', ""S'il avait tardé vingt-quatre heures, il était déshérité tout à fait, aussi bien que la nièce."")",-,0.0
"('#marton', ""Le testament n'est donc pas plus favorable à la nièce qu'au neveu ?"")",-,0.0
"('#madame-lucas', ""Hélas !  Mon pauvre mari, que je n'ose encore dire défunt, leur laisse une petite somme en commun, à condition qu'ils se marieront ensemble : mais on dit que je pourrai contester cela, et leur faire quelque chicane.  Nous verrons ce qu'il y aura à faire, quand mes premières douleurs seront passées."")",-,0.0
"('#marton', 'Il faut bien se donner le loisir de pleurer.')",-,0.0
"('#madame-lucas', ""Je n'aurai plus guère que cela à faire, Marton, et j'ai pris toutes mes mesures d'ailleurs, comme tu sais."")",-,0.0
"('#marton', ""Oh !  Pour cela, oui, il n'y aura rien de perdu dans la succession ; et voilà une armoire qui était pleine de belles et bonnes nippes, où il ne reste plus que la robe et le bonnet carré de Monsieur le Procureur, et encore ne les avez-vous laissés que parce qu'ils ne valent pas grand-chose."")",-,0.0
"('#madame-lucas', ""Il ne faut pas dépouiller un homme de tout avant sa mort, ma pauvre Marton.  Adieu, je vais attendre dans mon appartement : qu'on me vienne avertir quand il expirera, afin de lui rendre les derniers devoirs."")",-,0.0
"('#marton', 'Vous faites fort bien, Madame ; il ne faut pas se refuser ce plaisir-là.')",-,0.0
"('#marton', ""Voilà une pauvre femme qui sera fort affligée, si son mari en revient.  Mais que vois-je ?  Est-ce lui… mes yeux me trompent… non vraiment, c'est lui-même, c'est Lépine.  Personne ne t'a-t-il vu entrer ?"")",-,0.0
