,cadet-gassicourt-souper-de-moliere,chazet-dubois-moliere-chez-ninon,Cost,Operation Type
0,"('#laforet', ""Allons, Antoine, laisse-moi ; nous avons du monde ce soir, et je n'ai pas plus de temps qu'il ne m'en faut..."")","('#chapelle', 'Messieurs, dans un instant vous allez voir Ninon. ')",1.72,Substitution
1,"('#antoine', ""Pourquoi me faire languir ; par pitié dites-moi si je puis espérer d'obtenir ma chère Madelon. "")","('#un-seigneur', 'Vous semblez bien ému.... ')",1.59,Substitution
2,"('#laforet', ""Je vois bien qu'il me faut débarrasser de toi...  Eh bien !  Oui, mon garçon ; tout est arrangé, et j'en ai la parole ; mais il faut te le dire : j'ai bien eu de la peine.  Sans mon maître, qui a promis de fouiller à l'escarcelle, et de payer la dot de Madelon, ma foi je n'obtenais rien. "")","('#chapelle', 'Je le suis.')",1.46,Substitution
3,,"('#un-seigneur', 'Tout de bon.')",1.0,Deletion
4,"('#antoine', ""De payer la dot de Madelon ?  Quel bienfait !  Allez, allez, mamzelle Laforêt, je l'en remercierai bien, ce bon Monsieur Molière...  Madelon aussi...  Si bien donc que son père ne voulait pas... "")","('#chapelle', 'Vous ne devinez pas ? ')",1.78,Substitution
5,,"('#un-seigneur', 'Mais je crois vous comprendre ; Ninon vous a séduit.')",1.0,Deletion
6,"('#laforet', ""Son père !  Oh !  Si fait.  Mathurin n'est pas un... Harpagon.  C'était sa mère qui refusait, parce que tu n'as pas beaucoup de ce qui se compte ; mais son mari lui a fait entendre raison ; car comme dit notre maitre : La poule ne doit pas chanter plus haut que le coq. "")",,1.0,Insertion
7,"('#antoine', ""Madelon est sans ornements :  Nature a fait ses agréments.  La fleur que chaque jour fait voir  Est sa parure,  Et l'onde pure  Est son miroir. Enfin Madelon sera ma femme !  Quelle joie !...  Elle est bien aimable, Madelon, n'est-ce pas ?  AIR : Anette à l'âge de 15 ans. "")","('#chapelle', ""Je ne puis m'en défendre. Je mettrais mon bonheur à vivre sous ses lois.  Sa figure, un regard, jusqu'au son de sa voix,  Tout me charme, m'anime, et porte dans mon âme  Le pénible embarras d'une secrète flamme. "")",0.58,Substitution
8,"('#laforet', 'Elle doit être bien contente ? ')",,1.0,Insertion
9,"('#antoine', ""Sans doute, car je l'aime bien."")","('#un-seigneur', ""Chapelle n'est-il pas surpris de son amour,  Lui, dont le coeur jamais n'a brûlé plus d'un jour ? "")",0.99,Substitution
10,"('#laforet', ""Tiens, c'est un fait :  Veut-on savoir ce qu'est un maître,  Par son valet  On juge, dit-on, ce qu'il est.  Et puis, épouser le jardinier de Monsieur Boileau ; dame, c'est bien flatteur !  AIR : Du haut en bas. "")","('#chapelle', ""Eh bien Ninon, je crois, change mon caractère.  Solide en amitié, dans ses amours légère,  Je trouve à l'adorer un invincible attrait ;  Plaire est son habitude, et charmer son secret.  Pour l'esprit, quelle femme ! Autour d'elle, sans cesse,  Le talent, le génie accourt, vole, s'empresse.  Savante sans orgueil, belle sans vanité,  Tout en elle est parfait, et rien n'est emprunté ;  Elle sait attirer, grâce à ses doubles armes,  Des amis pour son coeur, des amants pour ses charmes  Eu un mot, la beauté, l'esprit et la raison,  On voit tout réuni, lorsque l'on voit Ninon.  La voici."")",0.5,Substitution
11,,"('#ninon', ""Pardonnez si je n'ai pu me rendre... "")",1.0,Deletion
12,"('#mignard', ""Allons, mon ami, mettons-nous à l'ouvrage...  Ah !  Bonjour, Laforêt. "")","('#chapelle', ""Quand l'espoir nous soutient, sans peine on peut attendre. "")",1.42,Substitution
13,"('#laforet', 'Bonjour, Monsieur Mignard. ')","('#ninon', ""Messieurs, j'ai pour ce soir quelques desseins sur vous. "")",1.32,Substitution
