dancourt-deroute-pharaon,dancourt-desolation-des-joueuses,Score
"('#marton', 'Hé !  Que diantre venez-vous faire ici, Monsieur ?  Vous aimez bien à prendre un peine inutile, et à persécuter Madame votre soeur infructueusement.')",-,0.0
"('#bartolin', ""C'est une extravagante, que je rendrai raisonnable malgré elle."")",-,0.0
"('#marton', ""Elle a les mêmes desseins pour vous, et vous ne réussirez ni l'un ni l'autre."")",-,0.0
"('#bartolin', 'Madame la soubrette ?')",-,0.0
"('#marton', ""Oh !  Doucement, s'il vous plaît, Monsieur Bartolin ; les soubrettes comme moi ne sont pas faites pour être traitées irrespectueusement, et nous sommes en train de faire une fortune, qui mettra quelque différence entre vous et moi."")",-,0.0
"('#bartolin', 'La pauvre créature devient aussi folle que sa Maîtresse !')",-,0.0
"('#marton', 'Pauvre créature !  Voilà de plaisants termes.')",-,0.0
"('#bartolin', 'Écoutez, Mademoiselle Marton, je vous prie de tâcher de rappeler un peu cette lueur de bon sens et de raison que je vous ai connue, et de me dire de bonne foi où vous prétendez que tout ceci vous mène.')",-,0.0
"('#marton', ""Ma foi, Monsieur, s'il vous faut parler franchement, je n'en sais rien : tout ce que je puis vous dire, c'est que nous menons une vie assez joyeuse, grande chère, bon équipage.  Madame votre soeur, qui n'était que Lingère, s'appelle aujourd'hui Madame_la_Baronne, dans l'espérance de la devenir."")",-,0.0
"('#bartolin', 'Elle Baronne !  Et comment la deviendra-elle ?')",-,0.0
"('#marton', 'En épousant un Baron, et un Baron de conséquence encore, un homme de distinction.')",-,0.0
"('#bartolin', 'Oui, quelque joueur distingué par ses friponneries ?')",-,0.0
"('#marton', ""Non, Monsieur, un homme de qualité, un Gentilhomme étranger qui fait ici les affaires de je ne sais combien de petits Seigneurs ; c'est lui qui fait toutes leurs provisions : qui leur achètent des draps, des étoffes, des habites, et qui leur envoie toutes les modes nouvelles dès qu'elles commencent à vieillir.  Oh !  Il est chargé de grandes affaires : c'est un homme qui a des correspondances par toute l'Europe.  Si vous étiez d'humeur à vous prêter aux vues que nous avons, on vous ferait l'Agent de ces Seigneurs-là, et ce serait un poste qui vous mènerait loin."")",-,0.0
"('#bartolin', ""Tu te moques de moi, je pense.  Plaisant emploi !  Est-il possible que ma soeur, qui avait autrefois de l'esprit, se repaisse ainsi de visions chimériques, et qu'elle ait quitté son négoce pour se livrer à un ridicule..."")",-,0.0
"('#marton', ""Il n'y a point de ridicule dans ce qu'elle fait, c'est une femme qui a des vues solides.  La voici, parlez-lui avec douceur, elle vous rendra raison de sa conduite ; et je suis presque sûre qu'elle vous persuadera de l'imiter."")",-,0.0
"('#bartolin', ""Le Ciel m'en préserve !  Je suis bien éloigné de penser comme elle."")",-,0.0
"('#belise', ""Ah, ah !  C'est vous, Monsieur mon frère ?  Venez-vous ici pour moraliser, pour me quereller : pour invectiver bourgeoisement contre mes manières ?  Si c'est là votre dessein, faites votre visite courte ; ou si vous êtes raisonnable, soupez avec moi, passez-y la soirée, et vous connaîtrez par vous-même la prudence de mes allures, et l'élévation de mon génie."")",-,0.0
"('#bartolin', 'Oui, Madame ma soeur, je veux bien souper avec vous.')",-,0.0
"('#belise', ""Vous prenez le bon parti, nous aurons aujourd'hui grosse partie de jeu, Concert, Bal toute la nuit ; et vous y verrez un cercle de Dames qui ne sont pas indifférentes.  Marton, dites à un garçon de la chambre de dire à mon Maître d'Hôtel qu'on nous fasse bonne chère."")",-,0.0
"('#marton', 'Oui, Madame.')",-,0.0
"('#belise', ""Que le Boursier ait soin d'envoyer des imprimés circulaires à huit ou dix Joueurs de distinction."")",-,0.0
"('#marton', 'Oui, Madame.')",-,0.0
