,la-fontaine-daphne,quinault-atys,Cost,Operation Type
0,"('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")","('#temps', ""En vain j'ai respecté la célèbre mémoire Des héros des siècles passés ; C'est en vain que leurs noms si fameux dans l'histoire, Du sort des noms communs ont été dispensés : Nous voyons un héros dont la brillante gloire Les a presque tous effacés."")",1.02,Substitution
1,"('#venus', 'Charmante oisiveté, repos délicieux !')","('#heures', ""Ses justes lois, Ses grands exploits Rendront sa mémoire éternelle : Chaque jour, chaque instant Ajoute encor à son nom éclatant Une gloire nouvelle. La déesse Flore conduite par un des zéphyrs s'avance avec une troupe de nymphes qui portent divers ornements de fleurs."")",1.69,Substitution
2,"('#minerve', 'Ou plutôt, repos ennuyeux !')",,1.0,Insertion
3,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")","('#temps', ""La saison des frimas peut-elle nous offrir Les fleurs que nous voyons paraître ? Quel dieu les fait renaître Lorsque l'hiver les fait mourir ? Le froid cruel règne encore ; Tout est glacé dans les champs, D'où vient que Flore Devance le printemps ?"")",0.95,Substitution
4,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",,1.0,Insertion
5,"('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")","('#flore', ""Quand j'attends les beaux jours, je viens toujours trop tard, Plus le printemps s'avance, et plus il m'est contraire ; Son retour presse le départ Du héros à qui je veux plaire. Pour lui faire ma cour, mes soins ont entrepris De braver désormais l'hiver le plus terrible, Dans l'ardeur de lui plaire on a bientôt appris À ne rien trouver d'impossible."")",1.5,Substitution
6,"('#momus', ""Ne vous faites point tant d'affaires."")",,1.0,Insertion
7,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")","('#temps #flore', ""Les plaisirs à ses yeux ont beau se présenter, Sitôt qu'il voit Bellone, il quitte tout pour elle ; Rien ne peut l'arrêter Quand la gloire l'appelle. Le choeur des heures répète ces deux derniers vers. La suite de Flore commence des jeux mêlés de danses et de chants."")",0.66,Substitution
8,"('#promethee', 'Que me veut Jupiter ?')",,1.0,Insertion
9,"('#jupiter', 'Ouvre tes magasins.')",,1.0,Insertion
10,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")","('#zephir', ""Le printemps quelquefois est moins doux qu'il ne semble, Il fait trop payer ses beaux jours ; Il vient pour escorter les jeux et les amours, Et c'est l'hiver qui les rassemble. Melpomène qui est la muse qui préside à la tragédie, vient accompagnée d'une troupe de héros, elle est suivie d'Hercule, d'Antaee, de Castor, de Pollux, de Lyncée, d'Idas, d'Étéocle, et de Polynice."")",1.15,Substitution
11,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")","('#melpomene', ""Retirez-vous, cessez de prévenir le temps ; Ne me dérobez point de précieux instants : La puissante Cybele Pour honorer Atys qu'elle a privé du jour, Veut que je renouvelle Dans une illustre cour Le souvenir de son amour. Que l'agrément rustique De Flore et de ses jeux, Cède à l'appareil magnifique De la muse tragique, Et de ses spectacles pompeux. La suite de Melpomène prend la place de la suite de Flore. Les héros recommencent leurs anciennes querelles. Hercule combat et lutte contre Antaee, Castor et Pollux combattent contre Lyncée et Idas, et Etéocle combat contre son frère Polynice. Iris, par l'ordre de Cybele, descend assise sur son arc, pour accorder Melpomène et Flore."")",1.2,Substitution
12,"('#promethee', 'Vous ne les connaissez pas.')",,1.0,Insertion
13,"('#momus', 'Fais-leur faire quelques pas.')",,1.0,Insertion
14,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")","('#iris', ""Cybele veut que Flore aujourd'hui vous seconde. Il faut que les plaisirs viennent de toutes parts, Dans l'empire puissant, où règne un nouveau Mars, Ils n'ont plus d'autre asile au monde. Rendez-vous, s'il se peut, dignes de ses regards ; Joignez la beauté vive et pure Dont brille la nature, Aux ornements des plus beaux arts. Iris remonte au ciel sur son arc, et la suite de Melpomène s'accorde avec la suite de Flore. "")",0.65,Substitution
15,,"('#melpomene #flore', ""Rendons-nous, s'il se peut, dignes de ses regards ; Joignons la beauté vive et pure Dont brille la nature, Aux ornements des plus beaux arts."")",1.0,Deletion
16,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")","('#le-temps #les-heures', 'Préparez de nouvelles fêtes, Profitez du loisir du plus grand des héros ;')",1.41,Substitution
17,,"('#temps #flore #melpomene', 'Préparez de nouvelles fêtes Préparons de nouvelles fêtes Profitez du loisir du plus grand des héros Profitons du loisir du plus grand des héros.')",1.0,Deletion
18,"('#promethee', ""C'est l'idole d'un sage."")",,1.0,Insertion
19,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')","('#ensemble', 'Le temps des jeux, et du repos, Lui sert à méditer de nouvelles conquêtes.')",1.02,Substitution
20,,"('#atys', ""Allons, allons, accourez tous, Cybele va descendre. Trop heureux phrygiens, venez ici l'attendre. Mille peuples seront jaloux Des faveurs que sur nous Sa bonté va répandre."")",1.0,Deletion
21,,"('#idas #atys', 'Allons, allons, accourez tous, Cybèle va descendre.')",1.0,Deletion
