,quinault-thesee,rousseaujb-jason,Cost,Operation Type
0,"('#un-plaisir', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")","('#pan', ""Un doux repos suspend les troubles de la guerre Dans nos tranquilles champs les jeux vont revenir; Et Mars, las d'alarmer la terre Leur permet de se réunir. Vous, qui du Dieu des bois révérez la puissance, Et vous, peuples heureux qui vivez sur ces bords, Par vos chants de réjouissance Faites éclater vos transports. Chantez la valeur et la gloire Du héros qui vous rend heureux Et qu'une éternelle mémoire Consacre dans vos coeurs ses bienfaits généreux"")",0.55,Substitution
1,"('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",,1.0,Insertion
2,"('#un-plaisir', ""C'était dans ces jardins, au bord de ces fontaines, Que l'aimable mère d'amour Espérait d'établir sa bienheureuse cour : Mais ses espérances sont vaines."")",,1.0,Insertion
3,"('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",,1.0,Insertion
4,"('#un-des-jeux', ""Ne nous écartons pas de ces charmantes plaines, Allons nous retirer dans les bois d'alentour."")",,1.0,Insertion
5,"('#trois-jeux', 'Ah ! Quelles peines De quitter un si beau séjour !')",,1.0,Insertion
6,"('#trois-plaisirs', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")","('#le-choeur', ""Chantons la valeur et la gloire Du héros qui nous rend heureux, Et qu'une éternelle mémoire Consacre dans nos coeurs ses bienfaits généreux."")",0.69,Substitution
7,"('#le-choeur-graces', 'Les jeux et les amours Ne règnent pas toujours. Les amours, les grâces, les plaisirs et les jeux se retirent.')",,1.0,Insertion
8,"('#venus', ""Revenez, amours, revenez ; Pourquoi quitter ces lieux où l'on est sans alarmes ? La beauté perd ses plus doux charmes, Sitôt que vous l'abandonnez : Revenez, amours, revenez. Beaux lieux, où les plaisirs suivaient partout mes pas, Que sont devenus vos appas ? Qu'un si charmant séjour est triste et solitaire ! Hélas ! Hélas ! Les amours n'y sont pas, Sans les amours, rien ne peut plaire. Revenez, amours, revenez ; Quel chagrin si pressant vous a tous emmenés ? Est-il quelque danger dont Mars ne vous délivre ? Il chasse les fureurs de ces lieux fortunés, À la seule victoire il permet de le suivre. Revenez, amours, revenez. On entend des trompettes et des tambours dont le bruit se mêle au son de plusieurs instruments champêtres. Cependant Mars paraît sur son char avec Bellone."")",,1.0,Insertion
9,"('#mars', ""Que rien ne trouble ici Vénus et les amours. Que sous d'aimables lois, dans ces douces retraites, On passe en repos d'heureux jours ; Que les hautbois, que les musettes L'emportent sur les trompettes, Et sur les tambours. Que rien ne trouble ici Vénus et les amours. On n'entend plus le bruit des trompettes et des tambours, et plusieurs instruments champêtres jouent dans le temps que Mars descend."")","('#pan', ""Quel bruit harmonieux ici se fait entendre? a Quelle douce clarté se répand dans les airs? Ces nuages brillants ces aimables concerts M'annoncent que la paix en ces lieux va se rendre. Déesse des plaisirs, douce et charmante Paix, Quel destin fortuné vous rend à nos souhaits? Un roi que le ciel a fait naître, Pour partager tes soins et )e pou voir des Dieux, Fixe mon séjour en ces lieux; C'est lui qui sur ces bords m'ordonne de paraître La guerre contre moi ligue tous les mortels: Leur perfide coeur m'abandonne Pour suivre la fière Bellone, Et leur main sacrilège a brisé mes autels Mais contre leur rage funeste, Ce héros m'offre un sûr appui; Et son empire est aujourd'hui Le seul asile qui me reste."")",0.29,Substitution
10,"('#mars', ""Partez, allez, volez, redoutable Bellone. Laissez en paix ici les amours et les jeux ; Que Cérès, que Bacchus, s'avancent avec eux ; Éloignez ce qui les étonne. Portez aux ennemis de cet empire heureux Tout ce que la guerre a d'affreux : Vénus le veut, Mars vous l'ordonne. Partez, allez, volez, redoutable Bellone. Bellone obéit, et s'envole."")","('#pan', ""Vainqueur de cent peuples jaloux, Il ne porte chez eux le flambeau de la guerre, Que pour forcer leur injuste courroux D'accepter le repos qu'il veut rendre à la terre."")",0.57,Substitution
11,"('#venus', ""Inexorable Mars, pourquoi déchaînez-vous Contre un héros vainqueur tant d'ennemis jaloux ? Faut-il que l'univers avec fureur conspire Contre ce glorieux empire Dont le séjour nous est si doux ? Sans une aimable paix peut-on jamais attendre De beaux jours ni d'heureux moments ? La plainte la plus tendre, Les plus doux soupirs des amants, Sont le seul bruit qu'on doit entendre En des lieux si charmants."")","('#la-paix', ""C'est en vain qu'à ses ennemis Son coeur se montre favorable Leur orgueil, mille fois soumis, Renaît du malheur qui l'accable."")",0.15,Substitution
12,"('#mars', ""Que dans ce beau séjour rien ne vous épouvante, Un nouveau Mars rendra la France triomphante. Le destin de la guerre en ses mains est remis. Et si j'augmente Le nombre de ses ennemis, C'est pour rendre sa gloire encor plus éclatante. Le dieu de la valeur doit toujours l'animer."")","('#pan', ""Quel est de cet orgueil le déplorable fruit De leurs derniers efforts tout l'effet se réduit À pouvoir immoler leurs peuples en alarmes À toutes les horreurs de Mars ; Et contre leurs propres remparts Tourner la fureur de leurs armes."")",0.18,Substitution
13,"('#venus', 'Vénus répand sur lui tout ce qui peut charmer.')",,1.0,Insertion
14,"('#mars', ""Malheur, malheur à qui voudra contraindre Un si grand héros à s'armer."")",,1.0,Insertion
15,"('#venus', ""Tout doit l'aimer."")",,1.0,Insertion
16,"('#mars', 'Tout doit le craindre.')",,1.0,Insertion
17,"('#venus #mars', ""Tout doit le craindre, Tout doit l'aimer."")",,1.0,Insertion
