la-harpe-muses-rivales,cahusac-l-algerien,Score
"('#erato', ""C'est donc en ces beaux lieux, c'est dans ce sanctuaire, Aux arts de tout temps consacré, De leurs attributs décoré, Que les Muses bientôt vont recevoir Voltaire. Mercure qu'Apollon vient de lui dépêcher, Déjà dans l'Élysée est allé le chercher. Le puissant Dieu de l'harmonie Sépare ce mortel heureux De la foule des morts fameux, Qu'il surpassa pendant sa vie. Il l'appelle, et lui-même enfin Lui veut assurer un destin Unique, ainsi que son génie. Il prodigua tous ses bienfaits Sur ce rare écrivain que lui-même il admire ; Il prétend parmi nous le fixer à jamais : Avec lui du Parnasse il partage l'empire. Mercure ici doit l'amener. Mais d'un hôte si grand digne dépositaire, Qui de nous, ô ma soeur ! Présentera Voltaire Au Dieu qui va le couronner ? Nous briguons toutes cette gloire."")",-,0.0
"('#uranie', ""Nous l'avons toutes inspiré."")",-,0.0
"('#erato', 'Mais à qui cet honneur sera-t-il déféré ? Qui doit obtenir la victoire ?')",-,0.0
"('#uranie', 'De chacune de nous également chéri, Notre divinité lui fut toujours propice.')",-,0.0
"('#erato', 'Mais celle dont surtout il fut le favori, Doit seule être sa conductrice.')",-,0.0
"('#uranie', 'Y prétendriez-vous ?')",-,0.0
"('#erato', ""Mais je crois le pouvoir, Et j'ai bien quelques droits que je ferai valoir. À l'Amour Erato préside ; J'apprends à le chanter ; j'embrase de ses feux L'auteur qui me prend pour son guide, Et je me plais surtout aux amours malheureux. Je transforme en poète un amant qui soupire ; J'amollis sous ses doigts les cordes de sa lyre. De Tibulle autrefois j'ai recueilli les pleurs ; De ses tendres, chagrins j'étais la confidente,: Et seule je donnais à sa voix gémissante, Ce charme que l'amour fait mêler aux douleurs. Je permets quelquefois, par caprice ou par grâce, À d'aimables voluptueux, De m'intéresser à leurs jeux. Je fus assez souvent assise auprès d'Horace, Quoiqu'il m'ait fait rougir un peu. J'aimais à répéter les chansons de Chaulieu, Et souris à l'esprit d'Ovide. Je cadençai les vers du sensible Quinault. Aux bords de l'Eridan je pris un vol plus haut: Le Tasse eut mes crayons, quand il peignit Armide. Deux Poètes surtout, deux chantres adorés, De mes dons les plus beaux se virent honorés. De grâce et de douceur je composai leur style. Au bûcher de Didon je transportai Virgile. Dans ce tableau funeste il épuisa mon art; Moi-même de mes pleurs, j'arrosai le poignard. Je le remis depuis dans, les mains de Racine ; Erato fut sa muse, et ma faveur divine En a fait mon élève, en a fait pour toujours Le poète du coeur, le peintre des amours. C'est au seul Apollon, ou bien à Melpomène D'assigner à leur gré la palme de la scène. Je ne décide point ; mais si l'on croit enfin Ce sexe, de l'amour le Juge souverain, Qui doit au sentiment et ses droits et ses charmes, Si l'on en croit ses yeux embellis par les larmes ; À tous mes titres les plus doux, Voltaire en joignit un qui les surpasse tous, Il fut porter plus loin les talents que j'inspire, Et pour qui sait aimer, mon chef-d'oeuvre est Zaïre."")",-,0.0
-,"('#la-satire', ""J'étouffe. Oh ! C'en est trop..."")",0.0
-,"('#apollon', 'Quoi toujours des murmures !')",0.0
-,"('#la-satire', ""Eh ! Comment ne pas murmurer ? Tout contre moi semble se déclarer On me sait chaque jour de nouvelles injures... Quoiqu'il arrive, il faut que ma sincérité Soulage mon coeur irrité."")",0.0
-,"('#apollon', 'À ces noires vapeurs on connaît la Satire.')",0.0
-,"('#la-satire', ""Il ne m'est plus permis de parier ni d'écrire, Et tout trahit la vérité."")",0.0
-,"('#apollon', ""N'abusez plus de ce nom respecté. La vérité sans vous voit fleurir son empire. Confondrez-vous toujours sa douceur, sa beauté. Son aimable ingénuité Avec la fureur de médire."")",0.0
-,"('#la-satire', ""L'erreur est de votre côté. De vices, de travers, le monde est infecté, Et médire est être sincère."")",0.0
-,"('#uranie', ""Et voilà les discours d'un esprit emporté. Moins ami de la probité Qu'esclave des transports d'une aveugle colère. Car enfin quels objets peuvent tant vous déplaire ?"")",0.0
-,"('#la-satire', 'Tout.')",0.0
-,"('#uranie', 'Comment tout ?')",0.0
-,"('#la-satire', 'WARNING: invalid @part in source.')",0.0
-,"('#clio', ""Oh bon ! C'est comme à l'ordinaire ; Puisque tout lui déplaît, sans doute tout va bien."")",0.0
-,"('#la-satire', ""En effet l'ennui qui nous ronge Est un bonheur extrême et qui doit nous flatter."")",0.0
-,"('#apollon', ""L'ennui donne ses traits à celui qui s'y plonge Il est le mal des Sots, l'esprit sait l'éviter. Finissons, et tâchez de calmer votre bile."")",0.0
-,"('#la-satire', ""Non, je ne saurais voir avec un coeur tranquille Les malheurs qui sur nous fondent de toutes parts, Vous nous fîtes jadis abandonner la Grèce, Rome avec nous reçut les talents et les arts Ils y fructifiaient sous les yeux des Césars, À la Cour, à la ville, on nous fêtait sans cesse ; Mais notre gloire enfin déchût : L'ignorance et la barbarie Nous chassèrent de l'Italie. Louis en France alors comme un Astre parut, Nous vînmes à la hâte aux cris de ce grand homme? Colbert nous accueillit, le Roi nous secourut ; Nous étions à Paris encore mieux qu'à Rome. Maintenant, s'il vous plaît, où nous conduirez-vous ? Quand partons-nous ? Parlez ?"")",0.0
-,"('#uranie', ""Pourquoi cette folie ? Des arts la France est la Patrie ; Dans Athènes ; ils n'ont point joui d'un sort plus doux."")",0.0
-,"('#la-satire', ""Cette réponse est juste, on doit vous la permettre Vous êtes à la mode, on vous chérit encor, Pour tous vos nourrissons votre art est un trésor, Chaque femme a son Géomètre, Et c'est pour eux le Siècle_d_or : Tout le reste abattu n'ose se faire entendre, Craint, haï, sans secours, et comme sans aveu."")",0.0
-,"('#apollon', ""C'est qu'on nous prend pour vous..."")",0.0
-,"('#la-satire', ""Eh ! Peut-on s'y méprendre ; J'ai de l'esprit au moins."")",0.0
-,"('#apollon', ""Mais entre nous fort peu ; Et dans le fonds qu'en avez vous affaire ; Lorsqu'on se permet tout il n'est plus nécessaire, Dans voire art odieux le sot même a beau jeu. Ce siècle est éclairé, puisqu'il faut vous le dire, On craint sans l'estimer le talent de médire, Il a mille dangers, et n'est plus glorieux."")",0.0
-,"('#la-satire', 'Si le Siècle était vertueux Il ne craindrait pas la Satire...')",0.0
-,"('#clio', ""Vous perdez dans les airs les traits que vous lancez Contre le siècle heureux que j'ajoute à l'histoire. Il égale est vertus tous les siècles passés Sans avoir leurs erreurs, il a toute leur gloire."")",0.0
-,"('#la-renommee', ""Doctes soeur écoutez... LOUIS aux Champs de Mars Fait revivre en lui seul les Héros de sa race : Il vole en conquérant au milieu des hasards, De ses Ennemis qu'il terrasse, Il a foudroyé les Remparts. CLERMONT le suit... CONDÉ n'était pas plus terrible. La foudre est dans ses mains, la mort dans ses regards ; Tout fuit devant LOUIS, tout lui devient possible : La Victoire enchaînée à son bras invincible Ne fuit plus que ses étendards."")",0.0
-,"('#apollon', ""Nous avons dû prévoir les lauriers qu'il moissonne, Tout nous annonçait ses exploits ; Grand dans sa Cour, grand aux Champs de Bellone, LOUIS sera toujours le modèle des Rois."")",0.0
-,"('#la-renommee', ""Dans les Alpes CONTI s'est ouvert un passage, Mont_Dauphin_et_Démond se livrent au Vainqueur. La prudence prépare et guide son ardeur, Des deux Rivaux fameux de Rome et de Carthage Il rassemble au printemps de l'âge L'art, la sagesse et la valeur."")",0.0
-,"('#clio', ""De ce jeune Guerrier nous devons tout attendre Par l'aurore de ses travaux, Jugez du jour brillant qu'ils vont bientôt répandre."")",0.0
-,"('#apollon', ""Ces succès éclatants doivent peu nous surprendre : L'exemple des grands Rois fait toujours des Héros."")",0.0
-,"('#calliope', ""Mon coeur est transporté de ce qu'il vient d'entendre, Vous dont le génie et la voix Des ravages du temps font triompher la gloire, Des vertus de LOUIS, de ses brillants exploits Hâtez-vous d'embellir le Temple de Mémoire. Il règne sur les coeurs que son bras a soumis, Il répand sur ses jours une gloire immortelle, Il est l'effroi de tous ses ennemis, Et l'amour d'un Peuple fidèle. En enthousiasme."")",0.0
-,"('#melpomene', 'Mes soeurs... Ah ! Juste Ciel ! Quelle affreuse nouvelle !')",0.0
-,"('#clio', 'Que nous veut Melpomène en pleurs ?')",0.0
-,"('#terpsicore', ""C'est le ton qu'elle prend pour paraître plus belle."")",0.0
-,"('#melpomene', ""Apollon apprenez le plus grand des malheurs. C'en est fait... Je succombe à ma douleur mortelle."")",0.0
-,"('#apollon', 'Ah ! Parlez. Dissipez, ou comblez nos terreurs.')",0.0
-,"('#melpomene', ""Tout est perdu... Ce Roi l'objet de notre zèle, Le protecteur des Arts, l'ami de ses Sujets, Intrépide au combat, juste pendant la Paix, Que la France adorait, qui s'immolait pour elle..."")",0.0
-,"('#apollon', 'Achevez. Aurions-nous à craindre pour ses jours ?')",0.0
-,"('#melpomene', ""Le barbare ennemi qui le force à la guerre, Croyant de ses exploits interrompre le cours, Du sang de ses Sujets avait rougi la terre. Hélas ! Ce tendre Roi volait à leur secours ; Déjà l'Ennemi tremble, il se trouble, il s'arrête ; La vengeance en éclats va fondre sur sa tête... .Tout à coup sur LOUIS le destin en courroux... Mes pleurs et mes soupirs disent assez le reste."")",0.0
-,"('#apollon', 'Juste Ciel ne frappe que nous.')",0.0
-,"('#melpomene', ""Il expire peut-être en ce moment funeste : La France perd un père, et l'Empire un vengeur."")",0.0
-,"('#apollon', ""Ciel, nous n'attendons plus que des jours de douleur ; C'est un peuple soumis que ton courroux foudroyé ? Il ne voyait en lui qu'un tendre bienfaiteur."")",0.0
-,"('#thalie', 'Dissipez les terreurs dont votre âme est la proie ; Le péril est passé, le Ciel nous rend LOUIS : Livrons nos coeurs à la plus vive joie ; Les pleurs ne sont plus faits que pour ses ennemis.')",0.0
-,"('#apollon', 'Thalie !... Ah ! Quel bonheur !... Hâtez-vous de nous dire ?...')",0.0
-,"('#melpomene', ""Le Ciel nous le rendrait !... Eh ! Peut-on l'espérer ?..."")",0.0
-,"('#thalie', 'À vos tristes regrets cessez de vous livrer.')",0.0
-,"('#melpomene', 'Ah ! Thalie !... Il vivrait !...')",0.0
-,"('#thalie', 'Grâce aux Dieux il respire.')",0.0
-,"('#clio', 'Mais comment savez-vous ce changement heureux ?')",0.0
-,"('#thalie', ""Dans les yeux des Français qui craindraient moins pour eux, Il m'était aisé de le lire. Nous le verrons bientôt arriver dans ces lieux."")",0.0
-,"('#melpomene', 'Eh ! Le moyen de vous en croire.')",0.0
-,"('#thalie', ""D'un peuple qui l'adore, il va combler les voeux ; J'en suis sûre. J'ai vu la gloire."")",0.0
-,"('#la-renommee', ""Je vole à l'Univers annoncer ce bonheur."")",0.0
-,"('#thalie', ""Non demeurez. Vous m'êtes nécessaire. Par un spectacle à son honneur... Le projet est hardi ; mais il est séducteur... N'importe. À ce héros mon dessein pourra plaire... En rêvant."")",0.0
-,"('#la-satire', 'Sans doute. Le dessein est un peu téméraire ; Mais pour signaler votre ardeur...')",0.0
-,"('#thalie', ""Je m'attendais à ce propos moqueur ; Je sais que votre ton injuste, atrabilaire, Marqué toujours au coin de la colère , Retarde les progrès, inspire la terreur ; Vous ne corrigez point, votre art est de déplaire."")",0.0
-,"('#apollon', ""Tout est pour son chagrin une vaste matière De fiel, de critique et d'aigreur,"")",0.0
-,"('#thalie', ""L'orgueil n'a point de part à ce projet flatteur, Pour ce Roi bienfaisant c'est un zèle sincère. Il est comme les Dieux, tout ce qui part du coeur A le droit de le satisfaire."")",0.0
-,"('#clio', 'Nous vous seconderons.')",0.0
-,"('#uranie', 'Courons tout préparer.')",0.0
-,"('#melpomene', ""Un même zèle ET m'anime et m'inspire ; Mes spectacles pompeux que l'Univers admire, Plus dignes d'un Héros..."")",0.0
-,"('#thalie', ""Cessez de l'espérer : Votre talent est de faire pleurer, Et le mien est de faire rire, La joie anime l'air que la France respire, Dans ces jours de bonheur on doit me préférer. Mais vous n'y perdrez rien. Je vous destine un rôle Qui vous conviendra fort, il est taillé pour vous."")",0.0
-,"('#melpomene', 'Mais je le jouerai mal.')",0.0
-,"('#thalie', 'Fort bien sur ma parole.')",0.0
-,"('#melpomene', 'Eh ! Quel est-il ?')",0.0
-,"('#thalie', ""C'est un rôle de folle ; Vous allez nous effacer tous."")",0.0
-,"('#melpomene', 'Moi jouer une folle !.... En vérité Thalie... Mon état... ma grandeur...')",0.0
-,"('#thalie', ""J'ai tout fait pour le mieux, Croyez-moi, le grand sérieux N'est qu'une espèce de foliE."")",0.0
-,"('#apollon', ""Aurai-je un rôle aussi ? Car je brûle d'envie..."")",0.0
-,"('#thalie', 'Il est tout prêt.')",0.0
-,"('#les-muses', 'Et moi ?')",0.0
-,"('#thalie', 'Chacune aura le sien.')",0.0
-,"('#la-satire', ""Pour moi je n'en veux point."")",0.0
-,"('#thalie', 'Ah ! Muse je vous prie. Je veux faire pour vous un effort de génie. Je vais vous transformer en un homme de bien.')",0.0
-,"('#la-satire', 'Je ne me prête point à cette fantaisie.')",0.0
-,"('#thalie', ""Cela ne vous engage à rien, C'est un rôle de Comédie. Allez vous préparer, secondez mon ardeur"")",0.0
-,"('#thalie', ""Vous restez, tendre Polymnie, Le Ciel nous rend un Roi qui fait notre bonheur. Que vos chants, que les sons d'une aimable harmonie Célèbrent dans ces lieux cette insigne faveur. On entend un bruit confus d'instruments semblable à celui d'un Orchestre qui accorde."")",0.0
