,campistron-achille,quinault-isis,Cost,Operation Type
0,"('#mercure', ""Savantes Soeurs, arbitres de la scène, Quel accident funeste a fait cesser vos jeux ? Je ne vois plus ici votre appareil pompeux, Et je ne reconnais qu'a peine, Thalie et Melpomène ;. Et vous dont les charmants concerts, En ces lieux autrefois, raisonneront dans les Airs ; Quel trouble, ou quelle indifférence Cause aujourd'hui votre silence ?"")",,1.0,Insertion
1,"('#melpomene', 'Ignorez vous que le plus grand des rois Étendant chaque jour ses conquêtes Et signalant son bras, par de nouveaux exploits A négligé nos plus superbes fêtes.')","('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')",0.24,Substitution
2,"('#thalie', ""Depuis ce fatal moment, Nos Spectacles privés de leur magnificence, Ne sauraient plus avoir l'éclat et l'agrément Qu'ils ne devaient qu'à sa présence,"")","('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")",1.01,Substitution
3,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
4,"('#terpsicore', 'La tristesse règne en ces lieux, Nous rougissons de ne pouvoir lui plaîre ; Hélas ! Ne saurions-nous rien faire Digne de paraître à ses yeux.')","('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")",0.46,Substitution
5,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
6,"('#melpomene #thalie #terpsicore', 'Hélas ! Ne saurions-nous rien faire Digne de paraître à ses yeux ?')","('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",1.64,Substitution
7,"('#mercure', ""Terminez vos regrets que votre douleur cesse. Dans vôtre sort Jupiter s'intéresse, Et veut ici revoir, dès ce même moment Un spectacle charmant, Ou'un changement favorable Redonne à ces tristes lieux Tout ce qu'ils ont est d'aimable?' C'est l'ordre irrévocable Du souverain des Dieux. Ce lieu désert se détruit reprend tout d'un coup sa première magnificence."")","('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",0.89,Substitution
8,"('#melpomene', 'Vous, secourables Génies,  Nécessaire à nos jeux,  Hâtez-vous, secondez nos voeux ; Venez, et prêtez-nous vos grâces infinies.')","('#deux-tritons', ""C'est le Dieu des eaux qui va paraître Rangeons nous près de notre Maître Enchaînons les vents les plus terribles Que le bruit des flots cède à nos chants. Régnez Zéphirs paisibles, Ramenez le doux printemps."")",0.32,Substitution
9,"('#melpomeme #terpsicore', ""Animez d'une ardeur nouvelle Venez remplir nos desseins, Et faites que nos plaisirs Doivent leur charme à votre zèle."")","('#neptune', ""Mon empire a servi de théâtre à la guerre, Publiez des exploits nouveaux C'est le même vainqueur Si fameux sur la terre Qui triomphe encor sur les eaux."")",0.57,Substitution
10,,"('#la-renommee #neptune', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",1.0,Deletion
11,,"('#choeurs', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",1.0,Deletion
12,"('#choeur-de-genies', ""Animez d'une ardeur nouvelle Nous venons remplir vos désirs,  Nous nous flattons que vos plaisirs  Devront leur charme à notre zèle."")","('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')",0.68,Substitution
13,"('#thalie', 'Vous qui savez si bien, par une heureuse adresse Calmer les noirs chagrins, bannir les soins fâcheux, Favorisez mes soeurs, et mêlez dans leur quelques traits de votre allégresse.')","('#calliope #thalie #apollon', 'Ne troublez point les charmes De nos divins concerts.')",0.53,Substitution
14,"('#melpomene #thalie #terpsicore', ""Que nos jeux vont avoir de charmes ! Tous nos chants vont inciter l'Amour. Venez tous, rendez-lui les armes,  Il est doux dans cet heureux séjour. Que nos jeux vont avoir de charmes ! Tous nos chants vont inspirer l'Amour. Ce n'est plus le temps des alarmes,  Les Plaisirs sont enfin de retour. Que nos jeux vont avoir de charmes ! Tous nos chants vont inspirer l'Amour."")","('#calliope', 'Recommençons nos chants, Allons les faire entendre.')",0.81,Substitution
15,,"('#melpomene', 'Dans une auguste Cour.')",1.0,Deletion
16,"('#mercure', 'Jupiter va paraître,  Redoublez vos efforts pour plaire à votre Maître.')","('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.16,Substitution
17,,"('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",1.0,Deletion
18,"('#le-choeur', 'Jupiter va paraître. Redoublons nos efforts pour plaire à notre Maître. Dans ce moment Jupiter paraît dans son char.')","('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')",1.46,Substitution
