corneillet-medee,quinault-thesee,Score
"('#un-chef-d-habitants', ""Louis est triomphant, tout cède à sa puissance, La Victoire en tous lieux, fait révérer ses lois. Pour la voir avec nous toujours d'intelligence, Rendons-lui des honneurs dignes de sa présence. Rendons-lui des honneurs dignes des grands exploits Qui consacrent le Nom du plus puissant des rois."")",-,0.0
"('#le-choeur', ""Louis est triomphant, tout cède à sa puissance, La Victoire en tous lieux, fait révérer ses lois. Pour la voir avec nous toujours d'intelligence, Rendons-lui des honneurs dignes de sa présence. Rendons-lui des honneurs dignes des grands exploits Qui consacrent le Nom du plus puissant des rois."")",-,0.0
"('#deux-bergers #un-habitant', 'Paraissez, charmante Victoire, Hâtez-vous, venez, descendez. Amenez-nous Bellone, amenez-nous la Gloire, Par qui vos soins pour nous sont si bien secondez. Paraissez, charmante Victoire, Hâtez-vous, venez, descendez.')",-,0.0
"('#le-choeur', 'Paraissez, charmante Victoire, Hâtez-vous, venez, descendez.')",-,0.0
"('#deux-bergers #un-habitant', 'Ce nuage brillant nous donne lieu de croire, Que vous nous entendez.')",-,0.0
"('#le-choeur', ""Paraissez, charmante Victoire, Hâtez-vous, venez, descendez. On entend une symphonie, pendant laquelle il paraît un tourbillon de nuages qui descend, et en s'ouvrant fait paraître le palais de la Victoire, qui s'avance et occupe tout le Théâtre ; et au milieu du Palais, sont la Gloire, la Victoire et Bellone."")",-,0.0
"('#la-victoire', ""Le Ciel dans vos voeux s'intéresse,  Depuis longtemps, la France est mon séjour. Attachée au héros, qui pour elle sans cesse Fait agir sa haute sagesse, Je sens pour lui de jour en jour, En redoublant mes soins, redoubler mon amour. Ne craignez pas que la Victoire, Favorise jamais les jaloux de sa gloire. Ils ne cherchent à triompher Qu'afin de prolonger la guerre. Louis combat pour l'étouffer, Et rendre le calme à la terre."")",-,0.0
"('#le-choeur', ""Ils ne cherchent à triompher Qu'afin de prolonger la guerre. Louis combat pour l'étouffer, Et rendre le calme à la terre. "")",-,0.0
"('#bellone', ""Vous résistez en vain, tremblez, fiers Ennemis, Au grand roi que je sers, je vous rendrai soumis.  Chez vous plus que jamais, par l'effroi de ses armes, Je porterai les plus rudes alarmes : Et mille triomphes divers,  Feront de son grand nom retentir l'univers."")",-,0.0
"('#le-choeur', ""Par mille triomphes divers, Faisons de son grand nom retentir l'univers."")",-,0.0
"('#la-gloire', ""Pour seconder vos soins, laissez faire la Gloire, Ce héros me chérit, et je l'aimai toujours. On verra durer nos amours, Quand même il n'aura plus besoin de la Victoire. Non, non, ses ennemis jaloux, Ne pourront jamais rien, contre des noeuds si doux."")",-,0.0
"('#le-choeur', 'Non, non, ses ennemis jaloux,  Ne pourront jamais rien, contre des noeuds si doux.')",-,0.0
"('#la-victoire', ""Le bruit des tambours, des trompettes, Ne viendra plus troubler vos jeux, Bergers, reprenez vos musettes, Chantez l'amour, chantez ses feux, La guerre et ses dangers affreux, N'approchent point de vos douces retraites :  Le plus grand des héros, vous y fait vivre heureux. Il vaincra tant de fois, sur la terre et sur l'onde, Que ses ennemis terrassés, Malgré tous leurs projets, seront enfin forcez De souffrir le repos qu'il veut donner au monde."")",-,0.0
"('#le-choeur', ""Il vaincra tant de fois, sur la terre et sur l'onde, Que ses ennemis terrassés, Malgré tous leurs projets, seront enfin forcés  De souffrir le repos qu'il veut donner au monde."")",-,0.0
"('#berger', ""Dans le bel âge, Si l'on n'est volage, Les tendres coeurs Goûtent peu de douceurs.  L'ardeur d'une flamme constante Est bientôt languissante, Veut-on d'agréables amours? Il faut changer toujours. Dans le bel âge, Si l'on n'est volage, Les tendres coeurs Goûtent peu de douceurs."")",-,0.0
"('#deux-bergeres', ""Voir nos moutons dans la verte prairie, Bondir sur l'herbette fleurie,  Sans craindre la fureur des loups, C'est pour nous un plaisir extrême ; Mais voir souvent ce que l'on aime, C'est encore un plaisir plus doux."")",-,0.0
"('#le-choeur', ""Le bruit des tambours, des trompettes, Ne viendra plus troubler nos jeux. Prenons nos pipeaux, nos musettes, Chantons l'amour, chantons ses feux; La guerre et ses dangers affreux, N'approchent point de nos douces retraites, Le plus grand des héros, nous y fait vivre heureux. Il vaincra tant de fois, sur la terre et sur l'onde, Que ses ennemis terrassés, Malgré tous leurs projets, seront enfin forcés De souffrir le repos qu'il veut donner au monde. Après le choeur, le Palais s'en retourne d'où il est venu ; le tourbillon se renferme et remonte au Ciel."")",-,0.0
"('#medee', ""Pour flatter mes ennuis, que ne puis-je te croire !  Tout le voudrait, mon repos et ma gloire ; Mais en vain à douter je trouve des appas,  Jason est un ingrat, Jason est un parjure ; L'amour que j'ai pour lui, me le dit, m'en assure,  Et l'amour ne se trompe pas."")",-,0.0
"('#nerine', ""Un mouvement jaloux vous le peint infidèle Mais d'injustes soupçons troublent votre repos ; Créüse est destinée au souverain d'Argos. Sur quel espoir Jason brûlerait-il pour elle ?"")",-,0.0
"('#medee', ""Je sais qu'Oronte est prêt d'arriver en ces lieux ; Il vient rempli d'un espoir glorieux : Mais à le recevoir si Corinthe s'apprête, Ce n'est point son hymen qui le fait souhaiter. Il s'élève contre elle une affreuse tempête,  Son secours la peut écarter."")",-,0.0
"('#nerine', ""Acaste contre vous arme la Thessalie. La cruelle mort de Pélie Vous rend l'objet de sa fureur. Si Créon ne vous abandonne,  De la guerre en ces lieux il va porter l'horreur ; Et lorsqu'en ce péril, comme l'amour l'ordonne, Jason veut de Créüse acquérir la faveur, Faut-il que ce soin vous étonne ?"")",-,0.0
"('#medee', ""Qu'il soit abandonné de Créüse et du roi, S'il lui faut un appui, ne l'a-t-il pas en moi ? Quand de Colchos il prit la fuite, Maître de la riche Toison, Mon père eut beau s'armer contre ma trahison, Quel fut l'effet de sa poursuite ?"")",-,0.0
"('#nerine', 'Quoi, vous résoudre à fuir toujours ?')",-,0.0
