quinault-atys,quinault-isis,Score
"('#temps', ""En vain j'ai respecté la célèbre mémoire Des héros des siècles passés ; C'est en vain que leurs noms si fameux dans l'histoire, Du sort des noms communs ont été dispensés : Nous voyons un héros dont la brillante gloire Les a presque tous effacés."")",-,0.0
"('#heures', ""Ses justes lois, Ses grands exploits Rendront sa mémoire éternelle : Chaque jour, chaque instant Ajoute encor à son nom éclatant Une gloire nouvelle. La déesse Flore conduite par un des zéphyrs s'avance avec une troupe de nymphes qui portent divers ornements de fleurs."")",-,0.0
"('#temps', ""La saison des frimas peut-elle nous offrir Les fleurs que nous voyons paraître ? Quel dieu les fait renaître Lorsque l'hiver les fait mourir ? Le froid cruel règne encore ; Tout est glacé dans les champs, D'où vient que Flore Devance le printemps ?"")",-,0.0
"('#flore', ""Quand j'attends les beaux jours, je viens toujours trop tard, Plus le printemps s'avance, et plus il m'est contraire ; Son retour presse le départ Du héros à qui je veux plaire. Pour lui faire ma cour, mes soins ont entrepris De braver désormais l'hiver le plus terrible, Dans l'ardeur de lui plaire on a bientôt appris À ne rien trouver d'impossible."")",-,0.0
"('#temps #flore', ""Les plaisirs à ses yeux ont beau se présenter, Sitôt qu'il voit Bellone, il quitte tout pour elle ; Rien ne peut l'arrêter Quand la gloire l'appelle. Le choeur des heures répète ces deux derniers vers. La suite de Flore commence des jeux mêlés de danses et de chants."")",-,0.0
"('#zephir', ""Le printemps quelquefois est moins doux qu'il ne semble, Il fait trop payer ses beaux jours ; Il vient pour escorter les jeux et les amours, Et c'est l'hiver qui les rassemble. Melpomène qui est la muse qui préside à la tragédie, vient accompagnée d'une troupe de héros, elle est suivie d'Hercule, d'Antaee, de Castor, de Pollux, de Lyncée, d'Idas, d'Étéocle, et de Polynice."")",-,0.0
"('#melpomene', ""Retirez-vous, cessez de prévenir le temps ; Ne me dérobez point de précieux instants : La puissante Cybele Pour honorer Atys qu'elle a privé du jour, Veut que je renouvelle Dans une illustre cour Le souvenir de son amour. Que l'agrément rustique De Flore et de ses jeux, Cède à l'appareil magnifique De la muse tragique, Et de ses spectacles pompeux. La suite de Melpomène prend la place de la suite de Flore. Les héros recommencent leurs anciennes querelles. Hercule combat et lutte contre Antaee, Castor et Pollux combattent contre Lyncée et Idas, et Etéocle combat contre son frère Polynice. Iris, par l'ordre de Cybele, descend assise sur son arc, pour accorder Melpomène et Flore."")",-,0.0
"('#iris', ""Cybele veut que Flore aujourd'hui vous seconde. Il faut que les plaisirs viennent de toutes parts, Dans l'empire puissant, où règne un nouveau Mars, Ils n'ont plus d'autre asile au monde. Rendez-vous, s'il se peut, dignes de ses regards ; Joignez la beauté vive et pure Dont brille la nature, Aux ornements des plus beaux arts. Iris remonte au ciel sur son arc, et la suite de Melpomène s'accorde avec la suite de Flore. "")",-,0.0
"('#melpomene #flore', ""Rendons-nous, s'il se peut, dignes de ses regards ; Joignons la beauté vive et pure Dont brille la nature, Aux ornements des plus beaux arts."")",-,0.0
"('#le-temps #les-heures', 'Préparez de nouvelles fêtes, Profitez du loisir du plus grand des héros ;')",-,0.0
