,dufresny-regnard-chinois,regnard-coquette,Cost,Operation Type
0,,"('#arlequin', ""Vous en avez menti, messieurs les commis de la barrière, je ne dois rien : vous êtes des fripons.  On est plus assuré au milieu des bois que dans ce maudit pays-ci : on ne saurait faire un pas qu'on ne trouve un filou.  Il n'y a pas une demi-heure que je suis arrivé dans Paris, et me voilà déjà presque tout déshabillé...  Au voleur !  Au voleur !  Quelle maudite nation !  À peine suis-je entré dans la ville, qu'on fait derrière mon cheval l'opération à ma valise ; on en tire les hardes, et on la fait accoucher avant terme.  En descendant à l'hôtellerie, on m'escamote ma casaque.  Je fais deux pas dans la rue, un fiacre me couvre de boue depuis les pieds jusqu'à la tête ; un porteur de chaise me donne d'un de ses bâtons dans le dos : il vient un homme me saluer ; je lui ôte mon chapeau, un coquin par derrière m'arrache ma perruque ; et, pour comble de friponneries, on veut me faire payer l'entrée à la porte comme bête à cornes, parce que je viens pour me marier...  Attendez donc que je sois... "")",1.0,Deletion
1,,"('#arlequin', ""Monsieur, n'êtes-vous pas un coupeur de bourses ?  Au lieu de répondre, Mezzetin tourne autour de lui, l'examine en se moquant de lui ; et Arlequin fait des lazzis de frayeur. Le restant de cette scène consiste dans un jeu italien. "")",1.0,Deletion
2,"('#apollon', ""Qui rend donc Pégase si hargneux ?  Apparemment, mademoiselle Thalie, que vous avez oublié de lui donner son avoine aujourd'hui."")","('#colombine', ""Holà, quelqu'un !  N'ai-je là personne ?  Cascaret, Jasmin, Pierrot, Bagatelle, Bagatelle ! "")",1.41,Substitution
3,,"('#colombine', ""D'où vient, petit garçon, qu'il faut vous appeler tant de fois ? "")",1.0,Deletion
4,,"('#bagatelle', ""Mademoiselle, c'est que j'achevais ma main au lansquenet. "")",1.0,Deletion
5,,"('#colombine', ""N'est-il venu personne me demander ? "")",1.0,Deletion
6,,"('#bagatelle', ""Il est venu cinq ou six personnes ; mais j'ai oublié leurs noms et ce qu'elles m'ont dit. "")",1.0,Deletion
7,,"('#colombine', 'Le petit étourdi !')",1.0,Deletion
8,,"('#pierrot', ""Monsieur le conseiller a dit qu'il allait revenir.  Il est venu aussi cette grande femme qui a le visage si creux, qui vous viendra voir tantôt, quand elle aura été chez son libraire. "")",1.0,Deletion
9,,"('#colombine', ""C'est notre bel esprit ; je la tiens quitte de sa visite dès à présent. Venez çà ; allez chez ma couturière, et dites-lui que je veux avoir mon habit aujourd'hui.  À Bagatelle. "")",1.0,Deletion
