,campistron-achille,la-fontaine-daphne,Cost,Operation Type
0,"('#mercure', ""Savantes Soeurs, arbitres de la scène, Quel accident funeste a fait cesser vos jeux ? Je ne vois plus ici votre appareil pompeux, Et je ne reconnais qu'a peine, Thalie et Melpomène ;. Et vous dont les charmants concerts, En ces lieux autrefois, raisonneront dans les Airs ; Quel trouble, ou quelle indifférence Cause aujourd'hui votre silence ?"")","('#jupiter', ""Vous, qui voulez qu'à la fureur de l'onde Jupiter mette un frein, et repeuple ces lieux, Vous vous lassez trop tôt d'être seul dans le monde ; Mille voeux vont troubler cette paix si profonde Dont la terre à présent laisse jouir les cieux."")",0.42,Substitution
1,,"('#venus', 'Charmante oisiveté, repos délicieux !')",1.0,Deletion
2,,"('#minerve', 'Ou plutôt, repos ennuyeux !')",1.0,Deletion
3,,"('#venus', ""Quoi ! le sommeil pourrait aux déesses déplaire ! Ne point souffrir, Ne point mourir, Et ne rien faire, Que peut-on souhaiter de mieux ? Ce qui fait le bonheur des dieux, C'est de n'avoir aucune affaire, Ne point souffrir, Ne point mourir, Et ne rien faire."")",1.0,Deletion
4,,"('#minerve', ""Est-ce ainsi qu'on a des autels ?"")",1.0,Deletion
5,"('#melpomene', 'Ignorez vous que le plus grand des rois Étendant chaque jour ses conquêtes Et signalant son bras, par de nouveaux exploits A négligé nos plus superbes fêtes.')","('#jupiter', ""Eh bien, faisons d'autres mortels : Vos talents et nos soins deviendront nécessaires."")",0.98,Substitution
6,,"('#momus', ""Ne vous faites point tant d'affaires."")",1.0,Deletion
7,,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")",1.0,Deletion
8,,"('#promethee', 'Que me veut Jupiter ?')",1.0,Deletion
9,,"('#jupiter', 'Ouvre tes magasins.')",1.0,Deletion
10,,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")",1.0,Deletion
11,,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",1.0,Deletion
12,,"('#promethee', 'Vous ne les connaissez pas.')",1.0,Deletion
13,,"('#momus', 'Fais-leur faire quelques pas.')",1.0,Deletion
14,,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")",1.0,Deletion
15,,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",1.0,Deletion
16,,"('#promethee', ""C'est l'idole d'un sage."")",1.0,Deletion
17,,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')",1.0,Deletion
18,"('#thalie', ""Depuis ce fatal moment, Nos Spectacles privés de leur magnificence, Ne sauraient plus avoir l'éclat et l'agrément Qu'ils ne devaient qu'à sa présence,"")","('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")",0.43,Substitution
19,,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')",1.0,Deletion
20,,"('#minerve', 'Laissez-moi régler ces transports.')",1.0,Deletion
21,"('#terpsicore', 'La tristesse règne en ces lieux, Nous rougissons de ne pouvoir lui plaîre ; Hélas ! Ne saurions-nous rien faire Digne de paraître à ses yeux.')","('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")",0.89,Substitution
22,,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",1.0,Deletion
23,,"('#venus', ""C'est l'amour."")",1.0,Deletion
