,dancourt-metempsychose,dufresny-adieux-des-officiers,Cost,Operation Type
0,"('#mercure', ""Je cherche en vain de toutes parts.  La Paix, dans ces climats avant moi descendue,  Ne s'offre point à mes regards ;  Où peut-elle être retenue.  Mais quel éclat vient de percer la nue ?  C'est elle, je la vois. "")",,1.0,Insertion
1,"('#la-paix', 'En croirai-je mes yeux ?  Mercure déjà dans ces lieux ! ')",,1.0,Insertion
2,"('#mercure', ""C'est moi-même, divine Astrée ;  Mais vous depuis longtemps des mortels malheureux  Avec tant d'ardeur désirée,  Vous me semblez bien lente à contenter leurs voeux.  Avec empressement de la voûte azurée,  Je vous ai vue partir pour vous rendre chez eux.  J'ai, depuis vous, quitté les cieux,  Et vous croyais ici déjà bien établie.  Cependant à ce que je vois,  Vous arrivez même après moi. "")",,1.0,Insertion
3,"('#la-paix', ""Mon ardeur en chemin s'est un peu ralentie,  En traversant d'abord rapidement les airs,  Avec plaisir j'ai vu les enfants de la Terre  Détruire, par tout l'Univers,  Les autels du Dieu de la Guerre,  Et mettre la discorde aux fers.  J'ai vu l'ambition, la fureur et la rage,  Se cachant au fond des enfers,  Laisser mille Peuples divers  Dégagés de leur esclavage,  Et des maux qu'ils en ont soufferts. "")","('#le-tambour', 'À cheval, à cheval, Mars, vite à la guerre,  Prends ta rapière,  Il est temps,  Quand le coq a chanté : Mars déjà la gloire,  Et la victoire,  Sont aux champs. ')",0.9,Substitution
4,"('#mercure', ""Ainsi donc tout était disposé pour vous rendre  Les tranquilles tributs qu'on doit à vos autels,  Et vous auriez dû moins attendre  À remplir les voeux des mortels. "")",,1.0,Insertion
5,"('#la-paix', ""Ne me condamnez pas sans m'écouter, Mercure,  Avant que d'établir ici-bas mon séjour,  Mon premier soin est d'être sûre  Que j'y tiendrai longtemps ma cour ;  Et je veux, aux mortels que ma présence assure,  Une félicité qui dure plus d'un jour.  J'attends que tous les Dieux s'empressent de détruire  De concert avec moi tout ce qui peut leur nuire ;  L'avarice, l'orgueil, l'usure, monstre affreux  Et mille fois plus à craindre pour eux,  Que ceux qu'en sa fureur Bellone peut produire.  C'est peu qu'entre les Nations  Par leurs pressants besoins, par leur propre prudence,  On croie avoir éteint la violence  De leurs longues divisions.  Il faut que Jupiter par sa bonté suprême,  Se prête au bonheur des humains,  Qu'il daigne travailler lui-même  À leur faire d'heureux destins. "")",,1.0,Insertion
6,"('#mercure', ""Jupiter songe à remplir vos desseins,  Et puisqu'en ces climats vous venez de descendre,  Que vous choisissez pour séjour  Le même asile que l'Amour,  Les jeux et les plaisirs en foule vont s'y rendre.  Déjà de toutes parts ils volent en ces lieux :  Et moi, par ordre exprès du Souverain des Dieux,  Je viens rendre à cette contrée,  Par vous contre le sort à présent rassurée,  Tout ce que les Beaux-Arts ont de plus précieux.  Avec Bacchus l'Amour d'intelligence  Y va répandre l'abondance.  Le Dieu des Mers,  Des plus lointains climats du monde,  Sur le sein de l'onde,  Y conduira mille peuples divers. "")","('#un-amour', 'Suivez la gloire et ses attraits,  Laissez Mars et Vénus en paix. ')",0.63,Substitution
7,"('#la-paix', ""Que de Paris, cette superbe ville,  Le beau séjour aura pour eux d'attraits ! "")",,1.0,Insertion
8,"('#mercure', 'Il est le séjour de la Paix :  Il doit être heureux et tranquille. ')","('#le-tambour', 'Le bruit de mon tambour et de la trompette,  Met la grisette  Aux abois.  Mais un brave guerrier doit de bonne grâce,  Céder la place  Au bourgeois. ')",1.46,Substitution
9,"('#la-paix', ""Par Bacchus et l'Amour comme il est habité,  Je ne réponds pas trop de sa tranquillité. "")",,1.0,Insertion
10,"('#mercure', ""Pour vivre avec eux, sans craindre  L'éclat bruyant de leur Divinité,  Il n'a qu'à ne les pas contraindre,  Tous deux aiment la liberté."")","('#l-amour', 'Vénus ne saurait consentir  À le laisser partir. ')",1.23,Substitution
11,"('#la-paix', 'Ils en pourront jouir en toute sûreté. ')",,1.0,Insertion
12,"('#mercure', ""Non, tant mieux, pour fixer la troupe passagère,  Qui de l'un et l'autre hémisphère  Vous viendra faire ici sa cour,  Leur secours nous est nécessaire. "")",,1.0,Insertion
13,"('#la-paix', ""Ils s'empresseront à me plaire,  Et nous serviront tour à tour.  Mais, Mercure, aux plaisirs d'aimer, à ceux de boire,  On ne peut pas toujours donner tous ses moments ;  Cherchons, si vous m'en voulez croire,  Quelques autres amusements. "")",,1.0,Insertion
14,"('#mercure', 'Il en est ici de charmants,  Et que tout le monde idolâtre. ')",,1.0,Insertion
15,"('#la-paix', 'Je les connais ceux du Théâtre ;  Mais on dit que depuis un temps  Ils sont devenus languissants. ')",,1.0,Insertion
16,"('#mercure', ""Sans vous tout déplaît, tout ennuie.  Mais pour leur redonner de nouveaux agréments,  Apollon consent que Thalie  Et la Muse de l'harmonie,  Donnent des spectacles galants,  Et puissent de concert exercer leurs talents. "")",,1.0,Insertion
17,"('#la-paix', ""J'augure bien d'un si noble assemblage. "")",,1.0,Insertion
18,"('#mercure', ""C'est le sujet de mon voyage,  Et je n'y perdrai point de temps. "")",,1.0,Insertion
19,"('#la-paix', ""Thalie auprès de nous s'avance. "")",,1.0,Insertion
20,"('#mercure', ""Bacchus avec l'Amour accompagnent ses pas ;  S'ils veulent avec nous être d'intelligence,  Leurs soins ne nous nuirons pas. "")",,1.0,Insertion
21,"('#bacchus', ""Salut au Dieu de l'Éloquence. "")",,1.0,Insertion
22,"('#mercure', 'Salut au Patron des buveurs. ')",,1.0,Insertion
23,"('#l-amour', 'Salut à celui des voleurs. ')",,1.0,Insertion
24,"('#mercure', 'Salut au Dieu dont tous les coeurs,  Tôt ou tard sentent la puissance.  Quel sujet vous amène ici ? ')",,1.0,Insertion
25,"('#bacchus', ""L'ardeur de seconder le dessein où vous êtes. "")",,1.0,Insertion
26,"('#l-amour', ""Instruit du projet que vous faites,  Je prétends l'appuyer aussi.  Mais comment ferons-nous ? Çà voyons. "")",,1.0,Insertion
27,"('#thalie', ""Il me semble  Que tant de Dieux unis ensemble  Pour exécuter leurs projets,  N'ont pas besoin de grands apprêts.  Il faut d'abord choisir le sujet de la Paix. "")",,1.0,Insertion
28,"('#mercure', ""Jupiter, mon père et le sien,  Pour consacrer le nom d'une jeune Maîtresse,  Qu'il eût jadis, et dont il n'obtint rien,  Aux regards des mortels veut bien  Que l'on révèle sa faiblesse. "")","('#le-tambour', 'Un jeune héros doit laisser sa faiblesse  À sa maîtresse  En partant.  Je lui permets de rire avec son hôtesse,  Mais sans tendresse,  En passant. ')",0.53,Substitution
29,"('#bacchus', 'Ce sujet-là sera nouveau pour eux. ')",,1.0,Insertion
30,"('#l-amour', 'Ce sujet-là nous intéresse,  Et nous y figurions tous deux. ')",,1.0,Insertion
31,"('#mercure', 'Vous servîtes mal sa tendresse. ')",,1.0,Insertion
32,"('#l-amour', ""Puisqu'il le veut, révélons des secrets,  Dont jusqu'à présent nous avions fait mystère.  Je l'avoue, entre nous, j'avais peine à me taire,  Et comme les mortels les Dieux sont indiscrets.  Qui réglera la Comédie ? "")",,1.0,Insertion
33,"('#bacchus', 'Belle difficulté ! Thalie. ')",,1.0,Insertion
34,"('#mercure', 'Je serai le Musicien. ')",,1.0,Insertion
35,"('#bacchus', 'Que la Musique soit jolie,  Le trop beau, le trop grand ennuie :  Pour plaire il faut un petit rien,  Un Vaudeville, une heureuse folie. ')",,1.0,Insertion
36,"('#mercure', 'Ce soin me regarde. ')",,1.0,Insertion
37,"('#bacchus', ""Fort bien.  Mais que ferai-je dans la pièce ?  Car au succès je m'intéresse. "")",,1.0,Insertion
38,"('#mercure', 'La noce et les frais du festin. ')",,1.0,Insertion
39,"('#bacchus', 'Tope. ')",,1.0,Insertion
40,"('#mercure', ""Qu'on y boira du vin ! "")",,1.0,Insertion
41,"('#la-paix', 'Il faudra des Acteurs pour le chant, pour la danse. ')",,1.0,Insertion
42,"('#thalie', ""L'Amour en fera la dépense ;  N'a-t-il pas avec lui toujours  Les jeux, les ris, les plaisirs, les amours ? "")",,1.0,Insertion
43,"('#bacchus', ""J'y joindrai les gens de ma suite,  Troupe de Faunes et de Sylvains,  D'Habitants des pays lointains,  Du Ballet j'aurai la conduite. "")",,1.0,Insertion
44,"('#la-paix', ""Qu'on y fera de mauvais pas.  Avant la danse, au moins, ne les enivrez pas ;  Et les Acteurs parlant, qui les fera ? "")",,1.0,Insertion
45,"('#mercure', ""Nous-mêmes.  Il faut dans ces commencements  Descendre un peu de nos grandeurs suprêmes,  Pour mériter des applaudissements.  Jupiter et Vénus, Junon même, s'apprêtent  À seconder les jeux qu'ici nous préparons ;  Et de concert avec nous ils se prêtent  Aux spectacles galants que nous y donnerons.  Au siècle où nous sommes,  Si fertile en beaux esprits,  Les Dieux comme nous à Paris,  Sont à peine assez bons pour divertit les hommes. "")","('#l-amour', ""Ne permettez rien aux amants,  Ils ne sont que trop inconstants.  Mars et Vénus quittent le lit de repos, et s'avancent."")",0.59,Substitution
46,"('#thalie', ""J'approuve fort un tel avis ;  Mais enfin, sous quelle figure  Prétendez-vous en ce pays  De Jupiter retracer l'aventure ? "")",,1.0,Insertion
47,"('#mercure', ""Comme elle se passa jadis,  Même forme, mêmes habits,  En robe seulement à la Thessalienne ;  Et voici justement un endroit pour la Scène,  Il ne peut être mieux représenté.  Vous voyez de Tempé les bosquets, la fontaine ;  Et sur le beau coteau qui termine la plaine ;  Se trouve aussi le Palais enchanté,  Où Jupiter faisait garder cette Beauté,  Que Bacchus et l'amour livrèrent à Philène. "")",,1.0,Insertion
48,"('#bacchus', ""On dirait en effet que c'est la vérité.  Ce lieu charmant ici semble exprès transporté. "")",,1.0,Insertion
49,"('#l-amour', 'Je reconnais aussi ces beaux valons sans peine. ')",,1.0,Insertion
