dufresny-adieux-des-officiers,moliere-psyche,Score
"('#le-tambour', 'À cheval, à cheval, Mars, vite à la guerre,  Prends ta rapière,  Il est temps,  Quand le coq a chanté : Mars déjà la gloire,  Et la victoire,  Sont aux champs. ')",-,0.0
"('#un-amour', 'Suivez la gloire et ses attraits,  Laissez Mars et Vénus en paix. ')",-,0.0
"('#le-tambour', 'Le bruit de mon tambour et de la trompette,  Met la grisette  Aux abois.  Mais un brave guerrier doit de bonne grâce,  Céder la place  Au bourgeois. ')",-,0.0
"('#l-amour', 'Vénus ne saurait consentir  À le laisser partir. ')",-,0.0
"('#le-tambour', 'Un jeune héros doit laisser sa faiblesse  À sa maîtresse  En partant.  Je lui permets de rire avec son hôtesse,  Mais sans tendresse,  En passant. ')",-,0.0
"('#l-amour', ""Ne permettez rien aux amants,  Ils ne sont que trop inconstants.  Mars et Vénus quittent le lit de repos, et s'avancent."")",-,0.0
"('#mars', ""Mon devoir m'arrache d'auprès de vous, charmante Vénus, il faut vous quitter dans le temps que votre coeur commençait à s'ébranler pour moi ; quel contretemps ! "")",-,0.0
"('#venus', ""Hélas, je suis bien plus à plaindre que vous !  J'ai tout à craindre de votre inconstance ; et une campagne endurcit bien le coeur d'un guerrier."")",-,0.0
"('#le-tambour', ""Il faut, s'il vous plaît, abréger vos dialogues ; vous n'avez que le temps de venir payer votre hôtesse. Bellone a déjà endossé son habit de postillon, elle sera ici dans un moment avec votre chaise de poste. "")",-,0.0
"('#mars', ""Va voir s'il ne manque rien à mon équipage, et laisse-moi profiter de quelques moments que la gloire veut bien accorder à ma tendresse. "")",-,0.0
"('#le-tambour', ""Votre équipage est complet, il ne vous manque rien que de l'argent ; mais, madame Vénus y pourvoira.  À propos, pendant que je suis dans le magasin de Vulcain, je vais vous choisir deux bons éperons de longueur, car je me souviens que votre cheval est toujours rétif quand il faut sortir de Paris. "")",-,0.0
"('#mars', ""Tes discours m'importunent ; retire-toi. "")",-,0.0
"('#le-tambour', 'À voir les cérémonies que votre cheval fait pour sortir des portes, on croirait que le pauvre animal ressent la moitié de la tendresse que vous avez pour madame. ')",-,0.0
"('#mars', 'Hé, laisse-nous en paix. ')",-,0.0
"('#le-tambour', ""Vous souvient-il du tour qu'il vous joua en revenant de Flandres, comme nous sortions de cette hôtellerie... là... où vous devîntes amoureux de la servante ? "")",-,0.0
"('#mars', 'Te tairas-tu maraud ? ')",-,0.0
"('#le-tambour', 'Il faut les laisser seuls : le jour du départ on a mille choses à se dire.  Mais voilà Bellone, dépêchez-vous. Vers Mars.')",-,0.0
"('#bellone', ""Partez, partez, Mars, il est temps ;  Les plaisirs du printemps  Sont indignes de vous ; allez porter la guerre. Aux deux bouts de la terre.  Laissez en paix, au moins pendant six mois,  Nos ménages bourgeois,  C'est le seul bien que vous leur puissiez faire,  Rien n'est si doux  Pour un jaloux  Que votre absence :  Mais vos adieux,  En récompense,  Sont bien dangereux. "")",-,0.0
"('#vulcain', ""Le ciel soit loué !  Voilà Bellone qui va délivrer ma maison de ce grand pendard de Mars.  C'est le plus grand maraud !  Cependant, parce qu'il a de la bravoure, et que je suis naturellement poltron, j'ai mille complaisances pour lui.  Il me prend pourtant envie de venger mon front sur le sien.  Mais, non, c'est un brutal qui n'entend pas raillerie, différons la vengeance jusqu'à ce qu'il soit parti.  Il aime tendrement ma femme, et je ne puis mieux me venger de lui, qu'en rossant ce qu'il aime.  Pour le présent, le plus sûr est de travailler comme si de rien n'était.  Il lève son marteau. Vulcain frappe sur son enclume dans le temps que Mars et Vénus parlent ensemble."")",-,0.0
"('#un-amour', ""Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train.  Suivez cet usage,  Mortels indiscrets,  Dans votre ménage  Vous aurez la paix  Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train. "")",-,0.0
"('#venus', ""Petit mari ? Moutonnet, mignon, tu fais plus de bruit aujourd'hui qu'à l'ordinaire. Vulcain tourne la tête sans rien dire et frappe toujours. "")",-,0.0
"('#vulcain', ""C'est que je frappe de rage. Il continue de frapper."")",-,0.0
"('#venus', 'Mon petit fils, frappe donc plus doucement, si tu veux épargner ma tête.')",-,0.0
"('#vulcain', ""Tu n'épargnes guères la mienne, toi, carogne. Il frappe encore."")",-,0.0
"('#mars', ""En vérité, monsieur Vulcain, vous n'avez guères de considération pour les femmes."")",-,0.0
"('#vulcain', 'Ni vous pour les maris, monsieur Mars. Il frappe toujours.')",-,0.0
"('#mars', 'Mais vraiment, vous ne songez pas que vous donnez des vapeurs à madame ?')",-,0.0
"('#vulcain', 'Si je lui donne des vapeurs, vous prenez bien soin de les guérir, vous. Il frappe encore.')",-,0.0
"('#mars', 'Par la sambleu, si vous ne cessez de frapper...')",-,0.0
"('#vulcain', ""Monsieur Mars, je vous demande pardon, mais ma besogne presse, et j'ai une nouvelle baguette de Vulcain de commande, que je dois livrer aujourd'hui aux comédiens."")",-,0.0
"('#mars', ""Quand je serai parti, vous forgerez tant qu'il vous plaira."")",-,0.0
"('#vulcain', ""Monsieur, notre grand débit se fait avec les officiers.  Sitôt que vous les aurez emmenés à l'armée, il faudra mettre les baguettes de Vulcain aux vieilles ferrailles."")",-,0.0
"('#mars', ""Ce serait dommage de laisser inutile un instrument qui va chercher l'or jusques dans les entrailles de la terre."")",-,0.0
"('#vulcain', ""Les baguettes qui ne font que chercher l'or sont contrefaites, les véritables l'attirent ; et j'en connais une qui en trois mois a fait venir plus de vingt mille écus à l'hôtel de Bourgogne.  Mais vous me faites perdre ici mon temps mal à propos.  J'ai trop la vogue pour m'amuser à parler gratis, et avec les Parisiens il faut battre le fer quand il est chaud.  Tous ce que je puis faire pour adoucir le bruit des marteaux, c'est de chanter en travaillant.  Il frappe toujours."")",-,0.0
"('#mars', ""Madame, puisqu'il nous empêche de parler bas, il mériterait bien que vous me fissiez une déclaration d'amour, si haut qu'il l'entende. "")",-,0.0
"('#vulcain', ""Si ma femme a la rage  De le dire si haut,  Je repousse l'outrage  À grands coups de marteau,  Je frapperai tant... tant... Il veut frapper Mars. "")",-,0.0
"('#mars', 'Plaît-il ?')",-,0.0
"('#vulcain', ""Sur mon ouvrage,  Que je n'entendrai rien  De tout votre entretien. "")",-,0.0
"('#mars', ""Je vois bien qu'il faut quitter la place.  Voilà un grand brutal."")",-,0.0
"('#venus', 'Je ne verrai donc plus auprès de moi, que ce magot ?  Vous me quittez ?  Ah !')",-,0.0
"('#mars', ""Il faut bien lui faire un peu d'amitié, pour le disposer à vous bien traiter en mon absence.  Je le hais comme tous les diables... Adieu, mon cher ami Vulcain, je suis fâché d'être obligé de vous quitter. À Vulcain. Il l'embrasse."")",-,0.0
"('#vulcain', 'Ah, monsieur ! Il lui laisse tomber son marteau sur les pieds.')",-,0.0
"('#mars', ""Hai !  Au moins je vous recommande de veiller un peu à la conduite de madame votre épouse, pendant mon voyage.  Si vous voulez conserver sa réputation et la vôtre, gardez-vous bien de laisser entrer chez vous tous ces petits demi-dieux blondins et court-vêtus, qui n'attendent que mon départ pour venir fondre ici. "")",-,0.0
"('#vulcain', ""Ma foi, monsieur Mars, un plumet comme vous décrie plus une femme en huit jours d'été, que tous ces messieurs-là en tout un hiver.  Mais baste, un peu d'honneur plus_ou_moins dans une famille, cela ne vaut pas la peine de se brouiller avec un ami tel que vous. "")",-,0.0
"('#mars', 'À propos, ma rondache est-elle achevée de polir.')",-,0.0
"('#vulcain', 'Vous avez ici des armes à choisir. Vénus et les amours arment Mars.')",-,0.0
"('#mars', 'Monsieur mon compère, ne prenez pas la peine...')",-,0.0
"('#vulcain', ""Il est bien juste que je vous coiffe par droit de représailles. Mars s'en va."")",-,0.0
"('#venus', ""Tu veux bien que j'aille le conduire jusqu'au Bourget."")",-,0.0
"('#vulcain', ""Non, non, j'irai bien moi-même."")",-,0.0
"('#venus', 'Tu viens de nous dire que tu as de la besogne pressée ? ')",-,0.0
"('#vulcain', ""Le plus pressé de ma besogne c'est de le faire partir promptement. Songez seulement aux soins de votre ménage ; et pendant mon absence, mettez la paix entre vos deux enfants, qui se mangent le blanc des yeux ensemble. "")",-,0.0
"('#cupidon', 'On a bien de la peine à trouver le moment  De vous dire un mot seulement.')",-,0.0
