barante-arlequin-misanthrope,biancollelli-foire-galante,Score
"('#arlequin', 'Non, te dis-je, je ne la jouerai pas.')",-,0.0
"('#colombine', 'Mais tu te moques.')",-,0.0
"('#arlequin', ""Il n'y a point de plaisanterie à cela, et j'aimerais mieux être Arlequin Cochon, Arlequin Dogue, Cygne, Taureau, et tout ce qu'il te plaira, que d'être Arlequin Misanthrope."")",-,0.0
"('#colombine', ""Et bien, il faut donc se résoudre à faire rendre l'argent.  Quoi ?  Renvoyer tout ce beau monde-là ?  Il faut avoir le coeur bien dur.  Ah !  Ah !"")",-,0.0
"('#arlequin', ""Oh, je te connais, tu es tout comme les autres femmes ; il n'y a que l'intérêt qui te gouverne.  Quand tu déplores ce beau monde-là, tu le regardes bien moins au visage qu'à la bourse."")",-,0.0
"('#colombine', 'Mais sérieusement, crois-tu ne pouvoir être Misanthrope, sans déroger à ton Arlequinisme ?')",-,0.0
"('#arlequin', ""Non vraiment, un Misanthrope est un homme d'esprit, une fois, et tout le monde sait que je ne suis qu'un sot."")",-,0.0
"('#colombine', ""Tu n'es pas glorieux, à ce que je vois."")",-,0.0
"('#arlequin', ""Oh, ma foi, si tous les sots rougissaient de l'être, on ne rencontrerait dans les rues que des visages d'écarlate."")",-,0.0
"('#colombine', 'Parlons un peu raison.')",-,0.0
"('#arlequin', ""Parlons plutôt un langage que tout le monde entende : mais s'il s'agit d'argumenter, me voilà sur mes bancs.  Allons."")",-,0.0
"('#colombine', 'Vous êtes un sot, dites-vous ?')",-,0.0
"('#arlequin', 'Concedo majorem.')",-,0.0
"('#colombine', ""Or est-il qu'il y a plusieurs pièces où vous faites l'homme d'esprit : donc pour être un sot vous ne laissez pas de pouvoir fort bien jouer le Misanthrope."")",-,0.0
"('#arlequin', ""Nego consequentiam, et retorqueo argumentum.  Vous êtes une salope : il y a des pièces où vous faites la femme d'importance : Ergo vous n'êtes pas une salope.  Voilà un beau raisonnement !"")",-,0.0
"('#colombine', ""Mais ne fais-tu pas l'apothicaire dans l'Empereur de la lune ?"")",-,0.0
"('#arlequin', ""Il est vrai qu'il faut un esprit bien profond, pour mettre adroitement un lavement bien en place !"")",-,0.0
"('#colombine', ""Ne fais-tu pas l'Avocat, le Procureur, le Baron, le Marquis ?"")",-,0.0
"('#arlequin', ""Et parmi les avocats, les procureurs, les barons, les marquis, n'y a-t-il point de sots ?  Tiens, ma pauvre Colombine, ne nous abusons point.  Feuilletons toutes les Annales arlequiniques, repassons sur les faits et gestes de tous les Arlequins du monde, je te défie de trouver un misanthrope.  Nous sommes de bons petits hommes, qui faisons gracieusement une culbute, nous soupirons tendrement pour une belle marmitonne comme toi, nous faisons éloquemment le panégyrique d'une bonne soupe, et déployons avec énergie la cherté du vin et du fromage de Milan.  Mais n'en demande pas davantage : c'est là le non plus ultra de notre savoir faire."")",-,0.0
"('#colombine', ""Trêve de modestie.  Je te réponds moi que tu te tireras fort bien du rôle qu'on t'a donné. "")",-,0.0
