,quinault-alceste,quinault-proserpine,Cost,Operation Type
0,"('#la-nymphe-de-la-seine', ""LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  On n'entend plus d'Oiseau qui chante,  On ne voit plus de Fleurs qui naissent sous nos pas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  L'herbe naissante  Paraît mourante,  Tout languit avec moi dans ces lieux plein d'appas :  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Serai-je toujours languissante  Dans une si cruelle attente ?  LE HÉROS que j'attends, ne reviendra-t-il pas ?  Bruit de Guerre. Quel bruit de guerre m'épouvante ?  Quelle Divinité va descendre ici-bas. "")",,1.0,Insertion
1,"('#la-nymphe-de-la-seine', ""Hélas ! Superbe Gloire, hélas !  Ne dois-tu point être contente !  LE HEROS que j'attends, ne reviendra-t-il pas ?  Il ne te suit que trop dans l'horreur des Combats ;  Laisse en paix un moment sa Valeur triomphante  LE HEROS que j'attends, ne reviendra-t-il pas ? "")","('#la-paix', ""Héros, dont la valeur étonne l'univers, Ah ! Quand briserez-vous nos fers ? La discorde nous tient ici sous sa puissance ; La barbare se plaît à voir couler nos pleurs ; Soyez touché de nos malheurs, Vous êtes dans nos maux notre unique espérance ; Héros, dont la valeur étonne l'univers, Ah quand briserez-vous nos fers ! La suite de la Paix répète ces deux derniers vers. La haine, la Rage, les Chagrins, la Jalousie, le Dépit, le Désespoir, et toute la suite de la Discorde, témoignent les douceurs qu'ils trouvent dans l'esclavage où ils ont réduit la Paix."")",0.39,Substitution
2,"('#la-gloire', ""Pourquoi tant de murmure ? Nymphe, ta plainte est vaine,  Tu ne peux voir sans moi LE HEROS que tu sers,  Si son éloignement te coûte tant de peine,  Il récompense assez les douceurs que tu perds,  Vois ce qu'il fait pour Toi, quand la Gloire l'emmène ;  Vois comme sa Valeur a soumis à la Seine  Le Fleuve le plus fier qui soit dans l'Univers. "")","('#la-discorde', ""Soupirez, triste paix, malheureuse captive, Gémissez, et n'espérez-pas Qu'un héros que j'engage en de nouveaux combats Écoute votre voix plaintive. Plus il moissonne de lauriers, Plus j'offre de matière à ses travaux guerriers. J'anime les vaincus d'une nouvelle audace ; J'oppose à la vive chaleur De son indomptable valeur Mille fleuves profonds, cent montagnes de glace. La victoire empressée à conduire ses pas Se prépare à voler aux plus lointains climats ; Plus il la suit, plus il la trouve belle ; Il oublie aisément pour elle La paix et ses plus doux appas."")",0.0,Match
3,"('#la-nymphe-de-la-seine', 'On ne voit plus ici paraître  Que des Ornements imparfaits ;  Ah ! Rends-nous notre AUGUSTE MAITRE,  Tu nous rendras tous nos attraits. ')","('#la-paix #suite-de-la-paix', 'Ô rigueurs inhumaines ! Faut-il ne voir jamais finir le triste cours De nos malheurs, et de nos peines ?')",1.14,Substitution
4,,"('#la-discorde #suite-de-la-discorde', ""Vos plaintes seront vaines N'espérez jamais de secours."")",1.0,Deletion
5,,"('#la-paix #suite-de-la-paix', 'Quel tourment de languir toujours Sous de cruelles chaînes !')",1.0,Deletion
6,,"('#la-discorde #suite-de-la-discorde', ""Vos plaintes seront vaines N'espérez jamais de secours. On entend un bruit de trompettes et de timbales."")",1.0,Deletion
7,,"('#la-discorde', ""Ce bruit que la victoire en ces lieux fait entendre. M'avertit qu'elle y va descendre. Quel plaisir de lui faire voir Mon ennemie au désespoir ! La victoire descend, elle est accompagnée d'un grand nombre de victoires, et de héros."")",1.0,Deletion
8,"('#la-gloire', ""Il revient, et tu dois m'en croire ;  Je lui sers de guide avec soin :  Puisque tu vois la Gloire,  Ton Héros n'est pas loin.  Il laisse respirer tout le Monde qui tremble ;  Soyons ici d'accord pour combler ses désirs. "")","('#la-victoire', 'Venez aimable paix, le vainqueur vous appelle, La victoire devient votre guide fidèle ; Venez dans un heureux séjour. Vous, discorde affreuse et cruelle, Portez ses fers à votre tour.')",0.41,Substitution
9,,"('#la-victoire #suite-de-la-victoire', ""Venez, aimable paix, le vainqueur vous appelle. La suite de la Victoire déchaîne la Paix et les divinités qui l'accompagnent, et enchaîne la Discorde et sa suite."")",1.0,Deletion
10,"('#ensemble', ""Qu'il est doux d'accorder ensemble  La Gloire, et les Plaisirs. "")","('#la-paix #suite-de-la-paix', 'Ah ! Quel bonheur charmant !')",0.61,Substitution
11,,"('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')",1.0,Deletion
