,crebillon-catilina,voltaire-rome-sauvee,Cost,Operation Type
0,"('#catilina', ""Cesse de t'effrayer du sort qui me menace : Plus j'y vois de périls, plus je me sens d'audace ; Et l'approche du coup qui vous fait tous trembler, Loin de la ralentir, sert à la redoubler. Crois-moi, sois sans détour pour un ami qui t'aime. Dans le fond de ton coeur je lis mieux que toi-même, Lentulus ; et le mien ne peut voir sans pitié Ce qu'un ambitieux coûte à ton amitié. Ce tyran des romains, l'amour de la patrie, Te trompe, et se déguise en frayeur pour ma vie. Est-ce à moi d'abuser du penchant malheureux Qui te fait une loi de tout ce que je veux ? Issu des Scipions, tu crains qu'à ta mémoire On ne refuse un jour place dans leur histoire ; Et le rang de préteur, qui te lie au sénat, Trouble en un conjuré le coeur du magistrat. Tu crains pour Rome enfin ; voilà ce qui t'arrête, Quand tu ne crois ici craindre que pour ma tête. Va, de trop de remords je te vois combattu, Pour te ravir l'honneur d'un retour de vertu."")","('#catilina', ""Orateur insolent, qu'un vil peuple seconde, Assis au premier rang des souverains du monde, Tu vas tomber du faîte où Rome t'a placé. Inflexible Caton, vertueux insensé ! Ennemi de ton siècle, esprit dur et farouche, Ton terme est arrivé, ton imprudence y touche. Fier sénat de tyrans qui tiens le monde aux fers, Tes fers sont préparés, tes tombeaux sont ouverts. Que ne puis-je en ton sang, impérieux Pompée, éteindre de ton nom la splendeur usurpée ! Que ne puis-je opposer à ton pouvoir fatal Ce César si terrible, et déjà ton égal ! Quoi ! César, comme moi factieux dès l'enfance, Avec Catilina n'est pas d'intelligence ? Mais le piège est tendu ; je prétends qu'aujourd'hui Le trône qui m'attend soit préparé par lui. Il faut employer tout, jusqu'à Cicéron même, Ce César que je crains, mon épouse que j'aime : Sa docile tendresse, en cet affreux moment, De mes sanglants projets est l'aveugle instrument. Tout ce qui m'appartient doit être mon complice. Je veux que l'amour même à mon ordre obéisse. Titres chers et sacrés, et de père, et d'époux, Faiblesses des humains, évanouissez-vous. Soldats dans l'enfoncement."")",0.2,Substitution
1,,"('#catilina', 'Eh bien ! cher Céthégus, tandis que la nuit sombre Cache encor nos desseins et Rome, dans son ombre, Avez-vous réuni les chefs des conjurés ?')",1.0,Deletion
2,"('#lentulus', ""Catilina, laissons un discours qui m'offense ; Tes soupçons sont toujours trop près de ta prudence. À force de vouloir approfondir un coeur, Un faux jour a souvent produit plus d'une erreur ; Et les plus éclairés ont peine à s'en défendre : Mais un chef de parti ne doit point s'y méprendre. D'entre les conjurés distingue tes amis, Et qu'un discours sans fard leur soit du moins permis. De toutes les grandeurs qui feront ton partage Je ne t'ai demandé que ce seul avantage ; Laisse-m'en donc jouir : mon amitié pour toi N'a que trop signalé sa constance et sa foi. Dis-moi, si ta fierté jusque-là peut descendre, De tant d'excès affreux ce que tu peux prétendre. Pourquoi faire égorger Nonius cette nuit ? Et de ce meurtre enfin quel peut être le fruit ?"")","('#cethegus', ""Ils viendront dans ces lieux du consul ignorés, Sous ce portique même, et près du temple impie Où domine un sénat, tyran de l'Italie. Ils ont renouvelé leurs serments et leur foi. Mais tout est-il prévu ? César est-il à toi ? Seconde-t-il enfin Catilina qu'il aime ?"")",0.36,Substitution
3,,"('#catilina', ""Cet esprit dangereux n'agit que pour lui-même."")",1.0,Deletion
4,,"('#cethegus', 'Conspirer sans César !')",1.0,Deletion
5,"('#catilina', ""Celui d'épouvanter le premier téméraire Qui, de mes volontés secret dépositaire, Osera comme lui balancer un moment, Et s'exposer aux traits de mon ressentiment. Lentulus dans le fond doit assez me connaître Pour croire que je n'ai sacrifié qu'un traître ; Et que ces cruautés, qui lui font tant d'horreur, Sont de ma politique, et non pas de mon coeur. Ce qui semble forfait dans un homme ordinaire, En un chef de parti prend un aspect contraire ; Vertueux ou méchant au gré de son projet, Il doit tout rapporter à cet unique objet : Qu'il soit cru fourbe, ingrat, parjure, impitoyable, Il sera toujours grand s'il est impénétrable, S'il est prompt à plier, ainsi qu'à tout oser, Et qu'aux yeux du public il sache en imposer. Il doit se conformer aux mours de ses complices, Porter jusqu'à l'excès les vertus et les vices, Laisser de son renom le soin à ses succès. Tel on déteste avant que l'on adore après. Je ne vois sous mes lois qu'un parti redoutable, À qui je dois me rendre encor plus formidable : S'il ne se fût rempli que d'hommes vertueux, Je n'aurais pas de peine à l'être encor plus qu'eux. Hors Céthégus et toi, dignes de mon estime, Le reste est un amas élevé dans le crime, Qu'on ne peut contenir sans les faire trembler, Et qui n'aiment qu'autant qu'on sait leur ressembler. Un chef autorisé d'une juste puissance Soumet tout d'un coup d'oeil à son obéissance ; Mais, dès qu'il est armé pour troubler un état, Il trouve un compagnon dans le moindre soldat ; Et l'art de le soumettre exige un art suprême, Plus difficile encor que la victoire même."")","('#catilina', ""Ah ! je l'y veux forcer. Dans ce piège sanglant je veux l'embarrasser. Mes soldats, en son nom, vont surprendre Préneste ; Je sais qu'on le soupçonne, et je réponds du reste. Ce consul violent va bientôt l'accuser ; Pour se venger de lui, César peut tout oser. Rien n'est si dangereux que César qu'on irrite ; C'est un lion qui dort, et que ma voix excite. Je veux que Cicéron réveille son courroux, Et force ce grand homme à combattre pour nous."")",0.0,Match
6,"('#lentulus', ""Songe à les subjuguer sans te rendre odieux. Mais avant que le jour nous surprenne en ces lieux, Au temple de Tellus dis-moi ce qui t'appelle ; Son grand-prêtre Probus te sera-t-il fidèle ? Quoique rien en ces lieux ne borne son pouvoir, Je ne sais si Probus remplira notre espoir. Il est vrai qu'à ses soins nous devons cet asile, Dont il nous rend l'accès aussi sûr que facile ; Mais au nouveau consul le grand-prêtre est lié Par l'intérêt, le sang, l'orgueil, ou l'amitié. Lorsqu'à des conjurés ses pareils s'associent, C'est par des trahisons que tous se justifient. Aujourd'hui le sénat doit s'assembler ici ; Ce n'est pas cependant mon plus cruel souci : Je crains, je l'avouerai, les fureurs de Fulvie, Et je crains encor plus ton amour pour Tullie, Fille d'un ennemi dangereux et jaloux, De Cicéron enfin, l'objet de ton courroux. Eh ! Comment, dans un coeur qu'un si grand soin entraîne, Peux-tu concilier tant d'amour et de haine ? L'amour, pour tes pareils, aurait-il des appas ?"")","('#cethegus', 'Mais Nonnius enfin dans Préneste est le maître ; Il aime la patrie, et tu dois le connaître : Tes soins pour le tenter ont été superflus. Que faut-il décider du sort de Nonnius ?')",0.0,Match
7,"('#catilina', ""Ah ! Si je le ressens, je n'y succombe pas. Qu'un grand coeur soit épris d'une amoureuse flamme, C'est l'ouvrage des sens, non le faible de l'âme ; Mais dès que par la gloire il peut être excité, Cette ardeur n'a sur lui qu'un pouvoir limité : C'est ainsi que le mien est épris de Tullie ; Ses grâces, sa beauté, sa fière modestie, Tout m'en plaît, Lentulus ; mais cette passion Est moins amour en moi qu'excès d'ambition. Malgré tous les objets dont son orgueil se pare, Tullie est-ce que Rome eut jamais de plus rare ; Je vois à son aspect tout un peuple enchanté, Et c'est de tant d'attraits le seul qui m'ait tenté. Sans la foule des cours qui s'empressent pour elle Tullie à mes regards n'eût point paru si belle ; Mais je n'ai pu souffrir que quelque audacieux Vînt m'enlever un bien qu'on croit si précieux. Enfin je l'ai conquis ; et sans cette victoire Je croirais aujourd'hui que tout manque à ma gloire. Ce n'est pas que l'amour en soit le seul objet ; Loin que de mes desseins il suspende l'effet, Cette flamme, où tu crois que tout mon coeur s'applique, Est un fruit de ma haine et de ma politique : Si je rends Cicéron favorable à mes feux, Rien ne peut désormais s'opposer à mes voeux ; Je tiendrai sous mes lois et la fille et le père, Et j'y verrai bientôt la république entière. Je sais que ce consul me hait au fond du coeur, Sans oser d'un refus insulter ma faveur ; Il craint en moi le peuple, et garde le silence. Mais, tandis qu'entre nous Rome tient la balance, J'ai cru devoir toujours poursuivre avec éclat Un hymen qui le perd dans l'esprit du sénat. Au temple de Tellus voilà ce qui m'appelle. Probus, qu'à Cicéron je veux rendre infidèle, M'y sert à ménager des traités captieux, Où sans rien terminer je les trompe tous deux. Mais, loin de confier nos desseins au grand-prêtre, De ses propres secrets je suis déjà le maître. J'ai flatté son orgueil par le pontificat ; J'ai parlé pour lui seul en public, au sénat, Tandis que pour César, aidé de Servilie, J'engageais Cicéron, trompé par Césonie. Enfin Probus sait trop que, s'il m'osait trahir, Il ne me faut qu'un mot pour le faire périr ; Même ici par ses soins je dois revoir Tullie. Ne crains point cependant le courroux de Fulvie ; Son coeur fut trop à moi pour en redouter rien."")","('#catilina', ""Je t'entends ; tu sais trop que sa fille m'est chère. Ami, j'aime Aurélie en détestant son père. Quand il sut que sa fille avait conçu pour moi Ce tendre sentiment qui la tient sous ma loi ; Quand sa haine impuissante, et sa colère vaine, Eurent tenté sans fruit de briser notre chaîne ; A cet hymen secret quand il a consenti, Sa faiblesse a tremblé d'offenser son parti. Il a craint Cicéron ; mais mon heureuse adresse Avance mes desseins par sa propre faiblesse. J'ai moi-même exigé, par un serment sacré, Que ce noeud clandestin fût encore ignoré. Céthégus et Sura sont seuls dépositaires De ce secret utile à nos sanglants mystères. Le palais d'Aurélie au temple nous conduit ; C'est là qu'en sûreté j'ai moi-même introduit Les armes, les flambeaux, l'appareil du carnage. De nos vastes succès mon hymen est le gage. Vous m'avez bien servi ; l'amour m'a servi mieux. C'est chez Nonnius même, à l'aspect de ses dieux, Sous les murs du sénat, sous sa voûte sacrée, Que de tous nos tyrans la mort est préparée. Vous, courez dans Préneste, où nos amis secrets Ont du nom de César voilé nos intérêts ; Que Nonnius surpris ne puisse se défendre. Vous, près du Capitole, allez soudain vous rendre. Songez qui vous servez, et gardez vos serments. Toi, conduis d'un coup d'oeil tous ces grands mouvements. Aux conjurés qui sont dans le fond. À Céthégus."")",0.0,Match
8,"('#lentulus', ""Elle a trop pénétré l'artifice du tien Pour ne se point venger de tant de perfidie : Elle est femme, jalouse, imprudente, hardie ; Elle sait tout ; bientôt nous serons découverts, Et je n'entrevois plus que de tristes revers. Que faisons-nous dans Rome ? Et sur quelle espérance Parmi tant d'ennemis avoir tant d'assurance ? Contre César et toi les clameurs de Caton Ne cessent d'irriter Antoine et Cicéron : Ces deux consuls, tous deux amis de la patrie, Brûlant de cet amour que tu nommes manie, Peut-être trop instruits de nos desseins secrets Préviendront d'un seul coup ta haine et tes projets. Déjà de toutes parts je vois grossir l'orage : Crassus devient suspect ; t'en faut-il davantage ? Et tu n'ignores pas que depuis plus d'un jour Les lettres de Pompée annoncent son retour ; Que Pétréius, suivi de nombreuses cohortes, Bientôt de Rome même occupera les portes. César, dont le génie égale le grand coeur, T'accuse d'imprudence et de trop de lenteur."")","('#aurelie', ""Ah ! Calmez les horreurs dont je suis poursuivie, Cher époux, essuyez les larmes d'Aurélie. Quel trouble, quel spectacle, et quel réveil affreux ! Je vous suis en tremblant sous ces murs ténébreux. Ces soldats que je vois redoublent mes alarmes. On porte en mon palais des flambeaux et des armes ! Qui peut nous menacer ? Les jours de Marius, De Carbon, de Sylla, sont-ils donc revenus ? De ce front si terrible éclaircissez les ombres. Vous détournez de moi des yeux tristes et sombres. Au nom de tant d'amour, et par ces noeuds secrets Qui joignent nos destins, nos coeurs, nos intérêts, Au nom de notre fils, dont l'enfance est si chère, (Je ne vous parle point des dangers de sa mère, Et je ne vois, hélas ! Que ceux que vous courez) : Ayez pitié du trouble où mes sens sont livrés : Expliquez-vous."")",0.0,Match
9,"('#catilina', ""Oui, je sais que César désire ma retraite, Pour briguer au sénat l'honneur de ma défaite, Pour voir nos légions marcher sous ses drapeaux, Et pour profiter seul du fruit de mes travaux ; Mais, si le sort répond à l'espoir qui m'anime, Je ferai de César ma première victime : Il est trop jeune encor pour me donner la loi, Et je n'en veux ici recevoir que de moi. Qu'ai-je à craindre dans Rome, où le peuple m'adore, Où je veux immoler ce sénat que j'abhorre ? Le péril est égal ainsi que la fureur ; Et j'ai de plus sur eux ma gloire et ma valeur. L'exemple de Sylla n'a que trop fait connaître Combien il est aisé de leur donner un maître ; Et ce Pompée enfin, si fameux aujourd'hui, Tremblera devant moi comme il fit devant lui. Manlius, avec nous toujours d'intelligence, Aussi prompt que toi-même à servir ma vengeance, Avec sa légion doit joindre Célius, Et Céson avec lui rejoindre Manlius. Sunnon, des fiers gaulois le ministre fidèle, Qui les voit menacés d'une guerre nouvelle, Habile à profiter de celle des romains, Doit de tout son pouvoir appuyer nos desseins. Cesse de m'opposer une crainte frivole ; Dès demain je serai maître du capitole : C'est du haut de ces lieux que, tenant Rome aux fers, Je veux avec les dieux partager l'univers. Rome, je n'ai que trop fléchi sous ta puissance ; Mais je te punirai de mon obéissance. Pardonne ce courroux à la noble fierté D'un coeur né pour l'empire, ou pour la liberté."")","('#catilina', ""Sachez que mon nom, ma fortune, Ma sûreté, la vôtre, et la cause commune, Exigent ces apprêts qui causent votre effroi. Si vous daignez m'aimer, si vous êtes à moi, Sur ce qu'ont vu vos yeux observez le silence. Des meilleurs citoyens j'embrasse la défense. Vous voyez le sénat, le peuple divisés, Une foule de rois l'un à l'autre opposés : On se menace, on s'arme ; et, dans ces conjonctures, Je prends un parti sage, et de justes mesures."")",0.0,Match
