,moliere-amants-magnifiques,quinault-fetes-amour-bacchus,Cost,Operation Type
0,"('#clitidas', 'Il est attaché à ses pensées ?')",,1.0,Insertion
1,"('#sostrate', ""Non, Sostrate, je ne vois rien où tu puisses avoir recours, et tes maux sont d'une nature à ne te laisser nulle espérance d'en sortir."")",,1.0,Insertion
2,"('#clitidas', 'Il raisonne tout seul.')",,1.0,Insertion
3,"('#sostrate', 'Hélas !')",,1.0,Insertion
4,"('#clitidas', 'Voilà des soupirs qui veulent dire quelque chose, et ma conjecture se trouvera véritable.')",,1.0,Insertion
5,"('#sostrate', ""Sur quelles chimères, dis-moi, pourrais-tu bâtir quelque espoir, et que peux-tu envisager, que l'affreuse longueur d'une vie malheureuse, et des ennuis à ne finir que par la mort."")",,1.0,Insertion
6,"('#clitidas', 'Cette tête-là est plus embarrassée que la mienne ?')",,1.0,Insertion
7,"('#sostrate', ""Ah !  Mon coeur, ah !  Mon coeur, où m'avez-vous jeté ?"")",,1.0,Insertion
8,"('#clitidas', 'Serviteur, Seigneur Sostrate.')",,1.0,Insertion
9,"('#sostrate', 'Où vas-tu, Clitidas ?')",,1.0,Insertion
10,"('#clitidas', ""Mais vous plutôt, que faites-vous ici, et quelle secrète mélancolie, quelle humeur sombre, s'il vous plaît, vous peut retenir dans ces bois, tandis que tout le monde a couru en foule à la magnificence de la fête, dont l'amour du prince Iphicrate vient de régaler sur la mer la promenade des Princesses ; tandis qu'elles y ont reçu des cadeaux merveilleux de musique et de danse, et qu'on a vu les rochers et les ondes se parer de Divinités pour faire honneur à leurs attraits ?"")",,1.0,Insertion
11,"('#sostrate', ""Je me figure assez, sans la voir, cette magnificence, et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de fêtes, que j'ai cru à propos de ne pas augmenter le nombre des importuns."")",,1.0,Insertion
12,"('#clitidas', ""Vous savez que votre présence ne gâte jamais rien, et que vous n'êtes point de trop, en quelque lieu que vous soyez.  Votre visage est bien venu partout, et il n'a garde d'être de ces visages disgraciés, qui ne sont jamais bien reçus des regards souverains.  Vous êtes également bien auprès des deux princesses ; et la mère et la fille vous font assez connaître l'estime qu'elles font de vous pour n'appréhender pas de fatiguer leurs yeux ; et ce n'est pas cette crainte, enfin, qui vous a retenu."")",,1.0,Insertion
13,"('#sostrate', ""J'avoue que je n'ai pas naturellement grande curiosité pour ces sortes de choses."")",,1.0,Insertion
14,"('#clitidas', ""Mon_Dieu !  Quand on n'aurait nulle curiosité pour les choses, on en a toujours pour aller où l'on trouve tout le monde, et quoi que vous puissiez dire, on ne demeure point tout seul pendant une fête à rêver parmi des arbres comme vous faites, à moins d'avoir en tête quelque chose qui embarrasse."")",,1.0,Insertion
15,"('#sostrate', ""Que voudrais-tu que j'y pusse avoir ?"")",,1.0,Insertion
16,"('#clitidas', ""Ouais, je ne sais d'où cela vient, mais il sent ici l'amour ; ce n'est pas moi.  Ah !  Par ma foi c'est vous."")",,1.0,Insertion
17,"('#sostrate', 'Que tu es fou, Clitidas.')",,1.0,Insertion
18,"('#clitidas', ""Je ne suis point fou, vous êtes amoureux, j'ai le nez délicat, et j'ai senti cela d'abord."")",,1.0,Insertion
19,"('#sostrate', 'Sur quoi prends-tu cette pensée.')",,1.0,Insertion
20,"('#clitidas', 'Sur quoi ?  Vous seriez bien étonné si je vous disais encore de qui vous êtes amoureux.')",,1.0,Insertion
21,"('#sostrate', 'Moi ?')",,1.0,Insertion
22,"('#clitidas', ""Oui, je gage que je vais deviner tout à l'heure celle que vous aimez.  J'ai mes secrets aussi bien que notre astrologue, dont la princesse Aristione est entêtée ; et s'il a la science de lire dans les astres la fortune des hommes, j'ai celle de lire dans les yeux le nom des personnes qu'on aime.  Tenez-vous un peu, et ouvrez les yeux.  É, par soi, é, r, i, ri, éri, p, h, i, phi, ériphi ; l, e, le : Ériphile.  Vous êtes amoureux de la Princesse Ériphile."")","('#le-choeur', ""À moi, Monsieur, à moi de grâce, à moi Monsieur, Un livre, s'il vous plaît, à votre serviteur."")",0.87,Substitution
23,"('#sostrate', ""Ah !  Clitidas ; j'avoue que je ne puis cacher mon trouble, et tu me frappes d'un coup de foudre."")",,1.0,Insertion
24,"('#clitidas', 'Vous voyez si je suis savant ?')",,1.0,Insertion
25,"('#sostrate', 'Hélas !  Si, par quelque aventure, tu as pu découvrir le secret de mon coeur, je te conjure au moins de ne le révéler à qui que ce soit, et surtout de le tenir caché à la belle princesse dont tu viens de dire le nom.')",,1.0,Insertion
26,"('#clitidas', ""Et sérieusement parlant, si dans vos actions j'ai bien pu connaître, depuis un temps, la passion que vous voulez tenir secrète, pensez-vous que la princesse Ériphile puisse avoir manqué de lumière pour s'en apercevoir ?  Les belles, croyez-moi, sont toujours les plus clairvoyantes à découvrir les ardeurs qu'elles causent, et le langage des yeux et des soupirs se fait entendre mieux qu'à tout autre à celles à qui il s'adresse."")","('#homme-du-bel-air', 'Monsieur, distinguez nous parmi les gens qui crient, Quelques livres ici, les Dames vous en prient.')",0.64,Substitution
27,"('#sostrate', ""Laissons-la, Clitidas, laissons-la voir si elle peut dans mes soupirs et mes regards l'amour que ses charmes m'inspirent, mais gardons bien que par nulle autre voie, elle en apprenne jamais rien."")","('#autre-homme-du-bel-air', ""Hola, Monsieur, Monsieur, ayez la charité  D'en jeter de nôtre côté."")",1.35,Substitution
28,"('#clitidas', ""Et qu'appréhendez-vous ?  Est-il possible que ce même Sostrate qui n'a pas craint ni Brennus, ni tous les Gaulois et dont le bras a si glorieusement contribué à nous défaire de ce déluge de barbares qui ravageait la Grèce ?  Est-il possible, dis-je, qu'un homme si assuré dans la guerre soit si timide en amour, et que je le voie trembler à dire seulement qu'il aime ? "")",,1.0,Insertion
29,"('#sostrate', 'Ah !  Clitidas, je tremble avec raison, et tous les Gaulois du monde ensemble sont bien moins redoutables, que deux beaux yeux pleins de charmes.')",,1.0,Insertion
30,"('#clitidas', ""Je ne suis pas de cet avis, et je sais bien pour moi qu'un seul Gaulois l'épée à la main, me ferait beaucoup plus trembler que cinquante beaux yeux ensemble les plus charmants du monde.  Mais dites-moi un peu, qu'espérez-vous faire ?"")",,1.0,Insertion
31,"('#sostrate', 'Mourir sans déclarer ma passion.')",,1.0,Insertion
32,"('#clitidas', ""L'espérance est belle.  Allez, allez, vous vous moquez, un peu de hardiesse réussit toujours aux amants ; il n'y a en amour que les honteux qui perdent, et je dirais ma passion à une Déesse moi, si j'en devenais amoureux."")","('#femme-du-bel-air', ""Mon_Dieu ! Qu'aux personnes bien faites On sait peu rendre honeur céans ?"")",1.11,Substitution
33,"('#sostrate', 'Trop de choses, hélas !  Condamnent mes feux à un éternel silence.')",,1.0,Insertion
34,"('#clitidas', 'Hé quoi ?')","('#autre-femme-du-bel-air', ""Ils n'ont des livres et des bancs Que pour Mesdames les Grisettes."")",1.87,Substitution
35,"('#sostrate', ""La bassesse de ma fortune, dont il plaît au Ciel de rabattre l'ambition de mon amour, le rang de la Princesse qui met entre elle et mes désirs une distance si fâcheuse, la concurrence de deux princes appuyés de tous les grands titres qui peuvent soutenir les prétentions de leurs flammes ; de deux princes qui par mille et mille magnificences, se disputent, à tous moments, la gloire de sa conquête, et sur l'amour de qui on attend tous les jours de voir son choix se déclarer, mais plus que tout, Clitidas, le respect inviolable où ses beaux yeux assujettissent toute la violence de mon ardeur."")","('#le-gascon', ""Aho ! L'homme aux libres, qu'on m'en baille, J'ai déjà le poumon usé, Bous boyez que chacun mé raille, Et je fuis escandalisé De boir és mains de la canaille Ce qui m'est par bous refusé."")",0.71,Substitution
36,"('#clitidas', ""Le respect bien souvent n'oblige pas tant que l'amour, et je me trompe fort, ou la jeune princesse a connu votre flamme, et n'y est pas insensible."")",,1.0,Insertion
37,"('#sostrate', ""Ah !  Ne t'avise point de vouloir flatter par pitié le coeur d'un misérable."")",,1.0,Insertion
