dorneval-jugement-de-paris,quinault-cadmus-hermione,Score
"('#mercure', ""Serviteur à Monsieur Gargot. Air 11 : On n'aime point d'ans mes forêts."")",-,0.0
"('#monsieur-gargot', ""Que vois-je ! C'est le Dieu Mercure."")",-,0.0
"('#mercure', 'Je vous amène un bon écot.')",-,0.0
"('#monsieur-gargot', ""C'est quelque galante aventure."")",-,0.0
"('#mercure', 'Non. Jupiter vient en ce jour. Chez vous avec toute sa Cour. Vous y verrez Pallas, Junon,  Vous y verrez Pallas, Junon,  Et la Mère de Cupidon : Dondaine, dondaine, Et mainte autre Dondon. Olympienne. Nous y venons célébrer les noces de Thétis et de Pelée. Air 66 : Dondaine, Dondaine.')",-,0.0
"('#monsieur-gargot', ""Le Grand Jupiter fait trop d'honneur à ma Guinguette.  Je vais me mettre en quatre, pour contenter une si belle compagnie."")",-,0.0
"('#mercure', ""Ils ont déjà dîné.  Ils viennent pour passer ici l'après-dinée, et y souper ensuite. Tenez.  Voilà l'ordre du repas.  Mettez vite la main à la pâte. Il lui donne un papier."")",-,0.0
"('#monsieur-gargot', 'Je ne perdrai point de temps.  Holà !  Garçons !  Vous placerez ces deux Bourgeoises avec ces deux Officiers dans la chambre sur le devant.')",-,0.0
"('#mercure', ""L'ordre est judicieux."")",-,0.0
"('#monsieur-gargot', 'Ils avaient retenu celle-ci qui est plus particulière.')",-,0.0
"('#mercure', 'Ils choisissent bien les logements.  Ce sont apparemment deux Maréchaux des Logis.')",-,0.0
"('#monsieur-gargot', 'Garçons !  Mettez du vin au frais.')",-,0.0
"('#mercure', ""Oui ; mais point de chasse-cousin, s'il vous plaît."")",-,0.0
"('#monsieur-gargot', ""Oh !  Nous n'avons que du bon."")",-,0.0
"('#mercure', ""Eh !  Mon enfant, à qui vendez-vous vos coquilles ?  Ce n'est pas le vin qu'on vient chercher ici."")",-,0.0
"('#monsieur-gargot', ""D'accord, mais j'en ai d'excellent."")",-,0.0
"('#mercure', ""Il faudra qu'il soit exquis pour piquer des gosiers accoutumés au nectar.  Un peu trop de douceur ou d'âcreté les dégoûtera."")",-,0.0
"('#monsieur-gargot', ""Loin de trouver mes vins trop acres, Je réponds que Messieurs les Dieux. S'en retourneront tous aux Cieux Plus ivres que des Fiacres. De l'âcreté ! Air : Quand le péril est agréable."")",-,0.0
"('#mercure', ""Ma foi, le Sexe féminin Aujourd'hui fait honneur au vin, Lon-lan la, derirette. Si cela arrive, les Déesses seront aussi bien conditionnées, sur ma parole. Air 52 : Lon-lan-la, derirette."")",-,0.0
"('#monsieur-gargot', 'Qui le voit mieux que nous ici ? Lonlan la, deriri.')",-,0.0
"('#mercure', 'Mais, voici Jupiter.')",-,0.0
"('#jupiter', ""Allons, allons, allons À la Guinguette, allons. De la joie, mes enfants, de la joie. Je suis en train aujourd'hui.  Divertissons-nous. Du vin, du vin comme de l'eau. Fin de l'Air 102 : Nanon dormait."")",-,0.0
"('#monsieur-gargot', 'Vous en aurez bientôt de frais.')",-,0.0
"('#jupiter', ""Et des violons, n'y en a-t-il pas ici ?"")",-,0.0
"('#monsieur-gargot', ""D'excellents."")",-,0.0
"('#jupiter', 'Bon.  Tant mieux.  Je veux danser, et me réjouir comme un compère.')",-,0.0
"('#monsieur-gargot', 'Ce Jupiter me paraît bonhomme : Je le crois même un peu bête.')",-,0.0
"('#mercure', 'Vous lui faites grâce du peu.')",-,0.0
"('#jupiter', ""Dansons.  Chantons.  Morbleu !  Qu'il est doux de laisser sa qualité à la porte d'une Guinguette, et de goûter des plaisirs à la croque-au-sel !"")",-,0.0
"('#mercure', 'Aussi, cela se fait assez souvent.')",-,0.0
"('#jupiter', 'Mais, Dame Vénus, je ne vois point ici votre fils.  Où est-il donc, ce petit coquin ?')",-,0.0
"('#venus', 'Je ne sais.  Il ne suit que sa fantaisie.')",-,0.0
"('#mercure', ""Vous ne l'attendrez pas longtemps.  Le voici."")",-,0.0
"('#venus', ""Hé, d'où venez-vous donc, petit fripon."")",-,0.0
"('#l-amour', 'Oh, dame !  Chacun a ses affaires.')",-,0.0
"('#venus', ""Comme vous répondez !  Qu'avez-vous donc ?  Quelle mine vous faites ?"")",-,0.0
"('#l-amour', ""Je ne saurais la faire meilleure, tant que je verrai devant moi ce benêt d'Hymen.  C'est ma bête."")",-,0.0
"('#l-hymen', ""En vain vous faites la grimace ; Je triomphe en cet heureux jour. Cédez le pas de bonne grâce. Air 2 : Quand je tiens de ce jus d'Octobre."")",-,0.0
"('#l-amour', ""Cédez-le vous-même à l'Amour. Ah ! Voyez donc comme il est fait ! Avec ton air plat et discret. Tu fais trop le Dieu d'importance. Y-avance , y-avance, y-avance, Avec ton habit d'ordonnance. Ha, ha, ha !  Regardez un peu ce nigaud, avec sa face de papier mâché. Riant. Air 85 : Y-avance, y-avance."")",-,0.0
"('#jupiter', 'Mes enfants, point de querelle.')",-,0.0
"('#l-amour', ""Je suis fâché d'être venu ici, puisque je l'y trouve."")",-,0.0
"('#l-hymen', ""Malgré cette humeur vaine, Dans plus d'une maison, Boudrillon, Vous ne pouvez,, sans peine, Entrer que sous mon nom, Boudrillon. Petit boudrillon, Boudrillon, dondaine, Petit boudrillon, Boudrillon, dondon. Tout beau, Seigneur Cupidon.  Ma compagnie vous fait honneur, au moins. Air 122 : Petit Boudrillon."")",-,0.0
"('#l-amour', ""Il est vrai que vous êtes un prête-nom.  Mais sans moi, mon ami, vous auriez l'air d'attendre longtemps la pratique."")",-,0.0
"('#l-hymen', 'Pourquoi donc, sans vous ?')",-,0.0
