,chevalier-amours-de-calotin,palaprat-le-muet,Cost,Operation Type
0,"('#le-marquis', ""Enfin me voici donc dans l'Hôtel du Marais Et dessus un théâtre où je ne viens jamais."")","('#frontin', ""Ouais, mon Maître serait-il déjà entré chez la Comtesse ?  Il n'y a point d'apparence, il est encore un peu jour, et il n'y veut entrer que de nuit ; il faut l'attendre ici, et faire un dernier effort pour l'empêcher de remettre le pied chez cette infidèle.  Son honneur y est trop intéressé, et l'affront qu'elle lui fit hier est de ces choses qui ne se pardonnent jamais.  J'entends quelqu'un, le voici sans doute, faisons semblant d'être ici depuis longtemps."")",1.07,Substitution
1,,"('#simon', ""Bonsoir, Frontin, je t'ai vu entrer dans ce Palais, et je t'ai suivi."")",1.0,Deletion
2,"('#le-baron', ""Et moi, mon cher Marquis, ici je te déclare Que le Palais-Royal me devient aussi rare ; Nul n'y saurait aller, sans se faire draper ! Ah qu'heureux est celui qui s'en peut échapper ! Pour moi, qui n'aime pas à souffrir qu'on me drape, Je veux être berné, si plus on m'y rattrape."")","('#frontin', ""Et que diantre veux-tu de moi ?  Je n'ai pu encore vendre ta chaîne d'or, crains-tu que je ne te la vole ?  Veux-tu que je la rende !  La voici."")",0.68,Substitution
3,,"('#simon', ""Ce n'est pas cela."")",1.0,Deletion
4,,"('#frontin', ""Qu'est ce donc ? N'es-tu pas assez instruit de ce que tu as à faire ?"")",1.0,Deletion
5,,"('#simon', 'Ce que tu veux que je fasse est diablement difficile.')",1.0,Deletion
6,,"('#frontin', 'Il faut avouer, mon pauvre Simon, que tu as la caboche bien dure, je ne crois pas que dans Naples il y ait un plus grand sot que toi.')",1.0,Deletion
7,,"('#simon', ""Sot tant qu'il te plaira."")",1.0,Deletion
8,,"('#frontin', 'Mais est-ce une chose si difficile, dis-moi, de ne point parler ?')",1.0,Deletion
9,,"('#simon', 'Oui difficile, Frontin, et  plus difficile que tu ne crois.')",1.0,Deletion
10,,"('#frontin', 'Pécore !')",1.0,Deletion
11,"('#le-marquis', 'Pourquoi donc ? Qui te peut causer un tel courroux ?')","('#simon', ""Tiens, déjà dans l'hôtellerie où tu m'as mis, en attendant que ton Maître me prenne, j'ai voulu faire le muet pour m'exercer, je m'y attrape à tous moments."")",1.14,Substitution
12,,"('#frontin', 'Butor !')",1.0,Deletion
13,,"('#simon', ""Hier l'hôte demandait la clef de la cave à tous ses gens, je ne pus m'empêcher de l'aller quérir moi-même,"")",1.0,Deletion
14,,"('#frontin', 'Ivrogne !')",1.0,Deletion
15,,"('#simon', ""Ce matin encore une servante m'a surpris comptant les heures, parce que j'avais envie de dîner."")",1.0,Deletion
16,,"('#frontin', 'Gourmand !')",1.0,Deletion
17,,"('#simon', ""Si tu savais ce que c'est d'avoir parlé toute sa vie, et puis tout à coup ne parler plus."")",1.0,Deletion
18,,"('#frontin', 'est vrai que le public y perdra beaucoup, et que tu as de belles choies à dire.')",1.0,Deletion
19,,"('#simon', ""Oh, franchement tu devrais faire entendre à ton Maître qu'il serait mieux servi d'un garçon qui parlerait."")",1.0,Deletion
20,"('#le-baron', ""Pourquoi ? C'est qu'on nous fait tous passer pour des fous. Comte, Duc, et Baron, et Marquis, et Marquise, Ne peuvent s'exempter qu'on ne les tympanise. Nous n'oserions parler, ni desserrer les dents, Qu'on ne nous traite pis que des extravagants. Dès que par notre bouche il passe un mot folâtre, Nous nous voyons d'abord jouer sur le théâtre. Comment ? Quand nous serions sûrement insensés, Nous ne pourrions jamais être mieux redressés."")","('#frontin', ""Ha, voici tes sots raisonnements de l'autre jour, et ne t'ai-je pas dit que Timante s'est mis en tête d'avoir un muet ; qu'il y a huit jours que je lui en cherchais un ; que n'en trouvant point, je me suis avisé de me servir de toi à cause que tu es nouveau débarqué de Sicile, et que personne ne te connaît encore dans Naples ; qu'enfin par son ordre je t'ai fait faire l'habit que tu portes ?"")",0.57,Substitution
21,"('#le-marquis', 'Mais de quoi te plains-tu ?')","('#simon', ""Morbleu !  Je vais peut-être m'attirer quelque malheur. Je ne sais ce que c'est, mais l'argent que tu m'as promis ne me tente pas comme il a accoutumé de me tenter, et faire le muet enfin est un personnage auquel j'ai trop de peine à me résoudre."")",1.38,Substitution
22,"('#le-baron', ""D'un diable de Molière, Dont l'esprit goguenard ne laisse rien derrière, Et réussit si bien dedans tout ce qu'il fait, Qu'il sait donner à tous chacun son petit fait. Nous sommes tous cocus, si nous l'en voulons croire, Appelez-vous cela des vers à notre gloire ? Mais s'il m'en croit, Marquis, loin de nous railler tous, Il se taira, s'il veut éviter mon courroux. Quoi si nous nous souffrons traiter de ces manières, Nous aurons de sa part bientôt les étrivières."")","('#frontin', ""Tu ne devrais pas y hésiter un moment si tu avais le sens commun : entre nous, les choses dont tu m'as fait confidence t'ont fait venir de ton pays, et les bijoux que je t'ai aidé à vendre ici chez les Orfèvres ne disent rien de bon pour toi : ainsi quoique ta fausse barbe te déguise beaucoup, tu ne saurais mieux te cacher qu'en faisant le muet, et en changeant d'habit comme tu as fait de nom."")",0.31,Substitution
23,,"('#simon', ""Mais changer de nom de d'habit sont des choses plus aisées à faire que de s'accoutumer à s'expliquer par signes."")",1.0,Deletion
24,,"('#frontin', ""Ha !  Mon enfant, de toutes les manières de s'énoncer c'est la plus courte, la meilleure, et la moins ennuyeuse.  Plût à Dieu que quantité de nos jeunes gens d'aujourd'hui voulussent la pratiquer pour le repos de nos oreilles !  Vois-tu les signes ont cela d'excellent, ils sont comme les choses, ils disent tout ce que l'on leur fait dire."")",1.0,Deletion
25,,"('#simon', ""Tout coup vaille, m'y voila déterminé."")",1.0,Deletion
26,,"('#frontin', ""Courage, ça tandis que nous voici seuls repassons un peu les leçons que je t'ai données."")",1.0,Deletion
27,,"('#simon', 'Je le veux.')",1.0,Deletion
28,,"('#frontin', ""Je te disais hier que ton Maître te laisserait seul au logis, il faudra qu'à son retour tu lui fasses entendre par signes quelles sortes de gens l'aura demandé, comprends-tu ?"")",1.0,Deletion
29,,"('#simon', 'Fort bien.')",1.0,Deletion
