,corneillep-andromede,quinault-isis,Cost,Operation Type
0,"('#melpomene', ""Arrête un peu ta course impétueuse : Mon théâtre, Soleil, mérite bien tes yeux ; Tu n'en vis jamais en ces lieux La pompe plus majestueuse : J'ai réuni, pour la faire admirer, Tout ce qu'ont de plus beau la France et l'Italie ; De tous leurs arts mes soeurs l'ont embellie : Prête-moi tes rayons pour la mieux éclairer. Daigne à tant de beautés, par ta propre lumière, Donner un parfait agrément, Et rends cette merveille entière En lui servant toi-même d'ornement."")","('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')",0.55,Substitution
1,"('#soleil', ""Charmante muse de la scène, Chère et divine Melpomène, Tu sais de mon destin l'inviolable loi : Je donne l'âme à toutes choses, Je fais agir toutes les causes ; Mais quand je puis le plus, je suis le moins à moi ; Par une puissance plus forte Le char que je conduis m'emporte : Chaque jour sans repos doit et naître et mourir. J'en suis esclave alors que j'y préside ; Et ce frein que je tiens aux chevaux que je guide Ne règle que leur route, et les laisse courir."")","('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")",0.32,Substitution
2,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
3,"('#melpomene', ""La naissance d'Hercule et le festin d'Atrée T'ont fait rompre ces lois ; Et tu peux faire encore ce qu'on t'a vu deux fois Faire en même contrée. Je dis plus : tu le dois en faveur du spectacle Qu'au monarque des lis je prépare aujourd'hui ; Le ciel n'a fait que miracles en lui : Lui voudrais-tu refuser un miracle ?"")","('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")",0.53,Substitution
4,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
5,"('#soleil', ""Non ; mais je le réserve à ces bienheureux jours Qu'ennoblira sa première victoire : Alors j'arrêterai mon cours, Pour être plus longtemps le témoin de sa gloire. Prends cependant le soin de le bien divertir, Pour lui faire avec joie attendre les années Qui feront éclater les belles destinées Des peuples que son bras lui doit assujettir. Calliope ta soeur déjà d'un oeil avide Cherche dans l'avenir les faits de ce grand roi, Dont les hautes vertus lui donneront emploi Pour plus d'une Illiade et plus d'une Énéide."")","('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",0.77,Substitution
6,,"('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",1.0,Deletion
7,"('#melpomene', ""Que je porte d'envie à cette illustre soeur, Quoique j'aie à craindre pour elle Que sous ce grand fardeau sa force ne chancelle ! Mais quel qu'en soit enfin le mérite et l'honneur, J'aurai du moins cet avantage, Que déjà je le vois, que déjà je lui plais, Et que de ses vertus, et que de ses hauts faits Déjà dans ses pareils je lui trace une image. Je lui montre Pompée, Alexandre, César, Mais comme des héros attachés à son char ; Et tout ce haut éclat où je les fais paraître Lui peint plus qu'ils n'étaient, et moins qu'il ne doit être."")","('#deux-tritons', ""C'est le Dieu des eaux qui va paraître Rangeons nous près de notre Maître Enchaînons les vents les plus terribles Que le bruit des flots cède à nos chants. Régnez Zéphirs paisibles, Ramenez le doux printemps."")",0.73,Substitution
8,"('#soleil', ""Il en effacera les plus glorieux noms, Dès qu'il pourra lui-même animer son armée ; Et tout ce que d'eux tous a dit la renommée Te fera voir en lui le plus grand des Bourbons. Son père et son aïeul tous rayonnants de gloire, Ces grands rois qu'en tous lieux a suivis la victoire, Lui voyant emporter sur eux le premier rang, En deviendraient jaloux s'il n'était pas leur sang. Mais vole dans mon char, muse ; je veux t'apprendre Tout l'avenir d'un roi qui t'est si précieux."")","('#neptune', ""Mon empire a servi de théâtre à la guerre, Publiez des exploits nouveaux C'est le même vainqueur Si fameux sur la terre Qui triomphe encor sur les eaux."")",0.31,Substitution
9,"('#melpomene', ""Je sais déjà ce qu'on doit en attendre, Et je lis chaque jour son destin dans les cieux."")","('#la-renommee #neptune', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",1.27,Substitution
10,"('#soleil', ""Viens donc, viens avec moi faire le tour du monde ; Qu'unissant ensemble nos voix, Nous fassions résonner sur la terre et sur l'onde Qu'il est et le plus jeune et le plus grand des rois."")","('#choeurs', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",0.34,Substitution
