,cubieres-palmezeaux-mort-de-moliere-3a,cubieres-palmezeaux-mort-de-moliere-4a,Cost,Operation Type
0,"('#moliere', ""Je ne sais que penser de mon ami Chapelle.  Veut-il me rendre fou ? Dans l'excès de son zèle,  L'autre jour, il m'emporte un de mes manuscrits,  Et me laisse un des siens. Messieurs les beaux esprits  Prétendent, me dit-il, que, dans mes comédies,  Je blesse le bon ton, et qu'elles sont remplies  De mots ignobles, bas, et de détails bourgeois.  Il veut me corriger et m'apprendre les lois  Du beau monde qu'il hante ; et, si je le dois croire,  J'aurai moins de profit et beaucoup plus de gloire. C'est fort bien fait à vous, Monsieur l'Epicurien ! Votre projet sans doute est d'un homme de bien ; Mais de me réformer il n'est plus temps, je pense, Et vous perdrez ici toute votre science. On ne redresse point un arbre déjà vieux, Et je ferais plus mal, pour vouloir faire mieux. Chapelle cependant n'arrive point, j'enrage. Si du moins il m'avait renvoyé mon ouvrage ! J'en ai besoin. Holà !... Je suis d'une fureur ! Se promenant avec un air impatienté."")","('#moliere', ""Je ne sais que penser de mon ami Chapelle ;  Veut-il me rendre fou ? Dans l'excès de son zèle,  L'autre jour, il m'emporte un de mes manuscrits,  Et me laisse un des siens. Messieurs les beaux esprits  Prétendent, me dit-il, que dans mes comédies,  Je blesse le bon ton, et qu'elles sont remplies  De mots ignobles, bas, et de détails bourgeois, Il veut me corriger et m'apprendre les lois Du beau monde qu'il hante ; et, si je dois l'en croire,  J'aurai moins de profit et beaucoup plus de gloire.  C'est fort bien fait à vous, monsieur l'épicurien !  Votre projet, sans doute, est d'un homme de bien ;  Mais de me réformer il n'est plus temps, je pense,  Et vous perdrez ici toute votre science.  On ne redresse point un arbre déjà vieux,  Et je ferais plus mal, pour vouloir faire mieux.  Chapelle, cependant, n'arrive point, j'enrage.  Si du moins il m'avait renvoyé mon ouvrage !  J'en ai besoin. Holà !... Je suis d'une fureur."")",0.0,Match
1,"('#moliere', ""Chapelle n'a-t-il rien envoyé ?"")","('#moliere', ""Chapelle n'a-t-il rien envoyé ? "")",0.0,Match
2,"('#lesbin', 'Non, Monsieur.')","('#lesbin', 'Non, Monsieur. ')",0.0,Match
3,"('#moliere', ""Qu'on me laisse !"")","('#moliere', ""Qu'on me laisse ! "")",0.0,Match
4,"('#moliere', ""Il me faut, en attendant qu'il vienne Me rapporter ma pièce, examiner la sienne. Il m'en a tant prié ! Lisons. Chapelle aussi S'avise d'être auteur. Asseyons-nous ici, Et tâchons d'étouffer ma trop juste colère. De l'esprit, de l'esprit, comme à son ordinaire ! Encore de l'esprit, des traits vifs et brillants, Des détails fins, légers et des portraits saillants, Un jargon de ruelle, un ton de persiflage, Qui sans doute des sots obtiendra le suffrage ; Mais pas le sens commun, pas l'ombre de raison, Et de grands sentiments toujours hors de saison. Croit-il, mon pauvre ami, que, pour la comédie, L'esprit soit suffisant ? Du bon sens, du génie, Voilà, voilà surtout les dons qu'il faut avoir. Tel qu'il est, en un mot, l'homme cherche à se voir, Et non tel qu'on l'a peint dans cette oeuvre infidèle. Qui manque la copie est sifflé du modèle. Je ne répondrais point que cet ouvrage là Ne réussît pourtant, qu'il ne plût, et voilà Comme de beaux esprits, membres d'Académies, Quand je ne serai plus, feront des comédies ! Ils uniront ensemble, et l'esprit et le coeur, La nature et l'amour, la peine et le bonheur : Leurs vers tout hérissés d'antithèses pointues, Rediront ce qu'ont dit, en phrases rebattues, Vizé, Balzac, Voiture et Monsieur Trissotin, Grands Auteurs dont on sait le malheureux destin. Mais achevons... Je crois qu'en chantant il s'annonce. Oh ! Qu'il mériterait une vive semonce ! Il s'assied près d'une table, y prend un manuscrit et lit tout bas. Se remettant à lire tout bas."")","('#moliere', ""Il me faut, en attendant qu'il vienne  Me rapporter ma pièce, examiner la sienne.  Il m'en a tant prié. Lisons. Chapelle aussi  S'avise d'être auteur. Asseyons-nous ici,  Et tâchons d'étouffer ma trop juste colère.  De l'esprit, de l'esprit, comme à son ordinaire !  Encore de l'esprit, des traits vifs et brillants,  Des détails fins, légers, et des portraits saillants ;  Un jargon de ruelle, un ton de persiflage,  Qui sans doute des sots obtiendra le suffrage ;  Mais pas le sens commun, pas l'ombre de raison,  Et de grands sentiments toujours hors de saison.  Croit-il, mon pauvre ami, que pour la comédie,  L'esprit soit suffisant ? Du bon sens, du génie,  Voilà, voilà surtout, les dons qu'il faut avoir.  Tel qu'il est, en un mot, l'homme cherche à se voir,  Et non tel qu'on l'a peint dans cette ouvre infidèle.  Qui manque la copie est sifflé du modèle.  Je ne répondrais point que cet ouvrage là  Ne réussît, pourtant, qu'il ne plût, et voilà  Comme de beaux esprits, membres d'académies,  Quand je ne serai plus, feront des comédies !  Ils uniront ensemble, et l'esprit et le coeur,  La nature et l'amour, la peine et le bonheur :  Leurs vers tout hérissés d'antithèses pointues,  Rediront ce qu'ont dit, en phrases rebattues,  Visé, Balzac, Voiture et monsieur Trissotin,  Grands auteurs dont on sait le malheureux destin. Mais, achevons... Je crois qu'en chantant il s'annonce.  Oh ! Qu'il mériterait une vive semonce ! Il s'assied près d'une table, y prend un manuscrit et lit tout bas. Se remettant à lire tout bas."")",0.0,Match
5,"('#moliere', ""Eh bien ! M'apportez-vous mon manuscrit enfin ?"")","('#moliere', ""Eh bien ! M'apportez-vous mon manuscrit, enfin ? "")",0.0,Match
6,"('#chapelle', 'Le voilà, mon ami, votre ouvrage est divin.')","('#chapelle', 'Le voilà, mon ami, votre ouvrage est divin.')",0.0,Match
7,"('#moliere', ""Divin ! Vous plaisantez : je n'ai point fait d'ouvrage. Dont je sois satisfait, et c'est ce dont j'enrage."")","('#moliere', ""Divin ! Vous plaisantez : je n'ai point fait d'ouvrage.  Dont je sois satisfait, et c'est ce dont j'enrage. "")",0.0,Match
8,"('#chapelle', ""Je m'étais figuré d'abord que vos écrits Fourmillaient de défauts ; mais j'en sens tout le prix, Depuis que j'en ai fait à tête reposée Un examen suivi. Votre prose est aisée ; Vos caractères, vrais, comiques, amusants, Et vous offrez partout des traits neufs et plaisants. Je voudrais pour beaucoup avoir votre génie. Quoi qu'en dise des sots la tourbe réunie, Votre bonhomme Argan m'a surtout enchanté. Il se croit bien malade et crève de santé ; Et cette belle-mère intéressée, avide, Que j'aime à voir les traits de son âme sordide Si bien représentés ! Votre Diafoirus M'amuse infiniment par son docte Phobus. Votre Purgon me charme, et, dans cette peinture J'ai partout admiré le ton de la nature."")","('#chapelle', ""Je m'étais figuré d'abord que vos écrits  Fourmillaient de défauts, mais j'en sens tout le prix,  Depuis que j'en ai fait à tête reposée  Un examen suivi. Votre prose est aisée ;  Vos caractères, vrais, comiques, amusants,  Et vous offrez partout des traits neufs et plaisants.  Je voudrais pour beaucoup avoir votre génie.  Quoi qu'en dise des sots la tourbe réunie,  Votre bon homme Argan m'a surtout enchanté :  Il se croit bien malade et crève de santé.  Et cette belle-mère intéressée, avide ; Que j'aime à voir les traits de son âme sordide  Si bien représentés ! Votre Diafoirus  M'amuse infiniment par son docte Phébus.  Votre Purgon me charme, et dans cette peinture  J'ai partout admiré le ton de la nature. "")",0.0,Match
9,"('#moliere', ""Vous ne croyez donc pas que j'aie à corriger Rien dans ma comédie ?"")","('#moliere', ""Vous ne croyez donc pas que j'aie à corriger  Rien dans ma comédie ? "")",0.0,Match
