guimont-de-la-touche-iphigenie,favard-voisenon-la-petite-iphigenie,Score
"('#iphigenie', ""Grand dieu ! Dont en tremblant j'implore l'assistance, Daignez, en l'éprouvant, soutenir ma constance ; Du songe qui m'accable éclaircissez l'horreur. De vos profonds décrets est-il l'avant-coureur ?"")",-,0.0
"('#ismenie', ""Quels douloureux accents me remplissent d'alarmes ! N'entends-je pas la voix d'Ipliigénie en larmes ?"")",-,0.0
"('#iphigenie', ""Est-ce toi, dont les soins me deviennent si chers, Qui seule à ma douleur, restes dans l'univers ?"")",-,0.0
"('#ismenie', ""Vous me faites frémir. Vers ces autels funèbres, Rendus plus effrayants par l'horreur des ténèbres, Pâle et tremblante, hélas ! Que venez-vous chercher, Vous, qui, le jour osez à peine en approcher ? Aucun ordre sanglant n'a frappé mon oreille. Du farouche Thoas la cruauté sommeille ; Son coeur, qui veille en proie aux superstitions, Avide par devoir du sang des nations, Au pied de ces autels, du trouble qui le tue N'assiège point encor Diane et sa statue ; Mais que vois-je ? Vos sens d'épouvante frappés, D'un nuage de pleurs vos yeux enveloppés !..."")",-,0.0
"('#iphigenie', ""À la gloire des Grecs et du fils de Pelée, Diane, que n'étAis-je en Aulide immolée ! Ou que n'ai-je du moins, quand ta puissante main Me transporta loin d'eux sous ce ciel inhumain, Subi la loi sanglante en ton nom établie, Contre les étrangers qu'elle te sacrifie . Ô déesse !"")",-,0.0
"('#ismenie', ""Pourquoi lui reprocher toujours La trop juste pitié qui défendit vos jours ? Craignez que sa bonté, si mal récompensée À la fin, de vos pleurs ne se trouve offensée. Mais en ce jour naissant, qui peut les redoubler ? Est-ce le sang qui doit sous votre main couler ? D'un coeur compatissant victime déplorable, Hélas ! Auriez-vous vu l'étranger misérable, Au pied du temple hier trouvé sans mouvement, Sur le sable étendu, privé de sentiment, Que dans l'horrible excès du zèle qui l'enivre, Par d'homicides soins Thoas a fait revivre ?"")",-,0.0
"('#iphigenie', ""Pourquoi l'aurais-je vu ? N'ai-je donc pas assez De la crainte des maux qui me sont annoncés ? À quels pleurs éternels je semble être livrée ! D'un trop crédule espoir me serais-je enivrée ? Ô destin ! N'ai-je dû naître que pour souffrir ? Me verrai-je toujours, sans vivre ni mourir, Dans ce temple de sang, au meurtre assujettie, Traîner avec effort ma chaîne appesantie, Victime a chaque instant d'un devoir odieux, L'horreur de la nature, et peut-être des dieux ?"")",-,0.0
"('#ismenie', 'Quoi ! Ne comptez-vous plus sur votre frère Oreste ? Avez-vous oublié cet espoir qui vous reste ?')",-,0.0
"('#iphigenie', ""Vain espoir ! Son trépas ne m'est que trop prédit ! Un songe encor présent à mon coeur interdit..."")",-,0.0
"('#ismenie', ""Pourquoi vous alarmer sur la foi d'un mensonge ? Fille du roi des rois, devez-vous craindre un songe ?"")",-,0.0
"('#iphigenie', ""Le coeur des malheureux a tout à redouter. Mais quel ressouvenir vient encor m'agiter ? Quand dans l'espoir flatteur d'un brillant hyménée, Je fus aux champs d'Aulide en triomphe amenée, De mes affreux destins fatal avant-coureur Un songe également vint me remplir d'horreur ; J'y vis d'Agamemnon la sanglante imposture ; Je le vis à l'autel, outrageant la nature, D'un titre qu'il souillait avidement jaloux, Me présenter la mort au lieu de mon époux !"")",-,0.0
"('#ismenie', ""Quel fantôme aujourd'hui, quel sinistre présage De vos sens égarés suspend encor l'usage ? Osez me le tracer, soulagez votre coeur ; Le récit de nos maux adoucit leur rigueur."")",-,0.0
