,corneillep-andromede,quinault-persee,Cost,Operation Type
0,,"('#phronime', ""La Vertu veut choisir ce lieu pour sa retraite : C'est un heureux séjour ; tout y plaît à mes yeux."")",1.0,Deletion
1,"('#melpomene', ""Arrête un peu ta course impétueuse : Mon théâtre, Soleil, mérite bien tes yeux ; Tu n'en vis jamais en ces lieux La pompe plus majestueuse : J'ai réuni, pour la faire admirer, Tout ce qu'ont de plus beau la France et l'Italie ; De tous leurs arts mes soeurs l'ont embellie : Prête-moi tes rayons pour la mieux éclairer. Daigne à tant de beautés, par ta propre lumière, Donner un parfait agrément, Et rends cette merveille entière En lui servant toi-même d'ornement."")","('#megathyme', 'La Vertu fait trouver dans les plus tristes lieux Une félicité secrète')",0.9,Substitution
2,"('#soleil', ""Charmante muse de la scène, Chère et divine Melpomène, Tu sais de mon destin l'inviolable loi : Je donne l'âme à toutes choses, Je fais agir toutes les causes ; Mais quand je puis le plus, je suis le moins à moi ; Par une puissance plus forte Le char que je conduis m'emporte : Chaque jour sans repos doit et naître et mourir. J'en suis esclave alors que j'y préside ; Et ce frein que je tiens aux chevaux que je guide Ne règle que leur route, et les laisse courir."")","('#phronime', ""Sans la Vertu, sans son secours, On n'a point de bien véritable. Elle est toujours aimable ; Il faut l'aimer toujours."")",1.06,Substitution
3,"('#melpomene', ""La naissance d'Hercule et le festin d'Atrée T'ont fait rompre ces lois ; Et tu peux faire encore ce qu'on t'a vu deux fois Faire en même contrée. Je dis plus : tu le dois en faveur du spectacle Qu'au monarque des lis je prépare aujourd'hui ; Le ciel n'a fait que miracles en lui : Lui voudrais-tu refuser un miracle ?"")","('#megathyme', ""Elle éternise la mémoire D'un héros qui la suit. La gloire où la Vertu conduit Est la parfaite gloire."")",0.98,Substitution
4,"('#soleil', ""Non ; mais je le réserve à ces bienheureux jours Qu'ennoblira sa première victoire : Alors j'arrêterai mon cours, Pour être plus longtemps le témoin de sa gloire. Prends cependant le soin de le bien divertir, Pour lui faire avec joie attendre les années Qui feront éclater les belles destinées Des peuples que son bras lui doit assujettir. Calliope ta soeur déjà d'un oeil avide Cherche dans l'avenir les faits de ce grand roi, Dont les hautes vertus lui donneront emploi Pour plus d'une Illiade et plus d'une Énéide."")","('#phronime #megathyme', ""Suivons partout ses pas,  On ne peut la connaître  Sans aimer ses appas. Le bonheur ne peut être Où la Vertu n'est pas. La Vertu s'avance au milieu d'un troupe de suivants et de suivantes. L'innocence et les Plaisirs innocents accompagnent la Vertu."")",0.35,Substitution
5,"('#melpomene', ""Que je porte d'envie à cette illustre soeur, Quoique j'aie à craindre pour elle Que sous ce grand fardeau sa force ne chancelle ! Mais quel qu'en soit enfin le mérite et l'honneur, J'aurai du moins cet avantage, Que déjà je le vois, que déjà je lui plais, Et que de ses vertus, et que de ses hauts faits Déjà dans ses pareils je lui trace une image. Je lui montre Pompée, Alexandre, César, Mais comme des héros attachés à son char ; Et tout ce haut éclat où je les fais paraître Lui peint plus qu'ils n'étaient, et moins qu'il ne doit être."")","('#phronime #megathyme #choeur', ""Ô Vertu charmante ! Votre empire est doux.  Avec vous, tout nous contente ; On n'est point heureux sans vous. Ô Vertu charmante, Votre empire est doux."")",0.8,Substitution
6,"('#soleil', ""Il en effacera les plus glorieux noms, Dès qu'il pourra lui-même animer son armée ; Et tout ce que d'eux tous a dit la renommée Te fera voir en lui le plus grand des Bourbons. Son père et son aïeul tous rayonnants de gloire, Ces grands rois qu'en tous lieux a suivis la victoire, Lui voyant emporter sur eux le premier rang, En deviendraient jaloux s'il n'était pas leur sang. Mais vole dans mon char, muse ; je veux t'apprendre Tout l'avenir d'un roi qui t'est si précieux."")","('#la-vertu', ""Ne vous abusez point par une vaine attente :  On n'a pas aisément les prix que je présente ; Ils coûtent mille efforts ils font mille jaloux. L'inconstante Fortune à ma nuire est constante ;  Lorsque l'on suit mes pas on s'expose à mes coups. On trouve en son fatal courroux Une hydre toujours renaissante."")",0.57,Substitution
7,,"('#megathyme', ""Avec vous rien n'épouvante."")",1.0,Deletion
8,"('#melpomene', ""Je sais déjà ce qu'on doit en attendre, Et je lis chaque jour son destin dans les cieux."")","('#phronime', ""On n'est point heureux sans vous."")",1.66,Substitution
9,,"('#phronime #megathyme #choeur', 'Ô Vertu charmante, etc.')",1.0,Deletion
10,"('#soleil', ""Viens donc, viens avec moi faire le tour du monde ; Qu'unissant ensemble nos voix, Nous fassions résonner sur la terre et sur l'onde Qu'il est et le plus jeune et le plus grand des rois."")","('#la-vertu', ""Fuyons de la grandeur la pompe embarrassante ;  La retraite a des biens dont la douceur enchante Et qui sont réservés pour nous. Jouissons du bonheur d'une vie innocente ; C'est le bien le plus grand de tous."")",1.21,Substitution
11,"('#melpomene', ""Soleil, j'y vole ; attends-moi donc, de grâce."")",,1.0,Insertion
12,"('#soleil', ""Viens, je t'attends, et te fais place. Mélpomène vole dans le char du soleil, et y ayant pris place auprès de lui, ils unissent leurs voix, et chantent cet air à la louange du roi. Le dernier vers de chaque couplet est répété par le choeur de la musique."")","('#phronime #megathyme #choeur', ""Ô Vertu charmante, etc. L'innocence, les Plaisirs innocents, et toute la suite de la Vertu témoignent leur joie en dansant et en chantant."")",0.88,Substitution
13,"('#melpomene #soleil', 'Cieux, écoutez ; écoutez, mers profondes ; Et vous, antres et bois, Affreux déserts, rochers battus des ondes, Redites après nous d\'une commune voix : "" Louis est le plus jeune et le plus grand des rois. "" La majesté qui déjà l\'environne Charme tous ses François ; Il est lui seul digne de sa couronne ; Et quand même le ciel l\'aurait mise à leur choix, Il serait le plus jeune et le plus grand des rois. C\'est à vos soins, reine, qu\'on doit la gloire De tant de grands exploits ; Ils sont partout suivis de la victoire ; Et l\'ordre merveilleux dont vous donnez ses lois Le rend et le plus jeune et le plus grand des rois.')","('#phronime #megathyme', ""La grandeur brillante,  qui fait tant de bruit, N'a rien qui nous tente : Le repos la fuit. Malheureux qui la suit... ! Fortune volage, Laissez-nous en paix ! Vous ne donnez jamais Qu'un pompeux esclavage : Tous vos biens n'ont que de faux attraits. Dans un doux asile Nous bornons nos voeux : Notre sort est tranquille ; C'est un bien qui doit nous rendre heureux. La Vertu couronne Ses amants constant : Heureux qui lui donne Ses soins et son temps ; Ses voeux seront contents... Fortune volage, etc. Le lieu champêtre que la Vertu a choisi pour retraite est tout-à-coup embelli d'ornements magnifiques. On voit sortir de terre un parterre de fleurs, deux rangs de statues, des berceaux dorés et des fontaines jaillissantes."")",0.15,Substitution
14,"('#soleil', ""Voilà ce que je dis sans cesse Dans tout mon large tour. Mais c'est trop retarder le jour ; Allons, muse, l'heure me presse, Et ma rapidité Doit regagner le temps que sur cette province, Pour contempler ce prince, Je me suis arrêté. Le Soleil part avec rapidité, et enlève Melpomène avec lui dans son char pour aller publier ensemble la même chose au reste de l'univers."")","('#la-vertu', ""Qui nous fait voir ici tant de magnificence.. ? C'est la Fortune qui s'avance. Me cherchez-vous quand je vous fuis. Fortune, je sais trop que vous m'êtes contraire. Non, ce n'est pas un soin qui vous soit ordinaire D'embellir les lieux où je suis. On entend le bruit éclatant d'un grand nombre d'instruments. La Fortune s'approche : l'Abondance et la Magnificence l'accompagnent, avec une suite richement parée. Tout se réjouit et tout danse autour de la Fortune."")",0.25,Substitution
